Team,Date,1stD,Day,G#,Week,,Opp,Result,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,game_id
GNB,2019-09-26,31,Thu,4,4,,PHI,L 27-34,31,4,19,8,11,6,54.5,1,0,0.0,GNB_PHI_2019-09-26
BAL,2019-09-08,31,Sun,1,1,@,MIA,W 59-10,31,10,17,4,11,7,63.6,2,2,100.0,BAL_MIA_2019-09-08
SEA,2018-12-23,31,Sun,15,16,,KAN,W 38-31,31,11,15,5,14,7,50.0,0,0,,SEA_KAN_2018-12-23
TAM,2018-11-18,31,Sun,10,11,@,NYG,L 35-38,31,10,18,3,9,6,66.7,2,1,50.0,TAM_NYG_2018-11-18
NOR,2018-11-04,31,Sun,8,9,,LAR,W 45-35,31,10,19,2,12,7,58.3,2,2,100.0,NOR_LAR_2018-11-04
NWE,2018-10-14,31,Sun,6,6,,KAN,W 43-40,31,15,14,2,13,7,53.8,1,0,0.0,NWE_KAN_2018-10-14
KAN,2018-09-23,31,Sun,3,3,,SFO,W 38-27,31,9,15,7,11,7,63.6,1,1,100.0,KAN_SFO_2018-09-23
CAR,2022-12-24,30,Sat,15,16,,DET,W 37-23,30,16,11,3,9,3,33.3,1,1,100.0,CAR_DET_2022-12-24
CIN,2022-11-06,30,Sun,9,9,,CAR,W 42-21,30,19,10,1,10,6,60.0,0,0,,CIN_CAR_2022-11-06
MIN,2022-09-25,30,Sun,3,3,,DET,W 28-24,30,9,16,5,9,2,22.2,2,1,50.0,MIN_DET_2022-09-25
NWE,2021-11-14,30,Sun,10,10,,CLE,W 45-7,30,10,17,3,9,7,77.8,0,0,,NWE_CLE_2021-11-14
NYJ,2021-11-04,30,Thu,8,9,@,IND,L 30-45,30,3,25,2,14,8,57.1,1,1,100.0,NYJ_IND_2021-11-04
BAL,2021-10-11,30,Mon,5,5,,IND,W 31-25 (OT),30,7,22,1,8,3,37.5,0,0,,BAL_IND_2021-10-11
PHI,2021-10-03,30,Sun,4,4,,KAN,L 30-42,30,9,19,2,12,6,50.0,2,1,50.0,PHI_KAN_2021-10-03
TEN,2021-10-03,30,Sun,4,4,@,NYJ,L 24-27 (OT),30,10,17,3,19,5,26.3,3,2,66.7,TEN_NYJ_2021-10-03
DAL,2021-09-09,30,Thu,1,1,@,TAM,L 29-31,30,4,21,5,17,9,52.9,0,0,,DAL_TAM_2021-09-09
TAM,2020-12-26,30,Sat,15,16,@,DET,W 47-7,30,5,22,3,10,4,40.0,2,1,50.0,TAM_DET_2020-12-26
LAR,2020-12-06,30,Sun,12,13,@,ARI,W 38-28,30,8,19,3,15,9,60.0,3,1,33.3,LAR_ARI_2020-12-06
MIN,2020-12-06,30,Sun,12,13,,JAX,W 27-24 (OT),30,10,17,3,16,7,43.8,0,0,,MIN_JAX_2020-12-06
TAM,2020-11-15,30,Sun,10,10,@,CAR,W 46-23,30,9,18,3,16,10,62.5,1,1,100.0,TAM_CAR_2020-11-15
NWE,2020-11-09,30,Mon,8,9,@,NYJ,W 30-27,30,14,13,3,14,8,57.1,2,1,50.0,NWE_NYJ_2020-11-09
CAR,2020-11-08,30,Sun,9,9,@,KAN,L 31-33,30,7,18,5,16,7,43.8,3,3,100.0,CAR_KAN_2020-11-08
DET,2020-11-08,30,Sun,8,9,@,MIN,L 20-34,30,9,19,2,12,6,50.0,0,0,,DET_MIN_2020-11-08
CAR,2020-10-04,30,Sun,4,4,,ARI,W 31-21,30,11,17,2,11,7,63.6,1,1,100.0,CAR_ARI_2020-10-04
JAX,2020-09-20,30,Sun,2,2,@,TEN,L 30-33,30,9,20,1,14,10,71.4,1,1,100.0,JAX_TEN_2020-09-20
LAR,2020-09-20,30,Sun,2,2,@,PHI,W 37-19,30,11,17,2,12,7,58.3,1,1,100.0,LAR_PHI_2020-09-20
CIN,2020-09-17,30,Thu,2,2,@,CLE,L 30-35,30,7,20,3,18,8,44.4,5,5,100.0,CIN_CLE_2020-09-17
CLE,2019-11-24,30,Sun,11,12,,MIA,W 41-24,30,9,15,6,8,4,50.0,0,0,,CLE_MIA_2019-11-24
ATL,2019-10-27,30,Sun,8,8,,SEA,L 20-27,30,4,24,2,9,3,33.3,1,1,100.0,ATL_SEA_2019-10-27
LAC,2018-12-13,30,Thu,14,15,@,KAN,W 29-28,30,7,18,5,10,6,60.0,1,1,100.0,LAC_KAN_2018-12-13
KAN,2018-12-09,30,Sun,13,14,,BAL,W 27-24 (OT),30,8,18,4,16,6,37.5,3,3,100.0,KAN_BAL_2018-12-09
LAC,2018-11-25,30,Sun,11,12,,ARI,W 45-10,30,11,17,2,7,3,42.9,1,1,100.0,LAC_ARI_2018-11-25
TAM,2018-10-14,30,Sun,5,6,@,ATL,L 29-34,30,5,23,2,8,5,62.5,0,0,,TAM_ATL_2018-10-14
GNB,2018-10-07,30,Sun,5,5,@,DET,L 23-31,30,6,23,1,10,3,30.0,2,2,100.0,GNB_DET_2018-10-07
LAR,2018-10-07,30,Sun,5,5,@,SEA,W 33-31,30,9,17,4,9,3,33.3,1,1,100.0,LAR_SEA_2018-10-07
HOU,2018-09-30,30,Sun,4,4,@,IND,W 37-34 (OT),30,6,23,1,16,8,50.0,1,1,100.0,HOU_IND_2018-09-30
CIN,2018-09-30,30,Sun,4,4,@,ATL,W 37-36,30,6,20,4,12,7,58.3,2,2,100.0,CIN_ATL_2018-09-30
WAS,2018-09-09,30,Sun,1,1,@,ARI,W 24-6,30,10,13,7,13,6,46.2,1,1,100.0,WAS_ARI_2018-09-09
LVR,2023-01-01,29,Sun,16,17,,SFO,L 34-37 (OT),29,10,15,4,10,4,40.0,1,0,0.0,LVR_SFO_2023-01-01
BUF,2022-12-17,29,Sat,14,15,,MIA,W 32-29,29,9,16,4,14,8,57.1,0,0,,BUF_MIA_2022-12-17
PHI,2022-11-27,29,Sun,11,12,,GNB,W 40-33,29,21,6,2,15,8,53.3,3,2,66.7,PHI_GNB_2022-11-27
KAN,2022-11-27,29,Sun,11,12,,LAR,W 26-10,29,6,20,3,11,5,45.5,0,0,,KAN_LAR_2022-11-27
BUF,2022-11-13,29,Sun,9,10,,MIN,L 30-33 (OT),29,9,17,3,13,7,53.8,1,0,0.0,BUF_MIN_2022-11-13
MIA,2022-11-13,29,Sun,10,10,,CLE,W 39-17,29,11,17,1,11,6,54.5,2,1,50.0,MIA_CLE_2022-11-13
KAN,2022-11-06,29,Sun,8,9,,TEN,W 20-17 (OT),29,5,23,1,19,8,42.1,2,2,100.0,KAN_TEN_2022-11-06
CIN,2022-10-23,29,Sun,7,7,,ATL,W 35-17,29,5,22,2,11,7,63.6,1,0,0.0,CIN_ATL_2022-10-23
IND,2022-10-16,29,Sun,6,6,,JAX,W 34-27,29,4,22,3,15,10,66.7,0,0,,IND_JAX_2022-10-16
KAN,2022-10-10,29,Mon,5,5,,LVR,W 30-29,29,7,18,4,12,7,58.3,0,0,,KAN_LVR_2022-10-10
MIN,2022-10-09,29,Sun,5,5,,CHI,W 29-22,29,10,18,1,15,12,80.0,0,0,,MIN_CHI_2022-10-09
CLE,2022-09-18,29,Sun,2,2,,NYJ,L 30-31,29,12,15,2,12,8,66.7,0,0,,CLE_NYJ_2022-09-18
SEA,2022-01-02,29,Sun,16,17,,DET,W 51-29,29,15,13,1,12,7,58.3,1,1,100.0,SEA_DET_2022-01-02
GNB,2022-01-02,29,Sun,16,17,,MIN,W 37-10,29,11,17,1,13,7,53.8,1,0,0.0,GNB_MIN_2022-01-02
ARI,2021-11-21,29,Sun,11,11,@,SEA,W 23-13,29,6,21,2,14,7,50.0,1,1,100.0,ARI_SEA_2021-11-21
KAN,2021-11-14,29,Sun,10,10,@,LVR,W 41-14,29,5,23,1,15,9,60.0,3,3,100.0,KAN_LVR_2021-11-14
KAN,2021-11-01,29,Mon,8,8,,NYG,W 20-17,29,10,17,2,12,5,41.7,0,0,,KAN_NYG_2021-11-01
KAN,2021-10-17,29,Sun,6,6,@,WAS,W 31-13,29,7,21,1,17,11,64.7,2,1,50.0,KAN_WAS_2021-10-17
IND,2021-10-11,29,Mon,5,5,@,BAL,L 25-31 (OT),29,10,16,3,10,5,50.0,1,1,100.0,IND_BAL_2021-10-11
KAN,2021-10-10,29,Sun,5,5,,BUF,L 20-38,29,8,16,5,12,5,41.7,1,0,0.0,KAN_BUF_2021-10-10
BUF,2021-09-26,29,Sun,3,3,,WAS,W 43-21,29,8,20,1,15,9,60.0,1,0,0.0,BUF_WAS_2021-09-26
LAC,2021-01-03,29,Sun,16,17,@,KAN,W 38-21,29,10,16,3,7,3,42.9,1,0,0.0,LAC_KAN_2021-01-03
BUF,2020-12-19,29,Sat,14,15,@,DEN,W 48-19,29,6,19,4,13,9,69.2,1,0,0.0,BUF_DEN_2020-12-19
DAL,2020-12-08,29,Tue,12,13,@,BAL,L 17-34,29,8,20,1,15,6,40.0,4,3,75.0,DAL_BAL_2020-12-08
TAM,2020-10-25,29,Sun,7,7,@,LVR,W 45-20,29,5,22,2,12,7,58.3,1,1,100.0,TAM_LVR_2020-10-25
LAC,2020-10-25,29,Sun,6,7,,JAX,W 39-29,29,9,16,4,14,6,42.9,0,0,,LAC_JAX_2020-10-25
NOR,2020-10-04,29,Sun,4,4,@,DET,W 35-29,29,13,15,1,14,10,71.4,1,1,100.0,NOR_DET_2020-10-04
KAN,2020-09-28,29,Mon,3,3,@,BAL,W 34-20,29,5,22,2,13,10,76.9,2,0,0.0,KAN_BAL_2020-09-28
SFO,2020-09-27,29,Sun,3,3,@,NYG,W 36-9,29,7,19,3,12,8,66.7,0,0,,SFO_NYG_2020-09-27
NWE,2020-09-20,29,Sun,2,2,@,SEA,L 30-35,29,5,22,2,12,7,58.3,1,1,100.0,NWE_SEA_2020-09-20
ARI,2020-09-13,29,Sun,1,1,@,SFO,W 24-20,29,13,12,4,14,7,50.0,0,0,,ARI_SFO_2020-09-13
NWE,2020-09-13,29,Sun,1,1,,MIA,W 21-11,29,18,8,3,10,5,50.0,1,1,100.0,NWE_MIA_2020-09-13
MIA,2019-12-22,29,Sun,15,16,,CIN,W 38-35 (OT),29,5,21,3,16,6,37.5,0,0,,MIA_CIN_2019-12-22
TAM,2019-12-08,29,Sun,13,14,,IND,W 38-35,29,5,24,0,15,8,53.3,1,1,100.0,TAM_IND_2019-12-08
NWE,2019-12-01,29,Sun,12,13,@,HOU,L 22-28,29,9,16,4,17,9,52.9,2,1,50.0,NWE_HOU_2019-12-01
TAM,2019-11-03,29,Sun,8,9,@,SEA,L 34-40 (OT),29,7,19,3,14,6,42.9,1,1,100.0,TAM_SEA_2019-11-03
HOU,2019-10-27,29,Sun,8,8,,OAK,W 27-24,29,7,17,5,14,6,42.9,1,1,100.0,HOU_OAK_2019-10-27
SEA,2019-10-13,29,Sun,6,6,@,CLE,W 32-28,29,8,17,4,13,6,46.2,0,0,,SEA_CLE_2019-10-13
KAN,2019-09-29,29,Sun,4,4,@,DET,W 34-30,29,8,16,5,9,4,44.4,1,1,100.0,KAN_DET_2019-09-29
DET,2019-09-29,29,Sun,4,4,,KAN,L 30-34,29,8,17,4,13,5,38.5,0,0,,DET_KAN_2019-09-29
BAL,2019-09-22,29,Sun,3,3,@,KAN,L 28-33,29,15,14,0,13,5,38.5,4,3,75.0,BAL_KAN_2019-09-22
IND,2019-09-22,29,Sun,3,3,,ATL,W 27-24,29,7,15,7,8,5,62.5,0,0,,IND_ATL_2019-09-22
CAR,2018-12-23,29,Sun,15,16,,ATL,L 10-24,29,8,19,2,14,7,50.0,2,0,0.0,CAR_ATL_2018-12-23
LAR,2018-11-19,29,Mon,11,11,,KAN,W 54-51,29,4,21,4,14,5,35.7,1,1,100.0,LAR_KAN_2018-11-19
SEA,2018-11-11,29,Sun,9,10,@,LAR,L 31-36,29,15,9,5,9,2,22.2,1,0,0.0,SEA_LAR_2018-11-11
TAM,2018-11-11,29,Sun,9,10,,WAS,L 3-16,29,6,22,1,10,6,60.0,0,0,,TAM_WAS_2018-11-11
TAM,2018-10-28,29,Sun,7,8,@,CIN,L 34-37,29,7,20,2,18,10,55.6,2,2,100.0,TAM_CIN_2018-10-28
CHI,2018-10-21,29,Sun,6,7,,NWE,L 31-38,29,7,18,4,16,8,50.0,1,1,100.0,CHI_NWE_2018-10-21
JAX,2018-10-07,29,Sun,5,5,@,KAN,L 14-30,29,6,20,3,16,7,43.8,5,3,60.0,JAX_KAN_2018-10-07
MIN,2023-01-08,28,Sun,17,18,@,CHI,W 29-13,28,12,15,1,11,6,54.5,0,0,,MIN_CHI_2023-01-08
CIN,2022-12-24,28,Sat,15,16,@,NWE,W 22-18,28,6,18,4,16,8,50.0,1,1,100.0,CIN_NWE_2022-12-24
BUF,2022-11-24,28,Thu,11,12,@,DET,W 28-25,28,10,16,2,12,7,58.3,0,0,,BUF_DET_2022-11-24
