Team,Date,TD,Day,G#,Week,,Opp,Result,TD,XPA,XPM,Att,Md,Sfty,game_id
DAL,2017-09-17,6,Sun,2,2,@,DEN,L 17-42,6,6,6,1,0,0,DAL_DEN_2017-09-17
NYJ,2017-09-17,6,Sun,2,2,@,OAK,L 20-45,6,6,6,1,1,0,NYJ_OAK_2017-09-17
NWE,2017-09-07,6,Thu,1,1,,KAN,L 27-42,6,6,6,0,0,0,NWE_KAN_2017-09-07
ARI,2023-01-08,5,Sun,17,18,@,SFO,L 13-38,5,5,5,1,1,0,ARI_SFO_2023-01-08
NWE,2023-01-08,5,Sun,17,18,@,BUF,L 23-35,5,5,5,0,0,0,NWE_BUF_2023-01-08
MIN,2023-01-01,5,Sun,16,17,@,GNB,L 17-41,5,5,5,2,2,0,MIN_GNB_2023-01-01
CHI,2023-01-01,5,Sun,16,17,@,DET,L 10-41,5,5,5,2,2,0,CHI_DET_2023-01-01
IND,2023-01-01,5,Sun,16,17,@,NYG,L 10-38,5,5,5,1,1,0,IND_NYG_2023-01-01
CHI,2022-12-24,5,Sat,15,16,,BUF,L 13-35,5,4,3,1,0,0,CHI_BUF_2022-12-24
DAL,2022-12-18,5,Sun,14,15,@,JAX,L 34-40 (OT),5,4,4,2,2,0,DAL_JAX_2022-12-18
IND,2022-12-17,5,Sat,14,15,@,MIN,L 36-39 (OT),5,4,4,1,1,0,IND_MIN_2022-12-17
TAM,2022-12-11,5,Sun,13,14,@,SFO,L 7-35,5,5,5,0,0,0,TAM_SFO_2022-12-11
TEN,2022-12-04,5,Sun,12,13,@,PHI,L 10-35,5,5,5,0,0,0,TEN_PHI_2022-12-04
GNB,2022-11-27,5,Sun,12,12,@,PHI,L 33-40,5,5,4,2,2,0,GNB_PHI_2022-11-27
SEA,2022-11-27,5,Sun,11,12,,LVR,L 34-40 (OT),5,4,4,3,2,0,SEA_LVR_2022-11-27
ARI,2022-11-21,5,Mon,11,11,,SFO,L 10-38,5,5,5,1,1,0,ARI_SFO_2022-11-21
CLE,2022-11-13,5,Sun,9,10,@,MIA,L 17-39,5,5,3,2,2,0,CLE_MIA_2022-11-13
PIT,2022-10-30,5,Sun,8,8,@,PHI,L 13-35,5,5,5,0,0,0,PIT_PHI_2022-10-30
ARI,2022-10-30,5,Sun,8,8,@,MIN,L 26-34,5,5,4,1,0,0,ARI_MIN_2022-10-30
HOU,2022-10-23,5,Sun,6,7,@,LVR,L 20-38,5,5,5,1,1,0,HOU_LVR_2022-10-23
ATL,2022-10-23,5,Sun,7,7,@,CIN,L 17-35,5,5,5,0,0,0,ATL_CIN_2022-10-23
NOR,2022-10-20,5,Thu,7,7,@,ARI,L 34-42,5,3,2,2,2,0,NOR_ARI_2022-10-20
CLE,2022-10-16,5,Sun,6,6,,NWE,L 15-38,5,5,5,2,1,0,CLE_NWE_2022-10-16
CAR,2022-10-09,5,Sun,5,5,,SFO,L 15-37,5,5,4,2,1,0,CAR_SFO_2022-10-09
MIA,2022-10-09,5,Sun,5,5,@,NYJ,L 17-40,5,5,5,1,1,1,MIA_NYJ_2022-10-09
SEA,2022-10-09,5,Sun,5,5,@,NOR,L 32-39,5,4,4,1,1,0,SEA_NOR_2022-10-09
PIT,2022-10-09,5,Sun,5,5,@,BUF,L 3-38,5,5,5,2,1,0,PIT_BUF_2022-10-09
TAM,2022-10-02,5,Sun,4,4,,KAN,L 31-41,5,5,5,2,2,0,TAM_KAN_2022-10-02
NWE,2022-09-25,5,Sun,3,3,,BAL,L 26-37,5,5,4,1,1,0,NWE_BAL_2022-09-25
TEN,2022-09-19,5,Mon,2,2,@,BUF,L 7-41,5,5,5,2,2,0,TEN_BUF_2022-09-19
MIA,2022-09-18,5,Sun,2,2,@,BAL,W 42-38,5,5,5,1,1,0,MIA_BAL_2022-09-18
PHI,2022-09-11,5,Sun,1,1,@,DET,W 38-35,5,5,5,0,0,0,PHI_DET_2022-09-11
DET,2022-09-11,5,Sun,1,1,,PHI,L 35-38,5,5,5,1,1,0,DET_PHI_2022-09-11
ARI,2022-01-09,5,Sun,17,18,,SEA,L 30-38,5,5,5,1,1,0,ARI_SEA_2022-01-09
CAR,2022-01-09,5,Sun,17,18,@,TAM,L 17-41,5,5,5,3,2,0,CAR_TAM_2022-01-09
BAL,2021-12-26,5,Sun,15,16,@,CIN,L 21-41,5,5,5,3,2,0,BAL_CIN_2021-12-26
LAC,2021-12-26,5,Sun,15,16,@,HOU,L 29-41,5,5,5,3,2,0,LAC_HOU_2021-12-26
DET,2021-12-12,5,Sun,13,14,@,DEN,L 10-38,5,5,5,1,1,0,DET_DEN_2021-12-12
CIN,2021-12-05,5,Sun,12,13,,LAC,L 22-41,5,4,3,2,2,0,CIN_LAC_2021-12-05
IND,2021-11-28,5,Sun,12,12,,TAM,L 31-38,5,5,5,1,1,0,IND_TAM_2021-11-28
PIT,2021-11-28,5,Sun,11,12,@,CIN,L 10-41,5,5,5,2,2,0,PIT_CIN_2021-11-28
BUF,2021-11-21,5,Sun,10,11,,IND,L 15-41,5,5,5,2,2,0,BUF_IND_2021-11-21
PIT,2021-11-21,5,Sun,10,11,@,LAC,L 37-41,5,5,5,2,2,0,PIT_LAC_2021-11-21
ATL,2021-11-14,5,Sun,9,10,@,DAL,L 3-43,5,5,5,0,0,0,ATL_DAL_2021-11-14
LVR,2021-11-14,5,Sun,9,10,,KAN,L 14-41,5,5,5,3,2,0,LVR_KAN_2021-11-14
CIN,2021-11-07,5,Sun,9,9,,CLE,L 16-41,5,5,5,3,2,0,CIN_CLE_2021-11-07
DET,2021-10-31,5,Sun,8,8,,PHI,L 6-44,5,5,5,3,3,0,DET_PHI_2021-10-31
HOU,2021-10-31,5,Sun,8,8,,LAR,L 22-38,5,5,5,1,1,0,HOU_LAR_2021-10-31
CHI,2021-10-24,5,Sun,7,7,@,TAM,L 3-38,5,5,5,2,1,0,CHI_TAM_2021-10-24
BAL,2021-10-24,5,Sun,7,7,,CIN,L 17-41,5,5,5,2,2,0,BAL_CIN_2021-10-24
NYG,2021-10-17,5,Sun,6,6,,LAR,L 11-38,5,5,5,1,1,0,NYG_LAR_2021-10-17
JAX,2021-10-10,5,Sun,5,5,,TEN,L 19-37,5,5,4,1,1,0,JAX_TEN_2021-10-10
NYG,2021-10-10,5,Sun,5,5,@,DAL,L 20-44,5,5,5,3,3,0,NYG_DAL_2021-10-10
WAS,2021-10-10,5,Sun,5,5,,NOR,L 22-33,5,5,3,0,0,0,WAS_NOR_2021-10-10
KAN,2021-10-10,5,Sun,5,5,,BUF,L 20-38,5,5,5,1,1,0,KAN_BUF_2021-10-10
LAC,2021-10-10,5,Sun,5,5,,CLE,W 47-42,5,4,4,2,2,0,LAC_CLE_2021-10-10
CAR,2021-10-03,5,Sun,4,4,@,DAL,L 28-36,5,3,3,1,1,0,CAR_DAL_2021-10-03
ATL,2021-10-03,5,Sun,4,4,,WAS,L 30-34,5,3,1,1,1,0,ATL_WAS_2021-10-03
WAS,2021-09-26,5,Sun,3,3,@,BUF,L 21-43,5,4,4,3,3,0,WAS_BUF_2021-09-26
DET,2021-09-20,5,Mon,2,2,@,GNB,L 17-35,5,5,5,0,0,0,DET_GNB_2021-09-20
BAL,2021-09-19,5,Sun,2,2,,KAN,W 36-35,5,5,5,0,0,0,BAL_KAN_2021-09-19
MIA,2021-09-19,5,Sun,2,2,,BUF,L 0-35,5,5,5,1,0,0,MIA_BUF_2021-09-19
KAN,2021-09-19,5,Sun,2,2,@,BAL,L 35-36,5,3,3,1,1,0,KAN_BAL_2021-09-19
TEN,2021-09-12,5,Sun,1,1,,ARI,L 13-38,5,5,5,2,1,0,TEN_ARI_2021-09-12
DET,2021-09-12,5,Sun,1,1,,SFO,L 33-41,5,5,5,3,2,0,DET_SFO_2021-09-12
GNB,2021-09-12,5,Sun,1,1,@,NOR,L 3-38,5,5,5,1,1,0,GNB_NOR_2021-09-12
CHI,2021-01-03,5,Sun,16,17,,GNB,L 16-35,5,5,5,0,0,0,CHI_GNB_2021-01-03
MIN,2021-01-03,5,Sun,16,17,@,DET,W 37-35,5,3,2,1,1,0,MIN_DET_2021-01-03
CIN,2021-01-03,5,Sun,16,17,,BAL,L 3-38,5,5,5,1,1,0,CIN_BAL_2021-01-03
DET,2021-01-03,5,Sun,16,17,,MIN,L 35-37,5,5,4,2,1,0,DET_MIN_2021-01-03
HOU,2021-01-03,5,Sun,16,17,,TEN,L 38-41,5,5,5,2,2,0,HOU_TEN_2021-01-03
KAN,2021-01-03,5,Sun,16,17,,LAC,L 21-38,5,4,4,0,0,1,KAN_LAC_2021-01-03
ATL,2021-01-03,5,Sun,16,17,@,TAM,L 27-44,5,5,5,3,3,0,ATL_TAM_2021-01-03
NWE,2020-12-28,5,Mon,15,16,,BUF,L 9-38,5,5,5,1,1,0,NWE_BUF_2020-12-28
JAX,2020-12-27,5,Sun,15,16,,CHI,L 17-41,5,5,5,2,2,0,JAX_CHI_2020-12-27
NOR,2020-12-25,5,Fri,15,16,,MIN,W 52-33,5,4,3,0,0,0,NOR_MIN_2020-12-25
SFO,2020-12-20,5,Sun,14,15,@,DAL,L 33-41,5,5,5,3,2,0,SFO_DAL_2020-12-20
JAX,2020-12-20,5,Sun,14,15,@,BAL,L 14-40,5,5,5,2,1,1,JAX_BAL_2020-12-20
NYJ,2020-12-13,5,Sun,13,14,@,SEA,L 3-40,5,5,4,2,2,0,NYJ_SEA_2020-12-13
LVR,2020-12-13,5,Sun,13,14,,IND,L 27-44,5,5,5,3,3,0,LVR_IND_2020-12-13
CAR,2020-12-13,5,Sun,13,14,,DEN,L 27-32,5,4,2,0,0,0,CAR_DEN_2020-12-13
ARI,2020-12-06,5,Sun,12,13,,LAR,L 28-38,5,5,5,2,1,0,ARI_LAR_2020-12-06
CHI,2020-12-06,5,Sun,12,13,,DET,L 30-34,5,5,4,0,0,0,CHI_DET_2020-12-06
CLE,2020-12-06,5,Sun,12,13,@,TEN,W 41-35,5,3,3,0,0,0,CLE_TEN_2020-12-06
