Team,Date,TD,Day,G#,Week,,Opp,Result,TD,XPA,XPM,Att,Md,Sfty,game_id
DAL,2019-09-15,3,Sun,2,2,@,WAS,W 31-21,3,3,3,0,0,0,DAL_WAS_2019-09-15
TEN,2019-09-15,3,Sun,2,2,,IND,L 17-19,3,3,1,0,0,0,TEN_IND_2019-09-15
HOU,2019-09-09,3,Mon,1,1,@,NOR,L 28-30,3,3,3,4,3,0,HOU_NOR_2019-09-09
DEN,2019-09-09,3,Mon,1,1,@,OAK,L 16-24,3,3,3,1,1,0,DEN_OAK_2019-09-09
TAM,2019-09-08,3,Sun,1,1,,SFO,L 17-31,3,2,2,4,3,0,TAM_SFO_2019-09-08
CAR,2019-09-08,3,Sun,1,1,,LAR,L 27-30,3,3,3,4,3,0,CAR_LAR_2019-09-08
PIT,2019-09-08,3,Sun,1,1,@,NWE,L 3-33,3,3,3,4,4,0,PIT_NWE_2019-09-08
CIN,2019-09-08,3,Sun,1,1,@,SEA,L 20-21,3,3,3,0,0,0,CIN_SEA_2019-09-08
LAR,2019-09-08,3,Sun,1,1,@,CAR,W 30-27,3,3,3,3,2,0,LAR_CAR_2019-09-08
KAN,2019-09-08,3,Sun,1,1,@,JAX,W 40-26,3,2,2,2,2,0,KAN_JAX_2019-09-08
PHI,2019-09-08,3,Sun,1,1,,WAS,W 32-27,3,3,3,2,2,0,PHI_WAS_2019-09-08
LAC,2019-09-08,3,Sun,1,1,,IND,W 30-24 (OT),3,2,1,3,1,0,LAC_IND_2019-09-08
ARI,2019-09-08,3,Sun,1,1,,DET,T 27-27 (OT),3,3,3,2,2,0,ARI_DET_2019-09-08
DEN,2018-12-30,3,Sun,16,17,,LAC,L 9-23,3,3,3,0,0,0,DEN_LAC_2018-12-30
WAS,2018-12-30,3,Sun,16,17,,PHI,L 0-24,3,3,3,1,1,0,WAS_PHI_2018-12-30
MIN,2018-12-30,3,Sun,16,17,,CHI,L 10-24,3,2,1,1,1,0,MIN_CHI_2018-12-30
ARI,2018-12-30,3,Sun,16,17,@,SEA,L 24-27,3,3,3,2,2,0,ARI_SEA_2018-12-30
BAL,2018-12-30,3,Sun,16,17,,CLE,W 26-24,3,3,3,2,1,0,BAL_CLE_2018-12-30
DEN,2018-12-24,3,Mon,15,16,@,OAK,L 14-27,3,3,3,2,2,0,DEN_OAK_2018-12-24
IND,2018-12-23,3,Sun,15,16,,NYG,W 28-27,3,3,3,2,2,0,IND_NYG_2018-12-23
DET,2018-12-23,3,Sun,15,16,,MIN,L 9-27,3,3,3,2,2,0,DET_MIN_2018-12-23
BUF,2018-12-23,3,Sun,15,16,@,NWE,L 12-24,3,3,3,1,1,0,BUF_NWE_2018-12-23
NOR,2018-12-23,3,Sun,15,16,,PIT,W 31-28,3,2,2,2,2,0,NOR_PIT_2018-12-23
CAR,2018-12-23,3,Sun,15,16,,ATL,L 10-24,3,3,3,1,1,0,CAR_ATL_2018-12-23
CIN,2018-12-23,3,Sun,15,16,@,CLE,L 18-26,3,3,2,2,2,0,CIN_CLE_2018-12-23
TAM,2018-12-23,3,Sun,15,16,@,DAL,L 20-27,3,3,3,2,2,0,TAM_DAL_2018-12-23
SEA,2018-12-23,3,Sun,15,16,,KAN,W 38-31,3,2,2,3,3,0,SEA_KAN_2018-12-23
WAS,2018-12-22,3,Sat,15,16,@,TEN,L 16-25,3,2,1,2,2,0,WAS_TEN_2018-12-22
LAR,2018-12-16,3,Sun,14,15,,PHI,L 23-30,3,3,3,4,3,0,LAR_PHI_2018-12-16
GNB,2018-12-16,3,Sun,14,15,@,CHI,L 17-24,3,3,3,1,1,0,GNB_CHI_2018-12-16
OAK,2018-12-16,3,Sun,14,15,@,CIN,L 16-30,3,3,3,3,3,0,OAK_CIN_2018-12-16
SFO,2018-12-16,3,Sun,14,15,,SEA,W 26-23 (OT),3,3,2,1,1,0,SFO_SEA_2018-12-16
HOU,2018-12-15,3,Sat,14,15,@,NYJ,W 29-22,3,3,1,1,1,0,HOU_NYJ_2018-12-15
KAN,2018-12-09,3,Sun,13,14,,BAL,W 27-24 (OT),3,3,3,1,1,0,KAN_BAL_2018-12-09
HOU,2018-12-09,3,Sun,13,14,,IND,L 21-24,3,3,3,1,1,0,HOU_IND_2018-12-09
PIT,2018-12-09,3,Sun,13,14,@,OAK,L 21-24,3,3,3,1,1,0,PIT_OAK_2018-12-09
BUF,2018-12-09,3,Sun,13,14,,NYJ,L 23-27,3,3,3,2,2,0,BUF_NYJ_2018-12-09
DAL,2018-12-09,3,Sun,13,14,,PHI,W 29-23 (OT),3,3,2,1,1,0,DAL_PHI_2018-12-09
TAM,2018-12-09,3,Sun,13,14,,NOR,L 14-28,3,2,2,2,2,0,TAM_NOR_2018-12-09
OAK,2018-12-09,3,Sun,13,14,,PIT,W 24-21,3,3,3,2,0,0,OAK_PIT_2018-12-09
GNB,2018-12-09,3,Sun,13,14,,ATL,W 34-20,3,3,2,1,0,0,GNB_ATL_2018-12-09
IND,2018-12-09,3,Sun,13,14,@,HOU,W 24-21,3,3,3,0,0,0,IND_HOU_2018-12-09
CAR,2018-12-09,3,Sun,13,14,@,CLE,L 20-26,3,3,2,2,2,0,CAR_CLE_2018-12-09
PHI,2018-12-09,3,Sun,13,14,@,DAL,L 23-29 (OT),3,2,2,4,3,0,PHI_DAL_2018-12-09
BAL,2018-12-09,3,Sun,13,14,@,KAN,L 24-27 (OT),3,3,3,4,2,0,BAL_KAN_2018-12-09
WAS,2018-12-03,3,Mon,12,13,@,PHI,L 13-28,3,2,2,2,2,0,WAS_PHI_2018-12-03
CHI,2018-12-02,3,Sun,12,13,@,NYG,L 27-30 (OT),3,3,3,3,3,0,CHI_NYG_2018-12-02
CAR,2018-12-02,3,Sun,12,13,@,TAM,L 17-24,3,3,3,1,1,0,CAR_TAM_2018-12-02
CIN,2018-12-02,3,Sun,12,13,,DEN,L 10-24,3,3,3,2,1,0,CIN_DEN_2018-12-02
BUF,2018-12-02,3,Sun,12,13,@,MIA,L 17-21,3,3,3,0,0,0,BUF_MIA_2018-12-02
NYJ,2018-12-02,3,Sun,12,13,@,TEN,L 22-26,3,3,2,2,2,0,NYJ_TEN_2018-12-02
NYG,2018-12-02,3,Sun,12,13,,CHI,W 30-27 (OT),3,3,3,2,2,0,NYG_CHI_2018-12-02
DET,2018-12-02,3,Sun,12,13,,LAR,L 16-30,3,3,3,3,3,0,DET_LAR_2018-12-02
MIN,2018-12-02,3,Sun,12,13,@,NWE,L 10-24,3,3,3,2,1,0,MIN_NWE_2018-12-02
GNB,2018-11-25,3,Sun,11,12,@,MIN,L 17-24,3,3,3,3,1,0,GNB_MIN_2018-11-25
MIA,2018-11-25,3,Sun,11,12,@,IND,L 24-27,3,3,3,3,2,0,MIA_IND_2018-11-25
SFO,2018-11-25,3,Sun,11,12,@,TAM,L 9-27,3,3,3,2,2,0,SFO_TAM_2018-11-25
JAX,2018-11-25,3,Sun,11,12,@,BUF,L 21-24,3,3,3,1,1,0,JAX_BUF_2018-11-25
PIT,2018-11-25,3,Sun,11,12,@,DEN,L 17-24,3,3,3,1,1,0,PIT_DEN_2018-11-25
IND,2018-11-25,3,Sun,11,12,,MIA,W 27-24,3,3,3,1,1,0,IND_MIA_2018-11-25
CLE,2018-11-25,3,Sun,11,12,@,CIN,W 35-20,3,3,2,1,0,0,CLE_CIN_2018-11-25
NYJ,2018-11-25,3,Sun,11,12,,NWE,L 13-27,3,3,3,2,2,0,NYJ_NWE_2018-11-25
CAR,2018-11-25,3,Sun,11,12,,SEA,L 27-30,3,3,3,3,3,0,CAR_SEA_2018-11-25
SEA,2018-11-25,3,Sun,11,12,@,CAR,W 30-27,3,3,3,3,2,0,SEA_CAR_2018-11-25
BUF,2018-11-25,3,Sun,11,12,,JAX,W 24-21,3,3,3,1,0,0,BUF_JAX_2018-11-25
DAL,2018-11-22,3,Thu,11,12,,WAS,W 31-23,3,3,2,1,1,0,DAL_WAS_2018-11-22
DET,2018-11-22,3,Thu,11,12,,CHI,L 16-23,3,2,2,1,1,0,DET_CHI_2018-11-22
HOU,2018-11-18,3,Sun,10,11,@,WAS,W 23-21,3,3,3,1,0,0,HOU_WAS_2018-11-18
LAC,2018-11-18,3,Sun,10,11,,DEN,L 22-23,3,2,2,1,1,0,LAC_DEN_2018-11-18
OAK,2018-11-18,3,Sun,10,11,@,ARI,W 23-21,3,3,3,0,0,0,OAK_ARI_2018-11-18
BAL,2018-11-18,3,Sun,10,11,,CIN,W 24-21,3,3,3,1,0,0,BAL_CIN_2018-11-18
JAX,2018-11-18,3,Sun,10,11,,PIT,L 16-20,3,2,2,0,0,0,JAX_PIT_2018-11-18
DET,2018-11-18,3,Sun,10,11,,CAR,W 20-19,3,2,1,1,0,0,DET_CAR_2018-11-18
SEA,2018-11-15,3,Thu,10,11,,GNB,W 27-24,3,3,3,2,1,0,SEA_GNB_2018-11-15
GNB,2018-11-15,3,Thu,10,11,@,SEA,L 24-27,3,3,3,2,2,0,GNB_SEA_2018-11-15
SFO,2018-11-12,3,Mon,10,10,,NYG,L 23-27,3,3,3,2,2,0,SFO_NYG_2018-11-12
CHI,2018-11-11,3,Sun,9,10,,DET,W 34-22,3,1,1,1,1,0,CHI_DET_2018-11-11
IND,2018-11-11,3,Sun,9,10,,JAX,W 29-26,3,3,2,3,2,0,IND_JAX_2018-11-11
PHI,2018-11-11,3,Sun,9,10,,DAL,L 20-27,3,3,3,3,2,0,PHI_DAL_2018-11-11
ARI,2018-11-11,3,Sun,9,10,@,KAN,L 14-26,3,2,2,2,2,0,ARI_KAN_2018-11-11
PIT,2018-11-08,3,Thu,9,10,,CAR,W 52-21,3,3,3,0,0,0,PIT_CAR_2018-11-08
DET,2018-11-04,3,Sun,8,9,@,MIN,L 9-24,3,3,3,1,1,0,DET_MIN_2018-11-04
BAL,2018-11-04,3,Sun,9,9,,PIT,L 16-23,3,3,2,1,1,0,BAL_PIT_2018-11-04
KAN,2018-11-04,3,Sun,9,9,@,CLE,W 37-21,3,0,0,1,1,0,KAN_CLE_2018-11-04
CAR,2018-10-28,3,Sun,7,8,,BAL,W 36-21,3,3,3,0,0,0,CAR_BAL_2018-10-28
NOR,2018-10-28,3,Sun,7,8,@,MIN,W 30-20,3,3,2,0,0,0,NOR_MIN_2018-10-28
JAX,2018-10-28,3,Sun,8,8,,PHI,L 18-24,3,3,3,1,1,0,JAX_PHI_2018-10-28
KAN,2018-10-28,3,Sun,8,8,,DEN,W 30-23,3,2,2,2,1,0,KAN_DEN_2018-10-28
LAR,2018-10-28,3,Sun,8,8,,GNB,W 29-27,3,3,3,2,2,0,LAR_GNB_2018-10-28
NYJ,2018-10-28,3,Sun,8,8,@,CHI,L 10-24,3,3,3,2,1,0,NYJ_CHI_2018-10-28
GNB,2018-10-28,3,Sun,7,8,@,LAR,L 27-29,3,1,1,2,2,1,GNB_LAR_2018-10-28
MIN,2018-10-28,3,Sun,8,8,,NOR,L 20-30,3,3,3,3,3,0,MIN_NOR_2018-10-28
NOR,2018-10-21,3,Sun,6,7,@,BAL,W 24-23,3,3,2,1,1,0,NOR_BAL_2018-10-21
MIA,2018-10-21,3,Sun,7,7,,DET,L 21-32,3,2,2,4,4,0,MIA_DET_2018-10-21
CLE,2018-10-21,3,Sun,7,7,@,TAM,L 23-26 (OT),3,3,2,3,2,0,CLE_TAM_2018-10-21
DET,2018-10-21,3,Sun,6,7,@,MIA,W 32-21,3,3,3,1,0,0,DET_MIA_2018-10-21
BAL,2018-10-21,3,Sun,7,7,,NOR,L 23-24,3,3,3,1,1,0,BAL_NOR_2018-10-21
PHI,2018-10-21,3,Sun,7,7,,CAR,L 17-21,3,2,1,0,0,0,PHI_CAR_2018-10-21
TAM,2018-10-21,3,Sun,6,7,,CLE,W 26-23 (OT),3,3,3,0,0,1,TAM_CLE_2018-10-21
SFO,2018-10-15,3,Mon,6,6,@,GNB,L 30-33,3,3,3,4,4,0,SFO_GNB_2018-10-15
GNB,2018-10-15,3,Mon,6,6,,SFO,W 33-30,3,3,3,3,3,0,GNB_SFO_2018-10-15
TEN,2018-10-14,3,Sun,6,6,,BAL,L 0-21,3,3,3,0,0,0,TEN_BAL_2018-10-14
ARI,2018-10-14,3,Sun,6,6,@,MIN,L 17-27,3,3,3,2,2,0,ARI_MIN_2018-10-14
IND,2018-10-14,3,Sun,6,6,@,NYJ,L 34-42,3,3,3,7,7,0,IND_NYJ_2018-10-14
CHI,2018-10-14,3,Sun,5,6,@,MIA,L 28-31 (OT),3,2,2,3,3,0,CHI_MIA_2018-10-14
PIT,2018-10-14,3,Sun,6,6,@,CIN,W 28-21,3,3,3,0,0,0,PIT_CIN_2018-10-14
OAK,2018-10-14,3,Sun,6,6,,SEA,L 3-27,3,3,3,2,2,0,OAK_SEA_2018-10-14
CIN,2018-10-14,3,Sun,6,6,,PIT,L 21-28,3,2,2,2,2,0,CIN_PIT_2018-10-14
CAR,2018-10-07,3,Sun,4,5,,NYG,W 33-31,3,2,2,3,3,0,CAR_NYG_2018-10-07
OAK,2018-10-07,3,Sun,5,5,@,LAC,L 10-26,3,3,2,3,2,0,OAK_LAC_2018-10-07
DET,2018-10-07,3,Sun,5,5,,GNB,W 31-23,3,1,0,5,1,0,DET_GNB_2018-10-07
ARI,2018-10-07,3,Sun,5,5,@,SFO,W 28-18,3,0,0,1,0,0,ARI_SFO_2018-10-07
MIA,2018-10-07,3,Sun,5,5,@,CIN,L 17-27,3,3,3,3,2,0,MIA_CIN_2018-10-07
NYG,2018-10-07,3,Sun,5,5,@,CAR,L 31-33,3,3,3,4,4,0,NYG_CAR_2018-10-07
JAX,2018-10-07,3,Sun,5,5,@,KAN,L 14-30,3,3,3,3,3,0,JAX_KAN_2018-10-07
NWE,2018-10-04,3,Thu,5,5,,IND,W 38-24,3,3,3,2,1,0,NWE_IND_2018-10-04
DEN,2018-10-01,3,Mon,4,4,,KAN,L 23-27,3,3,3,2,2,0,DEN_KAN_2018-10-01
DAL,2018-09-30,3,Sun,4,4,,DET,W 26-24,3,3,3,1,1,0,DAL_DET_2018-09-30
SFO,2018-09-30,3,Sun,4,4,@,LAC,L 27-29,3,2,0,4,3,0,SFO_LAC_2018-09-30
LAC,2018-09-30,3,Sun,4,4,,SFO,W 29-27,3,3,3,2,2,0,LAC_SFO_2018-09-30
PHI,2018-09-30,3,Sun,4,4,@,TEN,L 23-26 (OT),3,2,2,2,2,0,PHI_TEN_2018-09-30
NYG,2018-09-30,3,Sun,4,4,,NOR,L 18-33,3,3,3,4,4,0,NYG_NOR_2018-09-30
NYJ,2018-09-30,3,Sun,4,4,@,JAX,L 12-31,3,2,2,3,3,1,NYJ_JAX_2018-09-30
LAR,2018-09-27,3,Thu,4,4,,MIN,W 38-31,3,2,2,3,3,0,LAR_MIN_2018-09-27
PIT,2018-09-24,3,Mon,3,3,@,TAM,W 30-27,3,3,3,2,2,0,PIT_TAM_2018-09-24
HOU,2018-09-23,3,Sun,3,3,,NYG,L 22-27,3,3,3,2,2,0,HOU_NYG_2018-09-23
DEN,2018-09-23,3,Sun,3,3,@,BAL,L 14-27,3,3,3,3,2,0,DEN_BAL_2018-09-23
LAR,2018-09-23,3,Sun,3,3,,LAC,W 35-23,3,3,2,1,1,0,LAR_LAC_2018-09-23
MIN,2018-09-23,3,Sun,3,3,,BUF,L 6-27,3,3,3,2,2,0,MIN_BUF_2018-09-23
KAN,2018-09-23,3,Sun,3,3,,SFO,W 38-27,3,2,1,2,2,0,KAN_SFO_2018-09-23
CAR,2018-09-23,3,Sun,3,3,,CIN,W 31-21,3,3,3,1,0,0,CAR_CIN_2018-09-23
DAL,2018-09-23,3,Sun,3,3,@,SEA,L 13-24,3,3,3,1,1,0,DAL_SEA_2018-09-23
SEA,2018-09-17,3,Mon,2,2,@,CHI,L 17-24,3,3,3,1,1,0,SEA_CHI_2018-09-17
WAS,2018-09-16,3,Sun,2,2,,IND,L 9-21,3,3,3,0,0,0,WAS_IND_2018-09-16
SFO,2018-09-16,3,Sun,2,2,,DET,W 30-27,3,3,3,2,2,0,SFO_DET_2018-09-16
TAM,2018-09-16,3,Sun,2,2,,PHI,W 27-21,3,3,3,1,0,0,TAM_PHI_2018-09-16
NYJ,2018-09-16,3,Sun,2,2,,MIA,L 12-20,3,3,2,0,0,0,NYJ_MIA_2018-09-16
DET,2018-09-16,3,Sun,2,2,@,SFO,L 27-30,3,3,3,3,3,0,DET_SFO_2018-09-16
ATL,2018-09-16,3,Sun,2,2,,CAR,W 31-24,3,3,3,1,1,0,ATL_CAR_2018-09-16
CIN,2018-09-13,3,Thu,2,2,,BAL,W 34-23,3,2,2,1,1,0,CIN_BAL_2018-09-13
OAK,2018-09-10,3,Mon,1,1,,LAR,L 13-33,3,3,3,5,4,0,OAK_LAR_2018-09-10
ARI,2018-09-09,3,Sun,1,1,,WAS,L 6-24,3,3,3,1,1,0,ARI_WAS_2018-09-09
SFO,2018-09-09,3,Sun,1,1,@,MIN,L 16-24,3,3,3,1,1,0,SFO_MIN_2018-09-09
KAN,2018-09-09,3,Sun,1,1,@,LAC,W 38-28,3,0,0,3,2,0,KAN_LAC_2018-09-09
SEA,2018-09-09,3,Sun,1,1,@,DEN,L 24-27,3,3,3,2,2,0,SEA_DEN_2018-09-09
TEN,2018-09-09,3,Sun,1,1,@,MIA,L 20-27,3,3,3,2,2,0,TEN_MIA_2018-09-09
CHI,2018-09-09,3,Sun,1,1,@,GNB,L 23-24,3,3,3,1,1,0,CHI_GNB_2018-09-09
HOU,2018-09-09,3,Sun,1,1,@,NWE,L 20-27,3,3,3,2,2,0,HOU_NWE_2018-09-09
DEN,2018-09-09,3,Sun,1,1,,SEA,W 27-24,3,3,3,2,1,0,DEN_SEA_2018-09-09
CLE,2018-09-09,3,Sun,1,1,,PIT,T 21-21 (OT),3,3,3,1,0,0,CLE_PIT_2018-09-09
PIT,2018-09-09,3,Sun,1,1,@,CLE,T 21-21 (OT),3,3,3,1,0,0,PIT_CLE_2018-09-09
TAM,2017-12-31,3,Sun,16,17,,NOR,W 31-24,3,3,3,1,1,0,TAM_NOR_2017-12-31
NYJ,2017-12-31,3,Sun,16,17,@,NWE,L 6-26,3,3,3,1,1,1,NYJ_NWE_2017-12-31
ARI,2017-12-31,3,Sun,16,17,@,SEA,W 26-24,3,3,3,2,1,0,ARI_SEA_2017-12-31
PIT,2017-12-31,3,Sun,16,17,,CLE,W 28-24,3,3,3,1,1,0,PIT_CLE_2017-12-31
DEN,2017-12-31,3,Sun,16,17,,KAN,L 24-27,3,3,3,2,2,0,DEN_KAN_2017-12-31
CIN,2017-12-31,3,Sun,16,17,@,BAL,W 31-27,3,3,3,2,2,0,CIN_BAL_2017-12-31
CHI,2017-12-31,3,Sun,16,17,@,MIN,L 10-23,3,3,3,1,0,1,CHI_MIN_2017-12-31
OAK,2017-12-31,3,Sun,16,17,@,LAC,L 10-30,3,4,3,2,1,0,OAK_LAC_2017-12-31
KAN,2017-12-31,3,Sun,16,17,@,DEN,W 27-24,3,3,3,1,1,0,KAN_DEN_2017-12-31
DAL,2017-12-24,3,Sun,15,16,,SEA,L 12-21,3,3,3,0,0,0,DAL_SEA_2017-12-24
DEN,2017-12-24,3,Sun,15,16,@,WAS,L 11-27,3,3,3,2,2,0,DEN_WAS_2017-12-24
NYG,2017-12-24,3,Sun,15,16,@,ARI,L 0-23,3,3,2,1,1,0,NYG_ARI_2017-12-24
CLE,2017-12-24,3,Sun,15,16,@,CHI,L 3-20,3,3,2,0,0,0,CLE_CHI_2017-12-24
ATL,2017-12-18,3,Mon,14,15,@,TAM,W 24-21,3,3,3,1,0,0,ATL_TAM_2017-12-18
PIT,2017-12-17,3,Sun,14,15,,NWE,L 24-27,3,2,1,2,2,0,PIT_NWE_2017-12-17
NWE,2017-12-17,3,Sun,14,15,@,PIT,W 27-24,3,3,3,1,1,0,NWE_PIT_2017-12-17
CLE,2017-12-17,3,Sun,14,15,,BAL,L 10-27,3,3,3,2,2,0,CLE_BAL_2017-12-17
MIA,2017-12-17,3,Sun,14,15,@,BUF,L 16-24,3,3,3,1,1,0,MIA_BUF_2017-12-17
CAR,2017-12-17,3,Sun,14,15,,GNB,W 31-24,3,3,3,1,1,0,CAR_GNB_2017-12-17
LAC,2017-12-16,3,Sat,14,15,@,KAN,L 13-30,3,3,3,4,3,0,LAC_KAN_2017-12-16
IND,2017-12-14,3,Thu,14,15,,DEN,L 13-25,3,2,2,2,1,0,IND_DEN_2017-12-14
NWE,2017-12-11,3,Mon,13,14,@,MIA,L 20-27,3,3,3,2,2,0,NWE_MIA_2017-12-11
JAX,2017-12-10,3,Sun,13,14,,SEA,W 30-24,3,3,3,2,1,0,JAX_SEA_2017-12-10
GNB,2017-12-10,3,Sun,13,14,@,CLE,W 27-21 (OT),3,3,3,0,0,0,GNB_CLE_2017-12-10
SEA,2017-12-10,3,Sun,13,14,@,JAX,L 24-30,3,3,3,3,3,0,SEA_JAX_2017-12-10
TAM,2017-12-10,3,Sun,13,14,,DET,L 21-24,3,3,3,1,1,0,TAM_DET_2017-12-10
WAS,2017-12-10,3,Sun,13,14,@,LAC,L 13-30,3,3,3,3,3,0,WAS_LAC_2017-12-10
DET,2017-12-10,3,Sun,13,14,@,TAM,W 24-21,3,3,3,0,0,0,DET_TAM_2017-12-10
ARI,2017-12-03,3,Sun,12,13,,LAR,L 16-32,3,3,2,4,4,0,ARI_LAR_2017-12-03
PHI,2017-12-03,3,Sun,12,13,@,SEA,L 10-24,3,3,3,1,1,0,PHI_SEA_2017-12-03
NOR,2017-12-03,3,Sun,12,13,,CAR,W 31-21,3,3,3,0,0,0,NOR_CAR_2017-12-03
IND,2017-12-03,3,Sun,12,13,@,JAX,L 10-30,3,1,1,3,3,0,IND_JAX_2017-12-03
BAL,2017-12-03,3,Sun,12,13,,DET,W 44-20,3,3,2,1,0,0,BAL_DET_2017-12-03
NYG,2017-12-03,3,Sun,12,13,@,OAK,L 17-24,3,3,3,1,1,0,NYG_OAK_2017-12-03
TAM,2017-12-03,3,Sun,12,13,@,GNB,L 20-26 (OT),3,2,2,2,2,0,TAM_GNB_2017-12-03
HOU,2017-12-03,3,Sun,12,13,@,TEN,L 13-24,3,3,3,2,1,0,HOU_TEN_2017-12-03
CLE,2017-11-26,3,Sun,11,12,@,CIN,L 16-30,3,3,3,3,3,0,CLE_CIN_2017-11-26
SFO,2017-11-26,3,Sun,11,12,,SEA,L 13-24,3,3,3,2,1,0,SFO_SEA_2017-11-26
ARI,2017-11-26,3,Sun,11,12,,JAX,W 27-24,3,3,3,1,1,0,ARI_JAX_2017-11-26
DEN,2017-11-26,3,Sun,11,12,@,OAK,L 14-21,3,3,3,1,0,0,DEN_OAK_2017-11-26
CAR,2017-11-26,3,Sun,11,12,@,NYJ,W 35-27,3,3,3,2,2,0,CAR_NYJ_2017-11-26
CHI,2017-11-26,3,Sun,11,12,@,PHI,L 3-31,3,4,4,1,1,0,CHI_PHI_2017-11-26
ATL,2017-11-20,3,Mon,10,11,@,SEA,W 34-31,3,2,2,4,3,0,ATL_SEA_2017-11-20
DEN,2017-11-19,3,Sun,10,11,,CIN,L 17-20,3,3,2,0,0,0,DEN_CIN_2017-11-19
WAS,2017-11-19,3,Sun,10,11,@,NOR,L 31-34 (OT),3,2,2,4,4,0,WAS_NOR_2017-11-19
OAK,2017-11-19,3,Sun,10,11,,NWE,L 8-33,3,3,3,4,4,0,OAK_NWE_2017-11-19
LAR,2017-11-19,3,Sun,10,11,@,MIN,L 7-24,3,3,3,3,1,0,LAR_MIN_2017-11-19
CHI,2017-11-19,3,Sun,10,11,,DET,L 24-27,3,3,3,2,2,0,CHI_DET_2017-11-19
MIA,2017-11-19,3,Sun,10,11,,TAM,L 20-30,3,3,3,4,3,0,MIA_TAM_2017-11-19
LAC,2017-11-19,3,Sun,10,11,,BUF,W 54-24,3,3,3,1,1,0,LAC_BUF_2017-11-19
HOU,2017-11-19,3,Sun,10,11,,ARI,W 31-21,3,3,3,0,0,0,HOU_ARI_2017-11-19
DET,2017-11-19,3,Sun,10,11,@,CHI,W 27-24,3,3,3,2,1,0,DET_CHI_2017-11-19
CAR,2017-11-13,3,Mon,10,10,,MIA,W 45-21,3,3,3,0,0,0,CAR_MIA_2017-11-13
TEN,2017-11-12,3,Sun,9,10,,CIN,W 24-20,3,3,2,0,0,0,TEN_CIN_2017-11-12
HOU,2017-11-12,3,Sun,9,10,@,LAR,L 7-33,3,3,3,4,4,0,HOU_LAR_2017-11-12
DAL,2017-11-12,3,Sun,9,10,@,ATL,L 7-27,3,3,3,2,2,0,DAL_ATL_2017-11-12
DET,2017-11-12,3,Sun,9,10,,CLE,W 38-24,3,3,3,1,1,0,DET_CLE_2017-11-12
MIN,2017-11-12,3,Sun,9,10,@,WAS,W 38-30,3,3,3,3,3,0,MIN_WAS_2017-11-12
CIN,2017-11-12,3,Sun,9,10,@,TEN,L 20-24,3,3,3,2,1,0,CIN_TEN_2017-11-12
GNB,2017-11-06,3,Mon,8,9,,DET,L 17-30,3,3,3,4,3,0,GNB_DET_2017-11-06
MIA,2017-11-05,3,Sun,8,9,,OAK,L 24-27,3,3,3,2,2,0,MIA_OAK_2017-11-05
OAK,2017-11-05,3,Sun,9,9,@,MIA,W 27-24,3,2,1,1,1,0,OAK_MIA_2017-11-05
BAL,2017-11-05,3,Sun,9,9,@,TEN,L 20-23,3,3,2,1,1,0,BAL_TEN_2017-11-05
NYJ,2017-11-02,3,Thu,9,9,,BUF,W 34-21,3,3,3,0,0,0,NYJ_BUF_2017-11-02
IND,2017-10-29,3,Sun,8,8,@,CIN,L 23-24,3,3,3,2,1,0,IND_CIN_2017-10-29
WAS,2017-10-29,3,Sun,7,8,,DAL,L 19-33,3,3,3,5,4,0,WAS_DAL_2017-10-29
CLE,2017-10-29,3,Sun,8,8,,MIN,L 16-33,3,2,1,4,4,0,CLE_MIN_2017-10-29
PHI,2017-10-23,3,Mon,7,7,,WAS,W 34-24,3,3,3,1,1,0,PHI_WAS_2017-10-23
ARI,2017-10-22,3,Sun,7,7,@,LAR,L 0-33,3,3,3,4,4,0,ARI_LAR_2017-10-22
GNB,2017-10-22,3,Sun,7,7,,NOR,L 17-26,3,3,2,2,2,0,GNB_NOR_2017-10-22
NYG,2017-10-22,3,Sun,7,7,,SEA,L 7-24,3,3,3,1,1,0,NYG_SEA_2017-10-22
IND,2017-10-22,3,Sun,7,7,,JAX,L 0-27,3,3,3,2,2,0,IND_JAX_2017-10-22
DEN,2017-10-22,3,Sun,6,7,@,LAC,L 0-21,3,3,3,0,0,0,DEN_LAC_2017-10-22
BUF,2017-10-22,3,Sun,6,7,,TAM,W 30-27,3,3,3,2,2,0,BUF_TAM_2017-10-22
TAM,2017-10-22,3,Sun,6,7,@,BUF,L 27-30,3,3,3,4,3,0,TAM_BUF_2017-10-22
OAK,2017-10-19,3,Thu,7,7,,KAN,W 31-30,3,3,3,3,3,0,OAK_KAN_2017-10-19
IND,2017-10-16,3,Mon,6,6,@,TEN,L 22-36,3,3,3,5,5,0,IND_TEN_2017-10-16
JAX,2017-10-15,3,Sun,6,6,,LAR,L 17-27,3,3,3,2,2,0,JAX_LAR_2017-10-15
NYJ,2017-10-15,3,Sun,6,6,,NWE,L 17-24,3,3,3,2,1,0,NYJ_NWE_2017-10-15
SFO,2017-10-15,3,Sun,6,6,@,WAS,L 24-26,3,3,2,2,2,0,SFO_WAS_2017-10-15
WAS,2017-10-15,3,Sun,5,6,,SFO,W 26-24,3,3,3,2,1,0,WAS_SFO_2017-10-15
BAL,2017-10-15,3,Sun,6,6,,CHI,L 24-27 (OT),3,3,3,2,2,0,BAL_CHI_2017-10-15
CAR,2017-10-12,3,Thu,6,6,,PHI,L 23-28,3,2,2,2,2,0,CAR_PHI_2017-10-12
