,game_id,Team,Date,Day,G#,Week,Opp,Result,home,PtsO_points,PtDif_points,PC_points,vs. Line_vegas,Over/Under_vegas,OU Result_vegas,Att_pass,Inc_pass,Cmp%_pass,Yds_pass,TD_pass,Int_pass,TD%_pass,Int%_pass,Rate_pass,Sk_pass,Yds_pass,Sk%_pass,Y/A_pass,NY/A_pass,AY/A_pass,ANY/A_pass,Y/C_pass,Yds_rush,Y/A_rush,TD_rush,Ply_total,Y/P_total,DPly_total,DY/P_total,TO_total,ToP_total,Time_total,Yds_penalty,OppPen_penalty,OppYds_penalty,CombPen_penalty,CombPenYds_penalty,Rsh_downs,Pass_downs,Pen_downs,3DAtt_downs,3DConv_downs,3D%_downs,4DAtt_downs,4DConv_downs,4D%_downs,Att_opp_passing,Cmp%_opp_passing,Yds_opp_passing,TD_opp_passing,Sk_opp_passing,Yds_opp_passing,Int_opp_passing,Rate_opp_passing,Yds_opp_rushing,Y/A_opp_rushing,TD_opp_rushing,TO_opp_totals,Rush_opp_downs,Pass_opp_downs,Pen_opp_downs,Opp3DAtt_opp_downs,Opp3DConv_opp_downs,Opp3D%_opp_downs,Opp4DAtt_opp_downs,Opp4DConv_opp_downs,Opp4D%_opp_downs,XPA_opp_scoring,XPM_opp_scoring,Att_opp_scoring,Md_opp_scoring,Sfty_opp_scoring
30,SFO_NOR_2019-12-08,SFO,2019-12-08,Sun,13,14,NOR,W 48-46,0,46,2,94,covered,45.0,over,36,9,75.0,354,5,1,13.9,2.8,137.0,3,30,7.69,9.8,9.08,11.36,10.49,13.1,162,6.8,1,63,8.19,68,6.84,1,28:37,3:23,67,5,50,15,117,7,15,3,12,6,50.0,1,1,100.0,41,70.7,349,5,0,0,0,136.1,116,4.3,1,1,9,17,2,11,5,45.5,3,2,66.7,4,4,2,2,0
31,LAR_SFO_2018-12-30,LAR,2018-12-30,Sun,16,17,SFO,W 48-32,1,32,16,80,,,,29,12,58.6,222,4,0,13.8,0.0,122.4,0,0,0.00,7.7,7.66,10.41,10.41,13.1,155,3.7,1,71,5.31,58,6.74,0,31:50,3:15,57,5,41,11,98,12,13,3,16,10,62.5,1,0,0.0,33,69.7,264,3,3,18,3,85.9,127,5.8,1,4,5,13,4,11,3,27.3,1,1,100.0,3,3,1,1,0
32,NOR_PHI_2018-11-18,NOR,2018-11-18,Sun,10,11,PHI,W 48-7,1,7,41,55,,,,32,9,71.9,373,4,0,12.5,0.0,150.1,0,0,0.00,11.7,11.66,14.16,14.16,16.2,173,4.7,2,69,7.91,48,4.08,0,37:34,3:07,69,6,49,14,118,6,21,1,11,6,54.5,1,1,100.0,33,57.6,138,0,3,18,3,29.6,,,,,,,,,,,,,,,,,,
33,CHI_TAM_2018-09-30,CHI,2018-09-30,Sun,4,4,TAM,W 48-10,1,10,38,58,covered,46.0,over,26,7,73.1,344,6,0,23.1,0.0,154.6,1,10,3.70,13.2,12.74,17.85,17.19,18.1,139,4.5,0,58,8.33,60,5.18,0,28:06,2:57,38,11,99,15,137,10,15,3,8,4,50.0,0,0,,38,65.8,251,1,4,20,3,60.3,,,,3,3,12,1,12,3,25.0,2,2,100.0,,,,,
34,NYJ_DET_2018-09-10,NYJ,2018-09-10,Mon,1,1,DET,W 48-17,0,17,31,65,covered,44.0,over,,,,,,,,,,,,,,,,,,169,4.7,2,59,5.92,67,5.06,2,33:07,3:18,49,3,15,10,64,7,10,1,14,6,42.9,3,2,66.7,52,55.8,300,1,0,0,5,39.4,,,,5,2,15,3,13,3,23.1,2,0,0.0,2,2,3,1,0
35,TAM_NOR_2018-09-09,TAM,2018-09-09,Sun,1,1,NOR,W 48-40,0,40,8,88,covered,50.0,over,28,7,75.0,417,4,0,14.3,0.0,156.2,0,0,0.00,14.9,14.89,17.75,17.75,19.9,112,3.3,1,62,8.53,59,8.05,0,32:09,3:13,70,8,77,15,147,5,17,4,13,8,61.5,0,0,,45,82.2,432,3,1,7,0,128.9,,,,2,5,19,2,9,4,44.4,1,1,100.0,3,3,1,1,0
36,LAC_CLE_2021-10-10,LAC,2021-10-10,Sun,5,5,CLE,W 47-42,1,42,5,89,covered,46.5,over,43,17,60.5,381,4,0,9.3,0.0,122.0,2,17,4.44,8.9,8.47,10.72,10.24,14.7,112,4.9,3,68,7.25,68,7.81,1,23:32,3:21,49,7,77,13,126,9,14,4,13,6,46.2,3,3,100.0,32,71.9,301,2,1,4,0,122.0,230,6.6,3,0,10,12,3,12,4,33.3,3,1,33.3,4,4,2,2,0
37,TAM_DET_2020-12-26,TAM,2020-12-26,Sat,15,16,DET,W 47-7,0,7,40,54,,,,42,11,73.8,477,6,0,14.3,0.0,151.9,2,14,4.55,11.4,10.84,14.21,13.57,15.4,111,4.3,1,70,8.40,50,3.72,0,35:53,3:02,65,11,117,19,182,5,22,3,10,4,40.0,2,1,50.0,31,67.7,113,0,4,39,1,60.3,,,,,,,,,,,,,,,,,,
38,BAL_CLE_2020-12-14,BAL,2020-12-14,Mon,13,14,CLE,W 47-42,0,42,5,89,covered,46.0,over,,,,,,,,,,,,,,,,,,231,7.2,5,57,6.75,76,6.49,0,28:03,3:27,69,8,75,16,144,13,9,3,11,6,54.5,1,1,100.0,48,60.4,355,2,0,0,1,88.5,138,4.9,4,1,10,18,5,12,5,41.7,2,2,100.0,5,4,1,0,0
39,DAL_WAS_2019-12-29,DAL,2019-12-29,Sun,16,17,WAS,W 47-16,1,16,31,63,,,,33,10,69.7,294,4,0,12.1,0.0,138.0,3,9,8.33,8.9,8.17,11.33,10.39,12.8,223,6.2,1,72,7.18,59,4.59,1,34:15,3:14,81,2,10,12,91,9,13,0,15,8,53.3,1,1,100.0,37,48.6,183,1,2,23,1,61.0,88,4.4,0,2,,,,,,,,,,,,,,
