Team,Date,Att,Day,G#,Week,,Opp,Result,Att,Yds,Y/A,TD,game_id
LAR,2018-12-30,42,Sun,16,17,,SFO,W 48-32,42,155,3.7,1,LAR_SFO_2018-12-30
SEA,2018-12-10,42,Mon,13,14,,MIN,W 21-7,42,214,5.1,1,SEA_MIN_2018-12-10
SEA,2018-10-28,42,Sun,7,8,@,DET,W 28-14,42,176,4.2,1,SEA_DET_2018-10-28
DAL,2018-10-14,42,Sun,6,6,,JAX,W 40-7,42,206,4.9,2,DAL_JAX_2018-10-14
WAS,2018-09-09,42,Sun,1,1,@,ARI,W 24-6,42,182,4.3,1,WAS_ARI_2018-09-09
CAR,2023-01-08,41,Sun,17,18,@,NOR,W 10-7,41,171,4.2,0,CAR_NOR_2023-01-08
WAS,2023-01-08,41,Sun,17,18,,DAL,W 26-6,41,151,3.7,1,WAS_DAL_2023-01-08
PIT,2023-01-01,41,Sun,16,17,@,BAL,W 16-13,41,198,4.8,0,PIT_BAL_2023-01-01
DAL,2022-12-18,41,Sun,14,15,@,JAX,L 34-40 (OT),41,154,3.8,1,DAL_JAX_2022-12-18
CHI,2022-11-20,41,Sun,11,11,@,ATL,L 24-27,41,160,3.9,2,CHI_ATL_2022-11-20
SFO,2022-11-13,41,Sun,9,10,,LAC,W 22-16,41,157,3.8,2,SFO_LAC_2022-11-13
CLE,2022-01-09,41,Sun,17,18,,CIN,W 21-16,41,205,5.0,1,CLE_CIN_2022-01-09
SEA,2022-01-02,41,Sun,16,17,,DET,W 51-29,41,265,6.5,2,SEA_DET_2022-01-02
PHI,2021-12-21,41,Tue,14,15,,WAS,W 27-17,41,238,5.8,2,PHI_WAS_2021-12-21
PHI,2021-12-05,41,Sun,13,13,@,NYJ,W 33-18,41,185,4.5,1,PHI_NYJ_2021-12-05
DEN,2021-11-07,41,Sun,9,9,@,DAL,W 30-16,41,190,4.6,2,DEN_DAL_2021-11-07
DAL,2021-09-27,41,Mon,3,3,,PHI,W 41-21,41,160,3.9,2,DAL_PHI_2021-09-27
BAL,2021-09-19,41,Sun,2,2,,KAN,W 36-35,41,251,6.1,3,BAL_KAN_2021-09-19
HOU,2021-09-12,41,Sun,1,1,,JAX,W 37-21,41,160,3.9,2,HOU_JAX_2021-09-12
TEN,2021-01-03,41,Sun,16,17,@,HOU,W 41-38,41,288,7.0,4,TEN_HOU_2021-01-03
CIN,2020-12-21,41,Mon,14,15,,PIT,W 27-17,41,152,3.7,2,CIN_PIT_2020-12-21
KAN,2020-12-20,41,Sun,14,15,@,NOR,W 32-29,41,179,4.4,1,KAN_NOR_2020-12-20
LVR,2020-12-17,41,Thu,14,15,,LAC,L 27-30 (OT),41,173,4.2,2,LVR_LAC_2020-12-17
CLE,2020-11-15,41,Sun,9,10,,HOU,W 10-7,41,231,5.6,1,CLE_HOU_2020-11-15
LVR,2020-11-15,41,Sun,9,10,,DEN,W 37-12,41,203,5.0,4,LVR_DEN_2020-11-15
NWE,2020-11-09,41,Mon,8,9,@,NYJ,W 30-27,41,159,3.9,3,NWE_NYJ_2020-11-09
MIN,2020-10-11,41,Sun,5,5,@,SEA,L 26-27,41,201,4.9,1,MIN_SEA_2020-10-11
BAL,2019-11-03,41,Sun,8,9,,NWE,W 37-20,41,210,5.1,3,BAL_NWE_2019-11-03
PHI,2019-10-27,41,Sun,8,8,@,BUF,W 31-13,41,218,5.3,3,PHI_BUF_2019-10-27
SFO,2019-10-13,41,Sun,5,6,@,LAR,W 20-7,41,99,2.4,2,SFO_LAR_2019-10-13
HOU,2019-10-13,41,Sun,6,6,@,KAN,W 31-24,41,192,4.7,3,HOU_KAN_2019-10-13
LAR,2018-12-23,41,Sun,15,16,@,ARI,W 31-9,41,269,6.6,3,LAR_ARI_2018-12-23
CIN,2018-12-16,41,Sun,14,15,,OAK,W 30-16,41,171,4.2,2,CIN_OAK_2018-12-16
CAR,2018-09-23,41,Sun,3,3,,CIN,W 31-21,41,230,5.6,2,CAR_CIN_2018-09-23
LVR,2022-11-27,40,Sun,11,12,@,SEA,W 40-34 (OT),40,283,7.1,2,LVR_SEA_2022-11-27
DAL,2022-11-20,40,Sun,10,11,@,MIN,W 40-3,40,151,3.8,2,DAL_MIN_2022-11-20
WAS,2022-11-20,40,Sun,11,11,@,HOU,W 23-10,40,153,3.8,1,WAS_HOU_2022-11-20
BAL,2022-11-07,40,Mon,9,9,@,NOR,W 27-13,40,188,4.7,2,BAL_NOR_2022-11-07
CHI,2022-11-06,40,Sun,9,9,,MIA,L 32-35,40,252,6.3,1,CHI_MIA_2022-11-06
ATL,2022-10-16,40,Sun,6,6,,SFO,W 28-14,40,168,4.2,1,ATL_SFO_2022-10-16
CHI,2022-09-25,40,Sun,3,3,,HOU,W 23-20,40,281,7.0,2,CHI_HOU_2022-09-25
TEN,2022-01-02,40,Sun,16,17,,MIA,W 34-3,40,198,5.0,2,TEN_MIA_2022-01-02
NYG,2022-01-02,40,Sun,16,17,@,CHI,L 3-29,40,161,4.0,0,NYG_CHI_2022-01-02
LVR,2021-12-26,40,Sun,15,16,,DEN,W 17-13,40,160,4.0,1,LVR_DEN_2021-12-26
WAS,2021-11-21,40,Sun,10,11,@,CAR,W 27-21,40,190,4.8,0,WAS_CAR_2021-11-21
BUF,2021-10-03,40,Sun,4,4,,HOU,W 40-0,40,199,5.0,2,BUF_HOU_2021-10-03
ARI,2021-10-03,40,Sun,4,4,@,LAR,W 37-20,40,216,5.4,2,ARI_LAR_2021-10-03
TEN,2021-09-19,40,Sun,2,2,@,SEA,W 33-30 (OT),40,212,5.3,3,TEN_SEA_2021-09-19
BAL,2020-12-27,40,Sun,15,16,,NYG,W 27-13,40,249,6.2,1,BAL_NYG_2020-12-27
TEN,2020-12-13,40,Sun,13,14,@,JAX,W 31-10,40,249,6.2,2,TEN_JAX_2020-12-13
CLE,2020-11-22,40,Sun,10,11,,PHI,W 22-17,40,137,3.4,1,CLE_PHI_2020-11-22
