Team,Date,Cmp,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,game_id
GNB,2020-09-13,32,Sun,1,1,@,MIN,W 43-34,32,44,12,72.7,364,4,0,9.1,0.0,127.5,0,0,0.00,8.3,8.27,10.09,10.09,11.4,GNB_MIN_2020-09-13
ATL,2019-12-22,32,Sun,15,16,,JAX,W 24-12,32,45,13,71.1,383,1,2,2.2,4.4,85.8,1,1,2.17,8.5,8.33,6.96,6.80,12.0,ATL_JAX_2019-12-22
DAL,2019-11-28,32,Thu,12,13,,BUF,L 15-26,32,49,17,65.3,323,2,1,4.1,2.0,91.8,4,32,7.55,6.6,6.09,6.49,6.00,10.1,DAL_BUF_2019-11-28
JAX,2019-11-24,32,Sun,11,12,@,TEN,L 20-42,32,48,16,66.7,252,0,0,0.0,0.0,81.2,3,20,5.88,5.3,4.94,5.25,4.94,7.9,JAX_TEN_2019-11-24
MIA,2019-11-17,32,Sun,10,11,,BUF,L 20-37,32,45,13,71.1,280,0,0,0.0,0.0,91.2,7,43,13.46,6.2,5.38,6.22,5.38,8.8,MIA_BUF_2019-11-17
CIN,2019-10-27,32,Sun,8,8,@,LAR,L 10-24,32,52,20,61.5,297,1,0,1.9,0.0,86.1,5,32,8.77,5.7,5.21,6.10,5.56,9.3,CIN_LAR_2019-10-27
ATL,2019-10-06,32,Sun,5,5,@,HOU,L 32-53,32,46,14,69.6,316,3,1,6.5,2.2,102.6,2,14,4.17,6.9,6.58,7.20,6.90,9.9,ATL_HOU_2019-10-06
LAC,2019-10-06,32,Sun,5,5,,DEN,L 13-20,32,48,16,66.7,211,0,2,0.0,4.2,58.6,0,0,0.00,4.4,4.40,2.52,2.52,6.6,LAC_DEN_2019-10-06
SEA,2019-09-22,32,Sun,3,3,,NOR,L 27-33,32,50,18,64.0,406,2,0,4.0,0.0,102.6,0,0,0.00,8.1,8.12,8.92,8.92,12.7,SEA_NOR_2019-09-22
NOR,2019-09-09,32,Mon,1,1,,HOU,W 30-28,32,43,11,74.4,362,2,1,4.7,2.3,105.8,1,8,2.27,8.4,8.23,8.30,8.11,11.3,NOR_HOU_2019-09-09
ATL,2018-12-30,32,Sun,16,17,@,TAM,W 34-32,32,45,13,71.1,380,3,1,6.7,2.2,109.8,1,3,2.17,8.4,8.26,8.78,8.59,11.9,ATL_TAM_2018-12-30
MIN,2018-12-02,32,Sun,12,13,@,NWE,L 10-24,32,44,12,72.7,183,1,2,2.3,4.5,70.4,2,18,4.35,4.2,3.98,2.57,2.46,5.7,MIN_NWE_2018-12-02
PHI,2018-11-11,32,Sun,9,10,,DAL,L 20-27,32,44,12,72.7,350,2,1,4.5,2.3,102.5,2,10,4.35,8.0,7.61,7.84,7.50,10.9,PHI_DAL_2018-11-11
TAM,2018-10-21,32,Sun,6,7,,CLE,W 26-23 (OT),32,52,20,61.5,342,0,2,0.0,3.8,66.6,4,23,7.14,6.6,6.11,4.85,4.50,10.7,TAM_CLE_2018-10-21
PIT,2018-10-14,32,Sun,6,6,@,CIN,W 28-21,32,46,14,69.6,369,1,0,2.2,0.0,100.7,0,0,0.00,8.0,8.02,8.46,8.46,11.5,PIT_CIN_2018-10-14
GNB,2018-10-07,32,Sun,5,5,@,DET,L 23-31,32,52,20,61.5,423,3,0,5.8,0.0,108.0,4,19,7.14,8.1,7.55,9.29,8.63,13.2,GNB_DET_2018-10-07
CAR,2018-09-16,32,Sun,2,2,@,ATL,L 24-31,32,45,13,71.1,318,3,1,6.7,2.2,105.3,2,17,4.26,7.1,6.77,7.40,7.09,9.9,CAR_ATL_2018-09-16
BAL,2018-09-13,32,Thu,2,2,@,CIN,L 23-34,32,55,23,58.2,359,2,2,3.6,3.6,76.0,4,17,6.78,6.5,6.08,5.62,5.24,11.2,BAL_CIN_2018-09-13
SEA,2022-12-15,31,Thu,14,15,,SFO,L 13-21,31,44,13,70.5,207,1,0,2.3,0.0,90.9,3,31,6.38,4.7,4.40,5.16,4.83,6.7,SEA_SFO_2022-12-15
MIN,2022-12-11,31,Sun,13,14,@,DET,L 23-34,31,41,10,75.6,394,2,0,4.9,0.0,124.5,4,31,8.89,9.6,8.76,10.59,9.64,12.7,MIN_DET_2022-12-11
NYJ,2022-12-04,31,Sun,12,13,@,MIN,L 22-27,31,58,27,53.4,366,0,2,0.0,3.4,58.8,1,3,1.69,6.3,6.20,4.76,4.68,11.8,NYJ_MIN_2022-12-04
DET,2022-12-04,31,Sun,12,13,,JAX,W 40-14,31,41,10,75.6,337,2,0,4.9,0.0,115.9,2,3,4.65,8.2,7.84,9.20,8.77,10.9,DET_JAX_2022-12-04
MIN,2022-11-24,31,Thu,11,12,,NWE,W 33-26,31,38,7,81.6,301,3,1,7.9,2.6,116.0,1,9,2.56,7.9,7.72,8.32,8.10,9.7,MIN_NWE_2022-11-24
ARI,2022-10-30,31,Sun,8,8,@,MIN,L 26-34,31,44,13,70.5,297,3,2,6.8,4.5,95.5,4,29,8.33,6.8,6.19,6.07,5.56,9.6,ARI_MIN_2022-10-30
TAM,2022-09-25,31,Sun,3,3,,GNB,L 12-14,31,42,11,73.8,251,1,0,2.4,0.0,98.4,3,20,6.67,6.0,5.58,6.45,6.02,8.1,TAM_GNB_2022-09-25
ARI,2022-09-18,31,Sun,2,2,@,LVR,W 29-23 (OT),31,49,18,63.3,270,1,1,2.0,2.0,76.7,1,7,2.00,5.5,5.40,5.00,4.90,8.7,ARI_LVR_2022-09-18
