Team,Date,Cmp,Day,G#,Week,,Opp,Result,Cmp,Att,Cmp%,Yds,TD,Sk,Yds,Int,Rate,game_id
DET,2017-12-24,27,Sun,15,16,@,CIN,L 17-26,27,41,65.9,222,1,3,16,1,77.5,DET_CIN_2017-12-24
ARI,2017-12-24,27,Sun,15,16,,NYG,W 23-0,27,45,60.0,250,0,2,13,2,56.7,ARI_NYG_2017-12-24
ATL,2017-12-18,27,Mon,14,15,@,TAM,W 24-21,27,35,77.1,289,3,2,10,0,129.3,ATL_TAM_2017-12-18
CAR,2017-12-10,27,Sun,13,14,,MIN,W 31-24,27,44,61.4,256,2,6,24,2,73.7,CAR_MIN_2017-12-10
IND,2017-12-03,27,Sun,12,13,@,JAX,L 10-30,27,36,75.0,330,2,1,8,0,121.3,IND_JAX_2017-12-03
BAL,2017-12-03,27,Sun,12,13,,DET,W 44-20,27,34,79.4,294,1,3,22,2,88.0,BAL_DET_2017-12-03
TAM,2017-11-26,27,Sun,11,12,@,ATL,L 20-34,27,36,75.0,368,2,0,0,0,125.7,TAM_ATL_2017-11-26
ATL,2017-11-26,27,Sun,11,12,,TAM,W 34-20,27,44,61.4,279,0,1,4,0,79.6,ATL_TAM_2017-11-26
DAL,2017-11-23,27,Thu,11,12,,LAC,L 6-28,27,33,81.8,434,3,0,0,0,149.1,DAL_LAC_2017-11-23
ATL,2017-11-20,27,Mon,10,11,@,SEA,W 34-31,27,43,62.8,224,2,3,30,1,81.9,ATL_SEA_2017-11-20
NYG,2017-11-19,27,Sun,10,11,,KAN,W 12-9 (OT),27,41,65.9,229,0,1,1,3,49.7,NYG_KAN_2017-11-19
LAR,2017-11-19,27,Sun,10,11,@,MIN,L 7-24,27,38,71.1,280,1,0,0,0,100.8,LAR_MIN_2017-11-19
CLE,2017-10-29,27,Sun,8,8,,MIN,L 16-33,27,43,62.8,287,2,1,1,1,88.0,CLE_MIN_2017-10-29
PIT,2017-10-29,27,Sun,8,8,@,DET,W 20-15,27,45,60.0,411,0,2,12,0,90.1,PIT_DET_2017-10-29
GNB,2017-10-22,27,Sun,7,7,,NOR,L 17-26,27,38,71.1,324,1,1,7,2,83.7,GNB_NOR_2017-10-22
NYG,2017-10-22,27,Sun,7,7,,SEA,L 7-24,27,39,69.2,321,3,1,13,0,119.7,NYG_SEA_2017-10-22
MIN,2017-10-22,27,Sun,7,7,,BAL,W 24-16,27,39,69.2,144,1,5,42,0,83.7,MIN_BAL_2017-10-22
ARI,2017-10-15,27,Sun,6,6,,TAM,W 38-33,27,42,64.3,344,3,2,7,2,93.8,ARI_TAM_2017-10-15
WAS,2017-10-02,27,Mon,4,4,@,KAN,L 20-29,27,37,73.0,261,1,4,32,0,101.3,WAS_KAN_2017-10-02
NWE,2017-09-17,27,Sun,2,2,@,NOR,W 36-20,27,45,60.0,348,2,1,8,0,99.1,NWE_NOR_2017-09-17
MIN,2017-09-11,27,Mon,1,1,,NOR,W 29-19,27,37,73.0,284,1,1,7,0,103.9,MIN_NOR_2017-09-11
NOR,2017-09-11,27,Mon,1,1,@,MIN,L 19-29,27,32,84.4,341,3,1,5,0,142.3,NOR_MIN_2017-09-11
DET,2017-09-10,27,Sun,1,1,,ARI,W 35-23,27,48,56.3,263,1,1,5,3,52.7,DET_ARI_2017-09-10
BUF,2023-01-08,26,Sun,16,18,,NWE,W 35-23,26,40,65.0,234,3,1,9,3,74.4,BUF_NWE_2023-01-08
KAN,2023-01-01,26,Sun,16,17,,DEN,W 27-24,26,38,68.4,190,1,4,32,1,77.7,KAN_DEN_2023-01-01
LVR,2022-12-24,26,Sat,15,16,@,PIT,L 10-13,26,39,66.7,244,1,0,0,1,81.6,LVR_PIT_2022-12-24
CIN,2022-12-11,26,Sun,13,14,,CLE,W 23-10,26,43,60.5,273,1,2,3,1,77.0,CIN_CLE_2022-12-11
MIA,2022-11-27,26,Sun,11,12,,HOU,W 30-15,26,39,66.7,174,1,5,41,2,63.4,MIA_HOU_2022-11-27
NOR,2022-11-27,26,Sun,12,12,@,SFO,L 0-13,26,37,70.3,221,1,1,1,0,94.5,NOR_SFO_2022-11-27
MIN,2022-11-20,26,Sun,10,11,,DAL,L 3-40,26,30,86.7,307,2,0,0,0,131.5,MIN_DAL_2022-11-20
JAX,2022-11-13,26,Sun,10,10,@,KAN,L 17-27,26,35,74.3,331,4,0,0,1,129.6,JAX_KAN_2022-11-13
CLE,2022-11-13,26,Sun,9,10,@,MIA,L 17-39,26,33,78.8,296,3,1,6,0,134.3,CLE_MIA_2022-11-13
LAR,2022-11-13,26,Sun,9,10,,ARI,L 17-27,26,37,70.3,220,1,2,18,0,94.4,LAR_ARI_2022-11-13
ARI,2022-11-06,26,Sun,9,9,,SEA,L 21-31,26,34,76.5,263,2,2,12,1,105.4,ARI_SEA_2022-11-06
BAL,2022-10-27,26,Thu,8,8,@,TAM,W 27-22,26,44,59.1,305,1,3,20,0,87.8,BAL_TAM_2022-10-27
CAR,2022-10-16,26,Sun,6,6,@,LAR,L 10-24,26,33,78.8,249,1,1,4,1,95.6,CAR_LAR_2022-10-16
ARI,2022-10-09,26,Sun,5,5,,PHI,L 17-20,26,36,72.2,218,0,2,21,0,87.5,ARI_PHI_2022-10-09
DEN,2022-10-06,26,Thu,5,5,,IND,L 9-12 (OT),26,41,63.4,200,0,6,51,2,54.9,DEN_IND_2022-10-06
LAC,2022-10-02,26,Sun,4,4,@,HOU,W 34-24,26,35,74.3,215,2,4,31,2,84.8,LAC_HOU_2022-10-02
NOR,2022-10-02,26,Sun,4,4,,MIN,L 25-28,26,39,66.7,263,1,3,23,1,83.6,NOR_MIN_2022-10-02
MIN,2022-09-19,26,Mon,2,2,@,PHI,L 7-24,26,31,83.9,323,1,3,10,1,107.4,MIN_PHI_2022-09-19
TEN,2022-09-19,26,Mon,2,2,@,BUF,L 7-41,26,40,65.0,313,4,1,4,0,122.2,TEN_BUF_2022-09-19
MIN,2022-09-11,26,Sun,1,1,,GNB,W 23-7,26,39,66.7,227,0,4,33,1,71.2,MIN_GNB_2022-09-11
LVR,2022-09-11,26,Sun,1,1,@,LAC,L 19-24,26,34,76.5,279,3,0,0,0,129.4,LVR_LAC_2022-09-11
LAR,2022-09-08,26,Thu,1,1,,BUF,L 10-31,26,31,83.9,292,3,2,5,2,111.3,LAR_BUF_2022-09-08
BAL,2022-01-02,26,Sun,16,17,,LAR,L 19-20,26,35,74.3,300,2,1,9,2,94.9,BAL_LAR_2022-01-02
CIN,2022-01-02,26,Sun,16,17,,KAN,W 34-31,26,35,74.3,259,2,0,0,0,113.9,CIN_KAN_2022-01-02
NYJ,2021-12-26,26,Sun,15,16,,JAX,W 26-21,26,39,66.7,252,0,1,28,0,84.6,NYJ_JAX_2021-12-26
TEN,2021-12-23,26,Thu,15,16,,SFO,W 20-17,26,35,74.3,306,1,2,16,2,86.1,TEN_SFO_2021-12-23
MIN,2021-12-20,26,Mon,14,15,@,CHI,W 17-9,26,39,66.7,255,1,3,30,0,93.4,MIN_CHI_2021-12-20
NOR,2021-12-19,26,Sun,14,15,@,TAM,W 9-0,26,48,54.2,184,0,4,30,1,54.5,NOR_TAM_2021-12-19
IND,2021-12-18,26,Sat,14,15,,NWE,W 27-17,26,45,57.8,284,2,1,15,2,72.8,IND_NWE_2021-12-18
CIN,2021-12-05,26,Sun,12,13,,LAC,L 22-41,26,35,74.3,284,3,4,33,1,114.5,CIN_LAC_2021-12-05
ARI,2021-12-05,26,Sun,12,13,@,CHI,W 33-22,26,41,63.4,217,2,3,12,4,53.7,ARI_CHI_2021-12-05
JAX,2021-12-05,26,Sun,12,13,@,LAR,L 7-37,26,38,68.4,290,3,1,5,0,117.2,JAX_LAR_2021-12-05
NOR,2021-12-02,26,Thu,12,13,,DAL,L 17-27,26,40,65.0,231,1,1,7,1,78.2,NOR_DAL_2021-12-02
CHI,2021-11-21,26,Sun,10,11,,BAL,L 13-16,26,36,72.2,176,0,6,43,1,71.1,CHI_BAL_2021-11-21
TAM,2021-11-14,26,Sun,9,10,@,WAS,L 19-29,26,32,81.3,226,1,5,30,0,106.5,TAM_WAS_2021-11-14
MIA,2021-11-11,26,Thu,10,10,,BAL,W 22-10,26,43,60.5,210,1,4,28,1,70.9,MIA_BAL_2021-11-11
HOU,2021-11-07,26,Sun,9,9,@,MIA,L 9-17,26,43,60.5,215,1,4,29,2,61.7,HOU_MIA_2021-11-07
NWE,2021-10-24,26,Sun,7,7,,NYJ,W 54-13,26,42,61.9,237,1,2,16,2,65.3,NWE_NYJ_2021-10-24
CLE,2021-10-10,26,Sun,5,5,@,LAC,L 42-47,26,43,60.5,381,4,2,17,0,120.4,CLE_LAC_2021-10-10
GNB,2021-10-10,26,Sun,5,5,@,CIN,W 25-22 (OT),26,38,68.4,264,2,3,17,2,83.7,GNB_CIN_2021-10-10
ARI,2021-10-03,26,Sun,4,4,@,LAR,W 37-20,26,41,63.4,280,2,0,0,1,89.5,ARI_LAR_2021-10-03
GNB,2021-10-03,26,Sun,4,4,,PIT,W 27-17,26,40,65.0,220,1,2,12,1,77.1,GNB_PIT_2021-10-03
DAL,2021-10-03,26,Sun,4,4,,CAR,W 36-28,26,39,66.7,266,2,5,35,2,81.8,DAL_CAR_2021-10-03
MIA,2021-09-26,26,Sun,3,3,@,LVR,L 28-31 (OT),26,43,60.5,357,2,3,29,1,92.9,MIA_LVR_2021-09-26
KAN,2021-09-26,26,Sun,3,3,,LAC,L 24-30,26,38,68.4,275,4,1,6,0,124.3,KAN_LAC_2021-09-26
GNB,2021-09-20,26,Mon,2,2,,DET,W 35-17,26,36,72.2,236,2,1,10,1,96.5,GNB_DET_2021-09-20
JAX,2021-09-19,26,Sun,2,2,,DEN,L 13-23,26,34,76.5,302,2,3,26,0,122.4,JAX_DEN_2021-09-19
NOR,2021-09-19,26,Sun,2,2,@,CAR,L 7-26,26,38,68.4,294,2,2,11,1,97.9,NOR_CAR_2021-09-19
CLE,2021-01-03,26,Sun,16,17,,PIT,W 24-22,26,44,59.1,309,2,1,8,1,86.3,CLE_PIT_2021-01-03
IND,2021-01-03,26,Sun,16,17,,JAX,W 28-14,26,42,61.9,230,2,6,31,0,92.4,IND_JAX_2021-01-03
ATL,2021-01-03,26,Sun,16,17,@,TAM,L 27-44,26,41,63.4,391,4,1,8,1,117.0,ATL_TAM_2021-01-03
CAR,2020-12-27,26,Sun,15,16,@,WAS,W 20-13,26,47,55.3,278,1,3,13,2,62.2,CAR_WAS_2020-12-27
LVR,2020-12-26,26,Sat,15,16,,MIA,L 25-26,26,35,74.3,253,2,3,23,0,113.2,LVR_MIA_2020-12-26
NOR,2020-12-20,26,Sun,14,15,,KAN,L 29-32,26,47,55.3,232,3,4,22,0,90.0,NOR_KAN_2020-12-20
DAL,2020-12-20,26,Sun,14,15,,SFO,W 41-33,26,43,60.5,308,3,2,11,2,86.2,DAL_SFO_2020-12-20
DET,2020-12-13,26,Sun,13,14,,GNB,L 24-31,26,33,78.8,290,3,0,0,0,133.6,DET_GNB_2020-12-13
BUF,2020-12-07,26,Mon,12,13,@,SFO,W 34-24,26,39,66.7,316,3,0,0,2,95.7,BUF_SFO_2020-12-07
IND,2020-12-06,26,Sun,12,13,@,HOU,W 26-20,26,38,68.4,308,0,5,33,1,81.9,IND_HOU_2020-12-06
TEN,2020-12-06,26,Sun,12,13,,CLE,L 35-41,26,34,76.5,340,4,0,0,0,146.7,TEN_CLE_2020-12-06
NWE,2020-12-06,26,Sun,12,13,@,LAC,W 45-0,26,53,49.1,188,0,3,21,2,42.0,NWE_LAC_2020-12-06
CIN,2020-12-06,26,Sun,12,13,@,MIA,L 7-19,26,39,66.7,296,1,0,0,0,97.8,CIN_MIA_2020-12-06
DET,2020-12-06,26,Sun,12,13,@,CHI,W 34-30,26,34,76.5,249,1,2,18,0,106.1,DET_CHI_2020-12-06
SEA,2020-11-30,26,Mon,11,12,@,PHI,W 23-17,26,46,56.5,180,2,6,41,1,70.9,SEA_PHI_2020-11-30
GNB,2020-11-29,26,Sun,11,12,,CHI,W 41-25,26,46,56.5,229,3,3,13,2,73.6,GNB_CHI_2020-11-29
LAR,2020-11-23,26,Mon,10,11,@,TAM,W 27-24,26,48,54.2,209,2,1,7,2,61.9,LAR_TAM_2020-11-23
HOU,2020-11-22,26,Sun,10,11,,NWE,W 27-20,26,40,65.0,349,1,2,16,0,100.9,HOU_NWE_2020-11-22
HOU,2020-11-08,26,Sun,8,9,@,JAX,W 27-25,26,38,68.4,288,1,2,16,1,88.5,HOU_JAX_2020-11-08
TAM,2020-11-02,26,Mon,8,8,@,NYG,W 25-23,26,42,61.9,256,2,3,18,2,75.1,TAM_NYG_2020-11-02
LAC,2020-11-01,26,Sun,7,8,@,DEN,L 30-31,26,41,63.4,243,3,2,5,1,93.9,LAC_DEN_2020-11-01
TEN,2020-11-01,26,Sun,7,8,@,CIN,L 20-31,26,37,70.3,249,2,0,0,0,106.7,TEN_CIN_2020-11-01
ARI,2020-10-04,26,Sun,4,4,@,CAR,L 21-31,26,37,70.3,276,2,0,0,1,98.5,ARI_CAR_2020-10-04
IND,2020-10-04,26,Sun,4,4,@,CHI,W 19-11,26,42,61.9,241,1,1,8,1,75.6,IND_CHI_2020-10-04
LVR,2020-09-21,26,Mon,2,2,,NOR,W 34-24,26,38,68.4,312,1,0,0,1,91.1,LVR_NOR_2020-09-21
LAR,2020-09-20,26,Sun,2,2,@,PHI,W 37-19,26,43,60.5,242,0,0,0,2,56.5,LAR_PHI_2020-09-20
WAS,2020-09-20,26,Sun,2,2,@,ARI,L 15-30,26,38,68.4,278,1,3,8,1,87.4,WAS_ARI_2020-09-20
PIT,2020-09-14,26,Mon,1,1,@,NYG,W 26-16,26,41,63.4,262,2,3,17,2,77.5,PIT_NYG_2020-09-14
SFO,2020-09-13,26,Sun,1,1,,ARI,L 20-24,26,40,65.0,224,1,2,6,1,77.5,SFO_ARI_2020-09-13
MIN,2019-12-29,26,Sun,16,17,,CHI,L 19-21,26,37,70.3,179,0,4,28,0,80.8,MIN_CHI_2019-12-29
NOR,2019-12-29,26,Sun,16,17,@,CAR,W 42-10,26,49,53.1,288,0,2,11,2,53.8,NOR_CAR_2019-12-29
MIN,2019-12-23,26,Mon,15,16,,GNB,L 10-23,26,40,65.0,199,0,3,17,1,66.6,MIN_GNB_2019-12-23
DET,2019-12-22,26,Sun,15,16,@,DEN,L 17-27,26,34,76.5,198,1,0,0,0,99.9,DET_DEN_2019-12-22
LAC,2019-12-22,26,Sun,15,16,,OAK,L 17-24,26,30,86.7,267,1,3,24,0,114.9,LAC_OAK_2019-12-22
BUF,2019-12-21,26,Sat,15,16,@,NWE,L 17-24,26,33,78.8,271,1,0,0,0,111.0,BUF_NWE_2019-12-21
NWE,2019-12-08,26,Sun,13,14,,KAN,L 16-23,26,40,65.0,271,1,1,12,1,82.4,NWE_KAN_2019-12-08
BAL,2019-11-25,26,Mon,11,12,@,LAR,W 45-6,26,37,70.3,199,0,2,13,2,60.5,BAL_LAR_2019-11-25
BUF,2019-11-10,26,Sun,9,10,@,CLE,L 16-19,26,38,68.4,221,2,2,17,0,100.9,BUF_CLE_2019-11-10
NYJ,2019-11-10,26,Sun,9,10,,NYG,W 34-27,26,40,65.0,258,4,6,50,0,116.5,NYJ_NYG_2019-11-10
DAL,2019-11-04,26,Mon,8,9,@,NYG,W 37-18,26,41,63.4,171,1,5,39,1,70.3,DAL_NYG_2019-11-04
OAK,2019-11-03,26,Sun,8,9,,DET,W 31-24,26,41,63.4,383,3,2,23,1,108.1,OAK_DET_2019-11-03
CHI,2019-11-03,26,Sun,8,9,@,PHI,L 14-22,26,39,66.7,227,1,4,12,0,90.4,CHI_PHI_2019-11-03
IND,2019-11-03,26,Sun,8,9,@,PIT,L 24-26,26,35,74.3,183,1,1,8,1,83.4,IND_PIT_2019-11-03
HOU,2019-10-20,26,Sun,7,7,@,IND,L 23-30,26,40,65.0,321,4,1,5,0,123.0,HOU_IND_2019-10-20
PIT,2019-10-13,26,Sun,6,6,@,LAC,W 24-17,26,44,59.1,316,2,1,4,2,77.5,PIT_LAC_2019-10-13
MIN,2019-10-13,26,Sun,6,6,,PHI,W 38-20,26,41,63.4,292,2,2,14,2,80.5,MIN_PHI_2019-10-13
CAR,2019-10-06,26,Sun,5,5,,JAX,W 34-27,26,44,59.1,358,2,2,16,0,100.4,CAR_JAX_2019-10-06
SFO,2019-09-15,26,Sun,2,2,@,CIN,W 41-17,26,42,61.9,291,2,4,20,1,88.5,SFO_CIN_2019-09-15
WAS,2019-09-15,26,Sun,2,2,,DAL,L 21-31,26,30,86.7,261,3,1,8,1,122.4,WAS_DAL_2019-09-15
BUF,2019-09-15,26,Sun,2,2,@,NYG,W 28-14,26,45,57.8,241,1,1,9,2,61.4,BUF_NYG_2019-09-15
DAL,2019-09-15,26,Sun,2,2,@,WAS,W 31-21,26,37,70.3,208,2,1,13,0,102.1,DAL_WAS_2019-09-15
GNB,2019-09-05,26,Thu,1,1,@,CHI,W 10-3,26,45,57.8,208,0,5,20,1,60.2,GNB_CHI_2019-09-05
KAN,2018-12-13,26,Thu,14,15,,LAC,L 28-29,26,38,68.4,288,2,5,25,2,86.3,KAN_LAC_2018-12-13
DET,2018-12-09,26,Sun,13,14,@,ARI,W 17-3,26,41,63.4,218,0,3,22,1,66.9,DET_ARI_2018-12-09
PIT,2018-12-02,26,Sun,12,13,,LAC,L 30-33,26,36,72.2,286,2,2,13,0,113.9,PIT_LAC_2018-12-02
PHI,2018-11-25,26,Sun,11,12,,NYG,W 25-22,26,37,70.3,276,1,2,21,1,89.5,PHI_NYG_2018-11-25
NWE,2018-11-25,26,Sun,11,12,@,NYJ,W 27-13,26,45,57.8,264,1,2,12,1,72.8,NWE_NYJ_2018-11-25
PHI,2018-11-11,26,Sun,9,10,,DAL,L 20-27,26,36,72.2,239,1,4,31,0,99.2,PHI_DAL_2018-11-11
HOU,2018-11-04,26,Sun,9,9,@,DEN,W 19-17,26,42,61.9,273,1,2,17,0,88.7,HOU_DEN_2018-11-04
LAC,2018-11-04,26,Sun,8,9,@,SEA,W 25-17,26,39,66.7,202,2,4,33,1,85.6,LAC_SEA_2018-11-04
WAS,2018-11-04,26,Sun,8,9,,ATL,L 14-38,26,38,68.4,337,4,2,13,1,120.2,WAS_ATL_2018-11-04
CAR,2018-10-28,26,Sun,7,8,,BAL,W 36-21,26,44,59.1,224,2,2,14,2,68.7,CAR_BAL_2018-10-28
NWE,2018-10-21,26,Sun,7,7,@,CHI,W 38-31,26,50,52.0,319,2,2,14,2,68.7,NWE_CHI_2018-10-21
PIT,2018-10-14,26,Sun,6,6,@,CIN,W 28-21,26,42,61.9,213,2,3,16,0,90.7,PIT_CIN_2018-10-14
NYG,2018-10-11,26,Thu,6,6,,PHI,L 13-34,26,36,72.2,271,3,1,7,0,121.4,NYG_PHI_2018-10-11
WAS,2018-10-08,26,Mon,4,5,@,NOR,L 19-43,26,29,89.7,349,3,2,14,0,151.3,WAS_NOR_2018-10-08
MIN,2018-09-27,26,Thu,4,4,@,LAR,L 31-38,26,34,76.5,456,5,1,9,0,157.5,MIN_LAR_2018-09-27
NOR,2018-09-23,26,Sun,3,3,@,ATL,W 43-37 (OT),26,35,74.3,359,5,3,15,0,146.3,NOR_ATL_2018-09-23
BUF,2018-09-09,26,Sun,1,1,@,BAL,L 3-47,26,38,68.4,252,3,2,8,0,113.0,BUF_BAL_2018-09-09
HOU,2018-09-09,26,Sun,1,1,@,NWE,L 20-27,26,39,66.7,267,3,2,10,1,101.1,HOU_NWE_2018-09-09
NYJ,2017-12-17,26,Sun,14,15,@,NOR,L 19-31,26,36,72.2,281,2,0,0,1,101.7,NYJ_NOR_2017-12-17
CLE,2017-12-17,26,Sun,14,15,,BAL,L 10-27,26,42,61.9,279,1,1,9,0,89.3,CLE_BAL_2017-12-17
CAR,2017-12-17,26,Sun,14,15,,GNB,W 31-24,26,45,57.8,264,3,3,26,3,69.1,CAR_GNB_2017-12-17
DET,2017-12-10,26,Sun,13,14,@,TAM,W 24-21,26,38,68.4,267,2,3,18,2,84.0,DET_TAM_2017-12-10
ATL,2017-12-07,26,Thu,13,14,,NOR,W 20-17,26,35,74.3,256,2,2,15,1,101.6,ATL_NOR_2017-12-07
KAN,2017-12-03,26,Sun,12,13,@,NYJ,L 31-38,26,36,72.2,331,1,0,0,0,109.8,KAN_NYJ_2017-12-03
CHI,2017-12-03,26,Sun,12,13,,SFO,L 14-15,26,37,70.3,278,0,2,15,1,80.7,CHI_SFO_2017-12-03
DAL,2017-11-30,26,Thu,12,13,,WAS,W 38-14,26,37,70.3,224,2,4,27,2,81.4,DAL_WAS_2017-11-30
CHI,2017-11-26,26,Sun,11,12,@,PHI,L 3-31,26,39,66.7,244,3,1,4,0,109.3,CHI_PHI_2017-11-26
HOU,2017-11-12,26,Sun,9,10,@,LAR,L 7-33,26,38,68.4,339,3,3,22,0,122.6,HOU_LAR_2017-11-12
MIN,2017-11-12,26,Sun,9,10,@,WAS,W 38-30,26,45,57.8,313,1,1,14,1,77.4,MIN_WAS_2017-11-12
GNB,2017-11-06,26,Mon,8,9,,DET,L 17-30,26,33,78.8,353,2,1,8,0,131.4,GNB_DET_2017-11-06
DET,2017-11-06,26,Mon,8,9,@,GNB,W 30-17,26,38,68.4,233,0,3,12,0,84.6,DET_GNB_2017-11-06
HOU,2017-10-29,26,Sun,7,8,@,SEA,L 38-41,26,41,63.4,446,4,2,6,1,122.6,HOU_SEA_2017-10-29
DAL,2017-10-29,26,Sun,7,8,@,WAS,W 33-19,26,39,66.7,236,1,4,27,1,80.7,DAL_WAS_2017-10-29
ATL,2017-10-29,26,Sun,7,8,@,NYJ,W 25-20,26,33,78.8,236,2,3,21,0,116.7,ATL_NYJ_2017-10-29
DET,2017-10-08,26,Sun,5,5,,CAR,L 24-27,26,33,78.8,334,3,3,21,0,139.1,DET_CAR_2017-10-08
NWE,2017-10-05,26,Thu,5,5,@,TAM,W 19-14,26,46,56.5,319,1,2,15,0,85.3,NWE_TAM_2017-10-05
NYJ,2017-09-24,26,Sun,3,3,,MIA,W 20-6,26,45,57.8,195,1,3,25,2,57.2,NYJ_MIA_2017-09-24
WAS,2017-09-10,26,Sun,1,1,,PHI,L 17-30,26,39,66.7,298,2,2,9,1,95.9,WAS_PHI_2017-09-10
BUF,2017-09-10,26,Sun,1,1,,NYJ,W 21-12,26,39,66.7,176,0,1,11,2,55.1,BUF_NYJ_2017-09-10
ATL,2017-09-10,26,Sun,1,1,@,CHI,W 23-17,26,40,65.0,176,1,4,37,0,82.9,ATL_CHI_2017-09-10
BAL,2023-01-08,25,Sun,17,18,@,CIN,L 16-27,25,42,59.5,202,1,2,13,0,79.7,BAL_CIN_2023-01-08
JAX,2023-01-01,25,Sun,16,17,@,HOU,W 31-3,25,44,56.8,193,0,2,18,0,67.7,JAX_HOU_2023-01-01
TAM,2022-12-25,25,Sun,15,16,@,ARI,W 19-16 (OT),25,46,54.3,204,0,1,17,1,56.8,TAM_ARI_2022-12-25
KAN,2022-12-24,25,Sat,15,16,,SEA,W 24-10,25,40,62.5,200,1,2,15,1,72.9,KAN_SEA_2022-12-24
SFO,2022-12-24,25,Sat,15,16,,WAS,W 37-20,25,34,73.5,270,3,2,19,1,113.6,SFO_WAS_2022-12-24
CAR,2022-12-24,25,Sat,15,16,,DET,W 37-23,25,42,59.5,336,3,2,19,0,108.8,CAR_DET_2022-12-24
MIA,2022-12-17,25,Sat,14,15,@,BUF,L 29-32,25,40,62.5,296,4,2,8,0,118.3,MIA_BUF_2022-12-17
JAX,2022-12-11,25,Sun,13,14,@,TEN,W 36-22,25,38,65.8,227,2,4,27,1,88.4,JAX_TEN_2022-12-11
KAN,2022-12-04,25,Sun,12,13,@,CIN,L 24-27,25,31,80.6,279,2,1,7,0,125.7,KAN_CIN_2022-12-04
WAS,2022-12-04,25,Sun,13,13,@,NYG,T 20-20 (OT),25,31,80.6,182,1,4,18,0,101.9,WAS_NYG_2022-12-04
SEA,2022-11-27,25,Sun,11,12,,LVR,L 34-40 (OT),25,36,69.4,293,3,1,2,2,98.5,SEA_LVR_2022-11-27
CIN,2022-11-20,25,Sun,10,11,@,PIT,W 37-30,25,42,59.5,249,1,2,16,0,84.3,CIN_PIT_2022-11-20
ARI,2022-11-13,25,Sun,10,10,@,LAR,W 27-17,25,37,67.6,190,1,3,19,1,77.5,ARI_LAR_2022-11-13
LVR,2022-11-06,25,Sun,8,9,@,JAX,L 20-27,25,31,80.6,235,1,0,0,0,109.0,LVR_JAX_2022-11-06
SEA,2022-11-06,25,Sun,9,9,@,ARI,W 31-21,25,35,71.4,140,2,5,35,0,97.3,SEA_ARI_2022-11-06
CAR,2022-11-06,25,Sun,9,9,@,CIN,L 21-42,25,31,80.6,223,1,2,5,0,107.4,CAR_CIN_2022-11-06
CLE,2022-10-31,25,Mon,8,8,,CIN,W 32-13,25,35,71.4,193,2,5,39,1,91.7,CLE_CIN_2022-10-31
SFO,2022-10-23,25,Sun,7,7,,KAN,L 23-44,25,36,69.4,417,3,1,6,1,124.4,SFO_KAN_2022-10-23
BUF,2022-10-16,25,Sun,6,6,@,KAN,W 24-20,25,40,62.5,319,2,3,19,2,83.2,BUF_KAN_2022-10-16
PIT,2022-10-16,25,Sun,6,6,,TAM,W 20-18,25,40,62.5,229,1,2,14,0,86.4,PIT_TAM_2022-10-16
NYG,2022-10-09,25,Sun,5,5,@,GNB,W 27-22,25,39,64.1,207,2,2,15,0,94.7,NYG_GNB_2022-10-09
SFO,2022-10-09,25,Sun,5,5,@,CAR,W 37-15,25,42,59.5,244,0,6,31,1,66.0,SFO_CAR_2022-10-09
HOU,2022-10-09,25,Sun,5,5,@,JAX,W 13-6,25,47,53.2,286,0,0,0,2,54.0,HOU_JAX_2022-10-09
TEN,2022-10-09,25,Sun,5,5,@,WAS,W 21-17,25,38,65.8,342,2,3,17,1,101.0,TEN_WAS_2022-10-09
DAL,2022-10-02,25,Sun,4,4,,WAS,W 25-10,25,42,59.5,155,1,2,15,2,55.2,DAL_WAS_2022-10-02
CAR,2022-09-25,25,Sun,3,3,,NOR,W 22-14,25,41,61.0,342,1,1,11,2,75.5,CAR_NOR_2022-09-25
PHI,2022-09-25,25,Sun,3,3,@,WAS,W 24-8,25,43,58.1,153,0,9,58,0,65.4,PHI_WAS_2022-09-25
MIN,2022-09-25,25,Sun,3,3,,DET,W 28-24,25,41,61.0,277,1,0,0,1,79.0,MIN_DET_2022-09-25
JAX,2022-09-25,25,Sun,3,3,@,LAC,W 38-10,25,45,55.6,286,1,1,11,1,73.0,JAX_LAC_2022-09-25
TAM,2022-09-18,25,Sun,2,2,@,NOR,W 20-10,25,40,62.5,208,1,6,28,3,52.9,TAM_NOR_2022-09-18
IND,2022-09-18,25,Sun,2,2,@,JAX,L 0-24,25,30,83.3,235,2,0,0,0,121.5,IND_JAX_2022-09-18
ARI,2022-09-18,25,Sun,2,2,@,LVR,W 29-23 (OT),25,39,64.1,244,2,1,8,0,98.7,ARI_LVR_2022-09-18
NYJ,2022-01-09,25,Sun,17,18,@,BUF,L 10-27,25,46,54.3,254,2,0,0,0,84.9,NYJ_BUF_2022-01-09
JAX,2022-01-02,25,Sun,16,17,@,NWE,L 10-50,25,34,73.5,290,3,0,0,0,128.3,JAX_NWE_2022-01-02
ARI,2022-01-02,25,Sun,16,17,@,DAL,W 25-22,25,39,64.1,256,3,1,1,0,108.5,ARI_DAL_2022-01-02
ATL,2021-12-26,25,Sun,15,16,,DET,W 20-16,25,35,71.4,208,1,0,0,1,84.0,ATL_DET_2021-12-26
CLE,2021-12-20,25,Mon,14,15,,LVR,L 14-16,25,38,65.8,230,1,2,6,1,79.9,CLE_LVR_2021-12-20
