Team,Date,1stDOpp,Day,G#,Week,,Opp,Result,1stDOpp,Rush,Pass,Pen,Opp3DAtt,Opp3DConv,Opp3D%,Opp4DAtt,Opp4DConv,Opp4D%,game_id
ATL,2019-10-06,31,Sun,5,5,@,HOU,L 32-53,31,11,18,2,13,10,76.9,0,0,,ATL_HOU_2019-10-06
PHI,2019-09-26,31,Thu,4,4,@,GNB,W 34-27,31,4,19,8,11,6,54.5,1,0,0.0,PHI_GNB_2019-09-26
MIA,2019-09-08,31,Sun,1,1,,BAL,L 10-59,31,10,17,4,11,7,63.6,2,2,100.0,MIA_BAL_2019-09-08
KAN,2018-12-23,31,Sun,15,16,@,SEA,L 31-38,31,11,15,5,14,7,50.0,0,0,,KAN_SEA_2018-12-23
NYG,2018-11-18,31,Sun,10,11,,TAM,W 38-35,31,10,18,3,9,6,66.7,2,1,50.0,NYG_TAM_2018-11-18
LAR,2018-11-04,31,Sun,9,9,@,NOR,L 35-45,31,10,19,2,12,7,58.3,2,2,100.0,LAR_NOR_2018-11-04
KAN,2018-10-14,31,Sun,6,6,@,NWE,L 40-43,31,15,14,2,13,7,53.8,1,0,0.0,KAN_NWE_2018-10-14
SFO,2018-09-23,31,Sun,3,3,@,KAN,L 27-38,31,9,15,7,11,7,63.6,1,1,100.0,SFO_KAN_2018-09-23
BAL,2017-12-10,31,Sun,13,14,@,PIT,L 38-39,31,6,23,2,18,12,66.7,0,0,,BAL_PIT_2017-12-10
DET,2022-12-24,30,Sat,15,16,@,CAR,L 23-37,30,16,11,3,9,3,33.3,1,1,100.0,DET_CAR_2022-12-24
CAR,2022-11-06,30,Sun,9,9,@,CIN,L 21-42,30,19,10,1,10,6,60.0,0,0,,CAR_CIN_2022-11-06
DET,2022-09-25,30,Sun,3,3,@,MIN,L 24-28,30,9,16,5,9,2,22.2,2,1,50.0,DET_MIN_2022-09-25
CLE,2021-11-14,30,Sun,10,10,@,NWE,L 7-45,30,10,17,3,9,7,77.8,0,0,,CLE_NWE_2021-11-14
IND,2021-11-04,30,Thu,9,9,,NYJ,W 45-30,30,3,25,2,14,8,57.1,1,1,100.0,IND_NYJ_2021-11-04
IND,2021-10-11,30,Mon,5,5,@,BAL,L 25-31 (OT),30,7,22,1,8,3,37.5,0,0,,IND_BAL_2021-10-11
KAN,2021-10-03,30,Sun,4,4,@,PHI,W 42-30,30,9,19,2,12,6,50.0,2,1,50.0,KAN_PHI_2021-10-03
NYJ,2021-10-03,30,Sun,4,4,,TEN,W 27-24 (OT),30,10,17,3,19,5,26.3,3,2,66.7,NYJ_TEN_2021-10-03
TAM,2021-09-09,30,Thu,1,1,,DAL,W 31-29,30,4,21,5,17,9,52.9,0,0,,TAM_DAL_2021-09-09
DET,2020-12-26,30,Sat,15,16,,TAM,L 7-47,30,5,22,3,10,4,40.0,2,1,50.0,DET_TAM_2020-12-26
ARI,2020-12-06,30,Sun,12,13,,LAR,L 28-38,30,8,19,3,15,9,60.0,3,1,33.3,ARI_LAR_2020-12-06
JAX,2020-12-06,30,Sun,12,13,@,MIN,L 24-27 (OT),30,10,17,3,16,7,43.8,0,0,,JAX_MIN_2020-12-06
CAR,2020-11-15,30,Sun,10,10,,TAM,L 23-46,30,9,18,3,16,10,62.5,1,1,100.0,CAR_TAM_2020-11-15
NYJ,2020-11-09,30,Mon,9,9,,NWE,L 27-30,30,14,13,3,14,8,57.1,2,1,50.0,NYJ_NWE_2020-11-09
KAN,2020-11-08,30,Sun,9,9,,CAR,W 33-31,30,7,18,5,16,7,43.8,3,3,100.0,KAN_CAR_2020-11-08
MIN,2020-11-08,30,Sun,8,9,,DET,W 34-20,30,9,19,2,12,6,50.0,0,0,,MIN_DET_2020-11-08
ARI,2020-10-04,30,Sun,4,4,@,CAR,L 21-31,30,11,17,2,11,7,63.6,1,1,100.0,ARI_CAR_2020-10-04
TEN,2020-09-20,30,Sun,2,2,,JAX,W 33-30,30,9,20,1,14,10,71.4,1,1,100.0,TEN_JAX_2020-09-20
PHI,2020-09-20,30,Sun,2,2,,LAR,L 19-37,30,11,17,2,12,7,58.3,1,1,100.0,PHI_LAR_2020-09-20
CLE,2020-09-17,30,Thu,2,2,,CIN,W 35-30,30,7,20,3,18,8,44.4,5,5,100.0,CLE_CIN_2020-09-17
MIA,2019-11-24,30,Sun,11,12,@,CLE,L 24-41,30,9,15,6,8,4,50.0,0,0,,MIA_CLE_2019-11-24
SEA,2019-10-27,30,Sun,8,8,@,ATL,W 27-20,30,4,24,2,9,3,33.3,1,1,100.0,SEA_ATL_2019-10-27
KAN,2018-12-13,30,Thu,14,15,,LAC,L 28-29,30,7,18,5,10,6,60.0,1,1,100.0,KAN_LAC_2018-12-13
BAL,2018-12-09,30,Sun,13,14,@,KAN,L 24-27 (OT),30,8,18,4,16,6,37.5,3,3,100.0,BAL_KAN_2018-12-09
ARI,2018-11-25,30,Sun,11,12,@,LAC,L 10-45,30,11,17,2,7,3,42.9,1,1,100.0,ARI_LAC_2018-11-25
ATL,2018-10-14,30,Sun,6,6,,TAM,W 34-29,30,5,23,2,8,5,62.5,0,0,,ATL_TAM_2018-10-14
DET,2018-10-07,30,Sun,5,5,,GNB,W 31-23,30,6,23,1,10,3,30.0,2,2,100.0,DET_GNB_2018-10-07
SEA,2018-10-07,30,Sun,5,5,,LAR,L 31-33,30,9,17,4,9,3,33.3,1,1,100.0,SEA_LAR_2018-10-07
ATL,2018-09-30,30,Sun,4,4,,CIN,L 36-37,30,6,20,4,12,7,58.3,2,2,100.0,ATL_CIN_2018-09-30
IND,2018-09-30,30,Sun,4,4,,HOU,L 34-37 (OT),30,6,23,1,16,8,50.0,1,1,100.0,IND_HOU_2018-09-30
ARI,2018-09-09,30,Sun,1,1,,WAS,L 6-24,30,10,13,7,13,6,46.2,1,1,100.0,ARI_WAS_2018-09-09
KAN,2017-12-03,30,Sun,12,13,@,NYJ,L 31-38,30,10,16,4,20,13,65.0,1,1,100.0,KAN_NYJ_2017-12-03
MIA,2017-11-13,30,Mon,9,10,@,CAR,L 21-45,30,12,16,2,14,11,78.6,0,0,,MIA_CAR_2017-11-13
SFO,2023-01-01,29,Sun,16,17,@,LVR,W 37-34 (OT),29,10,15,4,10,4,40.0,1,0,0.0,SFO_LVR_2023-01-01
MIA,2022-12-17,29,Sat,14,15,@,BUF,L 29-32,29,9,16,4,14,8,57.1,0,0,,MIA_BUF_2022-12-17
GNB,2022-11-27,29,Sun,12,12,@,PHI,L 33-40,29,21,6,2,15,8,53.3,3,2,66.7,GNB_PHI_2022-11-27
LAR,2022-11-27,29,Sun,11,12,@,KAN,L 10-26,29,6,20,3,11,5,45.5,0,0,,LAR_KAN_2022-11-27
CLE,2022-11-13,29,Sun,9,10,@,MIA,L 17-39,29,11,17,1,11,6,54.5,2,1,50.0,CLE_MIA_2022-11-13
MIN,2022-11-13,29,Sun,9,10,@,BUF,W 33-30 (OT),29,9,17,3,13,7,53.8,1,0,0.0,MIN_BUF_2022-11-13
TEN,2022-11-06,29,Sun,8,9,@,KAN,L 17-20 (OT),29,5,23,1,19,8,42.1,2,2,100.0,TEN_KAN_2022-11-06
ATL,2022-10-23,29,Sun,7,7,@,CIN,L 17-35,29,5,22,2,11,7,63.6,1,0,0.0,ATL_CIN_2022-10-23
JAX,2022-10-16,29,Sun,6,6,@,IND,L 27-34,29,4,22,3,15,10,66.7,0,0,,JAX_IND_2022-10-16
LVR,2022-10-10,29,Mon,5,5,@,KAN,L 29-30,29,7,18,4,12,7,58.3,0,0,,LVR_KAN_2022-10-10
CHI,2022-10-09,29,Sun,5,5,@,MIN,L 22-29,29,10,18,1,15,12,80.0,0,0,,CHI_MIN_2022-10-09
NYJ,2022-09-18,29,Sun,2,2,@,CLE,W 31-30,29,12,15,2,12,8,66.7,0,0,,NYJ_CLE_2022-09-18
MIN,2022-01-02,29,Sun,16,17,@,GNB,L 10-37,29,11,17,1,13,7,53.8,1,0,0.0,MIN_GNB_2022-01-02
DET,2022-01-02,29,Sun,16,17,@,SEA,L 29-51,29,15,13,1,12,7,58.3,1,1,100.0,DET_SEA_2022-01-02
SEA,2021-11-21,29,Sun,10,11,,ARI,L 13-23,29,6,21,2,14,7,50.0,1,1,100.0,SEA_ARI_2021-11-21
LVR,2021-11-14,29,Sun,9,10,,KAN,L 14-41,29,5,23,1,15,9,60.0,3,3,100.0,LVR_KAN_2021-11-14
NYG,2021-11-01,29,Mon,8,8,@,KAN,L 17-20,29,10,17,2,12,5,41.7,0,0,,NYG_KAN_2021-11-01
WAS,2021-10-17,29,Sun,6,6,,KAN,L 13-31,29,7,21,1,17,11,64.7,2,1,50.0,WAS_KAN_2021-10-17
BAL,2021-10-11,29,Mon,5,5,,IND,W 31-25 (OT),29,10,16,3,10,5,50.0,1,1,100.0,BAL_IND_2021-10-11
BUF,2021-10-10,29,Sun,5,5,@,KAN,W 38-20,29,8,16,5,12,5,41.7,1,0,0.0,BUF_KAN_2021-10-10
WAS,2021-09-26,29,Sun,3,3,@,BUF,L 21-43,29,8,20,1,15,9,60.0,1,0,0.0,WAS_BUF_2021-09-26
KAN,2021-01-03,29,Sun,16,17,,LAC,L 21-38,29,10,16,3,7,3,42.9,1,0,0.0,KAN_LAC_2021-01-03
DEN,2020-12-19,29,Sat,14,15,,BUF,L 19-48,29,6,19,4,13,9,69.2,1,0,0.0,DEN_BUF_2020-12-19
BAL,2020-12-08,29,Tue,12,13,,DAL,W 34-17,29,8,20,1,15,6,40.0,4,3,75.0,BAL_DAL_2020-12-08
