Team,Date,Tot,Day,G#,Week,,Opp,Result,Tot,TO,game_id
ATL,2018-11-04,366,Sun,8,9,@,WAS,W 38-14,366,1,ATL_WAS_2018-11-04
LAR,2017-12-24,366,Sun,15,16,@,TEN,W 27-23,366,1,LAR_TEN_2017-12-24
BUF,2017-09-24,366,Sun,3,3,,DEN,W 26-16,366,2,BUF_DEN_2017-09-24
NYJ,2022-12-22,365,Thu,15,16,,JAX,L 3-19,365,1,NYJ_JAX_2022-12-22
TEN,2022-12-18,365,Sun,14,15,@,LAC,L 14-17,365,2,TEN_LAC_2022-12-18
KAN,2022-11-20,365,Sun,10,11,@,LAC,W 30-27,365,2,KAN_LAC_2022-11-20
TEN,2022-10-02,365,Sun,4,4,@,IND,W 24-17,365,3,TEN_IND_2022-10-02
LAR,2022-09-25,365,Sun,3,3,@,ARI,W 20-12,365,0,LAR_ARI_2022-09-25
IND,2021-12-18,365,Sat,14,15,,NWE,W 27-17,365,2,IND_NWE_2021-12-18
SEA,2021-12-05,365,Sun,12,13,,SFO,W 30-23,365,3,SEA_SFO_2021-12-05
NYG,2021-10-17,365,Sun,6,6,,LAR,L 11-38,365,2,NYG_LAR_2021-10-17
PIT,2020-12-27,365,Sun,15,16,,IND,W 28-24,365,2,PIT_IND_2020-12-27
CAR,2020-12-13,365,Sun,13,14,,DEN,L 27-32,365,1,CAR_DEN_2020-12-13
GNB,2020-10-25,365,Sun,6,7,@,HOU,W 35-20,365,1,GNB_HOU_2020-10-25
ATL,2020-10-18,365,Sun,6,6,@,MIN,W 40-23,365,3,ATL_MIN_2020-10-18
TEN,2019-10-20,365,Sun,7,7,,LAC,W 23-20,365,1,TEN_LAC_2019-10-20
ATL,2019-09-29,365,Sun,4,4,,TEN,L 10-24,365,0,ATL_TEN_2019-09-29
HOU,2018-11-26,365,Mon,11,12,,TEN,W 34-17,365,1,HOU_TEN_2018-11-26
OAK,2018-09-10,365,Mon,1,1,,LAR,L 13-33,365,0,OAK_LAR_2018-09-10
OAK,2017-10-08,365,Sun,5,5,,BAL,L 17-30,365,0,OAK_BAL_2017-10-08
JAX,2022-12-11,364,Sun,13,14,@,TEN,W 36-22,364,4,JAX_TEN_2022-12-11
GNB,2022-10-23,364,Sun,7,7,@,WAS,L 21-23,364,1,GNB_WAS_2022-10-23
DET,2022-10-09,364,Sun,5,5,@,NWE,L 0-29,364,1,DET_NWE_2022-10-09
BUF,2022-10-09,364,Sun,5,5,,PIT,W 38-3,364,2,BUF_PIT_2022-10-09
KAN,2022-01-08,364,Sat,17,18,@,DEN,W 28-24,364,1,KAN_DEN_2022-01-08
NOR,2020-12-25,364,Fri,15,16,,MIN,W 52-33,364,0,NOR_MIN_2020-12-25
GNB,2020-12-19,364,Sat,14,15,,CAR,W 24-16,364,1,GNB_CAR_2020-12-19
KAN,2020-11-22,364,Sun,10,11,@,LVR,W 35-31,364,1,KAN_LVR_2020-11-22
PIT,2020-11-08,364,Sun,8,9,@,DAL,W 24-19,364,2,PIT_DAL_2020-11-08
BAL,2020-10-18,364,Sun,6,6,@,PHI,W 30-28,364,1,BAL_PHI_2020-10-18
HOU,2020-10-11,364,Sun,5,5,,JAX,W 30-14,364,2,HOU_JAX_2020-10-11
JAX,2019-12-15,364,Sun,14,15,@,OAK,W 20-16,364,0,JAX_OAK_2019-12-15
CHI,2019-11-28,364,Thu,12,13,@,DET,W 24-20,364,1,CHI_DET_2019-11-28
WAS,2019-11-24,364,Sun,11,12,,DET,W 19-16,364,4,WAS_DET_2019-11-24
DAL,2019-11-10,364,Sun,9,10,,MIN,L 24-28,364,0,DAL_MIN_2019-11-10
MIN,2018-10-07,364,Sun,5,5,@,PHI,W 23-21,364,2,MIN_PHI_2018-10-07
LAC,2018-09-30,364,Sun,4,4,,SFO,W 29-27,364,2,LAC_SFO_2018-09-30
DET,2017-12-24,364,Sun,15,16,@,CIN,L 17-26,364,1,DET_CIN_2017-12-24
KAN,2017-10-30,364,Mon,8,8,,DEN,W 29-19,364,5,KAN_DEN_2017-10-30
GNB,2017-09-17,364,Sun,2,2,@,ATL,L 23-34,364,0,GNB_ATL_2017-09-17
CLE,2022-12-11,363,Sun,13,14,@,CIN,L 10-23,363,1,CLE_CIN_2022-12-11
PHI,2022-10-09,363,Sun,5,5,@,ARI,W 20-17,363,1,PHI_ARI_2022-10-09
HOU,2022-09-25,363,Sun,3,3,@,CHI,L 20-23,363,2,HOU_CHI_2022-09-25
CIN,2021-12-05,363,Sun,12,13,,LAC,L 22-41,363,3,CIN_LAC_2021-12-05
DEN,2020-11-08,363,Sun,8,9,@,ATL,L 27-34,363,1,DEN_ATL_2020-11-08
LAR,2020-09-20,363,Sun,2,2,@,PHI,W 37-19,363,3,LAR_PHI_2020-09-20
DET,2020-09-13,363,Sun,1,1,,CHI,L 23-27,363,0,DET_CHI_2020-09-13
NYG,2017-11-19,363,Sun,10,11,,KAN,W 12-9 (OT),363,3,NYG_KAN_2017-11-19
IND,2022-10-30,362,Sun,8,8,,WAS,L 16-17,362,1,IND_WAS_2022-10-30
BUF,2021-10-18,362,Mon,6,6,@,TEN,L 31-34,362,1,BUF_TEN_2021-10-18
TEN,2020-10-25,362,Sun,6,7,,PIT,L 24-27,362,3,TEN_PIT_2020-10-25
CIN,2020-09-13,362,Sun,1,1,,LAC,L 13-16,362,0,CIN_LAC_2020-09-13
NYJ,2019-12-08,362,Sun,13,14,,MIA,W 22-21,362,1,NYJ_MIA_2019-12-08
CAR,2019-12-01,362,Sun,12,13,,WAS,L 21-29,362,0,CAR_WAS_2019-12-01
MIA,2018-09-16,362,Sun,2,2,@,NYJ,W 20-12,362,3,MIA_NYJ_2018-09-16
LAC,2018-09-09,362,Sun,1,1,,KAN,L 28-38,362,0,LAC_KAN_2018-09-09
NWE,2017-12-11,362,Mon,13,14,@,MIA,L 20-27,362,0,NWE_MIA_2017-12-11
DET,2017-10-08,362,Sun,5,5,,CAR,L 24-27,362,0,DET_CAR_2017-10-08
CAR,2017-09-24,362,Sun,3,3,,NOR,L 13-34,362,0,CAR_NOR_2017-09-24
TEN,2022-12-29,361,Thu,16,17,,DAL,L 13-27,361,3,TEN_DAL_2022-12-29
LVR,2022-09-25,361,Sun,3,3,@,TEN,L 22-24,361,1,LVR_TEN_2022-09-25
LAR,2021-12-26,361,Sun,15,16,@,MIN,W 30-23,361,1,LAR_MIN_2021-12-26
NOR,2021-11-25,361,Thu,11,12,,BUF,L 6-31,361,2,NOR_BUF_2021-11-25
CIN,2021-11-07,361,Sun,9,9,,CLE,L 16-41,361,0,CIN_CLE_2021-11-07
TAM,2021-10-31,361,Sun,8,8,@,NOR,L 27-36,361,0,TAM_NOR_2021-10-31
ARI,2021-09-26,361,Sun,3,3,@,JAX,W 31-19,361,4,ARI_JAX_2021-09-26
CLE,2019-12-29,361,Sun,16,17,@,CIN,L 23-33,361,1,CLE_CIN_2019-12-29
NYG,2019-12-22,361,Sun,15,16,@,WAS,W 41-35 (OT),361,0,NYG_WAS_2019-12-22
LAC,2018-12-22,361,Sat,15,16,,BAL,L 10-22,361,1,LAC_BAL_2018-12-22
CIN,2018-12-02,361,Sun,12,13,,DEN,L 10-24,361,1,CIN_DEN_2018-12-02
TEN,2018-10-14,361,Sun,6,6,,BAL,L 0-21,361,1,TEN_BAL_2018-10-14
CLE,2017-11-26,361,Sun,11,12,@,CIN,L 16-30,361,0,CLE_CIN_2017-11-26
IND,2023-01-08,360,Sun,17,18,,HOU,L 31-32,360,3,IND_HOU_2023-01-08
HOU,2022-11-03,360,Thu,8,9,,PHI,L 17-29,360,1,HOU_PHI_2022-11-03
CAR,2022-10-16,360,Sun,6,6,@,LAR,L 10-24,360,1,CAR_LAR_2022-10-16
NWE,2021-10-10,360,Sun,5,5,@,HOU,W 25-22,360,1,NWE_HOU_2021-10-10
KAN,2020-09-10,360,Thu,1,1,,HOU,W 34-20,360,1,KAN_HOU_2020-09-10
WAS,2018-12-30,360,Sun,16,17,,PHI,L 0-24,360,1,WAS_PHI_2018-12-30
NYG,2018-10-28,360,Sun,8,8,,WAS,L 13-20,360,1,NYG_WAS_2018-10-28
PIT,2017-12-17,360,Sun,14,15,,NWE,L 24-27,360,1,PIT_NWE_2017-12-17
ATL,2017-11-20,360,Mon,10,11,@,SEA,W 34-31,360,2,ATL_SEA_2017-11-20
NYJ,2022-12-18,359,Sun,14,15,,DET,L 17-20,359,0,NYJ_DET_2022-12-18
NYG,2022-09-11,359,Sun,1,1,@,TEN,W 21-20,359,1,NYG_TEN_2022-09-11
IND,2021-11-28,359,Sun,12,12,,TAM,L 31-38,359,2,IND_TAM_2021-11-28
NYJ,2020-10-01,359,Thu,4,4,,DEN,L 28-37,359,3,NYJ_DEN_2020-10-01
NYJ,2020-09-20,359,Sun,2,2,,SFO,L 13-31,359,1,NYJ_SFO_2020-09-20
DEN,2019-12-01,359,Sun,12,13,,LAC,W 23-20,359,2,DEN_LAC_2019-12-01
TAM,2018-11-18,359,Sun,10,11,@,NYG,L 35-38,359,0,TAM_NYG_2018-11-18
SEA,2018-11-15,359,Thu,10,11,,GNB,W 27-24,359,0,SEA_GNB_2018-11-15
LAR,2018-10-28,359,Sun,8,8,,GNB,W 29-27,359,1,LAR_GNB_2018-10-28
BAL,2017-12-31,359,Sun,16,17,,CIN,L 27-31,359,1,BAL_CIN_2017-12-31
TEN,2017-09-10,359,Sun,1,1,,OAK,L 16-26,359,0,TEN_OAK_2017-09-10
NWE,2022-11-24,358,Thu,11,12,@,MIN,L 26-33,358,1,NWE_MIN_2022-11-24
DET,2021-12-12,358,Sun,13,14,@,DEN,L 10-38,358,0,DET_DEN_2021-12-12
LVR,2021-10-24,358,Sun,7,7,,PHI,W 33-22,358,2,LVR_PHI_2021-10-24
PIT,2021-01-03,358,Sun,16,17,@,CLE,L 22-24,358,0,PIT_CLE_2021-01-03
PHI,2020-12-13,358,Sun,13,14,,NOR,W 24-21,358,2,PHI_NOR_2020-12-13
CHI,2022-12-04,357,Sun,13,13,,GNB,L 19-28,357,0,CHI_GNB_2022-12-04
CLE,2022-11-20,357,Sun,10,11,@,BUF,L 23-31,357,0,CLE_BUF_2022-11-20
ARI,2022-10-09,357,Sun,5,5,,PHI,L 17-20,357,0,ARI_PHI_2022-10-09
SEA,2022-01-02,357,Sun,16,17,,DET,W 51-29,357,3,SEA_DET_2022-01-02
DEN,2021-11-28,357,Sun,11,12,,LAC,W 28-13,357,2,DEN_LAC_2021-11-28
ATL,2021-11-28,357,Sun,11,12,@,JAX,W 21-14,357,2,ATL_JAX_2021-11-28
NWE,2020-11-15,357,Sun,9,10,,BAL,W 23-17,357,1,NWE_BAL_2020-11-15
DEN,2020-11-15,357,Sun,9,10,@,LVR,L 12-37,357,0,DEN_LVR_2020-11-15
TAM,2020-11-02,357,Mon,8,8,@,NYG,W 25-23,357,2,TAM_NYG_2020-11-02
KAN,2020-10-05,357,Mon,4,4,,NWE,W 26-10,357,4,KAN_NWE_2020-10-05
MIA,2020-09-13,357,Sun,1,1,@,NWE,L 11-21,357,1,MIA_NWE_2020-09-13
CHI,2019-11-10,357,Sun,9,10,,DET,W 20-13,357,1,CHI_DET_2019-11-10
SFO,2019-10-31,357,Thu,8,9,@,ARI,W 28-25,357,0,SFO_ARI_2019-10-31
DEN,2019-09-09,357,Mon,1,1,@,OAK,L 16-24,357,0,DEN_OAK_2019-09-09
LAR,2018-10-14,357,Sun,6,6,@,DEN,W 23-20,357,1,LAR_DEN_2018-10-14
ARI,2017-11-19,357,Sun,10,11,@,HOU,L 21-31,357,2,ARI_HOU_2017-11-19
BAL,2017-10-22,357,Sun,7,7,@,MIN,L 16-24,357,1,BAL_MIN_2017-10-22
NYJ,2017-10-22,357,Sun,7,7,@,MIA,L 28-31,357,2,NYJ_MIA_2017-10-22
MIN,2022-01-09,356,Sun,17,18,,CHI,W 31-17,356,2,MIN_CHI_2022-01-09
MIN,2021-12-26,356,Sun,15,16,,LAR,L 23-30,356,3,MIN_LAR_2021-12-26
ARI,2021-12-13,356,Mon,13,14,,LAR,L 23-30,356,0,ARI_LAR_2021-12-13
LAC,2021-12-05,356,Sun,12,13,@,CIN,W 41-22,356,4,LAC_CIN_2021-12-05
GNB,2021-01-03,356,Sun,16,17,@,CHI,W 35-16,356,2,GNB_CHI_2021-01-03
HOU,2020-11-15,356,Sun,9,10,@,CLE,L 7-10,356,0,HOU_CLE_2020-11-15
DAL,2019-11-28,356,Thu,12,13,,BUF,L 15-26,356,0,DAL_BUF_2019-11-28
HOU,2019-11-03,356,Sun,9,9,@,JAX,W 26-3,356,4,HOU_JAX_2019-11-03
CHI,2019-09-23,356,Mon,3,3,@,WAS,W 31-15,356,5,CHI_WAS_2019-09-23
LAC,2018-11-04,356,Sun,8,9,@,SEA,W 25-17,356,1,LAC_SEA_2018-11-04
LAR,2018-09-23,356,Sun,3,3,,LAC,W 35-23,356,2,LAR_LAC_2018-09-23
GNB,2017-12-31,356,Sun,16,17,@,DET,L 11-35,356,0,GNB_DET_2017-12-31
BUF,2017-12-31,356,Sun,16,17,@,MIA,W 22-16,356,1,BUF_MIA_2017-12-31
CAR,2017-12-10,356,Sun,13,14,,MIN,W 31-24,356,3,CAR_MIN_2017-12-10
WAS,2017-09-10,356,Sun,1,1,,PHI,L 17-30,356,2,WAS_PHI_2017-09-10
NWE,2022-12-01,355,Thu,12,13,,BUF,L 10-24,355,1,NWE_BUF_2022-12-01
CAR,2022-09-11,355,Sun,1,1,,CLE,L 24-26,355,0,CAR_CLE_2022-09-11
LVR,2022-09-11,355,Sun,1,1,@,LAC,L 19-24,355,0,LVR_LAC_2022-09-11
CIN,2021-12-12,355,Sun,13,14,,SFO,L 23-26 (OT),355,0,CIN_SFO_2021-12-12
NWE,2021-11-28,355,Sun,12,12,,TEN,W 36-13,355,4,NWE_TEN_2021-11-28
TEN,2021-10-03,355,Sun,4,4,@,NYJ,L 24-27 (OT),355,1,TEN_NYJ_2021-10-03
HOU,2021-09-19,355,Sun,2,2,@,CLE,L 21-31,355,2,HOU_CLE_2021-09-19
DAL,2020-11-08,355,Sun,9,9,,PIT,L 19-24,355,0,DAL_PIT_2020-11-08
PHI,2020-10-18,355,Sun,6,6,,BAL,L 28-30,355,0,PHI_BAL_2020-10-18
TEN,2019-12-08,355,Sun,13,14,@,OAK,W 42-21,355,1,TEN_OAK_2019-12-08
CAR,2017-11-05,355,Sun,9,9,,ATL,W 20-17,355,1,CAR_ATL_2017-11-05
HOU,2022-10-30,354,Sun,7,8,,TEN,L 10-17,354,2,HOU_TEN_2022-10-30
GNB,2021-12-19,354,Sun,14,15,@,BAL,W 31-30,354,0,GNB_BAL_2021-12-19
LAR,2021-10-07,354,Thu,5,5,@,SEA,W 26-17,354,2,LAR_SEA_2021-10-07
LAR,2021-09-19,354,Sun,2,2,@,IND,W 27-24,354,2,LAR_IND_2021-09-19
IND,2020-12-27,354,Sun,15,16,@,PIT,L 24-28,354,0,IND_PIT_2020-12-27
TEN,2020-12-13,354,Sun,13,14,@,JAX,W 31-10,354,1,TEN_JAX_2020-12-13
MIN,2020-09-20,354,Sun,2,2,@,IND,L 11-28,354,1,MIN_IND_2020-09-20
JAX,2020-09-20,354,Sun,2,2,@,TEN,L 30-33,354,0,JAX_TEN_2020-09-20
DET,2019-12-08,354,Sun,13,14,@,MIN,L 7-20,354,0,DET_MIN_2019-12-08
SEA,2019-12-02,354,Mon,12,13,,MIN,W 37-30,354,3,SEA_MIN_2019-12-02
PIT,2018-12-09,354,Sun,13,14,@,OAK,L 21-24,354,1,PIT_OAK_2018-12-09
DAL,2018-11-18,354,Sun,10,11,@,ATL,W 22-19,354,1,DAL_ATL_2018-11-18
NYG,2017-09-24,354,Sun,3,3,@,PHI,L 24-27,354,1,NYG_PHI_2017-09-24
NYG,2022-12-24,353,Sat,15,16,@,MIN,L 24-27,353,0,NYG_MIN_2022-12-24
TEN,2022-01-09,353,Sun,17,18,@,HOU,W 28-25,353,0,TEN_HOU_2022-01-09
GNB,2021-11-28,353,Sun,12,12,,LAR,W 36-28,353,3,GNB_LAR_2021-11-28
BAL,2021-11-21,353,Sun,10,11,@,CHI,W 16-13,353,1,BAL_CHI_2021-11-21
IND,2021-10-17,353,Sun,6,6,,HOU,W 31-3,353,3,IND_HOU_2021-10-17
SFO,2021-09-26,353,Sun,3,3,,GNB,L 28-30,353,0,SFO_GNB_2021-09-26
SEA,2020-12-20,353,Sun,14,15,@,WAS,W 20-15,353,2,SEA_WAS_2020-12-20
NYJ,2020-09-27,353,Sun,3,3,@,IND,L 7-36,353,0,NYJ_IND_2020-09-27
DEN,2020-09-27,353,Sun,3,3,,TAM,L 10-28,353,0,DEN_TAM_2020-09-27
CLE,2020-09-17,353,Thu,2,2,,CIN,W 35-30,353,1,CLE_CIN_2020-09-17
IND,2019-12-29,353,Sun,16,17,@,JAX,L 20-38,353,1,IND_JAX_2019-12-29
PIT,2017-12-04,353,Mon,12,13,@,CIN,W 23-20,353,0,PIT_CIN_2017-12-04
DEN,2023-01-08,352,Sun,17,18,,LAC,W 31-28,352,2,DEN_LAC_2023-01-08
LAC,2021-10-31,352,Sun,7,8,,NWE,L 24-27,352,1,LAC_NWE_2021-10-31
CLE,2021-10-17,352,Sun,6,6,,ARI,L 14-37,352,0,CLE_ARI_2021-10-17
HOU,2021-10-10,352,Sun,5,5,,NWE,L 22-25,352,2,HOU_NWE_2021-10-10
KAN,2021-09-26,352,Sun,3,3,,LAC,L 24-30,352,0,KAN_LAC_2021-09-26
MIA,2019-12-29,352,Sun,16,17,@,NWE,W 27-24,352,2,MIA_NWE_2019-12-29
PHI,2019-12-15,352,Sun,14,15,@,WAS,W 37-27,352,1,PHI_WAS_2019-12-15
TAM,2019-09-12,352,Thu,2,2,@,CAR,W 20-14,352,1,TAM_CAR_2019-09-12
SEA,2017-12-17,352,Sun,14,15,,LAR,L 7-42,352,1,SEA_LAR_2017-12-17
CHI,2017-11-19,352,Sun,10,11,,DET,L 24-27,352,1,CHI_DET_2017-11-19
BAL,2023-01-01,351,Sun,16,17,,PIT,L 13-16,351,0,BAL_PIT_2023-01-01
MIA,2022-12-04,351,Sun,12,13,@,SFO,L 17-33,351,1,MIA_SFO_2022-12-04
ATL,2022-12-04,351,Sun,13,13,,PIT,L 16-19,351,0,ATL_PIT_2022-12-04
CIN,2022-11-20,351,Sun,10,11,@,PIT,W 37-30,351,0,CIN_PIT_2022-11-20
ATL,2022-01-02,351,Sun,16,17,@,BUF,L 15-29,351,3,ATL_BUF_2022-01-02
MIA,2021-10-31,351,Sun,8,8,@,BUF,L 11-26,351,0,MIA_BUF_2021-10-31
CHI,2021-10-03,351,Sun,4,4,,DET,W 24-14,351,2,CHI_DET_2021-10-03
LAC,2020-11-01,351,Sun,7,8,@,DEN,L 30-31,351,1,LAC_DEN_2020-11-01
SEA,2020-11-01,351,Sun,7,8,,SFO,W 37-27,351,2,SEA_SFO_2020-11-01
NOR,2019-11-24,351,Sun,11,12,,CAR,W 34-31,351,1,NOR_CAR_2019-11-24
DEN,2019-11-03,351,Sun,9,9,,CLE,W 24-19,351,0,DEN_CLE_2019-11-03
SEA,2018-12-16,351,Sun,14,15,@,SFO,L 23-26 (OT),351,1,SEA_SFO_2018-12-16
NOR,2018-10-21,351,Sun,6,7,@,BAL,W 24-23,351,0,NOR_BAL_2018-10-21
MIN,2018-09-16,351,Sun,2,2,@,GNB,T 29-29 (OT),351,0,MIN_GNB_2018-09-16
GNB,2017-10-15,351,Sun,6,6,@,MIN,L 10-23,351,2,GNB_MIN_2017-10-15
LVR,2022-12-24,350,Sat,15,16,@,PIT,L 10-13,350,1,LVR_PIT_2022-12-24
NOR,2022-12-05,350,Mon,13,13,@,TAM,L 16-17,350,2,NOR_TAM_2022-12-05
HOU,2022-09-18,350,Sun,2,2,@,DEN,L 9-16,350,1,HOU_DEN_2022-09-18
BAL,2021-11-11,350,Thu,9,10,@,MIA,L 10-22,350,0,BAL_MIA_2021-11-11
DET,2021-10-31,350,Sun,8,8,,PHI,L 6-44,350,0,DET_PHI_2021-10-31
NWE,2021-01-03,350,Sun,16,17,,NYJ,W 28-14,350,2,NWE_NYJ_2021-01-03
SFO,2020-12-26,350,Sat,15,16,@,ARI,W 20-12,350,2,SFO_ARI_2020-12-26
HOU,2020-12-20,350,Sun,14,15,@,IND,L 20-27,350,0,HOU_IND_2020-12-20
GNB,2020-11-29,350,Sun,11,12,,CHI,W 41-25,350,3,GNB_CHI_2020-11-29
WAS,2020-11-08,350,Sun,8,9,,NYG,L 20-23,350,0,WAS_NYG_2020-11-08
SFO,2020-11-01,350,Sun,8,8,@,SEA,L 27-37,350,0,SFO_SEA_2020-11-01
NOR,2020-10-12,350,Mon,5,5,,LAC,W 30-27 (OT),350,0,NOR_LAC_2020-10-12
WAS,2020-10-04,350,Sun,4,4,,BAL,L 17-31,350,2,WAS_BAL_2020-10-04
CHI,2019-12-22,350,Sun,15,16,,KAN,L 3-26,350,0,CHI_KAN_2019-12-22
LAC,2019-10-06,350,Sun,5,5,,DEN,L 13-20,350,2,LAC_DEN_2019-10-06
WAS,2018-10-14,350,Sun,5,6,,CAR,W 23-17,350,3,WAS_CAR_2018-10-14
NYG,2018-10-07,350,Sun,5,5,@,CAR,L 31-33,350,2,NYG_CAR_2018-10-07
CLE,2017-10-01,350,Sun,4,4,,CIN,L 7-31,350,1,CLE_CIN_2017-10-01
OAK,2017-09-10,350,Sun,1,1,@,TEN,W 26-16,350,0,OAK_TEN_2017-09-10
LVR,2023-01-07,349,Sat,17,18,,KAN,L 13-31,349,0,LVR_KAN_2023-01-07
SFO,2022-12-24,349,Sat,15,16,,WAS,W 37-20,349,2,SFO_WAS_2022-12-24
CIN,2022-12-04,349,Sun,12,13,,KAN,W 27-24,349,1,CIN_KAN_2022-12-04
DEN,2022-11-27,349,Sun,11,12,@,CAR,L 10-23,349,1,DEN_CAR_2022-11-27
BAL,2022-10-27,349,Thu,8,8,@,TAM,W 27-22,349,1,BAL_TAM_2022-10-27
DET,2021-11-21,349,Sun,10,11,@,CLE,L 10-13,349,2,DET_CLE_2021-11-21
MIA,2021-10-03,349,Sun,4,4,,IND,L 17-27,349,1,MIA_IND_2021-10-03
BUF,2020-11-01,349,Sun,8,8,,NWE,W 24-21,349,1,BUF_NWE_2020-11-01
NYG,2020-09-14,349,Mon,1,1,,PIT,L 16-26,349,1,NYG_PIT_2020-09-14
CAR,2019-11-17,349,Sun,10,11,,ATL,L 3-29,349,0,CAR_ATL_2019-11-17
BAL,2019-09-15,349,Sun,2,2,,ARI,W 23-17,349,0,BAL_ARI_2019-09-15
CAR,2019-09-08,349,Sun,1,1,,LAR,L 27-30,349,1,CAR_LAR_2019-09-08
BUF,2018-09-16,349,Sun,2,2,,LAC,L 20-31,349,0,BUF_LAC_2018-09-16
DET,2018-09-10,349,Mon,1,1,,NYJ,L 17-48,349,2,DET_NYJ_2018-09-10
BUF,2017-12-17,349,Sun,14,15,,MIA,W 24-16,349,3,BUF_MIA_2017-12-17
DET,2017-12-16,349,Sat,14,15,,CHI,W 20-10,349,3,DET_CHI_2017-12-16
TEN,2017-11-16,349,Thu,10,11,@,PIT,L 17-40,349,0,TEN_PIT_2017-11-16
NWE,2017-10-29,349,Sun,8,8,,LAC,W 21-13,349,1,NWE_LAC_2017-10-29
ATL,2022-12-18,348,Sun,14,15,@,NOR,L 18-21,348,1,ATL_NOR_2022-12-18
NOR,2022-10-16,348,Sun,6,6,,CIN,L 26-30,348,1,NOR_CIN_2022-10-16
PIT,2022-10-02,348,Sun,4,4,,NYJ,L 20-24,348,2,PIT_NYJ_2022-10-02
CLE,2021-11-07,348,Sun,9,9,@,CIN,W 41-16,348,3,CLE_CIN_2021-11-07
TAM,2021-09-19,348,Sun,2,2,,ATL,W 48-25,348,3,TAM_ATL_2021-09-19
SFO,2019-12-29,348,Sun,16,17,@,SEA,W 26-21,348,0,SFO_SEA_2019-12-29
DET,2019-12-22,348,Sun,15,16,@,DEN,L 17-27,348,0,DET_DEN_2019-12-22
NOR,2019-11-28,348,Thu,12,13,@,ATL,W 26-18,348,3,NOR_ATL_2019-11-28
PHI,2019-11-24,348,Sun,11,12,,SEA,L 9-17,348,2,PHI_SEA_2019-11-24
PIT,2019-10-13,348,Sun,6,6,@,LAC,W 24-17,348,3,PIT_LAC_2019-10-13
CAR,2018-12-09,348,Sun,13,14,@,CLE,L 20-26,348,2,CAR_CLE_2018-12-09
HOU,2018-11-04,348,Sun,9,9,@,DEN,W 19-17,348,1,HOU_DEN_2018-11-04
CLE,2017-12-31,348,Sun,16,17,@,PIT,L 24-28,348,2,CLE_PIT_2017-12-31
DEN,2017-11-26,348,Sun,11,12,@,OAK,L 14-21,348,1,DEN_OAK_2017-11-26
DAL,2022-09-11,347,Sun,1,1,,TAM,L 3-19,347,1,DAL_TAM_2022-09-11
GNB,2021-12-12,347,Sun,13,14,,CHI,W 45-30,347,3,GNB_CHI_2021-12-12
TEN,2021-11-07,347,Sun,9,9,@,LAR,W 28-16,347,2,TEN_LAR_2021-11-07
CAR,2021-01-03,347,Sun,16,17,,NOR,L 7-33,347,0,CAR_NOR_2021-01-03
ARI,2020-11-19,347,Thu,10,11,@,SEA,L 21-28,347,0,ARI_SEA_2020-11-19
TAM,2020-10-25,347,Sun,7,7,@,LVR,W 45-20,347,1,TAM_LVR_2020-10-25
ATL,2019-11-17,347,Sun,10,11,@,CAR,W 29-3,347,4,ATL_CAR_2019-11-17
BAL,2019-10-20,347,Sun,7,7,@,SEA,W 30-16,347,2,BAL_SEA_2019-10-20
IND,2018-10-28,347,Sun,8,8,@,OAK,W 42-28,347,1,IND_OAK_2018-10-28
NOR,2017-10-15,347,Sun,5,6,,DET,W 52-38,347,5,NOR_DET_2017-10-15
MIA,2017-10-01,347,Sun,3,4,,NOR,L 0-20,347,0,MIA_NOR_2017-10-01
NYJ,2023-01-01,346,Sun,16,17,@,SEA,L 6-23,346,0,NYJ_SEA_2023-01-01
GNB,2023-01-01,346,Sun,16,17,,MIN,W 41-17,346,4,GNB_MIN_2023-01-01
ATL,2022-10-16,346,Sun,6,6,,SFO,W 28-14,346,3,ATL_SFO_2022-10-16
LAC,2022-10-02,346,Sun,4,4,@,HOU,W 34-24,346,2,LAC_HOU_2022-10-02
LAC,2022-01-09,346,Sun,17,18,@,LVR,L 32-35 (OT),346,0,LAC_LVR_2022-01-09
ARI,2021-12-25,346,Sat,15,16,,IND,L 16-22,346,0,ARI_IND_2021-12-25
BAL,2021-12-19,346,Sun,14,15,,GNB,L 30-31,346,0,BAL_GNB_2021-12-19
ATL,2021-09-26,346,Sun,3,3,@,NYG,W 17-14,346,1,ATL_NYG_2021-09-26
NYG,2020-11-15,346,Sun,10,10,,PHI,W 27-17,346,0,NYG_PHI_2020-11-15
NWE,2019-12-08,346,Sun,13,14,,KAN,L 16-23,346,2,NWE_KAN_2019-12-08
OAK,2019-09-29,346,Sun,4,4,@,IND,W 31-24,346,2,OAK_IND_2019-09-29
TEN,2019-09-08,346,Sun,1,1,@,CLE,W 43-13,346,3,TEN_CLE_2019-09-08
CAR,2018-12-17,346,Mon,14,15,,NOR,L 9-12,346,2,CAR_NOR_2018-12-17
DET,2018-09-16,346,Sun,2,2,@,SFO,L 27-30,346,0,DET_SFO_2018-09-16
CIN,2017-12-17,346,Sun,14,15,@,MIN,L 7-34,346,1,CIN_MIN_2017-12-17
LAR,2017-11-26,346,Sun,11,12,,NOR,W 26-20,346,0,LAR_NOR_2017-11-26
IND,2017-09-24,346,Sun,3,3,,CLE,W 31-28,346,3,IND_CLE_2017-09-24
LAR,2022-12-19,345,Mon,14,15,@,GNB,L 12-24,345,2,LAR_GNB_2022-12-19
