Team,Date,Tot,Day,G#,Week,,Opp,Result,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,game_id
LAC,2017-09-17,367,Sun,2,2,,MIA,L 17-19,367,54,6.80,68,4.94,0,26:38,2:54,LAC_MIA_2017-09-17
DET,2017-09-10,367,Sun,1,1,,ARI,W 35-23,367,69,5.32,67,4.60,1,33:20,3:26,DET_ARI_2017-09-10
ARI,2022-11-27,366,Sun,12,12,,LAC,L 24-25,366,64,5.72,64,4.86,2,30:35,3:08,ARI_LAC_2022-11-27
NYJ,2021-11-14,366,Sun,9,10,,BUF,L 17-45,366,70,5.23,54,9.06,5,32:33,3:20,NYJ_BUF_2021-11-14
ATL,2021-11-07,366,Sun,8,9,@,NOR,W 27-25,366,57,6.42,69,5.45,0,27:39,3:03,ATL_NOR_2021-11-07
CIN,2021-09-12,366,Sun,1,1,,MIN,W 27-24 (OT),366,68,5.38,75,5.37,0,34:51,3:38,CIN_MIN_2021-09-12
IND,2020-11-01,366,Sun,7,8,@,DET,W 41-21,366,75,4.88,60,5.43,0,37:46,3:01,IND_DET_2020-11-01
SFO,2020-09-13,366,Sun,1,1,,ARI,L 20-24,366,61,6.00,78,5.18,0,28:34,3:04,SFO_ARI_2020-09-13
LAC,2019-12-29,366,Sun,16,17,@,KAN,L 21-31,366,74,4.95,48,7.00,2,36:04,3:03,LAC_KAN_2019-12-29
OAK,2019-12-22,366,Sun,15,16,@,LAC,W 24-17,366,62,5.90,56,5.07,0,33:24,3:01,OAK_LAC_2019-12-22
LAC,2019-09-22,366,Sun,3,3,,HOU,L 20-27,366,69,5.30,55,6.84,1,31:48,3:17,LAC_HOU_2019-09-22
BAL,2018-12-02,366,Sun,12,13,@,ATL,W 26-16,366,77,4.75,45,2.91,1,39:39,3:09,BAL_ATL_2018-12-02
ATL,2018-11-22,366,Thu,11,12,@,NOR,L 17-31,366,69,5.30,55,5.67,4,30:59,2:55,ATL_NOR_2018-11-22
IND,2018-11-11,366,Sun,9,10,,JAX,W 29-26,366,52,7.04,73,5.68,1,24:50,3:05,IND_JAX_2018-11-11
WAS,2018-11-04,366,Sun,8,9,,ATL,L 14-38,366,64,5.72,64,7.67,1,27:04,2:57,WAS_ATL_2018-11-04
TEN,2017-12-24,366,Sun,15,16,,LAR,L 23-27,366,66,5.55,66,6.09,1,29:56,3:20,TEN_LAR_2017-12-24
DEN,2017-09-24,366,Sun,3,3,@,BUF,L 16-26,366,66,5.55,63,4.32,2,29:34,3:03,DEN_BUF_2017-09-24
JAX,2022-12-22,365,Thu,15,16,@,NYJ,W 19-3,365,71,5.14,56,4.05,1,34:52,2:53,JAX_NYJ_2022-12-22
LAC,2022-12-18,365,Sun,14,15,,TEN,W 17-14,365,69,5.29,57,4.98,2,29:48,3:02,LAC_TEN_2022-12-18
LAC,2022-11-20,365,Sun,10,11,,KAN,L 27-30,365,65,5.62,62,7.82,2,32:19,2:58,LAC_KAN_2022-11-20
IND,2022-10-02,365,Sun,4,4,,TEN,L 17-24,365,63,5.79,52,4.67,3,33:57,2:49,IND_TEN_2022-10-02
ARI,2022-09-25,365,Sun,3,3,,LAR,L 12-20,365,81,4.51,46,7.37,0,33:56,3:01,ARI_LAR_2022-09-25
NWE,2021-12-18,365,Sat,14,15,@,IND,L 17-27,365,65,5.62,52,5.29,2,29:38,2:58,NWE_IND_2021-12-18
SFO,2021-12-05,365,Sun,12,13,@,SEA,L 23-30,365,56,6.52,68,4.81,3,26:41,3:13,SFO_SEA_2021-12-05
LAR,2021-10-17,365,Sun,6,6,@,NYG,W 38-11,365,66,5.53,73,3.58,2,32:22,3:02,LAR_NYG_2021-10-17
IND,2020-12-27,365,Sun,15,16,@,PIT,L 24-28,365,67,5.45,64,5.53,2,32:28,3:10,IND_PIT_2020-12-27
DEN,2020-12-13,365,Sun,13,14,@,CAR,W 32-27,365,58,6.29,65,5.69,1,29:32,3:03,DEN_CAR_2020-12-13
HOU,2020-10-25,365,Sun,7,7,,GNB,L 20-35,365,64,5.70,61,6.21,1,31:06,3:03,HOU_GNB_2020-10-25
MIN,2020-10-18,365,Sun,6,6,,ATL,L 23-40,365,50,7.30,79,5.85,3,19:53,3:03,MIN_ATL_2020-10-18
LAC,2019-10-20,365,Sun,7,7,@,TEN,L 20-23,365,60,6.08,61,6.61,1,27:45,3:10,LAC_TEN_2019-10-20
TEN,2019-09-29,365,Sun,4,4,@,ATL,W 24-10,365,61,5.98,75,5.63,0,29:19,2:57,TEN_ATL_2019-09-29
TEN,2018-11-26,365,Mon,11,12,@,HOU,L 17-34,365,52,7.02,62,7.45,1,30:02,2:44,TEN_HOU_2018-11-26
LAR,2018-09-10,365,Mon,1,1,@,OAK,W 33-13,365,60,6.08,64,6.17,0,28:29,3:10,LAR_OAK_2018-09-10
BAL,2017-10-08,365,Sun,5,5,@,OAK,W 30-17,365,65,5.62,54,4.54,0,33:43,2:51,BAL_OAK_2017-10-08
TEN,2022-12-11,364,Sun,13,14,,JAX,L 22-36,364,62,5.87,67,6.39,4,27:08,3:13,TEN_JAX_2022-12-11
WAS,2022-10-23,364,Sun,7,7,,GNB,W 23-21,364,72,5.06,47,4.94,1,37:07,3:21,WAS_GNB_2022-10-23
PIT,2022-10-09,364,Sun,5,5,@,BUF,L 3-38,364,72,5.06,54,10.22,2,36:08,3:10,PIT_BUF_2022-10-09
NWE,2022-10-09,364,Sun,5,5,,DET,W 29-0,364,56,6.50,64,4.88,1,31:29,2:55,NWE_DET_2022-10-09
DEN,2022-01-08,364,Sat,17,18,,KAN,L 24-28,364,54,6.74,74,5.27,1,26:56,2:59,DEN_KAN_2022-01-08
MIN,2020-12-25,364,Fri,15,16,@,NOR,L 33-52,364,60,6.07,73,7.99,0,23:13,3:11,MIN_NOR_2020-12-25
CAR,2020-12-19,364,Sat,14,15,@,GNB,L 16-24,364,65,5.60,61,4.77,1,30:51,3:05,CAR_GNB_2020-12-19
LVR,2020-11-22,364,Sun,10,11,,KAN,L 31-35,364,57,6.39,73,6.30,1,27:55,3:04,LVR_KAN_2020-11-22
DAL,2020-11-08,364,Sun,9,9,,PIT,L 19-24,364,71,5.13,63,5.63,2,33:24,3:15,DAL_PIT_2020-11-08
PHI,2020-10-18,364,Sun,6,6,,BAL,L 28-30,364,64,5.69,67,5.30,1,23:30,3:31,PHI_BAL_2020-10-18
JAX,2020-10-11,364,Sun,5,5,@,HOU,L 14-30,364,73,4.99,58,8.38,2,31:59,2:55,JAX_HOU_2020-10-11
OAK,2019-12-15,364,Sun,14,15,,JAX,L 16-20,364,72,5.06,53,4.94,0,34:12,3:03,OAK_JAX_2019-12-15
DET,2019-11-28,364,Thu,12,13,,CHI,L 20-24,364,67,5.43,62,6.76,1,29:10,3:23,DET_CHI_2019-11-28
DET,2019-11-24,364,Sun,11,12,@,WAS,L 16-19,364,71,5.13,57,4.04,4,33:30,3:15,DET_WAS_2019-11-24
MIN,2019-11-10,364,Sun,10,10,@,DAL,W 28-24,364,69,5.28,70,6.33,0,33:27,3:02,MIN_DAL_2019-11-10
PHI,2018-10-07,364,Sun,5,5,,MIN,L 21-23,364,55,6.62,61,6.15,2,27:13,3:02,PHI_MIN_2018-10-07
SFO,2018-09-30,364,Sun,4,4,@,LAC,L 27-29,364,59,6.17,67,5.49,2,27:34,3:13,SFO_LAC_2018-09-30
CIN,2017-12-24,364,Sun,15,16,,DET,W 26-17,364,78,4.67,59,4.68,1,32:29,3:08,CIN_DET_2017-12-24
DEN,2017-10-30,364,Mon,7,8,@,KAN,L 19-29,364,70,5.20,59,4.68,5,31:23,3:05,DEN_KAN_2017-10-30
ATL,2017-09-17,364,Sun,2,2,,GNB,W 34-23,364,58,6.28,68,5.40,0,28:37,3:10,ATL_GNB_2017-09-17
CIN,2022-12-11,363,Sun,13,14,,CLE,W 23-10,363,61,5.95,70,4.91,1,28:08,3:06,CIN_CLE_2022-12-11
ARI,2022-10-09,363,Sun,5,5,,PHI,L 17-20,363,69,5.26,71,5.03,1,25:21,2:53,ARI_PHI_2022-10-09
CHI,2022-09-25,363,Sun,3,3,,HOU,W 23-20,363,62,5.85,57,5.77,2,31:22,2:55,CHI_HOU_2022-09-25
LAC,2021-12-05,363,Sun,12,13,@,CIN,W 41-22,363,61,5.95,71,5.01,3,28:46,3:20,LAC_CIN_2021-12-05
ATL,2020-11-08,363,Sun,9,9,,DEN,W 34-27,363,69,5.26,71,5.70,1,33:27,3:14,ATL_DEN_2020-11-08
PHI,2020-09-20,363,Sun,2,2,,LAR,L 19-37,363,69,5.26,67,6.70,3,28:47,3:08,PHI_LAR_2020-09-20
CHI,2020-09-13,363,Sun,1,1,@,DET,W 27-23,363,65,5.58,72,5.92,0,29:05,3:16,CHI_DET_2020-09-13
KAN,2017-11-19,363,Sun,10,11,@,NYG,L 9-12 (OT),363,71,5.11,68,4.66,3,37:16,3:20,KAN_NYG_2017-11-19
WAS,2022-10-30,362,Sun,8,8,@,IND,W 17-16,362,61,5.93,54,6.00,1,30:40,2:50,WAS_IND_2022-10-30
TEN,2021-10-18,362,Mon,6,6,,BUF,W 34-31,362,51,7.10,73,5.71,1,27:10,3:08,TEN_BUF_2021-10-18
PIT,2020-10-25,362,Sun,6,7,@,TEN,W 27-24,362,74,4.89,56,5.21,3,36:37,3:06,PIT_TEN_2020-10-25
LAC,2020-09-13,362,Sun,1,1,@,CIN,W 16-13,362,71,5.10,67,4.40,0,30:10,3:17,LAC_CIN_2020-09-13
MIA,2019-12-08,362,Sun,13,14,@,NYJ,L 21-22,362,65,5.57,69,5.42,1,30:06,3:06,MIA_NYJ_2019-12-08
WAS,2019-12-01,362,Sun,12,13,@,CAR,W 29-21,362,60,6.03,73,3.81,0,30:37,3:32,WAS_CAR_2019-12-01
NYJ,2018-09-16,362,Sun,2,2,,MIA,L 12-20,362,63,5.75,58,4.43,3,31:35,3:04,NYJ_MIA_2018-09-16
KAN,2018-09-09,362,Sun,1,1,@,LAC,W 38-28,362,55,6.58,74,7.31,0,25:34,3:08,KAN_LAC_2018-09-09
MIA,2017-12-11,362,Mon,13,14,,NWE,W 27-20,362,70,5.17,55,4.51,0,36:09,3:18,MIA_NWE_2017-12-11
CAR,2017-10-08,362,Sun,5,5,@,DET,W 27-24,362,64,5.66,56,4.32,0,35:23,3:09,CAR_DET_2017-10-08
NOR,2017-09-24,362,Sun,3,3,@,CAR,W 34-13,362,57,6.35,59,4.88,0,31:09,2:52,NOR_CAR_2017-09-24
DAL,2022-12-29,361,Thu,16,17,@,TEN,W 27-13,361,74,4.88,65,4.88,3,33:26,3:02,DAL_TEN_2022-12-29
TEN,2022-09-25,361,Sun,3,3,,LVR,W 24-22,361,55,6.56,65,6.09,1,29:15,3:09,TEN_LVR_2022-09-25
MIN,2021-12-26,361,Sun,15,16,,LAR,L 23-30,361,63,5.73,70,5.09,1,30:00,3:01,MIN_LAR_2021-12-26
BUF,2021-11-25,361,Thu,11,12,@,NOR,W 31-6,361,62,5.82,57,3.33,2,34:38,2:49,BUF_NOR_2021-11-25
CLE,2021-11-07,361,Sun,9,9,@,CIN,W 41-16,361,46,7.85,70,4.97,0,24:38,3:07,CLE_CIN_2021-11-07
NOR,2021-10-31,361,Sun,7,8,,TAM,W 36-27,361,72,5.01,58,7.26,0,33:16,3:09,NOR_TAM_2021-10-31
JAX,2021-09-26,361,Sun,3,3,,ARI,L 19-31,361,66,5.47,64,6.36,4,27:06,3:03,JAX_ARI_2021-09-26
CIN,2019-12-29,361,Sun,16,17,,CLE,W 33-23,361,68,5.31,53,5.91,1,34:41,3:00,CIN_CLE_2019-12-29
WAS,2019-12-22,361,Sun,15,16,,NYG,L 35-41 (OT),361,67,5.39,69,8.00,0,33:48,3:36,WAS_NYG_2019-12-22
BAL,2018-12-22,361,Sat,15,16,@,LAC,W 22-10,361,60,6.02,57,3.47,1,31:25,2:56,BAL_LAC_2018-12-22
DEN,2018-12-02,361,Sun,12,13,@,CIN,W 24-10,361,57,6.33,64,4.89,1,28:40,3:13,DEN_CIN_2018-12-02
BAL,2018-10-14,361,Sun,6,6,@,TEN,W 21-0,361,72,5.01,40,2.65,1,37:34,2:52,BAL_TEN_2018-10-14
CIN,2017-11-26,361,Sun,11,12,,CLE,W 30-16,361,59,6.12,67,6.04,0,30:32,2:54,CIN_CLE_2017-11-26
HOU,2023-01-08,360,Sun,17,18,@,IND,W 32-31,360,64,5.63,70,5.69,3,26:07,3:09,HOU_IND_2023-01-08
PHI,2022-11-03,360,Thu,8,9,@,HOU,W 29-17,360,62,5.81,57,5.32,1,28:13,2:50,PHI_HOU_2022-11-03
LAR,2022-10-16,360,Sun,6,6,,CAR,W 24-10,360,63,5.71,44,4.61,1,37:05,2:58,LAR_CAR_2022-10-16
HOU,2021-10-10,360,Sun,5,5,,NWE,L 22-25,360,56,6.43,61,5.77,1,29:16,3:01,HOU_NWE_2021-10-10
HOU,2020-09-10,360,Thu,1,1,@,KAN,L 20-34,360,58,6.21,67,5.51,1,25:13,2:53,HOU_KAN_2020-09-10
PHI,2018-12-30,360,Sun,16,17,@,WAS,W 24-0,360,71,5.07,44,2.02,1,43:19,2:38,PHI_WAS_2018-12-30
WAS,2018-10-28,360,Sun,7,8,@,NYG,W 20-13,360,65,5.54,68,4.46,1,33:38,3:13,WAS_NYG_2018-10-28
NWE,2017-12-17,360,Sun,14,15,@,PIT,W 27-24,360,56,6.43,63,6.56,1,24:53,2:54,NWE_PIT_2017-12-17
SEA,2017-11-20,360,Mon,10,11,,ATL,L 31-34,360,69,5.22,58,4.81,2,29:39,3:18,SEA_ATL_2017-11-20
DET,2022-12-18,359,Sun,14,15,@,NYJ,W 20-17,359,66,5.44,61,5.52,0,32:32,3:04,DET_NYJ_2022-12-18
TEN,2022-09-11,359,Sun,1,1,,NYG,L 20-21,359,60,5.98,58,6.79,1,31:06,3:00,TEN_NYG_2022-09-11
TAM,2021-11-28,359,Sun,11,12,@,IND,W 38-31,359,63,5.70,67,5.85,2,29:59,3:19,TAM_IND_2021-11-28
DEN,2020-10-01,359,Thu,4,4,@,NYJ,W 37-28,359,63,5.70,74,4.34,3,31:39,3:29,DEN_NYJ_2020-10-01
SFO,2020-09-20,359,Sun,2,2,@,NYJ,W 31-13,359,59,6.08,62,4.47,1,32:13,2:56,SFO_NYJ_2020-09-20
LAC,2019-12-01,359,Sun,12,13,@,DEN,L 20-23,359,61,5.89,53,4.11,2,32:09,3:01,LAC_DEN_2019-12-01
NYG,2018-11-18,359,Sun,10,11,,TAM,W 38-35,359,53,6.77,68,7.50,0,27:53,3:01,NYG_TAM_2018-11-18
GNB,2018-11-15,359,Thu,10,11,@,SEA,L 24-27,359,48,7.48,69,5.48,0,25:42,2:56,GNB_SEA_2018-11-15
GNB,2018-10-28,359,Sun,7,8,@,LAR,L 27-29,359,52,6.90,75,5.55,1,25:50,3:19,GNB_LAR_2018-10-28
CIN,2017-12-31,359,Sun,16,17,@,BAL,W 31-27,359,75,4.79,74,4.22,1,28:39,3:33,CIN_BAL_2017-12-31
OAK,2017-09-10,359,Sun,1,1,@,TEN,W 26-16,359,63,5.70,63,5.56,0,31:39,2:59,OAK_TEN_2017-09-10
MIN,2022-11-24,358,Thu,11,12,,NWE,W 33-26,358,66,5.42,55,7.44,1,36:17,3:00,MIN_NWE_2022-11-24
DEN,2021-12-12,358,Sun,13,14,,DET,W 38-10,358,65,5.51,62,5.10,0,32:07,2:54,DEN_DET_2021-12-12
PHI,2021-10-24,358,Sun,7,7,@,LVR,L 22-33,358,68,5.26,63,7.02,2,27:29,3:01,PHI_LVR_2021-10-24
CLE,2021-01-03,358,Sun,16,17,,PIT,W 24-22,358,62,5.77,65,6.06,0,32:10,3:02,CLE_PIT_2021-01-03
NOR,2020-12-13,358,Sun,13,14,@,PHI,L 21-24,358,63,5.68,66,6.26,2,29:44,3:08,NOR_PHI_2020-12-13
GNB,2022-12-04,357,Sun,13,13,@,CHI,W 28-19,357,63,5.67,50,8.18,0,32:28,2:55,GNB_CHI_2022-12-04
BUF,2022-11-20,357,Sun,10,11,,CLE,W 31-23,357,62,5.76,68,5.82,0,28:38,3:15,BUF_CLE_2022-11-20
PHI,2022-10-09,357,Sun,5,5,@,ARI,W 20-17,357,71,5.03,69,5.26,0,34:39,2:53,PHI_ARI_2022-10-09
DET,2022-01-02,357,Sun,16,17,@,SEA,L 29-51,357,59,6.05,71,7.00,3,26:27,3:13,DET_SEA_2022-01-02
JAX,2021-11-28,357,Sun,11,12,,ATL,L 14-21,357,71,5.03,59,5.63,2,29:08,2:55,JAX_ATL_2021-11-28
LAC,2021-11-28,357,Sun,11,12,@,DEN,L 13-28,357,64,5.58,59,5.12,2,30:23,3:05,LAC_DEN_2021-11-28
LVR,2020-11-15,357,Sun,9,10,,DEN,W 37-12,357,66,5.41,68,4.60,0,36:38,3:19,LVR_DEN_2020-11-15
BAL,2020-11-15,357,Sun,9,10,@,NWE,L 17-23,357,64,5.58,58,5.31,1,32:34,2:53,BAL_NWE_2020-11-15
NYG,2020-11-02,357,Mon,8,8,,TAM,L 23-25,357,69,5.17,66,5.21,2,29:50,3:08,NYG_TAM_2020-11-02
NWE,2020-10-05,357,Mon,4,4,@,KAN,L 10-26,357,74,4.82,55,5.87,4,31:34,2:42,NWE_KAN_2020-10-05
NWE,2020-09-13,357,Sun,1,1,,MIA,W 21-11,357,63,5.67,58,4.64,1,34:49,2:45,NWE_MIA_2020-09-13
DET,2019-11-10,357,Sun,9,10,@,CHI,L 13-20,357,75,4.76,52,4.35,1,31:54,3:07,DET_CHI_2019-11-10
ARI,2019-10-31,357,Thu,9,9,,SFO,L 25-28,357,50,7.14,69,5.96,0,25:29,3:10,ARI_SFO_2019-10-31
OAK,2019-09-09,357,Mon,1,1,,DEN,W 24-16,357,54,6.61,57,6.04,0,32:45,2:49,OAK_DEN_2019-09-09
DEN,2018-10-14,357,Sun,6,6,,LAR,L 20-23,357,60,5.95,72,6.17,1,24:50,3:16,DEN_LAR_2018-10-14
HOU,2017-11-19,357,Sun,10,11,,ARI,W 31-21,357,67,5.33,54,5.41,2,33:46,3:11,HOU_ARI_2017-11-19
MIA,2017-10-22,357,Sun,6,7,,NYJ,W 31-28,357,65,5.49,52,5.23,2,31:58,3:25,MIA_NYJ_2017-10-22
MIN,2017-10-22,357,Sun,7,7,,BAL,W 24-16,357,64,5.58,64,3.25,1,32:01,2:48,MIN_BAL_2017-10-22
CHI,2022-01-09,356,Sun,17,18,@,MIN,L 17-31,356,80,4.45,47,7.04,2,36:47,2:51,CHI_MIN_2022-01-09
LAR,2021-12-26,356,Sun,15,16,@,MIN,W 30-23,356,70,5.09,63,5.73,3,30:00,3:01,LAR_MIN_2021-12-26
LAR,2021-12-13,356,Mon,13,14,@,ARI,W 30-23,356,54,6.59,75,5.96,0,29:04,3:01,LAR_ARI_2021-12-13
CIN,2021-12-05,356,Sun,12,13,,LAC,L 22-41,356,71,5.01,61,5.95,4,31:14,3:20,CIN_LAC_2021-12-05
CHI,2021-01-03,356,Sun,16,17,,GNB,L 16-35,356,74,4.81,44,7.18,2,35:28,2:54,CHI_GNB_2021-01-03
CLE,2020-11-15,356,Sun,9,10,,HOU,W 10-7,356,62,5.74,54,4.50,0,33:20,2:35,CLE_HOU_2020-11-15
BUF,2019-11-28,356,Thu,12,13,@,DAL,W 26-15,356,63,5.65,72,5.92,0,33:18,3:11,BUF_DAL_2019-11-28
JAX,2019-11-03,356,Sun,9,9,,HOU,L 3-26,356,66,5.39,63,6.51,4,27:27,2:57,JAX_HOU_2019-11-03
WAS,2019-09-23,356,Mon,3,3,,CHI,L 15-31,356,68,5.24,58,5.14,5,28:24,3:05,WAS_CHI_2019-09-23
SEA,2018-11-04,356,Sun,8,9,,LAC,L 17-25,356,75,4.75,50,7.50,1,35:41,3:06,SEA_LAC_2018-11-04
LAC,2018-09-23,356,Sun,3,3,@,LAR,L 23-35,356,52,6.85,72,7.24,2,25:44,2:57,LAC_LAR_2018-09-23
MIA,2017-12-31,356,Sun,16,17,,BUF,L 16-22,356,67,5.31,63,4.95,1,28:56,3:15,MIA_BUF_2017-12-31
DET,2017-12-31,356,Sun,16,17,,GNB,W 35-11,356,54,6.59,63,4.06,0,28:13,2:56,DET_GNB_2017-12-31
MIN,2017-12-10,356,Sun,13,14,@,CAR,L 24-31,356,71,5.01,63,5.48,3,28:42,3:06,MIN_CAR_2017-12-10
PHI,2017-09-10,356,Sun,1,1,@,WAS,W 30-17,356,65,5.48,61,4.33,2,34:16,3:06,PHI_WAS_2017-09-10
BUF,2022-12-01,355,Thu,12,13,@,NWE,W 24-10,355,72,4.93,51,4.75,1,38:08,2:55,BUF_NWE_2022-12-01
CLE,2022-09-11,355,Sun,1,1,@,CAR,W 26-24,355,74,4.80,50,5.22,0,38:26,3:16,CLE_CAR_2022-09-11
LAC,2022-09-11,355,Sun,1,1,,LVR,W 24-19,355,65,5.46,56,5.71,0,32:32,2:54,LAC_LVR_2022-09-11
SFO,2021-12-12,355,Sun,13,14,@,CIN,W 26-23 (OT),355,69,5.14,65,6.11,0,33:50,3:24,SFO_CIN_2021-12-12
TEN,2021-11-28,355,Sun,12,12,@,NWE,L 13-36,355,62,5.73,58,6.79,4,31:02,2:57,TEN_NWE_2021-11-28
NYJ,2021-10-03,355,Sun,4,4,,TEN,W 27-24 (OT),355,60,5.92,93,4.62,1,29:03,3:48,NYJ_TEN_2021-10-03
CLE,2021-09-19,355,Sun,2,2,,HOU,W 31-21,355,57,6.23,58,5.21,2,35:05,3:01,CLE_HOU_2021-09-19
PIT,2020-11-08,355,Sun,8,9,@,DAL,W 24-19,355,63,5.63,71,5.13,0,26:36,3:15,PIT_DAL_2020-11-08
BAL,2020-10-18,355,Sun,6,6,@,PHI,W 30-28,355,67,5.30,64,5.69,0,36:30,3:31,BAL_PHI_2020-10-18
OAK,2019-12-08,355,Sun,13,14,,TEN,L 21-42,355,60,5.92,59,9.36,1,30:48,2:58,OAK_TEN_2019-12-08
ATL,2017-11-05,355,Sun,8,9,@,CAR,L 17-20,355,58,6.12,63,5.24,1,27:08,3:04,ATL_CAR_2017-11-05
TEN,2022-10-30,354,Sun,7,8,@,HOU,W 17-10,354,58,6.10,51,3.16,2,34:48,2:51,TEN_HOU_2022-10-30
BAL,2021-12-19,354,Sun,14,15,,GNB,L 30-31,354,67,5.28,59,5.86,0,28:50,3:06,BAL_GNB_2021-12-19
SEA,2021-10-07,354,Thu,5,5,,LAR,L 17-26,354,60,5.90,67,7.10,2,26:57,3:05,SEA_LAR_2021-10-07
IND,2021-09-19,354,Sun,2,2,,LAR,L 24-27,354,65,5.45,60,6.18,2,31:32,2:58,IND_LAR_2021-09-19
PIT,2020-12-27,354,Sun,15,16,,IND,W 28-24,354,64,5.53,67,5.45,0,27:32,3:10,PIT_IND_2020-12-27
JAX,2020-12-13,354,Sun,13,14,,TEN,L 10-31,354,69,5.13,65,6.98,1,28:17,3:02,JAX_TEN_2020-12-13
TEN,2020-09-20,354,Sun,2,2,,JAX,W 33-30,354,59,6.00,74,6.49,0,26:38,2:59,TEN_JAX_2020-09-20
IND,2020-09-20,354,Sun,2,2,,MIN,W 28-11,354,67,5.28,47,3.72,1,38:25,2:52,IND_MIN_2020-09-20
MIN,2019-12-08,354,Sun,13,14,,DET,W 20-7,354,70,5.06,67,3.45,0,33:43,3:07,MIN_DET_2019-12-08
MIN,2019-12-02,354,Mon,12,13,@,SEA,L 30-37,354,52,6.81,76,5.84,3,20:15,3:13,MIN_SEA_2019-12-02
OAK,2018-12-09,354,Sun,13,14,,PIT,W 24-21,354,63,5.62,58,5.86,1,32:36,3:04,OAK_PIT_2018-12-09
ATL,2018-11-18,354,Sun,10,11,,DAL,L 19-22,354,55,6.44,63,5.13,1,28:03,2:45,ATL_DAL_2018-11-18
PHI,2017-09-24,354,Sun,3,3,,NYG,W 27-24,354,73,4.85,64,6.48,1,37:32,3:24,PHI_NYG_2017-09-24
MIN,2022-12-24,353,Sat,15,16,,NYG,W 27-24,353,71,4.97,66,6.74,0,30:47,3:04,MIN_NYG_2022-12-24
HOU,2022-01-09,353,Sun,17,18,,TEN,L 25-28,353,56,6.30,65,6.23,0,26:26,3:02,HOU_TEN_2022-01-09
LAR,2021-11-28,353,Sun,11,12,@,GNB,L 28-36,353,61,5.79,78,5.12,3,20:20,3:19,LAR_GNB_2021-11-28
CHI,2021-11-21,353,Sun,10,11,,BAL,L 13-16,353,57,6.19,76,3.93,1,21:10,3:11,CHI_BAL_2021-11-21
HOU,2021-10-17,353,Sun,6,6,@,IND,L 3-31,353,74,4.77,48,8.08,3,34:33,2:55,HOU_IND_2021-10-17
GNB,2021-09-26,353,Sun,3,3,@,SFO,W 30-28,353,59,5.98,65,4.58,0,30:08,3:08,GNB_SFO_2021-09-26
WAS,2020-12-20,353,Sun,14,15,,SEA,L 15-20,353,79,4.47,53,5.70,2,32:16,3:03,WAS_SEA_2020-12-20
TAM,2020-09-27,353,Sun,3,3,@,DEN,W 28-10,353,65,5.43,59,3.83,0,33:02,2:59,TAM_DEN_2020-09-27
IND,2020-09-27,353,Sun,3,3,,NYJ,W 36-7,353,56,6.30,60,4.33,0,30:08,2:49,IND_NYJ_2020-09-27
CIN,2020-09-17,353,Thu,2,2,@,CLE,L 30-35,353,88,4.01,58,7.48,1,33:39,3:21,CIN_CLE_2020-09-17
JAX,2019-12-29,353,Sun,16,17,,IND,W 38-20,353,66,5.35,55,5.00,1,33:53,3:03,JAX_IND_2019-12-29
CIN,2017-12-04,353,Mon,12,13,,PIT,L 20-23,353,60,5.88,63,5.94,0,30:11,3:25,CIN_PIT_2017-12-04
LAC,2023-01-08,352,Sun,17,18,@,DEN,L 28-31,352,67,5.25,62,7.60,2,28:57,3:03,LAC_DEN_2023-01-08
NWE,2021-10-31,352,Sun,8,8,@,LAC,W 27-24,352,75,4.69,58,6.36,1,35:24,3:07,NWE_LAC_2021-10-31
ARI,2021-10-17,352,Sun,6,6,@,CLE,W 37-14,352,69,5.10,55,5.27,0,34:39,2:57,ARI_CLE_2021-10-17
NWE,2021-10-10,352,Sun,5,5,@,HOU,W 25-22,352,61,5.77,56,6.43,2,30:44,3:01,NWE_HOU_2021-10-10
LAC,2021-09-26,352,Sun,3,3,@,KAN,W 30-24,352,61,5.77,76,5.75,0,27:29,3:07,LAC_KAN_2021-09-26
NWE,2019-12-29,352,Sun,16,17,,MIA,L 24-27,352,57,6.18,68,5.72,2,26:09,3:01,NWE_MIA_2019-12-29
WAS,2019-12-15,352,Sun,14,15,,PHI,L 27-37,352,51,6.90,73,5.68,1,23:03,3:09,WAS_PHI_2019-12-15
CAR,2019-09-12,352,Thu,2,2,,TAM,L 14-20,352,73,4.82,59,4.90,1,26:07,3:51,CAR_TAM_2019-09-12
LAR,2017-12-17,352,Sun,14,15,@,SEA,W 42-7,352,68,5.18,54,2.76,1,36:46,3:14,LAR_SEA_2017-12-17
DET,2017-11-19,352,Sun,10,11,@,CHI,W 27-24,352,58,6.07,61,6.52,1,30:36,3:07,DET_CHI_2017-11-19
PIT,2023-01-01,351,Sun,16,17,@,BAL,W 16-13,351,70,5.01,50,4.80,0,34:14,2:51,PIT_BAL_2023-01-01
SFO,2022-12-04,351,Sun,12,13,,MIA,W 33-17,351,79,4.44,45,6.84,1,40:34,3:14,SFO_MIA_2022-12-04
PIT,2022-12-04,351,Sun,12,13,@,ATL,W 19-16,351,65,5.40,53,5.77,0,32:55,2:52,PIT_ATL_2022-12-04
PIT,2022-11-20,351,Sun,10,11,,CIN,L 30-37,351,68,5.16,65,6.28,0,28:24,3:18,PIT_CIN_2022-11-20
BUF,2022-01-02,351,Sun,16,17,,ATL,W 29-15,351,71,4.94,50,5.30,3,36:07,3:04,BUF_ATL_2022-01-02
