Team,Date,Pts,Day,G#,Week,,Opp,Result,Pts,PtsO,PtDif,PC,game_id
PHI,2022-11-27,40,Sun,11,12,,GNB,W 40-33,40,33,7,73,PHI_GNB_2022-11-27
LVR,2022-11-27,40,Sun,11,12,@,SEA,W 40-34 (OT),40,34,6,74,LVR_SEA_2022-11-27
DAL,2022-11-20,40,Sun,10,11,@,MIN,W 40-3,40,3,37,43,DAL_MIN_2022-11-20
NYJ,2022-10-09,40,Sun,5,5,,MIA,W 40-17,40,17,23,57,NYJ_MIA_2022-10-09
PHI,2021-11-21,40,Sun,11,11,,NOR,W 40-29,40,29,11,69,PHI_NOR_2021-11-21
BUF,2021-10-03,40,Sun,4,4,,HOU,W 40-0,40,0,40,40,BUF_HOU_2021-10-03
GNB,2020-12-27,40,Sun,15,16,,TEN,W 40-14,40,14,26,54,GNB_TEN_2020-12-27
BAL,2020-12-20,40,Sun,14,15,,JAX,W 40-14,40,14,26,54,BAL_JAX_2020-12-20
SEA,2020-12-13,40,Sun,13,14,,NYJ,W 40-3,40,3,37,43,SEA_NYJ_2020-12-13
ATL,2020-10-18,40,Sun,6,6,@,MIN,W 40-23,40,23,17,63,ATL_MIN_2020-10-18
LVR,2020-10-11,40,Sun,5,5,@,KAN,W 40-32,40,32,8,72,LVR_KAN_2020-10-11
DAL,2020-09-20,40,Sun,2,2,,ATL,W 40-39,40,39,1,79,DAL_ATL_2020-09-20
ATL,2019-12-08,40,Sun,13,14,,CAR,W 40-20,40,20,20,60,ATL_CAR_2019-12-08
KAN,2019-12-01,40,Sun,12,13,,OAK,W 40-9,40,9,31,49,KAN_OAK_2019-12-01
SEA,2019-11-03,40,Sun,9,9,,TAM,W 40-34 (OT),40,34,6,74,SEA_TAM_2019-11-03
CLE,2019-09-29,40,Sun,4,4,@,BAL,W 40-25,40,25,15,65,CLE_BAL_2019-09-29
LAR,2019-09-29,40,Sun,4,4,,TAM,L 40-55,40,55,-15,95,LAR_TAM_2019-09-29
KAN,2019-09-08,40,Sun,1,1,@,JAX,W 40-26,40,26,14,66,KAN_JAX_2019-09-08
ATL,2018-12-16,40,Sun,14,15,,ARI,W 40-14,40,14,26,54,ATL_ARI_2018-12-16
NYG,2018-12-09,40,Sun,13,14,@,WAS,W 40-16,40,16,24,56,NYG_WAS_2018-12-09
KAN,2018-12-02,40,Sun,12,13,@,OAK,W 40-33,40,33,7,73,KAN_OAK_2018-12-02
DAL,2018-10-14,40,Sun,6,6,,JAX,W 40-7,40,7,33,47,DAL_JAX_2018-10-14
KAN,2018-10-14,40,Sun,6,6,@,NWE,L 40-43,40,43,-3,83,KAN_NWE_2018-10-14
NOR,2018-09-09,40,Sun,1,1,,TAM,L 40-48,40,48,-8,88,NOR_TAM_2018-09-09
MIN,2022-12-17,39,Sat,14,15,,IND,W 39-36 (OT),39,36,3,75,MIN_IND_2022-12-17
MIA,2022-11-13,39,Sun,10,10,,CLE,W 39-17,39,17,22,56,MIA_CLE_2022-11-13
NOR,2022-10-09,39,Sun,5,5,,SEA,W 39-32,39,32,7,71,NOR_SEA_2022-10-09
LAC,2020-10-25,39,Sun,6,7,,JAX,W 39-29,39,29,10,68,LAC_JAX_2020-10-25
ATL,2020-09-20,39,Sun,2,2,@,DAL,L 39-40,39,40,-1,79,ATL_DAL_2020-09-20
MIN,2019-12-15,39,Sun,14,15,@,LAC,W 39-10,39,10,29,49,MIN_LAC_2019-12-15
LAR,2018-10-21,39,Sun,7,7,@,SFO,W 39-10,39,10,29,49,LAR_SFO_2018-10-21
SFO,2023-01-08,38,Sun,17,18,,ARI,W 38-13,38,13,25,51,SFO_ARI_2023-01-08
NYG,2023-01-01,38,Sun,16,17,,IND,W 38-10,38,10,28,48,NYG_IND_2023-01-01
SFO,2022-11-21,38,Mon,10,11,@,ARI,W 38-10,38,10,28,48,SFO_ARI_2022-11-21
LVR,2022-10-23,38,Sun,6,7,,HOU,W 38-20,38,20,18,58,LVR_HOU_2022-10-23
NWE,2022-10-16,38,Sun,6,6,@,CLE,W 38-15,38,15,23,53,NWE_CLE_2022-10-16
BUF,2022-10-09,38,Sun,5,5,,PIT,W 38-3,38,3,35,41,BUF_PIT_2022-10-09
JAX,2022-09-25,38,Sun,3,3,@,LAC,W 38-10,38,10,28,48,JAX_LAC_2022-09-25
BAL,2022-09-18,38,Sun,2,2,,MIA,L 38-42,38,42,-4,80,BAL_MIA_2022-09-18
PHI,2022-09-11,38,Sun,1,1,@,DET,W 38-35,38,35,3,73,PHI_DET_2022-09-11
SEA,2022-01-09,38,Sun,17,18,@,ARI,W 38-30,38,30,8,68,SEA_ARI_2022-01-09
DEN,2021-12-12,38,Sun,13,14,,DET,W 38-10,38,10,28,48,DEN_DET_2021-12-12
TAM,2021-11-28,38,Sun,11,12,@,IND,W 38-31,38,31,7,69,TAM_IND_2021-11-28
LAR,2021-10-31,38,Sun,8,8,@,HOU,W 38-22,38,22,16,60,LAR_HOU_2021-10-31
TAM,2021-10-24,38,Sun,7,7,,CHI,W 38-3,38,3,35,41,TAM_CHI_2021-10-24
LAR,2021-10-17,38,Sun,6,6,@,NYG,W 38-11,38,11,27,49,LAR_NYG_2021-10-17
BUF,2021-10-10,38,Sun,5,5,@,KAN,W 38-20,38,20,18,58,BUF_KAN_2021-10-10
ARI,2021-09-12,38,Sun,1,1,@,TEN,W 38-13,38,13,25,51,ARI_TEN_2021-09-12
NOR,2021-09-12,38,Sun,1,1,,GNB,W 38-3,38,3,35,41,NOR_GNB_2021-09-12
HOU,2021-01-03,38,Sun,16,17,,TEN,L 38-41,38,41,-3,79,HOU_TEN_2021-01-03
BAL,2021-01-03,38,Sun,16,17,@,CIN,W 38-3,38,3,35,41,BAL_CIN_2021-01-03
LAC,2021-01-03,38,Sun,16,17,@,KAN,W 38-21,38,21,17,59,LAC_KAN_2021-01-03
BUF,2020-12-28,38,Mon,15,16,@,NWE,W 38-9,38,9,29,47,BUF_NWE_2020-12-28
LAR,2020-12-06,38,Sun,12,13,@,ARI,W 38-28,38,28,10,66,LAR_ARI_2020-12-06
NOR,2020-11-08,38,Sun,8,9,@,TAM,W 38-3,38,3,35,41,NOR_TAM_2020-11-08
ARI,2020-10-19,38,Mon,6,6,@,DAL,W 38-10,38,10,28,48,ARI_DAL_2020-10-19
PIT,2020-10-18,38,Sun,5,6,,CLE,W 38-7,38,7,31,45,PIT_CLE_2020-10-18
TAM,2020-10-18,38,Sun,6,6,,GNB,W 38-10,38,10,28,48,TAM_GNB_2020-10-18
PIT,2020-10-11,38,Sun,4,5,,PHI,W 38-29,38,29,9,67,PIT_PHI_2020-10-11
DAL,2020-10-04,38,Sun,4,4,,CLE,L 38-49,38,49,-11,87,DAL_CLE_2020-10-04
TAM,2020-10-04,38,Sun,4,4,,LAC,W 38-31,38,31,7,69,TAM_LAC_2020-10-04
SEA,2020-09-27,38,Sun,3,3,,DAL,W 38-31,38,31,7,69,SEA_DAL_2020-09-27
BAL,2020-09-13,38,Sun,1,1,,CLE,W 38-6,38,6,32,44,BAL_CLE_2020-09-13
SEA,2020-09-13,38,Sun,1,1,@,ATL,W 38-25,38,25,13,63,SEA_ATL_2020-09-13
JAX,2019-12-29,38,Sun,16,17,,IND,W 38-20,38,20,18,58,JAX_IND_2019-12-29
NOR,2019-12-22,38,Sun,15,16,@,TEN,W 38-28,38,28,10,66,NOR_TEN_2019-12-22
MIA,2019-12-22,38,Sun,15,16,,CIN,W 38-35 (OT),38,35,3,73,MIA_CIN_2019-12-22
