,game_id,season,week,home_team,away_team,home_score,score_diff,away_score,home_team_win,epa_rushing_offense_home,epa_shifted_rushing_offense_home,ewma_rushing_offense_home,ewma_dynamic_window_rushing_offense_home,epa_passing_offense_home,epa_shifted_passing_offense_home,ewma_passing_offense_home,ewma_dynamic_window_passing_offense_home,epa_rushing_defense_home,epa_shifted_rushing_defense_home,ewma_rushing_defense_home,ewma_dynamic_window_rushing_defense_home,epa_passing_defense_home,epa_shifted_passing_defense_home,ewma_passing_defense_home,ewma_dynamic_window_passing_defense_home,epa_rushing_offense_away,epa_shifted_rushing_offense_away,ewma_rushing_offense_away,ewma_dynamic_window_rushing_offense_away,epa_passing_offense_away,epa_shifted_passing_offense_away,ewma_passing_offense_away,ewma_dynamic_window_passing_offense_away,epa_rushing_defense_away,epa_shifted_rushing_defense_away,ewma_rushing_defense_away,ewma_dynamic_window_rushing_defense_away,epa_passing_defense_away,epa_shifted_passing_defense_away,ewma_passing_defense_away,ewma_dynamic_window_passing_defense_away,rest differential,windy,div_game,spread_line,total_line,game_type,location,home_game
35,2002_03_CLE_TEN,2002,3,TEN,CLE,28,-3,31,0,-0.109411664,0.0070963996,-0.1034469780046492,-0.1034469780046492,-0.014656365,-0.13785723,0.0599742606282234,0.0599742606282234,-0.27858743,-0.31966624,-0.1587569437921047,-0.1587569437921047,0.08885709,0.43946847,0.1976390901952981,0.1976390901952981,-0.27858743,-0.21587531,-0.1576113559305668,-0.1576113559305668,0.08885709,0.1387887,0.2190215110778808,0.2190215110778808,-0.109411664,0.25498238,0.2931325942277908,0.2931325942277908,-0.014656365,-0.28021622,0.0234190300107002,0.0234190300107002,0,0,0,4.5,40.5,REG,Home,1
36,2002_03_DAL_PHI,2002,3,PHI,DAL,44,31,13,1,0.05220363,0.21692716,0.1363694220781326,0.1363694220781326,0.1284422,0.2068325,0.0696893040090799,0.0696893040090799,-0.4152275,-0.023729434,-0.1204011865891516,-0.1204011865891516,-0.18260579,-0.4445561,-0.1087101116776466,-0.1087101116776466,-0.4152275,-0.31966624,-0.1395911354571581,-0.1395911354571581,-0.18260579,0.43946847,0.0672222390770912,0.0672222390770912,0.05220363,0.0070963996,-0.1478123646695167,-0.1478123646695167,0.1284422,-0.13785723,-0.2244601383805275,-0.2244601383805275,-1,0,1,10.0,36.5,REG,Home,1
37,2002_03_GB_DET,2002,3,DET,GB,31,-6,37,0,-0.15801276,0.016605502,0.0217799793928861,0.0217799793928861,-0.4341467,-0.6181904,-0.3873002834618091,-0.3873002834618091,-0.14088427,-0.2948316,-0.1560121926944703,-0.1560121926944703,0.19179381,0.32451224,0.4987240523099899,0.4987240523099899,-0.14088427,-0.29865366,-0.1268665567040443,-0.1268665567040443,0.19179381,-0.1520879,0.0581013068556785,0.0581013068556785,-0.15801276,0.07947146,0.2375451330095529,0.2375451330095529,-0.4341467,0.06098486,0.1213909858837723,0.1213909858837723,0,0,1,-7.5,44.0,REG,Home,1
38,2002_03_IND_HOU,2002,3,HOU,IND,3,-20,23,0,-0.074197955,-0.19797872,-0.2606036804616451,-0.2606036804616451,-0.5074346,-0.8497978,-0.616027444601059,-0.616027444601059,-0.23005559,-0.08705162,-0.011653097718954,-0.011653097718954,0.1415283,-0.28879198,-0.3333210125565529,-0.3333210125565529,-0.23005559,0.014853864,0.0241519716102629,0.0241519716102629,0.1415283,-0.19971053,-0.0472438216209411,-0.0472438216209411,-0.074197955,0.07306595,0.0707734975963831,0.0707734975963831,-0.5074346,0.40419105,0.2636689566075801,0.2636689566075801,0,0,1,-10.5,38.0,REG,Home,1
39,2002_03_KC_NE,2002,3,NE,KC,41,3,38,1,0.009652132,0.18289217,-0.1148949056863784,-0.1148949056863784,0.22913395,0.1890786,0.1790646389126778,0.1790646389126778,0.3394167,0.07779822,0.0191875433549284,0.0191875433549284,-0.015475696,-0.7732305,-0.533450897783041,-0.533450897783041,0.3394167,0.022395754,0.1652099489234388,0.1652099489234388,-0.015475696,-0.045325372,0.1526089945808053,0.1526089945808053,0.009652132,-0.13841578,-0.1150086149573326,-0.1150086149573326,0.22913395,0.5822611,0.4629313230514526,0.4629313230514526,0,1,0,8.5,43.5,REG,Home,1
40,2002_03_NO_CHI,2002,3,CHI,NO,23,-6,29,0,-0.062479198,-0.26491913,-0.2624897077679634,-0.2624897077679634,0.040345185,-0.029121943,0.1475226331502199,0.1475226331502199,-0.2548276,-0.4193795,-0.2156594112515449,-0.2156594112515449,0.19634676,-0.05998539,0.0999959539622068,0.0999959539622068,-0.2548276,0.07947146,0.013964145630598,0.013964145630598,0.19634676,0.06098486,0.0982407996430993,0.0982407996430993,-0.062479198,-0.29865366,-0.1968981690704822,-0.1968981690704822,0.040345185,-0.1520879,-0.1551639884710312,-0.1551639884710312,0,0,0,-2.0,40.5,REG,Home,1
41,2002_03_NYJ_MIA,2002,3,MIA,NYJ,30,27,3,1,0.16889517,0.07306595,0.0463314626831561,0.0463314626831561,0.10108464,0.40419105,0.54254739433527,0.54254739433527,-0.24276982,0.014853864,0.020816578483209,0.020816578483209,-0.4607237,-0.19971053,-0.1571363523602485,-0.1571363523602485,-0.24276982,0.07779822,-0.2343645498156547,-0.2343645498156547,-0.4607237,-0.7732305,-0.343861722946167,-0.343861722946167,0.16889517,0.18289217,0.0789228437468409,0.0789228437468409,0.10108464,0.1890786,0.1177361896261572,0.1177361896261572,0,0,1,6.0,40.5,REG,Home,1
42,2002_03_SD_ARI,2002,3,ARI,LAC,15,-8,23,0,-0.06989178,0.2571827,0.1790071006864309,0.1790071006864309,-0.26959515,-0.14617838,-0.0868520807940512,-0.0868520807940512,-0.025801543,-0.34047976,-0.1367976769804954,-0.1367976769804954,-0.00394111,-0.05610235,0.0490333966910839,0.0490333966910839,-0.025801543,-0.08705162,0.096658743545413,0.096658743545413,-0.00394111,-0.28879198,0.055008752644062,0.055008752644062,-0.06989178,-0.19797872,-0.201925677806139,-0.201925677806139,-0.26959515,-0.8497978,-0.5823604509234429,-0.5823604509234429,0,0,0,-2.5,39.0,REG,Home,1
43,2002_03_SEA_NYG,2002,3,NYG,SEA,9,3,6,1,-0.36117068,-0.28554437,-0.3646944761276245,-0.3646944761276245,0.1510306,0.59038883,0.385237268358469,0.385237268358469,-0.35143566,-0.21507816,-0.1131871274672448,-0.1131871274672448,-0.14697427,-0.0001589179,0.0349320592002186,0.0349320592002186,-0.35143566,-0.34047976,-0.2914040468633175,-0.2914040468633175,-0.14697427,-0.05610235,0.0304664820432662,0.0304664820432662,-0.36117068,0.2571827,0.1233870878815651,0.1233870878815651,0.1510306,-0.14617838,0.0305490732192993,0.0305490732192993,0,0,0,5.5,39.0,REG,Home,1
44,2002_03_STL_TB,2002,3,TB,LA,26,12,14,1,0.01613765,-0.27692443,-0.1849470920860767,-0.1849470920860767,-0.05981075,0.257312,0.0700059548020363,0.0700059548020363,0.037527286,-0.3188791,-0.2051286619156599,-0.2051286619156599,-0.25055563,-0.48387268,-0.2014308489859104,-0.2014308489859104,0.037527286,-0.21507816,-0.2381027452647686,-0.2381027452647686,-0.25055563,-0.0001589179,0.0340224383042368,0.0340224383042368,0.01613765,-0.28554437,-0.2129031181335449,-0.2129031181335449,-0.05981075,0.59038883,0.2693693391978741,0.2693693391978741,0,0,0,-1.5,44.0,REG,Home,1
