Team,Date,Att,Day,G#,Week,,Opp,Result,Att,Yds,Y/A,TD,Season,game_id
DET,2022-01-02,41,Sun,16,17,@,SEA,L 29-51,41,265,6.5,2,2021,2021_17_DET_SEA
WAS,2021-12-21,41,Tue,14,15,@,PHI,L 17-27,41,238,5.8,2,2021,2021_15_WAS_PHI
NYJ,2021-12-05,41,Sun,12,13,,PHI,L 18-33,41,185,4.5,1,2021,2021_13_NYJ_PHI
DAL,2021-11-07,41,Sun,8,9,,DEN,L 16-30,41,190,4.6,2,2021,2021_09_DAL_DEN
PHI,2021-09-27,41,Mon,3,3,@,DAL,L 21-41,41,160,3.9,2,2021,2021_03_PHI_DAL
KAN,2021-09-19,41,Sun,2,2,@,BAL,L 35-36,41,251,6.1,3,2021,2021_02_KAN_BAL
JAX,2021-09-12,41,Sun,1,1,@,HOU,L 21-37,41,160,3.9,2,2021,2021_01_JAX_HOU
HOU,2021-01-03,41,Sun,16,17,,TEN,L 38-41,41,288,7.0,4,2020,2020_17_HOU_TEN
PIT,2020-12-21,41,Mon,14,15,@,CIN,L 17-27,41,152,3.7,2,2020,2020_15_PIT_CIN
NOR,2020-12-20,41,Sun,14,15,,KAN,L 29-32,41,179,4.4,1,2020,2020_15_NOR_KAN
LAC,2020-12-17,41,Thu,14,15,@,LVR,W 30-27 (OT),41,173,4.2,2,2020,2020_15_LAC_LVR
HOU,2020-11-15,41,Sun,9,10,@,CLE,L 7-10,41,231,5.6,1,2020,2020_10_HOU_CLE
DEN,2020-11-15,41,Sun,9,10,@,LVR,L 12-37,41,203,5.0,4,2020,2020_10_DEN_LVR
NYJ,2020-11-09,41,Mon,9,9,,NWE,L 27-30,41,159,3.9,3,2020,2020_09_NYJ_NWE
SEA,2020-10-11,41,Sun,5,5,,MIN,W 27-26,41,201,4.9,1,2020,2020_05_SEA_MIN
NWE,2019-11-03,41,Sun,9,9,@,BAL,L 20-37,41,210,5.1,3,2019,2019_09_NWE_BAL
BUF,2019-10-27,41,Sun,7,8,,PHI,L 13-31,41,218,5.3,3,2019,2019_08_BUF_PHI
LAR,2019-10-13,41,Sun,6,6,,SFO,L 7-20,41,99,2.4,2,2019,2019_06_LAR_SFO
KAN,2019-10-13,41,Sun,6,6,,HOU,L 24-31,41,192,4.7,3,2019,2019_06_KAN_HOU
ARI,2018-12-23,41,Sun,15,16,,LAR,L 9-31,41,269,6.6,3,2018,2018_16_ARI_LAR
OAK,2018-12-16,41,Sun,14,15,@,CIN,L 16-30,41,171,4.2,2,2018,2018_15_OAK_CIN
CIN,2018-09-23,41,Sun,3,3,@,CAR,L 21-31,41,230,5.6,2,2018,2018_03_CIN_CAR
DET,2017-11-23,41,Thu,11,12,,MIN,L 23-30,41,136,3.3,2,2017,2017_12_DET_MIN
BUF,2017-11-02,41,Thu,8,9,@,NYJ,L 21-34,41,194,4.7,3,2017,2017_09_BUF_NYJ
SEA,2022-11-27,40,Sun,11,12,,LVR,L 34-40 (OT),40,283,7.1,2,2022,2022_12_SEA_LVR
MIN,2022-11-20,40,Sun,10,11,,DAL,L 3-40,40,151,3.8,2,2022,2022_11_MIN_DAL
HOU,2022-11-20,40,Sun,10,11,,WAS,L 10-23,40,153,3.8,1,2022,2022_11_HOU_WAS
NOR,2022-11-07,40,Mon,9,9,,BAL,L 13-27,40,188,4.7,2,2022,2022_09_NOR_BAL
MIA,2022-11-06,40,Sun,9,9,@,CHI,W 35-32,40,252,6.3,1,2022,2022_09_MIA_CHI
SFO,2022-10-16,40,Sun,6,6,@,ATL,L 14-28,40,168,4.2,1,2022,2022_06_SFO_ATL
HOU,2022-09-25,40,Sun,3,3,@,CHI,L 20-23,40,281,7.0,2,2022,2022_03_HOU_CHI
MIA,2022-01-02,40,Sun,16,17,@,TEN,L 3-34,40,198,5.0,2,2021,2021_17_MIA_TEN
CHI,2022-01-02,40,Sun,16,17,,NYG,W 29-3,40,161,4.0,0,2021,2021_17_CHI_NYG
DEN,2021-12-26,40,Sun,15,16,@,LVR,L 13-17,40,160,4.0,1,2021,2021_16_DEN_LVR
CAR,2021-11-21,40,Sun,11,11,,WAS,L 21-27,40,190,4.8,0,2021,2021_11_CAR_WAS
HOU,2021-10-03,40,Sun,4,4,@,BUF,L 0-40,40,199,5.0,2,2021,2021_04_HOU_BUF
LAR,2021-10-03,40,Sun,4,4,,ARI,L 20-37,40,216,5.4,2,2021,2021_04_LAR_ARI
SEA,2021-09-19,40,Sun,2,2,,TEN,L 30-33 (OT),40,212,5.3,3,2021,2021_02_SEA_TEN
NYG,2020-12-27,40,Sun,15,16,@,BAL,L 13-27,40,249,6.2,1,2020,2020_16_NYG_BAL
