Team,Date,TD,Day,G#,Week,,Opp,Result,TD,XPA,XPM,Att,Md,Sfty,Season,game_id
CIN,2018-10-21,6,Sun,7,7,@,KAN,L 10-45,6,6,6,2,1,0,2018,2018_07_CIN_KAN
ARI,2018-10-18,6,Thu,7,7,,DEN,L 10-45,6,6,6,1,1,0,2018,2018_07_ARI_DEN
WAS,2018-10-08,6,Mon,4,5,@,NOR,L 19-43,6,5,4,1,1,0,2018,2018_05_WAS_NOR
ATL,2018-10-07,6,Sun,5,5,@,PIT,L 17-41,6,6,5,0,0,0,2018,2018_05_ATL_PIT
TAM,2018-09-30,6,Sun,4,4,@,CHI,L 10-48,6,6,6,2,2,0,2018,2018_04_TAM_CHI
PIT,2018-09-16,6,Sun,2,2,,KAN,L 37-42,6,6,6,0,0,0,2018,2018_02_PIT_KAN
DET,2018-09-10,6,Mon,1,1,,NYJ,L 17-48,6,6,6,2,2,0,2018,2018_01_DET_NYJ
NOR,2018-09-09,6,Sun,1,1,,TAM,L 40-48,6,6,6,3,2,0,2018,2018_01_NOR_TAM
BUF,2018-09-09,6,Sun,1,1,@,BAL,L 3-47,6,5,5,2,2,0,2018,2018_01_BUF_BAL
JAX,2017-12-24,6,Sun,15,16,@,SFO,L 33-44,6,6,5,1,1,0,2017,2017_16_JAX_SFO
HOU,2017-12-17,6,Sun,14,15,@,JAX,L 7-45,6,6,6,1,1,0,2017,2017_15_HOU_JAX
BUF,2017-11-19,6,Sun,10,11,@,LAC,L 24-54,6,6,6,5,4,0,2017,2017_11_BUF_LAC
MIA,2017-11-13,6,Mon,9,10,@,CAR,L 21-45,6,6,6,1,1,0,2017,2017_10_MIA_CAR
BUF,2017-11-12,6,Sun,9,10,,NOR,L 10-47,6,6,5,2,2,0,2017,2017_10_BUF_NOR
NYG,2017-11-05,6,Sun,8,9,,LAR,L 17-51,6,6,6,3,3,0,2017,2017_09_NYG_LAR
SFO,2017-10-22,6,Sun,7,7,,DAL,L 10-40,6,5,4,0,0,0,2017,2017_07_SFO_DAL
IND,2017-10-01,6,Sun,4,4,@,SEA,L 18-46,6,5,5,2,1,0,2017,2017_04_IND_SEA
NYJ,2017-09-17,6,Sun,2,2,@,OAK,L 20-45,6,6,6,1,1,0,2017,2017_02_NYJ_OAK
DAL,2017-09-17,6,Sun,2,2,@,DEN,L 17-42,6,6,6,1,0,0,2017,2017_02_DAL_DEN
NWE,2017-09-07,6,Thu,1,1,,KAN,L 27-42,6,6,6,0,0,0,2017,2017_01_NWE_KAN
NWE,2023-01-08,5,Sun,17,18,@,BUF,L 23-35,5,5,5,0,0,0,2022,2022_18_NWE_BUF
ARI,2023-01-08,5,Sun,17,18,@,SFO,L 13-38,5,5,5,1,1,0,2022,2022_18_ARI_SFO
IND,2023-01-01,5,Sun,16,17,@,NYG,L 10-38,5,5,5,1,1,0,2022,2022_17_IND_NYG
CHI,2023-01-01,5,Sun,16,17,@,DET,L 10-41,5,5,5,2,2,0,2022,2022_17_CHI_DET
MIN,2023-01-01,5,Sun,16,17,@,GNB,L 17-41,5,5,5,2,2,0,2022,2022_17_MIN_GNB
CHI,2022-12-24,5,Sat,15,16,,BUF,L 13-35,5,4,3,1,0,0,2022,2022_16_CHI_BUF
DAL,2022-12-18,5,Sun,14,15,@,JAX,L 34-40 (OT),5,4,4,2,2,0,2022,2022_15_DAL_JAX
IND,2022-12-17,5,Sat,14,15,@,MIN,L 36-39 (OT),5,4,4,1,1,0,2022,2022_15_IND_MIN
TAM,2022-12-11,5,Sun,13,14,@,SFO,L 7-35,5,5,5,0,0,0,2022,2022_14_TAM_SFO
TEN,2022-12-04,5,Sun,12,13,@,PHI,L 10-35,5,5,5,0,0,0,2022,2022_13_TEN_PHI
GNB,2022-11-27,5,Sun,12,12,@,PHI,L 33-40,5,5,4,2,2,0,2022,2022_12_GNB_PHI
SEA,2022-11-27,5,Sun,11,12,,LVR,L 34-40 (OT),5,4,4,3,2,0,2022,2022_12_SEA_LVR
ARI,2022-11-21,5,Mon,11,11,,SFO,L 10-38,5,5,5,1,1,0,2022,2022_11_ARI_SFO
CLE,2022-11-13,5,Sun,9,10,@,MIA,L 17-39,5,5,3,2,2,0,2022,2022_10_CLE_MIA
PIT,2022-10-30,5,Sun,8,8,@,PHI,L 13-35,5,5,5,0,0,0,2022,2022_08_PIT_PHI
ARI,2022-10-30,5,Sun,8,8,@,MIN,L 26-34,5,5,4,1,0,0,2022,2022_08_ARI_MIN
ATL,2022-10-23,5,Sun,7,7,@,CIN,L 17-35,5,5,5,0,0,0,2022,2022_07_ATL_CIN
HOU,2022-10-23,5,Sun,6,7,@,LVR,L 20-38,5,5,5,1,1,0,2022,2022_07_HOU_LVR
NOR,2022-10-20,5,Thu,7,7,@,ARI,L 34-42,5,3,2,2,2,0,2022,2022_07_NOR_ARI
CLE,2022-10-16,5,Sun,6,6,,NWE,L 15-38,5,5,5,2,1,0,2022,2022_06_CLE_NWE
SEA,2022-10-09,5,Sun,5,5,@,NOR,L 32-39,5,4,4,1,1,0,2022,2022_05_SEA_NOR
CAR,2022-10-09,5,Sun,5,5,,SFO,L 15-37,5,5,4,2,1,0,2022,2022_05_CAR_SFO
MIA,2022-10-09,5,Sun,5,5,@,NYJ,L 17-40,5,5,5,1,1,1,2022,2022_05_MIA_NYJ
PIT,2022-10-09,5,Sun,5,5,@,BUF,L 3-38,5,5,5,2,1,0,2022,2022_05_PIT_BUF
TAM,2022-10-02,5,Sun,4,4,,KAN,L 31-41,5,5,5,2,2,0,2022,2022_04_TAM_KAN
NWE,2022-09-25,5,Sun,3,3,,BAL,L 26-37,5,5,4,1,1,0,2022,2022_03_NWE_BAL
TEN,2022-09-19,5,Mon,2,2,@,BUF,L 7-41,5,5,5,2,2,0,2022,2022_02_TEN_BUF
MIA,2022-09-18,5,Sun,2,2,@,BAL,W 42-38,5,5,5,1,1,0,2022,2022_02_MIA_BAL
DET,2022-09-11,5,Sun,1,1,,PHI,L 35-38,5,5,5,1,1,0,2022,2022_01_DET_PHI
PHI,2022-09-11,5,Sun,1,1,@,DET,W 38-35,5,5,5,0,0,0,2022,2022_01_PHI_DET
ARI,2022-01-09,5,Sun,17,18,,SEA,L 30-38,5,5,5,1,1,0,2021,2021_18_ARI_SEA
CAR,2022-01-09,5,Sun,17,18,@,TAM,L 17-41,5,5,5,3,2,0,2021,2021_18_CAR_TAM
BAL,2021-12-26,5,Sun,15,16,@,CIN,L 21-41,5,5,5,3,2,0,2021,2021_16_BAL_CIN
LAC,2021-12-26,5,Sun,15,16,@,HOU,L 29-41,5,5,5,3,2,0,2021,2021_16_LAC_HOU
DET,2021-12-12,5,Sun,13,14,@,DEN,L 10-38,5,5,5,1,1,0,2021,2021_14_DET_DEN
CIN,2021-12-05,5,Sun,12,13,,LAC,L 22-41,5,4,3,2,2,0,2021,2021_13_CIN_LAC
IND,2021-11-28,5,Sun,12,12,,TAM,L 31-38,5,5,5,1,1,0,2021,2021_12_IND_TAM
PIT,2021-11-28,5,Sun,11,12,@,CIN,L 10-41,5,5,5,2,2,0,2021,2021_12_PIT_CIN
BUF,2021-11-21,5,Sun,10,11,,IND,L 15-41,5,5,5,2,2,0,2021,2021_11_BUF_IND
PIT,2021-11-21,5,Sun,10,11,@,LAC,L 37-41,5,5,5,2,2,0,2021,2021_11_PIT_LAC
ATL,2021-11-14,5,Sun,9,10,@,DAL,L 3-43,5,5,5,0,0,0,2021,2021_10_ATL_DAL
LVR,2021-11-14,5,Sun,9,10,,KAN,L 14-41,5,5,5,3,2,0,2021,2021_10_LVR_KAN
CIN,2021-11-07,5,Sun,9,9,,CLE,L 16-41,5,5,5,3,2,0,2021,2021_09_CIN_CLE
DET,2021-10-31,5,Sun,8,8,,PHI,L 6-44,5,5,5,3,3,0,2021,2021_08_DET_PHI
HOU,2021-10-31,5,Sun,8,8,,LAR,L 22-38,5,5,5,1,1,0,2021,2021_08_HOU_LAR
CHI,2021-10-24,5,Sun,7,7,@,TAM,L 3-38,5,5,5,2,1,0,2021,2021_07_CHI_TAM
BAL,2021-10-24,5,Sun,7,7,,CIN,L 17-41,5,5,5,2,2,0,2021,2021_07_BAL_CIN
NYG,2021-10-17,5,Sun,6,6,,LAR,L 11-38,5,5,5,1,1,0,2021,2021_06_NYG_LAR
KAN,2021-10-10,5,Sun,5,5,,BUF,L 20-38,5,5,5,1,1,0,2021,2021_05_KAN_BUF
JAX,2021-10-10,5,Sun,5,5,,TEN,L 19-37,5,5,4,1,1,0,2021,2021_05_JAX_TEN
NYG,2021-10-10,5,Sun,5,5,@,DAL,L 20-44,5,5,5,3,3,0,2021,2021_05_NYG_DAL
WAS,2021-10-10,5,Sun,5,5,,NOR,L 22-33,5,5,3,0,0,0,2021,2021_05_WAS_NOR
LAC,2021-10-10,5,Sun,5,5,,CLE,W 47-42,5,4,4,2,2,0,2021,2021_05_LAC_CLE
CAR,2021-10-03,5,Sun,4,4,@,DAL,L 28-36,5,3,3,1,1,0,2021,2021_04_CAR_DAL
ATL,2021-10-03,5,Sun,4,4,,WAS,L 30-34,5,3,1,1,1,0,2021,2021_04_ATL_WAS
WAS,2021-09-26,5,Sun,3,3,@,BUF,L 21-43,5,4,4,3,3,0,2021,2021_03_WAS_BUF
DET,2021-09-20,5,Mon,2,2,@,GNB,L 17-35,5,5,5,0,0,0,2021,2021_02_DET_GNB
BAL,2021-09-19,5,Sun,2,2,,KAN,W 36-35,5,5,5,0,0,0,2021,2021_02_BAL_KAN
KAN,2021-09-19,5,Sun,2,2,@,BAL,L 35-36,5,3,3,1,1,0,2021,2021_02_KAN_BAL
MIA,2021-09-19,5,Sun,2,2,,BUF,L 0-35,5,5,5,1,0,0,2021,2021_02_MIA_BUF
TEN,2021-09-12,5,Sun,1,1,,ARI,L 13-38,5,5,5,2,1,0,2021,2021_01_TEN_ARI
DET,2021-09-12,5,Sun,1,1,,SFO,L 33-41,5,5,5,3,2,0,2021,2021_01_DET_SFO
GNB,2021-09-12,5,Sun,1,1,@,NOR,L 3-38,5,5,5,1,1,0,2021,2021_01_GNB_NOR
ATL,2021-01-03,5,Sun,16,17,@,TAM,L 27-44,5,5,5,3,3,0,2020,2020_17_ATL_TAM
CHI,2021-01-03,5,Sun,16,17,,GNB,L 16-35,5,5,5,0,0,0,2020,2020_17_CHI_GNB
DET,2021-01-03,5,Sun,16,17,,MIN,L 35-37,5,5,4,2,1,0,2020,2020_17_DET_MIN
CIN,2021-01-03,5,Sun,16,17,,BAL,L 3-38,5,5,5,1,1,0,2020,2020_17_CIN_BAL
MIN,2021-01-03,5,Sun,16,17,@,DET,W 37-35,5,3,2,1,1,0,2020,2020_17_MIN_DET
HOU,2021-01-03,5,Sun,16,17,,TEN,L 38-41,5,5,5,2,2,0,2020,2020_17_HOU_TEN
KAN,2021-01-03,5,Sun,16,17,,LAC,L 21-38,5,4,4,0,0,1,2020,2020_17_KAN_LAC
NWE,2020-12-28,5,Mon,15,16,,BUF,L 9-38,5,5,5,1,1,0,2020,2020_16_NWE_BUF
JAX,2020-12-27,5,Sun,15,16,,CHI,L 17-41,5,5,5,2,2,0,2020,2020_16_JAX_CHI
NOR,2020-12-25,5,Fri,15,16,,MIN,W 52-33,5,4,3,0,0,0,2020,2020_16_NOR_MIN
SFO,2020-12-20,5,Sun,14,15,@,DAL,L 33-41,5,5,5,3,2,0,2020,2020_15_SFO_DAL
JAX,2020-12-20,5,Sun,14,15,@,BAL,L 14-40,5,5,5,2,1,1,2020,2020_15_JAX_BAL
