Team,Date,TD,Day,G#,Week,,Opp,Result,TD,XPA,XPM,Att,Md,Sfty,Season,game_id
DEN,2018-12-30,3,Sun,16,17,,LAC,L 9-23,3,3,3,0,0,0,2018,2018_17_DEN_LAC
WAS,2018-12-30,3,Sun,16,17,,PHI,L 0-24,3,3,3,1,1,0,2018,2018_17_WAS_PHI
MIN,2018-12-30,3,Sun,16,17,,CHI,L 10-24,3,2,1,1,1,0,2018,2018_17_MIN_CHI
ARI,2018-12-30,3,Sun,16,17,@,SEA,L 24-27,3,3,3,2,2,0,2018,2018_17_ARI_SEA
BAL,2018-12-30,3,Sun,16,17,,CLE,W 26-24,3,3,3,2,1,0,2018,2018_17_BAL_CLE
DEN,2018-12-24,3,Mon,15,16,@,OAK,L 14-27,3,3,3,2,2,0,2018,2018_16_DEN_OAK
IND,2018-12-23,3,Sun,15,16,,NYG,W 28-27,3,3,3,2,2,0,2018,2018_16_IND_NYG
DET,2018-12-23,3,Sun,15,16,,MIN,L 9-27,3,3,3,2,2,0,2018,2018_16_DET_MIN
BUF,2018-12-23,3,Sun,15,16,@,NWE,L 12-24,3,3,3,1,1,0,2018,2018_16_BUF_NWE
NOR,2018-12-23,3,Sun,15,16,,PIT,W 31-28,3,2,2,2,2,0,2018,2018_16_NOR_PIT
CAR,2018-12-23,3,Sun,15,16,,ATL,L 10-24,3,3,3,1,1,0,2018,2018_16_CAR_ATL
CIN,2018-12-23,3,Sun,15,16,@,CLE,L 18-26,3,3,2,2,2,0,2018,2018_16_CIN_CLE
TAM,2018-12-23,3,Sun,15,16,@,DAL,L 20-27,3,3,3,2,2,0,2018,2018_16_TAM_DAL
SEA,2018-12-23,3,Sun,15,16,,KAN,W 38-31,3,2,2,3,3,0,2018,2018_16_SEA_KAN
WAS,2018-12-22,3,Sat,15,16,@,TEN,L 16-25,3,2,1,2,2,0,2018,2018_16_WAS_TEN
LAR,2018-12-16,3,Sun,14,15,,PHI,L 23-30,3,3,3,4,3,0,2018,2018_15_LAR_PHI
GNB,2018-12-16,3,Sun,14,15,@,CHI,L 17-24,3,3,3,1,1,0,2018,2018_15_GNB_CHI
OAK,2018-12-16,3,Sun,14,15,@,CIN,L 16-30,3,3,3,3,3,0,2018,2018_15_OAK_CIN
SFO,2018-12-16,3,Sun,14,15,,SEA,W 26-23 (OT),3,3,2,1,1,0,2018,2018_15_SFO_SEA
HOU,2018-12-15,3,Sat,14,15,@,NYJ,W 29-22,3,3,1,1,1,0,2018,2018_15_HOU_NYJ
KAN,2018-12-09,3,Sun,13,14,,BAL,W 27-24 (OT),3,3,3,1,1,0,2018,2018_14_KAN_BAL
HOU,2018-12-09,3,Sun,13,14,,IND,L 21-24,3,3,3,1,1,0,2018,2018_14_HOU_IND
PIT,2018-12-09,3,Sun,13,14,@,OAK,L 21-24,3,3,3,1,1,0,2018,2018_14_PIT_OAK
BUF,2018-12-09,3,Sun,13,14,,NYJ,L 23-27,3,3,3,2,2,0,2018,2018_14_BUF_NYJ
DAL,2018-12-09,3,Sun,13,14,,PHI,W 29-23 (OT),3,3,2,1,1,0,2018,2018_14_DAL_PHI
TAM,2018-12-09,3,Sun,13,14,,NOR,L 14-28,3,2,2,2,2,0,2018,2018_14_TAM_NOR
OAK,2018-12-09,3,Sun,13,14,,PIT,W 24-21,3,3,3,2,0,0,2018,2018_14_OAK_PIT
GNB,2018-12-09,3,Sun,13,14,,ATL,W 34-20,3,3,2,1,0,0,2018,2018_14_GNB_ATL
IND,2018-12-09,3,Sun,13,14,@,HOU,W 24-21,3,3,3,0,0,0,2018,2018_14_IND_HOU
CAR,2018-12-09,3,Sun,13,14,@,CLE,L 20-26,3,3,2,2,2,0,2018,2018_14_CAR_CLE
PHI,2018-12-09,3,Sun,13,14,@,DAL,L 23-29 (OT),3,2,2,4,3,0,2018,2018_14_PHI_DAL
BAL,2018-12-09,3,Sun,13,14,@,KAN,L 24-27 (OT),3,3,3,4,2,0,2018,2018_14_BAL_KAN
WAS,2018-12-03,3,Mon,12,13,@,PHI,L 13-28,3,2,2,2,2,0,2018,2018_13_WAS_PHI
CHI,2018-12-02,3,Sun,12,13,@,NYG,L 27-30 (OT),3,3,3,3,3,0,2018,2018_13_CHI_NYG
CAR,2018-12-02,3,Sun,12,13,@,TAM,L 17-24,3,3,3,1,1,0,2018,2018_13_CAR_TAM
CIN,2018-12-02,3,Sun,12,13,,DEN,L 10-24,3,3,3,2,1,0,2018,2018_13_CIN_DEN
BUF,2018-12-02,3,Sun,12,13,@,MIA,L 17-21,3,3,3,0,0,0,2018,2018_13_BUF_MIA
NYG,2018-12-02,3,Sun,12,13,,CHI,W 30-27 (OT),3,3,3,2,2,0,2018,2018_13_NYG_CHI
NYJ,2018-12-02,3,Sun,12,13,@,TEN,L 22-26,3,3,2,2,2,0,2018,2018_13_NYJ_TEN
DET,2018-12-02,3,Sun,12,13,,LAR,L 16-30,3,3,3,3,3,0,2018,2018_13_DET_LAR
MIN,2018-12-02,3,Sun,12,13,@,NWE,L 10-24,3,3,3,2,1,0,2018,2018_13_MIN_NWE
GNB,2018-11-25,3,Sun,11,12,@,MIN,L 17-24,3,3,3,3,1,0,2018,2018_12_GNB_MIN
MIA,2018-11-25,3,Sun,11,12,@,IND,L 24-27,3,3,3,3,2,0,2018,2018_12_MIA_IND
SFO,2018-11-25,3,Sun,11,12,@,TAM,L 9-27,3,3,3,2,2,0,2018,2018_12_SFO_TAM
PIT,2018-11-25,3,Sun,11,12,@,DEN,L 17-24,3,3,3,1,1,0,2018,2018_12_PIT_DEN
JAX,2018-11-25,3,Sun,11,12,@,BUF,L 21-24,3,3,3,1,1,0,2018,2018_12_JAX_BUF
IND,2018-11-25,3,Sun,11,12,,MIA,W 27-24,3,3,3,1,1,0,2018,2018_12_IND_MIA
CLE,2018-11-25,3,Sun,11,12,@,CIN,W 35-20,3,3,2,1,0,0,2018,2018_12_CLE_CIN
NYJ,2018-11-25,3,Sun,11,12,,NWE,L 13-27,3,3,3,2,2,0,2018,2018_12_NYJ_NWE
CAR,2018-11-25,3,Sun,11,12,,SEA,L 27-30,3,3,3,3,3,0,2018,2018_12_CAR_SEA
SEA,2018-11-25,3,Sun,11,12,@,CAR,W 30-27,3,3,3,3,2,0,2018,2018_12_SEA_CAR
BUF,2018-11-25,3,Sun,11,12,,JAX,W 24-21,3,3,3,1,0,0,2018,2018_12_BUF_JAX
DAL,2018-11-22,3,Thu,11,12,,WAS,W 31-23,3,3,2,1,1,0,2018,2018_12_DAL_WAS
DET,2018-11-22,3,Thu,11,12,,CHI,L 16-23,3,2,2,1,1,0,2018,2018_12_DET_CHI
HOU,2018-11-18,3,Sun,10,11,@,WAS,W 23-21,3,3,3,1,0,0,2018,2018_11_HOU_WAS
LAC,2018-11-18,3,Sun,10,11,,DEN,L 22-23,3,2,2,1,1,0,2018,2018_11_LAC_DEN
OAK,2018-11-18,3,Sun,10,11,@,ARI,W 23-21,3,3,3,0,0,0,2018,2018_11_OAK_ARI
BAL,2018-11-18,3,Sun,10,11,,CIN,W 24-21,3,3,3,1,0,0,2018,2018_11_BAL_CIN
JAX,2018-11-18,3,Sun,10,11,,PIT,L 16-20,3,2,2,0,0,0,2018,2018_11_JAX_PIT
DET,2018-11-18,3,Sun,10,11,,CAR,W 20-19,3,2,1,1,0,0,2018,2018_11_DET_CAR
SEA,2018-11-15,3,Thu,10,11,,GNB,W 27-24,3,3,3,2,1,0,2018,2018_11_SEA_GNB
GNB,2018-11-15,3,Thu,10,11,@,SEA,L 24-27,3,3,3,2,2,0,2018,2018_11_GNB_SEA
SFO,2018-11-12,3,Mon,10,10,,NYG,L 23-27,3,3,3,2,2,0,2018,2018_10_SFO_NYG
CHI,2018-11-11,3,Sun,9,10,,DET,W 34-22,3,1,1,1,1,0,2018,2018_10_CHI_DET
IND,2018-11-11,3,Sun,9,10,,JAX,W 29-26,3,3,2,3,2,0,2018,2018_10_IND_JAX
PHI,2018-11-11,3,Sun,9,10,,DAL,L 20-27,3,3,3,3,2,0,2018,2018_10_PHI_DAL
ARI,2018-11-11,3,Sun,9,10,@,KAN,L 14-26,3,2,2,2,2,0,2018,2018_10_ARI_KAN
PIT,2018-11-08,3,Thu,9,10,,CAR,W 52-21,3,3,3,0,0,0,2018,2018_10_PIT_CAR
DET,2018-11-04,3,Sun,8,9,@,MIN,L 9-24,3,3,3,1,1,0,2018,2018_09_DET_MIN
BAL,2018-11-04,3,Sun,9,9,,PIT,L 16-23,3,3,2,1,1,0,2018,2018_09_BAL_PIT
KAN,2018-11-04,3,Sun,9,9,@,CLE,W 37-21,3,0,0,1,1,0,2018,2018_09_KAN_CLE
CAR,2018-10-28,3,Sun,7,8,,BAL,W 36-21,3,3,3,0,0,0,2018,2018_08_CAR_BAL
NOR,2018-10-28,3,Sun,7,8,@,MIN,W 30-20,3,3,2,0,0,0,2018,2018_08_NOR_MIN
JAX,2018-10-28,3,Sun,8,8,,PHI,L 18-24,3,3,3,1,1,0,2018,2018_08_JAX_PHI
KAN,2018-10-28,3,Sun,8,8,,DEN,W 30-23,3,2,2,2,1,0,2018,2018_08_KAN_DEN
LAR,2018-10-28,3,Sun,8,8,,GNB,W 29-27,3,3,3,2,2,0,2018,2018_08_LAR_GNB
NYJ,2018-10-28,3,Sun,8,8,@,CHI,L 10-24,3,3,3,2,1,0,2018,2018_08_NYJ_CHI
GNB,2018-10-28,3,Sun,7,8,@,LAR,L 27-29,3,1,1,2,2,1,2018,2018_08_GNB_LAR
MIN,2018-10-28,3,Sun,8,8,,NOR,L 20-30,3,3,3,3,3,0,2018,2018_08_MIN_NOR
NOR,2018-10-21,3,Sun,6,7,@,BAL,W 24-23,3,3,2,1,1,0,2018,2018_07_NOR_BAL
MIA,2018-10-21,3,Sun,7,7,,DET,L 21-32,3,2,2,4,4,0,2018,2018_07_MIA_DET
CLE,2018-10-21,3,Sun,7,7,@,TAM,L 23-26 (OT),3,3,2,3,2,0,2018,2018_07_CLE_TAM
DET,2018-10-21,3,Sun,6,7,@,MIA,W 32-21,3,3,3,1,0,0,2018,2018_07_DET_MIA
BAL,2018-10-21,3,Sun,7,7,,NOR,L 23-24,3,3,3,1,1,0,2018,2018_07_BAL_NOR
PHI,2018-10-21,3,Sun,7,7,,CAR,L 17-21,3,2,1,0,0,0,2018,2018_07_PHI_CAR
TAM,2018-10-21,3,Sun,6,7,,CLE,W 26-23 (OT),3,3,3,0,0,1,2018,2018_07_TAM_CLE
SFO,2018-10-15,3,Mon,6,6,@,GNB,L 30-33,3,3,3,4,4,0,2018,2018_06_SFO_GNB
GNB,2018-10-15,3,Mon,6,6,,SFO,W 33-30,3,3,3,3,3,0,2018,2018_06_GNB_SFO
TEN,2018-10-14,3,Sun,6,6,,BAL,L 0-21,3,3,3,0,0,0,2018,2018_06_TEN_BAL
ARI,2018-10-14,3,Sun,6,6,@,MIN,L 17-27,3,3,3,2,2,0,2018,2018_06_ARI_MIN
IND,2018-10-14,3,Sun,6,6,@,NYJ,L 34-42,3,3,3,7,7,0,2018,2018_06_IND_NYJ
CHI,2018-10-14,3,Sun,5,6,@,MIA,L 28-31 (OT),3,2,2,3,3,0,2018,2018_06_CHI_MIA
PIT,2018-10-14,3,Sun,6,6,@,CIN,W 28-21,3,3,3,0,0,0,2018,2018_06_PIT_CIN
TEN,2018-10-14,3,Sun,6,6,,BAL,L 0-21,3,3,3,0,0,0,2018,2018_06_TEN_BAL
OAK,2018-10-14,3,Sun,6,6,,SEA,L 3-27,3,3,3,2,2,0,2018,2018_06_OAK_SEA
NYG,2018-10-07,3,Sun,5,5,@,CAR,L 31-33,3,3,3,4,4,0,2018,2018_05_NYG_CAR
MIA,2018-10-07,3,Sun,5,5,@,CIN,L 17-27,3,3,3,3,2,0,2018,2018_05_MIA_CIN
DET,2018-10-07,3,Sun,5,5,,GNB,W 31-23,3,1,0,5,1,0,2018,2018_05_DET_GNB
JAX,2018-10-07,3,Sun,5,5,@,KAN,L 14-30,3,3,3,3,3,0,2018,2018_05_JAX_KAN
CAR,2018-10-07,3,Sun,4,5,,NYG,W 33-31,3,2,2,3,3,0,2018,2018_05_CAR_NYG
OAK,2018-10-07,3,Sun,5,5,@,LAC,L 10-26,3,3,2,3,2,0,2018,2018_05_OAK_LAC
ARI,2018-10-07,3,Sun,5,5,@,SFO,W 28-18,3,0,0,1,0,0,2018,2018_05_ARI_SFO
NWE,2018-10-04,3,Thu,5,5,,IND,W 38-24,3,3,3,2,1,0,2018,2018_05_NWE_IND
DEN,2018-10-01,3,Mon,4,4,,KAN,L 23-27,3,3,3,2,2,0,2018,2018_04_DEN_KAN
DAL,2018-09-30,3,Sun,4,4,,DET,W 26-24,3,3,3,1,1,0,2018,2018_04_DAL_DET
NYJ,2018-09-30,3,Sun,4,4,@,JAX,L 12-31,3,2,2,3,3,1,2018,2018_04_NYJ_JAX
NYG,2018-09-30,3,Sun,4,4,,NOR,L 18-33,3,3,3,4,4,0,2018,2018_04_NYG_NOR
PHI,2018-09-30,3,Sun,4,4,@,TEN,L 23-26 (OT),3,2,2,2,2,0,2018,2018_04_PHI_TEN
SFO,2018-09-30,3,Sun,4,4,@,LAC,L 27-29,3,2,0,4,3,0,2018,2018_04_SFO_LAC
LAC,2018-09-30,3,Sun,4,4,,SFO,W 29-27,3,3,3,2,2,0,2018,2018_04_LAC_SFO
LAR,2018-09-27,3,Thu,4,4,,MIN,W 38-31,3,2,2,3,3,0,2018,2018_04_LAR_MIN
PIT,2018-09-24,3,Mon,3,3,@,TAM,W 30-27,3,3,3,2,2,0,2018,2018_03_PIT_TAM
MIN,2018-09-23,3,Sun,3,3,,BUF,L 6-27,3,3,3,2,2,0,2018,2018_03_MIN_BUF
CAR,2018-09-23,3,Sun,3,3,,CIN,W 31-21,3,3,3,1,0,0,2018,2018_03_CAR_CIN
HOU,2018-09-23,3,Sun,3,3,,NYG,L 22-27,3,3,3,2,2,0,2018,2018_03_HOU_NYG
DEN,2018-09-23,3,Sun,3,3,@,BAL,L 14-27,3,3,3,3,2,0,2018,2018_03_DEN_BAL
LAR,2018-09-23,3,Sun,3,3,,LAC,W 35-23,3,3,2,1,1,0,2018,2018_03_LAR_LAC
DAL,2018-09-23,3,Sun,3,3,@,SEA,L 13-24,3,3,3,1,1,0,2018,2018_03_DAL_SEA
KAN,2018-09-23,3,Sun,3,3,,SFO,W 38-27,3,2,1,2,2,0,2018,2018_03_KAN_SFO
SEA,2018-09-17,3,Mon,2,2,@,CHI,L 17-24,3,3,3,1,1,0,2018,2018_02_SEA_CHI
ATL,2018-09-16,3,Sun,2,2,,CAR,W 31-24,3,3,3,1,1,0,2018,2018_02_ATL_CAR
WAS,2018-09-16,3,Sun,2,2,,IND,L 9-21,3,3,3,0,0,0,2018,2018_02_WAS_IND
SFO,2018-09-16,3,Sun,2,2,,DET,W 30-27,3,3,3,2,2,0,2018,2018_02_SFO_DET
NYJ,2018-09-16,3,Sun,2,2,,MIA,L 12-20,3,3,2,0,0,0,2018,2018_02_NYJ_MIA
TAM,2018-09-16,3,Sun,2,2,,PHI,W 27-21,3,3,3,1,0,0,2018,2018_02_TAM_PHI
DET,2018-09-16,3,Sun,2,2,@,SFO,L 27-30,3,3,3,3,3,0,2018,2018_02_DET_SFO
CIN,2018-09-13,3,Thu,2,2,,BAL,W 34-23,3,2,2,1,1,0,2018,2018_02_CIN_BAL
OAK,2018-09-10,3,Mon,1,1,,LAR,L 13-33,3,3,3,5,4,0,2018,2018_01_OAK_LAR
PIT,2018-09-09,3,Sun,1,1,@,CLE,T 21-21 (OT),3,3,3,1,0,0,2018,2018_01_PIT_CLE
SEA,2018-09-09,3,Sun,1,1,@,DEN,L 24-27,3,3,3,2,2,0,2018,2018_01_SEA_DEN
CHI,2018-09-09,3,Sun,1,1,@,GNB,L 23-24,3,3,3,1,1,0,2018,2018_01_CHI_GNB
TEN,2018-09-09,3,Sun,1,1,@,MIA,L 20-27,3,3,3,2,2,0,2018,2018_01_TEN_MIA
SFO,2018-09-09,3,Sun,1,1,@,MIN,L 16-24,3,3,3,1,1,0,2018,2018_01_SFO_MIN
HOU,2018-09-09,3,Sun,1,1,@,NWE,L 20-27,3,3,3,2,2,0,2018,2018_01_HOU_NWE
CLE,2018-09-09,3,Sun,1,1,,PIT,T 21-21 (OT),3,3,3,1,0,0,2018,2018_01_CLE_PIT
KAN,2018-09-09,3,Sun,1,1,@,LAC,W 38-28,3,0,0,3,2,0,2018,2018_01_KAN_LAC
DEN,2018-09-09,3,Sun,1,1,,SEA,W 27-24,3,3,3,2,1,0,2018,2018_01_DEN_SEA
ARI,2018-09-09,3,Sun,1,1,,WAS,L 6-24,3,3,3,1,1,0,2018,2018_01_ARI_WAS
PIT,2017-12-31,3,Sun,16,17,,CLE,W 28-24,3,3,3,1,1,0,2017,2017_17_PIT_CLE
KAN,2017-12-31,3,Sun,16,17,@,DEN,W 27-24,3,3,3,1,1,0,2017,2017_17_KAN_DEN
DEN,2017-12-31,3,Sun,16,17,,KAN,L 24-27,3,3,3,2,2,0,2017,2017_17_DEN_KAN
CHI,2017-12-31,3,Sun,16,17,@,MIN,L 10-23,3,3,3,1,0,1,2017,2017_17_CHI_MIN
TAM,2017-12-31,3,Sun,16,17,,NOR,W 31-24,3,3,3,1,1,0,2017,2017_17_TAM_NOR
NYJ,2017-12-31,3,Sun,16,17,@,NWE,L 6-26,3,3,3,1,1,1,2017,2017_17_NYJ_NWE
CIN,2017-12-31,3,Sun,16,17,@,BAL,W 31-27,3,3,3,2,2,0,2017,2017_17_CIN_BAL
OAK,2017-12-31,3,Sun,16,17,@,LAC,L 10-30,3,4,3,2,1,0,2017,2017_17_OAK_LAC
ARI,2017-12-31,3,Sun,16,17,@,SEA,W 26-24,3,3,3,2,1,0,2017,2017_17_ARI_SEA
CLE,2017-12-24,3,Sun,15,16,@,CHI,L 3-20,3,3,2,0,0,0,2017,2017_16_CLE_CHI
NYG,2017-12-24,3,Sun,15,16,@,ARI,L 0-23,3,3,2,1,1,0,2017,2017_16_NYG_ARI
DAL,2017-12-24,3,Sun,15,16,,SEA,L 12-21,3,3,3,0,0,0,2017,2017_16_DAL_SEA
DEN,2017-12-24,3,Sun,15,16,@,WAS,L 11-27,3,3,3,2,2,0,2017,2017_16_DEN_WAS
ATL,2017-12-18,3,Mon,14,15,@,TAM,W 24-21,3,3,3,1,0,0,2017,2017_15_ATL_TAM
MIA,2017-12-17,3,Sun,14,15,@,BUF,L 16-24,3,3,3,1,1,0,2017,2017_15_MIA_BUF
CAR,2017-12-17,3,Sun,14,15,,GNB,W 31-24,3,3,3,1,1,0,2017,2017_15_CAR_GNB
PIT,2017-12-17,3,Sun,14,15,,NWE,L 24-27,3,2,1,2,2,0,2017,2017_15_PIT_NWE
NWE,2017-12-17,3,Sun,14,15,@,PIT,W 27-24,3,3,3,1,1,0,2017,2017_15_NWE_PIT
CLE,2017-12-17,3,Sun,14,15,,BAL,L 10-27,3,3,3,2,2,0,2017,2017_15_CLE_BAL
LAC,2017-12-16,3,Sat,14,15,@,KAN,L 13-30,3,3,3,4,3,0,2017,2017_15_LAC_KAN
IND,2017-12-14,3,Thu,14,15,,DEN,L 13-25,3,2,2,2,1,0,2017,2017_15_IND_DEN
NWE,2017-12-11,3,Mon,13,14,@,MIA,L 20-27,3,3,3,2,2,0,2017,2017_14_NWE_MIA
GNB,2017-12-10,3,Sun,13,14,@,CLE,W 27-21 (OT),3,3,3,0,0,0,2017,2017_14_GNB_CLE
TAM,2017-12-10,3,Sun,13,14,,DET,L 21-24,3,3,3,1,1,0,2017,2017_14_TAM_DET
SEA,2017-12-10,3,Sun,13,14,@,JAX,L 24-30,3,3,3,3,3,0,2017,2017_14_SEA_JAX
WAS,2017-12-10,3,Sun,13,14,@,LAC,L 13-30,3,3,3,3,3,0,2017,2017_14_WAS_LAC
JAX,2017-12-10,3,Sun,13,14,,SEA,W 30-24,3,3,3,2,1,0,2017,2017_14_JAX_SEA
DET,2017-12-10,3,Sun,13,14,@,TAM,W 24-21,3,3,3,0,0,0,2017,2017_14_DET_TAM
NOR,2017-12-03,3,Sun,12,13,,CAR,W 31-21,3,3,3,0,0,0,2017,2017_13_NOR_CAR
BAL,2017-12-03,3,Sun,12,13,,DET,W 44-20,3,3,2,1,0,0,2017,2017_13_BAL_DET
TAM,2017-12-03,3,Sun,12,13,@,GNB,L 20-26 (OT),3,2,2,2,2,0,2017,2017_13_TAM_GNB
IND,2017-12-03,3,Sun,12,13,@,JAX,L 10-30,3,1,1,3,3,0,2017,2017_13_IND_JAX
HOU,2017-12-03,3,Sun,12,13,@,TEN,L 13-24,3,3,3,2,1,0,2017,2017_13_HOU_TEN
NYG,2017-12-03,3,Sun,12,13,@,OAK,L 17-24,3,3,3,1,1,0,2017,2017_13_NYG_OAK
ARI,2017-12-03,3,Sun,12,13,,LAR,L 16-32,3,3,2,4,4,0,2017,2017_13_ARI_LAR
PHI,2017-12-03,3,Sun,12,13,@,SEA,L 10-24,3,3,3,1,1,0,2017,2017_13_PHI_SEA
CLE,2017-11-26,3,Sun,11,12,@,CIN,L 16-30,3,3,3,3,3,0,2017,2017_12_CLE_CIN
ARI,2017-11-26,3,Sun,11,12,,JAX,W 27-24,3,3,3,1,1,0,2017,2017_12_ARI_JAX
CAR,2017-11-26,3,Sun,11,12,@,NYJ,W 35-27,3,3,3,2,2,0,2017,2017_12_CAR_NYJ
CHI,2017-11-26,3,Sun,11,12,@,PHI,L 3-31,3,4,4,1,1,0,2017,2017_12_CHI_PHI
DEN,2017-11-26,3,Sun,11,12,@,OAK,L 14-21,3,3,3,1,0,0,2017,2017_12_DEN_OAK
SFO,2017-11-26,3,Sun,11,12,,SEA,L 13-24,3,3,3,2,1,0,2017,2017_12_SFO_SEA
ATL,2017-11-20,3,Mon,10,11,@,SEA,W 34-31,3,2,2,4,3,0,2017,2017_11_ATL_SEA
LAC,2017-11-19,3,Sun,10,11,,BUF,W 54-24,3,3,3,1,1,0,2017,2017_11_LAC_BUF
DET,2017-11-19,3,Sun,10,11,@,CHI,W 27-24,3,3,3,2,1,0,2017,2017_11_DET_CHI
DEN,2017-11-19,3,Sun,10,11,,CIN,L 17-20,3,3,2,0,0,0,2017,2017_11_DEN_CIN
HOU,2017-11-19,3,Sun,10,11,,ARI,W 31-21,3,3,3,0,0,0,2017,2017_11_HOU_ARI
CHI,2017-11-19,3,Sun,10,11,,DET,L 24-27,3,3,3,2,2,0,2017,2017_11_CHI_DET
LAR,2017-11-19,3,Sun,10,11,@,MIN,L 7-24,3,3,3,3,1,0,2017,2017_11_LAR_MIN
WAS,2017-11-19,3,Sun,10,11,@,NOR,L 31-34 (OT),3,2,2,4,4,0,2017,2017_11_WAS_NOR
OAK,2017-11-19,3,Sun,10,11,,NWE,L 8-33,3,3,3,4,4,0,2017,2017_11_OAK_NWE
MIA,2017-11-19,3,Sun,10,11,,TAM,L 20-30,3,3,3,4,3,0,2017,2017_11_MIA_TAM
CAR,2017-11-13,3,Mon,10,10,,MIA,W 45-21,3,3,3,0,0,0,2017,2017_10_CAR_MIA
DAL,2017-11-12,3,Sun,9,10,@,ATL,L 7-27,3,3,3,2,2,0,2017,2017_10_DAL_ATL
TEN,2017-11-12,3,Sun,9,10,,CIN,W 24-20,3,3,2,0,0,0,2017,2017_10_TEN_CIN
DET,2017-11-12,3,Sun,9,10,,CLE,W 38-24,3,3,3,1,1,0,2017,2017_10_DET_CLE
CIN,2017-11-12,3,Sun,9,10,@,TEN,L 20-24,3,3,3,2,1,0,2017,2017_10_CIN_TEN
HOU,2017-11-12,3,Sun,9,10,@,LAR,L 7-33,3,3,3,4,4,0,2017,2017_10_HOU_LAR
MIN,2017-11-12,3,Sun,9,10,@,WAS,W 38-30,3,3,3,3,3,0,2017,2017_10_MIN_WAS
GNB,2017-11-06,3,Mon,8,9,,DET,L 17-30,3,3,3,4,3,0,2017,2017_09_GNB_DET
OAK,2017-11-05,3,Sun,9,9,@,MIA,W 27-24,3,2,1,1,1,0,2017,2017_09_OAK_MIA
BAL,2017-11-05,3,Sun,9,9,@,TEN,L 20-23,3,3,2,1,1,0,2017,2017_09_BAL_TEN
MIA,2017-11-05,3,Sun,8,9,,OAK,L 24-27,3,3,3,2,2,0,2017,2017_09_MIA_OAK
NYJ,2017-11-02,3,Thu,9,9,,BUF,W 34-21,3,3,3,0,0,0,2017,2017_09_NYJ_BUF
IND,2017-10-29,3,Sun,8,8,@,CIN,L 23-24,3,3,3,2,1,0,2017,2017_08_IND_CIN
WAS,2017-10-29,3,Sun,7,8,,DAL,L 19-33,3,3,3,5,4,0,2017,2017_08_WAS_DAL
CLE,2017-10-29,3,Sun,8,8,,MIN,L 16-33,3,2,1,4,4,0,2017,2017_08_CLE_MIN
PHI,2017-10-23,3,Mon,7,7,,WAS,W 34-24,3,3,3,1,1,0,2017,2017_07_PHI_WAS
TAM,2017-10-22,3,Sun,6,7,@,BUF,L 27-30,3,3,3,4,3,0,2017,2017_07_TAM_BUF
IND,2017-10-22,3,Sun,7,7,,JAX,L 0-27,3,3,3,2,2,0,2017,2017_07_IND_JAX
GNB,2017-10-22,3,Sun,7,7,,NOR,L 17-26,3,3,2,2,2,0,2017,2017_07_GNB_NOR
ARI,2017-10-22,3,Sun,7,7,@,LAR,L 0-33,3,3,3,4,4,0,2017,2017_07_ARI_LAR
DEN,2017-10-22,3,Sun,6,7,@,LAC,L 0-21,3,3,3,0,0,0,2017,2017_07_DEN_LAC
NYG,2017-10-22,3,Sun,7,7,,SEA,L 7-24,3,3,3,1,1,0,2017,2017_07_NYG_SEA
BUF,2017-10-22,3,Sun,6,7,,TAM,W 30-27,3,3,3,2,2,0,2017,2017_07_BUF_TAM
OAK,2017-10-19,3,Thu,7,7,,KAN,W 31-30,3,3,3,3,3,0,2017,2017_07_OAK_KAN
IND,2017-10-16,3,Mon,6,6,@,TEN,L 22-36,3,3,3,5,5,0,2017,2017_06_IND_TEN
BAL,2017-10-15,3,Sun,6,6,,CHI,L 24-27 (OT),3,3,3,2,2,0,2017,2017_06_BAL_CHI
NYJ,2017-10-15,3,Sun,6,6,,NWE,L 17-24,3,3,3,2,1,0,2017,2017_06_NYJ_NWE
JAX,2017-10-15,3,Sun,6,6,,LAR,L 17-27,3,3,3,2,2,0,2017,2017_06_JAX_LAR
WAS,2017-10-15,3,Sun,5,6,,SFO,W 26-24,3,3,3,2,1,0,2017,2017_06_WAS_SFO
SFO,2017-10-15,3,Sun,6,6,@,WAS,L 24-26,3,3,2,2,2,0,2017,2017_06_SFO_WAS
CAR,2017-10-12,3,Thu,6,6,,PHI,L 23-28,3,2,2,2,2,0,2017,2017_06_CAR_PHI
DET,2017-10-08,3,Sun,5,5,,CAR,L 24-27,3,3,3,3,2,0,2017,2017_05_DET_CAR
CAR,2017-10-08,3,Sun,5,5,@,DET,W 27-24,3,3,3,1,1,0,2017,2017_05_CAR_DET
LAC,2017-10-08,3,Sun,5,5,@,NYG,W 27-22,3,2,2,0,0,1,2017,2017_05_LAC_NYG
OAK,2017-10-08,3,Sun,5,5,,BAL,L 17-30,3,3,3,3,3,0,2017,2017_05_OAK_BAL
NYG,2017-10-08,3,Sun,5,5,,LAC,L 22-27,3,3,3,2,2,0,2017,2017_05_NYG_LAC
WAS,2017-10-02,3,Mon,4,4,@,KAN,L 20-29,3,2,2,4,3,0,2017,2017_04_WAS_KAN
CAR,2017-10-01,3,Sun,4,4,@,NWE,W 33-30,3,3,3,3,3,0,2017,2017_04_CAR_NWE
TAM,2017-10-01,3,Sun,3,4,,NYG,W 25-23,3,2,2,2,1,0,2017,2017_04_TAM_NYG
BAL,2017-10-01,3,Sun,4,4,,PIT,L 9-26,3,2,2,3,2,0,2017,2017_04_BAL_PIT
