,game_id,Team,Season,Date,Day,G#,Week,Opp,Result,home,Pts_points,Pts_points,PtsO_points,PtDif_points,PC_points,Spread_vegas,Spread_vegas,vs. Line_vegas,Over/Under_vegas,OU Result_vegas,Cmp_pass,Cmp_pass,Att_pass,Inc_pass,Cmp%_pass,Yds_pass,TD_pass,Int_pass,TD%_pass,Int%_pass,Rate_pass,Sk_pass,Yds_pass,Sk%_pass,Y/A_pass,NY/A_pass,AY/A_pass,ANY/A_pass,Y/C_pass,Att_rush,Att_rush,Yds_rush,Y/A_rush,TD_rush,Tot_total,Tot_total,Ply_total,Y/P_total,DPly_total,DY/P_total,TO_total,ToP_total,Time_total,Pen_penalty,Pen_penalty,Yds_penalty,OppPen_penalty,OppYds_penalty,CombPen_penalty,CombPenYds_penalty,1stD_downs,1stD_downs,Rsh_downs,Pass_downs,Pen_downs,3DAtt_downs,3DConv_downs,3D%_downs,4DAtt_downs,4DConv_downs,4D%_downs,Cmp_opp_passing,Cmp_opp_passing,Att_opp_passing,Cmp%_opp_passing,Yds_opp_passing,TD_opp_passing,Sk_opp_passing,Yds_opp_passing,Int_opp_passing,Rate_opp_passing,Att_opp_rushing,Att_opp_rushing,Yds_opp_rushing,Y/A_opp_rushing,TD_opp_rushing,Tot_opp_totals,Tot_opp_totals,TO_opp_totals,1stDOpp_opp_downs,1stDOpp_opp_downs,Rush_opp_downs,Pass_opp_downs,Pen_opp_downs,Opp3DAtt_opp_downs,Opp3DConv_opp_downs,Opp3D%_opp_downs,Opp4DAtt_opp_downs,Opp4DConv_opp_downs,Opp4D%_opp_downs,TD_opp_scoring,TD_opp_scoring,XPA_opp_scoring,XPM_opp_scoring,Att_opp_scoring,Md_opp_scoring,Sfty_opp_scoring
20,2017_09_LAR_NYG,LAR,2017,2017-11-05,Sun,8,9,NYG,W 51-17,0,51,51,17,34,68,-5.5,-5.5,covered,42.5,over,,,,,,,,,,,,,,,,,,,,39,39,162,4.2,2,473,473,61,7.75,66,4.83,0,30:30,3:01,6,6,55,4,52,10,107,20,20,8,10,2,12,6,50.0,1,0,0.0,20,20,38,52.6,208,2,2,12,1,75.3,26,26,111,4.3,0,319,319,3,17,17,4,12,1,16,8,50.0,0,0,,2,2,2,2,2,1,0
21,2021_17_NWE_JAX,NWE,2021,2022-01-02,Sun,16,17,JAX,W 50-10,1,50,50,10,40,60,,,,,,25,25,34,9,73.5,290,3,0,8.8,0.0,128.3,0,0,0.00,8.5,8.53,10.29,10.29,11.6,36,36,181,5.0,4,471,471,70,6.73,46,5.50,0,36:46,2:47,,,,,,,,32,32,16,15,1,10,8,80.0,0,0,,17,17,27,63.0,173,1,2,20,3,54.0,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,0
22,2022_08_DAL_CHI,DAL,2022,2022-10-30,Sun,8,8,CHI,W 49-29,1,49,49,29,20,78,,,,,,21,21,27,6,77.8,242,2,1,7.4,3.7,114.5,1,8,3.57,9.0,8.64,8.78,8.46,11.5,29,29,200,6.9,4,442,442,57,7.75,71,5.23,1,23:56,3:07,6,6,41,6,45,12,86,24,24,9,15,0,11,9,81.8,0,0,,18,18,24,75.0,131,2,4,25,0,115.1,43,43,240,5.6,2,371,371,1,22,22,15,4,3,15,6,40.0,3,2,66.7,4,4,2,2,1,1,0
23,2020_04_CLE_DAL,CLE,2020,2020-10-04,Sun,4,4,DAL,W 49-38,0,49,49,38,11,87,3.5,3.5,covered,56.5,over,20,20,31,11,64.5,201,3,0,9.7,0.0,115.3,2,1,6.06,6.5,6.09,8.42,7.91,10.1,40,40,307,7.7,3,508,508,73,6.96,79,7.16,0,33:32,3:20,5,5,40,6,65,11,105,33,33,16,14,3,11,5,45.5,0,0,,41,41,58,70.7,481,4,3,21,1,111.4,,,,,,566,566,3,35,35,6,29,0,11,6,54.5,2,1,50.0,5,5,2,2,0,0,0
24,2019_10_BAL_CIN,BAL,2019,2019-11-10,Sun,9,10,CIN,W 49-13,0,49,49,13,36,62,,,,,,18,18,22,4,81.8,243,3,1,13.6,4.5,133.3,1,0,4.35,11.0,10.57,11.73,11.22,13.5,23,23,136,5.9,2,379,379,46,8.24,72,4.26,1,23:49,2:50,5,5,35,1,5,6,40,20,20,7,13,0,6,4,66.7,1,1,100.0,,,,,,,,,,,40,40,157,3.9,0,307,307,3,21,21,11,9,1,15,7,46.7,4,1,25.0,,,,,,,
25,2022_14_PHI_NYG,PHI,2022,2022-12-11,Sun,13,14,NYG,W 48-22,0,48,48,22,26,70,,,,,,21,21,31,10,67.7,184,2,0,6.5,0.0,109.2,4,33,11.43,5.9,5.26,7.23,6.40,8.8,31,31,253,8.2,4,437,437,66,6.62,63,4.83,0,32:30,3:00,,,,,,,,27,27,15,10,2,11,6,54.5,1,1,100.0,23,23,32,71.9,181,2,7,35,0,106.4,24,24,123,5.1,1,304,304,1,18,18,7,11,0,13,4,30.8,4,2,50.0,3,3,2,2,0,0,0
26,2022_04_SEA_DET,SEA,2022,2022-10-02,Sun,4,4,DET,W 48-45,0,48,48,45,3,93,3.5,3.5,covered,48.0,over,23,23,30,7,76.7,320,2,0,6.7,0.0,132.6,0,0,0.00,10.7,10.67,12.00,12.00,13.9,33,33,235,7.1,3,555,555,63,8.81,66,7.88,1,33:06,3:29,11,11,76,8,59,19,135,27,27,12,14,1,12,9,75.0,0,0,,27,27,40,67.5,375,4,1,9,1,120.3,25,25,145,5.8,2,520,520,2,27,27,6,19,2,10,4,40.0,3,3,100.0,6,6,4,2,1,1,0
27,2021_14_KAN_LVR,KAN,2021,2021-12-12,Sun,13,14,LVR,W 48-9,1,48,48,9,39,57,,,,,,20,20,24,4,83.3,240,2,0,8.3,0.0,139.2,3,18,11.11,10.0,8.89,11.67,10.37,12.0,30,30,132,4.4,3,372,372,57,6.53,61,4.75,0,33:35,2:59,8,8,63,9,85,17,148,21,21,6,11,4,13,9,69.2,0,0,,33,33,45,73.3,246,1,4,17,1,84.1,,,,,,290,290,5,19,19,2,13,4,11,4,36.4,1,1,100.0,1,1,1,0,1,1,0
28,2021_02_TAM_ATL,TAM,2021,2021-09-19,Sun,2,2,ATL,W 48-25,1,48,48,25,23,73,,,,,,24,24,36,12,66.7,259,5,0,13.9,0.0,129.2,3,17,7.69,7.2,6.64,9.97,9.21,10.8,21,21,82,3.9,0,341,341,60,5.68,69,5.04,1,26:29,3:10,9,9,83,6,49,15,132,21,21,5,14,2,12,4,33.3,2,1,50.0,35,35,48,72.9,293,2,1,7,3,76.1,20,20,55,2.8,1,348,348,3,19,19,2,15,2,15,6,40.0,4,1,25.0,3,3,2,2,1,1,0
29,2020_15_BUF_DEN,BUF,2020,2020-12-19,Sat,14,15,DEN,W 48-19,0,48,48,19,29,67,-5.5,-5.5,covered,49.0,over,28,28,40,12,70.0,352,2,0,5.0,0.0,114.5,1,7,2.44,8.8,8.59,9.80,9.56,12.6,24,24,182,7.6,3,534,534,65,8.22,63,4.05,1,33:50,3:20,8,8,75,7,33,15,108,29,29,6,19,4,13,9,69.2,1,0,0.0,20,20,32,62.5,115,1,3,17,0,79.6,28,28,140,5.0,2,,,,19,19,8,10,1,14,6,42.9,0,0,,3,3,3,1,1,0,0
