Team,Date,1stDOpp,Day,G#,Week,,Opp,Result,1stDOpp,Rush,Pass,Pen,Opp3DAtt,Opp3DConv,Opp3D%,Opp4DAtt,Opp4DConv,Opp4D%,Season,game_id
MIN,2021-11-07,36,Sun,8,9,@,BAL,L 31-34 (OT),36,17,15,4,15,6,40.0,3,3,100.0,2021,2021_09_MIN_BAL
MIN,2020-12-25,36,Fri,15,16,@,NOR,L 33-52,36,21,14,1,9,5,55.6,1,1,100.0,2020,2020_16_MIN_NOR
LVR,2020-11-22,36,Sun,10,11,,KAN,L 31-35,36,10,22,4,9,5,55.6,2,2,100.0,2020,2020_11_LVR_KAN
TAM,2019-09-29,36,Sun,4,4,@,LAR,W 55-40,36,3,27,6,11,4,36.4,1,0,0.0,2019,2019_04_TAM_LAR
CLE,2020-10-04,35,Sun,4,4,@,DAL,W 49-38,35,6,29,0,11,6,54.5,2,1,50.0,2020,2020_04_CLE_DAL
KAN,2019-10-13,35,Sun,6,6,,HOU,L 24-31,35,12,20,3,12,5,41.7,3,2,66.7,2019,2019_06_KAN_HOU
NYJ,2018-12-23,35,Sun,15,16,,GNB,L 38-44 (OT),35,9,19,7,12,5,41.7,2,2,100.0,2018,2018_16_NYJ_GNB
NOR,2020-12-20,34,Sun,14,15,,KAN,L 29-32,34,13,16,5,18,9,50.0,0,0,,2020,2020_15_NOR_KAN
DET,2020-11-15,34,Sun,9,10,,WAS,W 30-27,34,8,22,4,15,7,46.7,2,2,100.0,2020,2020_10_DET_WAS
CLE,2018-10-21,34,Sun,7,7,@,TAM,L 23-26 (OT),34,8,20,6,13,6,46.2,1,1,100.0,2018,2018_07_CLE_TAM
HOU,2022-12-18,33,Sun,14,15,,KAN,L 24-30 (OT),33,11,20,2,12,6,50.0,0,0,,2022,2022_15_HOU_KAN
HOU,2022-09-11,33,Sun,1,1,,IND,T 20-20 (OT),33,11,20,2,15,6,40.0,1,0,0.0,2022,2022_01_HOU_IND
ARI,2022-09-11,33,Sun,1,1,,KAN,L 21-44,33,7,22,4,8,5,62.5,1,1,100.0,2022,2022_01_ARI_KAN
BAL,2021-12-26,33,Sun,15,16,@,CIN,L 21-41,33,4,26,3,10,5,50.0,2,2,100.0,2021,2021_16_BAL_CIN
PIT,2021-11-21,33,Sun,10,11,@,LAC,L 37-41,33,9,19,5,12,7,58.3,1,0,0.0,2021,2021_11_PIT_LAC
MIA,2021-10-10,33,Sun,5,5,@,TAM,L 17-45,33,5,26,2,11,8,72.7,0,0,,2021,2021_05_MIA_TAM
