Team,Date,Cmp,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Season,game_id
CLE,2017-10-08,24,Sun,5,5,,NYJ,L 14-17,24,36,12,66.7,279,2,2,5.6,5.6,85.5,1,2,2.70,7.8,7.54,6.36,6.19,11.6,2017,2017_05_CLE_NYJ
SEA,2017-10-08,24,Sun,5,5,@,LAR,W 16-10,24,38,14,63.2,179,1,2,2.6,5.3,63.3,3,19,7.32,4.7,4.37,2.87,2.66,7.5,2017,2017_05_SEA_LAR
ATL,2017-10-01,24,Sun,4,4,,BUF,L 17-23,24,42,18,57.1,242,1,2,2.4,4.8,61.8,1,0,2.33,5.8,5.63,4.10,4.00,10.1,2017,2017_04_ATL_BUF
SFO,2017-10-01,24,Sun,4,4,@,ARI,L 15-18 (OT),24,49,25,49.0,210,0,1,0.0,2.0,54.3,3,24,5.77,4.3,4.04,3.37,3.17,8.8,2017,2017_04_SFO_ARI
DEN,2017-09-24,24,Sun,3,3,@,BUF,L 16-26,24,40,16,60.0,255,0,2,0.0,5.0,58.2,3,4,6.98,6.4,5.93,4.13,3.84,10.6,2017,2017_03_DEN_BUF
ATL,2017-09-24,24,Sun,3,3,@,DET,W 30-26,24,35,11,68.6,277,2,3,5.7,8.6,77.6,2,17,5.41,7.9,7.49,5.20,4.92,11.5,2017,2017_03_ATL_DET
MIA,2017-09-17,24,Sun,1,2,@,LAC,W 19-17,24,34,10,70.6,225,1,0,2.9,0.0,98.9,2,5,5.56,6.6,6.25,7.21,6.81,9.4,2017,2017_02_MIA_LAC
SFO,2017-09-10,24,Sun,1,1,,CAR,L 3-23,24,35,11,68.6,166,0,1,0.0,2.9,70.3,4,27,10.26,4.7,4.26,3.46,3.10,6.9,2017,2017_01_SFO_CAR
PIT,2017-09-10,24,Sun,1,1,@,CLE,W 21-18,24,36,12,66.7,255,2,1,5.6,2.8,95.0,1,8,2.70,7.1,6.89,6.94,6.76,10.6,2017,2017_01_PIT_CLE
DAL,2017-09-10,24,Sun,1,1,,NYG,W 19-3,24,39,15,61.5,263,1,0,2.6,0.0,90.5,1,5,2.50,6.7,6.58,7.26,7.08,11.0,2017,2017_01_DAL_NYG
NYG,2023-01-08,23,Sun,17,18,@,PHI,L 16-22,23,40,17,57.5,155,1,0,2.5,0.0,75.8,2,13,4.76,3.9,3.69,4.38,4.17,6.7,2022,2022_18_NYG_PHI
DET,2023-01-08,23,Sun,17,18,@,GNB,W 20-16,23,34,11,67.6,219,0,0,0.0,0.0,85.9,1,5,2.86,6.4,6.26,6.44,6.26,9.5,2022,2022_18_DET_GNB
IND,2023-01-08,23,Sun,17,18,,HOU,L 31-32,23,35,12,65.7,202,2,2,5.7,5.7,77.0,2,7,5.41,5.8,5.46,4.34,4.11,8.8,2022,2022_18_IND_HOU
NYJ,2023-01-01,23,Sun,16,17,@,SEA,L 6-23,23,46,23,50.0,204,0,2,0.0,4.3,47.4,4,36,8.00,4.4,4.08,2.48,2.28,8.9,2022,2022_17_NYJ_SEA
LVR,2023-01-01,23,Sun,16,17,,SFO,L 34-37 (OT),23,34,11,67.6,365,3,2,8.8,5.9,108.1,0,0,0.00,10.7,10.74,9.85,9.85,15.9,2022,2022_17_LVR_SFO
CAR,2023-01-01,23,Sun,16,17,@,TAM,L 24-30,23,37,14,62.2,326,3,1,8.1,2.7,108.1,2,15,5.13,8.8,8.36,9.22,8.74,14.2,2022,2022_17_CAR_TAM
DET,2022-12-18,23,Sun,14,15,@,NYJ,W 20-17,23,38,15,60.5,252,1,0,2.6,0.0,88.9,0,0,0.00,6.6,6.63,7.16,7.16,11.0,2022,2022_15_DET_NYJ
DAL,2022-12-18,23,Sun,14,15,@,JAX,L 34-40 (OT),23,30,7,76.7,243,3,2,10.0,6.7,107.1,3,13,9.09,8.1,7.36,7.10,6.45,10.6,2022,2022_15_DAL_JAX
NYG,2022-12-11,23,Sun,13,14,,PHI,L 22-48,23,32,9,71.9,181,2,0,6.3,0.0,110.9,7,35,17.95,5.7,4.64,6.91,5.67,7.9,2022,2022_14_NYG_PHI
CLE,2022-11-27,23,Sun,11,12,,TAM,W 23-17 (OT),23,37,14,62.2,178,1,1,2.7,2.7,75.3,4,32,9.76,4.8,4.34,4.14,3.73,7.7,2022,2022_12_CLE_TAM
MIA,2022-11-27,23,Sun,11,12,,HOU,W 30-15,23,41,18,56.1,273,1,0,2.4,0.0,88.0,5,32,10.87,6.7,5.93,7.15,6.37,11.9,2022,2022_12_MIA_HOU
DET,2022-11-24,23,Thu,11,12,,BUF,L 25-28,23,37,14,62.2,230,2,0,5.4,0.0,98.9,2,10,5.13,6.2,5.90,7.30,6.92,10.0,2022,2022_12_DET_BUF
LVR,2022-11-20,23,Sun,10,11,@,DEN,W 22-16 (OT),23,37,14,62.2,298,2,0,5.4,0.0,106.5,1,9,2.63,8.1,7.84,9.14,8.89,13.0,2022,2022_11_LVR_DEN
LAC,2022-11-20,23,Sun,10,11,,KAN,L 27-30,23,30,7,76.7,250,2,1,6.7,3.3,113.2,5,30,14.29,8.3,7.14,8.17,7.00,10.9,2022,2022_11_LAC_KAN
NWE,2022-11-20,23,Sun,10,11,,NYJ,W 10-3,23,27,4,85.2,198,0,0,0.0,0.0,104.6,6,48,18.18,7.3,6.00,7.33,6.00,8.6,2022,2022_11_NWE_NYJ
IND,2022-11-20,23,Sun,11,11,,PHI,L 16-17,23,32,9,71.9,185,0,0,0.0,0.0,89.7,4,28,11.11,5.8,5.14,5.78,5.14,8.0,2022,2022_11_IND_PHI
SEA,2022-11-13,23,Sun,10,10,@,TAM,L 16-21,23,33,10,69.7,244,2,0,6.1,0.0,115.1,3,31,8.33,7.4,6.78,8.61,7.89,10.6,2022,2022_10_SEA_TAM
MIN,2022-11-06,23,Sun,8,9,@,WAS,W 20-17,23,41,18,56.1,245,2,1,4.9,2.4,81.6,2,17,4.65,6.0,5.70,5.85,5.58,10.7,2022,2022_09_MIN_WAS
GNB,2022-11-06,23,Sun,9,9,@,DET,L 9-15,23,43,20,53.5,283,1,3,2.3,7.0,53.5,1,8,2.27,6.6,6.43,3.91,3.82,12.3,2022,2022_09_GNB_DET
WAS,2022-10-30,23,Sun,8,8,@,IND,W 17-16,23,31,8,74.2,266,1,1,3.2,3.2,98.7,2,13,6.06,8.6,8.06,7.77,7.30,11.6,2022,2022_08_WAS_IND
LVR,2022-10-30,23,Sun,7,8,@,NOR,L 0-24,23,39,16,59.0,145,0,1,0.0,2.6,59.0,4,28,9.30,3.7,3.37,2.56,2.33,6.3,2022,2022_08_LVR_NOR
SEA,2022-10-30,23,Sun,8,8,,NYG,W 27-13,23,34,11,67.6,190,2,0,5.9,0.0,104.0,3,22,8.11,5.6,5.14,6.76,6.22,8.3,2022,2022_08_SEA_NYG
NOR,2022-10-30,23,Sun,8,8,,LVR,W 24-0,23,31,8,74.2,231,2,0,6.5,0.0,116.5,0,0,0.00,7.5,7.45,8.74,8.74,10.0,2022,2022_08_NOR_LVR
GNB,2022-10-23,23,Sun,7,7,@,WAS,L 21-23,23,35,12,65.7,194,2,0,5.7,0.0,99.0,0,0,0.00,5.5,5.54,6.69,6.69,8.4,2022,2022_07_GNB_WAS
ARI,2022-10-16,23,Sun,6,6,@,SEA,L 9-19,23,37,14,62.2,171,0,1,0.0,2.7,67.6,6,51,13.95,4.6,3.98,3.41,2.93,7.4,2022,2022_06_ARI_SEA
KAN,2022-10-02,23,Sun,4,4,@,TAM,W 41-31,23,37,14,62.2,228,3,1,8.1,2.7,97.7,3,21,7.50,6.2,5.70,6.57,6.08,9.9,2022,2022_04_KAN_TAM
ARI,2022-10-02,23,Sun,4,4,@,CAR,W 26-16,23,32,9,71.9,206,2,1,6.3,3.1,96.7,1,1,3.03,6.4,6.24,6.28,6.09,9.0,2022,2022_04_ARI_CAR
SEA,2022-10-02,23,Sun,4,4,@,DET,W 48-45,23,30,7,76.7,320,2,0,6.7,0.0,132.6,0,0,0.00,10.7,10.67,12.00,12.00,13.9,2022,2022_04_SEA_DET
CIN,2022-09-25,23,Sun,3,3,@,NYJ,W 27-12,23,36,13,63.9,261,3,0,8.3,0.0,114.9,2,14,5.26,7.3,6.87,8.92,8.45,11.3,2022,2022_03_CIN_NYJ
SEA,2022-09-12,23,Mon,1,1,,DEN,W 17-16,23,28,5,82.1,177,2,0,7.1,0.0,119.5,2,18,6.67,6.3,5.90,7.75,7.23,7.7,2022,2022_01_SEA_DEN
NOR,2022-09-11,23,Sun,1,1,@,ATL,W 27-26,23,34,11,67.6,234,2,0,5.9,0.0,111.0,4,35,10.53,6.9,6.16,8.06,7.21,10.2,2022,2022_01_NOR_ATL
HOU,2022-09-11,23,Sun,1,1,,IND,T 20-20 (OT),23,37,14,62.2,222,2,0,5.4,0.0,98.9,3,18,7.50,6.0,5.55,7.08,6.55,9.7,2022,2022_01_HOU_IND
MIN,2022-09-11,23,Sun,1,1,,GNB,W 23-7,23,32,9,71.9,269,2,0,6.3,0.0,118.9,1,8,3.03,8.4,8.15,9.66,9.36,11.7,2022,2022_01_MIN_GNB
MIA,2022-09-11,23,Sun,1,1,,NWE,W 20-7,23,33,10,69.7,242,1,0,3.0,0.0,104.4,3,28,8.33,7.3,6.72,7.94,7.28,10.5,2022,2022_01_MIA_NWE
JAX,2022-01-09,23,Sun,17,18,,IND,W 26-11,23,32,9,71.9,217,2,0,6.3,0.0,111.8,1,6,3.03,6.8,6.58,8.03,7.79,9.4,2021,2021_18_JAX_IND
TEN,2022-01-09,23,Sun,17,18,@,HOU,W 28-25,23,32,9,71.9,281,4,0,12.5,0.0,138.9,1,6,3.03,8.8,8.52,11.28,10.94,12.2,2021,2021_18_TEN_HOU
HOU,2022-01-09,23,Sun,17,18,,TEN,L 25-28,23,33,10,69.7,289,3,0,9.1,0.0,128.5,2,12,5.71,8.8,8.26,10.58,9.97,12.6,2021,2021_18_HOU_TEN
NYG,2021-12-26,23,Sun,15,16,@,PHI,L 10-34,23,44,21,52.3,108,1,2,2.3,4.5,46.8,2,10,4.35,2.5,2.35,0.86,0.83,4.7,2021,2021_16_NYG_PHI
KAN,2021-12-26,23,Sun,15,16,,PIT,W 36-10,23,30,7,76.7,254,3,0,10.0,0.0,135.1,2,4,6.25,8.5,7.94,10.47,9.81,11.0,2021,2021_16_KAN_PIT
TEN,2021-12-19,23,Sun,14,15,@,PIT,L 13-19,23,32,9,71.9,117,0,1,0.0,3.1,68.9,4,36,11.11,3.7,3.25,2.25,2.00,5.1,2021,2021_15_TEN_PIT
GNB,2021-12-19,23,Sun,14,15,@,BAL,W 31-30,23,31,8,74.2,250,3,0,9.7,0.0,132.2,3,18,8.82,8.1,7.35,10.00,9.12,10.9,2021,2021_15_GNB_BAL
LAR,2021-12-13,23,Mon,13,14,@,ARI,W 30-23,23,30,7,76.7,267,3,0,10.0,0.0,139.2,3,20,9.09,8.9,8.09,10.90,9.91,11.6,2021,2021_14_LAR_ARI
LAC,2021-12-12,23,Sun,13,14,,NYG,W 37-21,23,31,8,74.2,271,3,0,9.7,0.0,133.1,2,4,6.06,8.7,8.21,10.68,10.03,11.8,2021,2021_14_LAC_NYG
NYG,2021-12-05,23,Sun,12,13,@,MIA,L 9-20,23,44,21,52.3,159,0,1,0.0,2.3,53.9,3,28,6.38,3.6,3.38,2.59,2.43,6.9,2021,2021_13_NYG_MIA
NYJ,2021-12-05,23,Sun,12,13,,PHI,L 18-33,23,38,15,60.5,211,2,1,5.3,2.6,83.9,2,15,5.00,5.6,5.28,5.42,5.15,9.2,2021,2021_13_NYJ_PHI
BAL,2021-12-05,23,Sun,12,13,@,PIT,L 19-20,23,37,14,62.2,219,1,1,2.7,2.7,80.1,7,34,15.91,5.9,4.98,5.24,4.41,9.5,2021,2021_13_BAL_PIT
WAS,2021-12-05,23,Sun,12,13,@,LVR,W 17-15,23,30,7,76.7,186,2,1,6.7,3.3,101.5,1,10,3.23,6.2,6.00,6.03,5.84,8.1,2021,2021_13_WAS_LVR
JAX,2021-11-28,23,Sun,11,12,,ATL,L 14-21,23,42,19,54.8,216,1,1,2.4,2.4,68.4,1,12,2.33,5.1,5.02,4.55,4.44,9.4,2021,2021_12_JAX_ATL
NWE,2021-11-28,23,Sun,12,12,,TEN,W 36-13,23,32,9,71.9,289,2,0,6.3,0.0,123.2,2,21,5.88,9.0,8.50,10.28,9.68,12.6,2021,2021_12_NWE_TEN
BUF,2021-11-25,23,Thu,11,12,@,NOR,W 31-6,23,28,5,82.1,248,4,2,14.3,7.1,115.2,2,12,6.67,8.9,8.27,8.50,7.93,10.8,2021,2021_12_BUF_NOR
NYG,2021-11-22,23,Mon,10,11,@,TAM,L 10-30,23,39,16,59.0,149,1,2,2.6,5.1,56.2,2,18,4.88,3.8,3.63,2.03,1.93,6.5,2021,2021_11_NYG_TAM
KAN,2021-11-21,23,Sun,11,11,,DAL,W 19-9,23,37,14,62.2,244,0,1,0.0,2.7,71.9,3,16,7.50,6.6,6.10,5.38,4.98,10.6,2021,2021_11_KAN_DAL
GNB,2021-11-21,23,Sun,11,11,@,MIN,L 31-34,23,33,10,69.7,372,4,0,12.1,0.0,148.4,2,13,5.71,11.3,10.63,13.70,12.91,16.2,2021,2021_11_GNB_MIN
GNB,2021-11-14,23,Sun,10,10,,SEA,W 17-0,23,37,14,62.2,287,0,1,0.0,2.7,75.5,1,5,2.63,7.8,7.55,6.54,6.37,12.5,2021,2021_10_GNB_SEA
TAM,2021-11-14,23,Sun,9,10,@,WAS,L 19-29,23,34,11,67.6,220,2,2,5.9,5.9,80.5,0,0,0.00,6.5,6.47,5.00,5.00,9.6,2021,2021_10_TAM_WAS
ATL,2021-11-07,23,Sun,8,9,@,NOR,W 27-25,23,30,7,76.7,332,2,0,6.7,0.0,135.8,2,11,6.25,11.1,10.38,12.40,11.63,14.4,2021,2021_09_ATL_NOR
ARI,2021-11-07,23,Sun,9,9,@,SFO,W 31-17,23,27,4,85.2,274,1,0,3.7,0.0,122.5,2,8,6.90,10.1,9.45,10.89,10.14,11.9,2021,2021_09_ARI_SFO
NYG,2021-11-01,23,Mon,8,8,@,KAN,L 17-20,23,33,10,69.7,228,2,1,6.1,3.0,98.2,3,13,8.33,6.9,6.33,6.76,6.19,9.9,2021,2021_08_NYG_KAN
TEN,2021-10-31,23,Sun,8,8,@,IND,W 34-31 (OT),23,34,11,67.6,247,3,2,8.8,5.9,95.8,3,18,8.11,7.3,6.68,6.38,5.86,10.7,2021,2021_08_TEN_IND
MIN,2021-10-31,23,Sun,7,8,,DAL,L 16-20,23,36,13,63.9,177,1,0,2.8,0.0,85.9,1,7,2.70,4.9,4.78,5.47,5.32,7.7,2021,2021_08_MIN_DAL
HOU,2021-10-24,23,Sun,7,7,@,ARI,L 5-31,23,32,9,71.9,118,0,0,0.0,0.0,79.6,2,17,5.88,3.7,3.47,3.69,3.47,5.1,2021,2021_07_HOU_ARI
DET,2021-10-24,23,Sun,7,7,@,LAR,L 19-28,23,37,14,62.2,278,1,2,2.7,5.4,72.5,2,7,5.13,7.5,7.13,5.62,5.33,12.1,2021,2021_07_DET_LAR
CIN,2021-10-24,23,Sun,7,7,@,BAL,W 41-17,23,38,15,60.5,409,3,1,7.9,2.6,113.5,1,7,2.56,10.8,10.49,11.16,10.87,17.8,2021,2021_07_CIN_BAL
DEN,2021-10-21,23,Thu,7,7,@,CLE,L 14-17,23,33,10,69.7,182,2,1,6.1,3.0,91.4,2,5,5.71,5.5,5.20,5.36,5.06,7.9,2021,2021_07_DEN_CLE
SEA,2021-10-17,23,Sun,6,6,@,PIT,L 20-23 (OT),23,32,9,71.9,165,1,0,3.1,0.0,99.6,5,44,13.51,5.2,4.46,5.78,5.00,7.2,2021,2021_06_SEA_PIT
NWE,2021-10-10,23,Sun,5,5,@,HOU,W 25-22,23,30,7,76.7,226,1,1,3.3,3.3,95.3,1,5,3.23,7.5,7.29,6.70,6.48,9.8,2021,2021_05_NWE_HOU
DAL,2021-10-10,23,Sun,5,5,,NYG,W 44-20,23,33,10,69.7,314,3,1,9.1,3.0,118.7,2,10,5.71,9.5,8.97,9.97,9.40,13.7,2021,2021_05_DAL_NYG
JAX,2021-10-10,23,Sun,5,5,,TEN,L 19-37,23,33,10,69.7,256,1,1,3.0,3.0,92.1,2,17,5.71,7.8,7.31,7.00,6.60,11.1,2021,2021_05_JAX_TEN
CLE,2021-10-10,23,Sun,5,5,@,LAC,L 42-47,23,32,9,71.9,301,2,0,6.3,0.0,122.5,1,4,3.03,9.4,9.12,10.66,10.33,13.1,2021,2021_05_CLE_LAC
WAS,2021-10-03,23,Sun,4,4,@,ATL,W 34-30,23,33,10,69.7,290,3,0,9.1,0.0,127.1,1,0,2.94,8.8,8.53,10.61,10.29,12.6,2021,2021_04_WAS_ATL
SFO,2021-10-03,23,Sun,4,4,,SEA,L 21-28,23,41,18,56.1,314,3,1,7.3,2.4,95.8,2,8,4.65,7.7,7.30,8.02,7.65,13.7,2021,2021_04_SFO_SEA
SEA,2021-09-26,23,Sun,3,3,@,MIN,L 17-30,23,32,9,71.9,283,1,0,3.1,0.0,111.2,2,15,5.88,8.8,8.32,9.47,8.91,12.3,2021,2021_03_SEA_MIN
GNB,2021-09-26,23,Sun,3,3,@,SFO,W 30-28,23,33,10,69.7,253,2,0,6.1,0.0,113.3,1,8,2.94,7.7,7.44,8.88,8.62,11.0,2021,2021_03_GNB_SFO
CAR,2021-09-23,23,Thu,3,3,@,HOU,W 24-9,23,34,11,67.6,290,0,0,0.0,0.0,95.7,3,14,8.11,8.5,7.84,8.53,7.84,12.6,2021,2021_03_CAR_HOU
DAL,2021-09-19,23,Sun,2,2,@,LAC,W 20-17,23,27,4,85.2,221,0,1,0.0,3.7,87.8,2,16,6.90,8.2,7.62,6.52,6.07,9.6,2021,2021_02_DAL_LAC
KAN,2021-01-03,23,Sun,16,17,,LAC,L 21-38,23,32,9,71.9,217,2,0,6.3,0.0,111.2,1,1,3.03,6.8,6.58,8.03,7.79,9.4,2020,2020_17_KAN_LAC
NYJ,2021-01-03,23,Sun,16,17,@,NWE,L 14-28,23,34,11,67.6,239,1,2,2.9,5.9,76.3,3,27,8.11,7.0,6.46,4.97,4.57,10.4,2020,2020_17_NYJ_NWE
ARI,2020-11-29,23,Sun,11,12,@,NWE,L 17-20,23,34,11,67.6,160,0,1,0.0,2.9,67.0,2,10,5.56,4.7,4.44,3.38,3.19,7.0,2020,2020_12_ARI_NWE
MIA,2020-11-22,23,Sun,10,11,@,DEN,L 13-20,23,38,15,60.5,167,1,1,2.6,2.6,72.3,6,33,13.64,4.4,3.80,3.74,3.23,7.3,2020,2020_11_MIA_DEN
LVR,2020-11-22,23,Sun,10,11,,KAN,L 31-35,23,31,8,74.2,275,3,1,9.7,3.2,119.7,0,0,0.00,8.9,8.87,9.35,9.35,12.0,2020,2020_11_LVR_KAN
TEN,2020-11-22,23,Sun,10,11,@,BAL,W 30-24 (OT),23,32,9,71.9,250,2,1,6.3,3.1,104.4,2,16,5.88,7.8,7.35,7.66,7.21,10.9,2020,2020_11_TEN_BAL
SEA,2020-11-19,23,Thu,10,11,,ARI,W 28-21,23,28,5,82.1,182,2,0,7.1,0.0,119.8,3,15,9.68,6.5,5.87,7.93,7.16,7.9,2020,2020_11_SEA_ARI
DEN,2020-11-15,23,Sun,9,10,@,LVR,L 12-37,23,47,24,48.9,247,1,4,2.1,8.5,37.3,2,10,4.08,5.3,5.04,1.85,1.78,10.7,2020,2020_10_DEN_LVR
NYG,2020-11-08,23,Sun,9,9,@,WAS,W 23-20,23,34,11,67.6,184,1,0,2.9,0.0,94.2,5,28,12.82,5.4,4.72,6.00,5.23,8.0,2020,2020_09_NYG_WAS
IND,2020-11-01,23,Sun,7,8,@,DET,W 41-21,23,34,11,67.6,247,3,0,8.8,0.0,120.0,2,15,5.56,7.3,6.86,9.03,8.53,10.7,2020,2020_08_IND_DET
LAR,2020-10-26,23,Mon,7,7,,CHI,W 24-10,23,33,10,69.7,211,2,0,6.1,0.0,108.1,1,9,2.94,6.4,6.21,7.61,7.38,9.2,2020,2020_07_LAR_CHI
CLE,2020-10-25,23,Sun,7,7,@,CIN,W 37-34,23,29,6,79.3,316,5,1,17.2,3.4,137.3,0,0,0.00,10.9,10.90,12.79,12.79,13.7,2020,2020_07_CLE_CIN
GNB,2020-10-25,23,Sun,6,7,@,HOU,W 35-20,23,34,11,67.6,283,4,0,11.8,0.0,132.4,0,0,0.00,8.3,8.32,10.68,10.68,12.3,2020,2020_07_GNB_HOU
CAR,2020-10-25,23,Sun,7,7,@,NOR,L 24-27,23,28,5,82.1,246,2,0,7.1,0.0,128.3,1,8,3.45,8.8,8.48,10.21,9.86,10.7,2020,2020_07_CAR_NOR
CHI,2020-10-18,23,Sun,6,6,@,CAR,W 23-16,23,39,16,59.0,198,1,1,2.6,2.6,70.2,0,0,0.00,5.1,5.08,4.44,4.44,8.6,2020,2020_06_CHI_CAR
SFO,2020-10-18,23,Sun,6,6,,LAR,W 24-16,23,33,10,69.7,268,3,0,9.1,0.0,124.3,0,0,0.00,8.1,8.12,9.94,9.94,11.7,2020,2020_06_SFO_LAR
NYG,2020-10-04,23,Sun,4,4,@,LAR,L 9-17,23,36,13,63.9,159,0,1,0.0,2.8,65.7,5,31,12.20,4.4,3.88,3.17,2.78,6.9,2020,2020_04_NYG_LAR
LAR,2020-09-27,23,Sun,3,3,@,BUF,L 32-35,23,32,9,71.9,311,2,1,6.3,3.1,111.6,2,10,5.88,9.7,9.15,9.56,9.00,13.5,2020,2020_03_LAR_BUF
ARI,2020-09-27,23,Sun,3,3,,DET,L 23-26,23,35,12,65.7,268,2,3,5.7,8.6,72.3,1,2,2.78,7.7,7.44,4.94,4.81,11.7,2020,2020_03_ARI_DET
PIT,2020-09-27,23,Sun,3,3,,HOU,W 28-21,23,36,13,63.9,218,2,0,5.6,0.0,101.3,2,19,5.26,6.1,5.74,7.17,6.79,9.5,2020,2020_03_PIT_HOU
TEN,2020-09-27,23,Sun,3,3,@,MIN,W 31-30,23,37,14,62.2,310,0,1,0.0,2.7,78.8,2,11,5.13,8.4,7.95,7.16,6.79,13.5,2020,2020_03_TEN_MIN
TAM,2020-09-20,23,Sun,2,2,,CAR,W 31-17,23,35,12,65.7,217,1,1,2.9,2.9,80.3,0,0,0.00,6.2,6.20,5.49,5.49,9.4,2020,2020_02_TAM_CAR
TAM,2020-09-13,23,Sun,1,1,@,NOR,L 23-34,23,36,13,63.9,224,2,2,5.6,5.6,78.4,3,15,7.69,6.2,5.74,4.83,4.46,9.7,2020,2020_01_TAM_NOR
CIN,2020-09-13,23,Sun,1,1,,LAC,L 13-16,23,36,13,63.9,173,0,1,0.0,2.8,66.1,3,20,7.69,4.8,4.44,3.56,3.28,7.5,2020,2020_01_CIN_LAC
NYJ,2019-12-29,23,Sun,16,17,@,BUF,W 13-6,23,36,13,63.9,185,1,1,2.8,2.8,76.0,2,14,5.26,5.1,4.87,4.44,4.21,8.0,2019,2019_17_NYJ_BUF
PHI,2019-12-29,23,Sun,16,17,@,NYG,W 34-17,23,40,17,57.5,279,1,0,2.5,0.0,88.4,1,10,2.44,7.0,6.80,7.48,7.29,12.1,2019,2019_17_PHI_NYG
DAL,2019-12-29,23,Sun,16,17,,WAS,W 47-16,23,33,10,69.7,294,4,0,12.1,0.0,138.0,3,9,8.33,8.9,8.17,11.33,10.39,12.8,2019,2019_17_DAL_WAS
KAN,2019-12-22,23,Sun,15,16,@,CHI,W 26-3,23,33,10,69.7,244,2,0,6.1,0.0,112.1,1,7,2.94,7.4,7.18,8.61,8.35,10.6,2019,2019_16_KAN_CHI
PIT,2019-12-15,23,Sun,14,15,,BUF,L 10-17,23,38,15,60.5,178,1,4,2.6,10.5,43.9,4,24,9.52,4.7,4.24,0.47,0.43,7.7,2019,2019_15_PIT_BUF
MIA,2019-12-15,23,Sun,14,15,@,NYG,L 20-36,23,41,18,56.1,262,2,0,4.9,0.0,93.4,3,17,6.82,6.4,5.95,7.37,6.86,11.4,2019,2019_15_MIA_NYG
CIN,2019-12-08,23,Sun,13,14,@,CLE,L 19-27,23,39,16,59.0,272,0,1,0.0,2.6,71.3,2,16,4.88,7.0,6.63,5.82,5.54,11.8,2019,2019_14_CIN_CLE
CHI,2019-12-05,23,Thu,13,14,,DAL,W 31-24,23,31,8,74.2,231,3,1,9.7,3.2,115.5,2,13,6.06,7.5,7.00,7.94,7.45,10.0,2019,2019_14_CHI_DAL
JAX,2019-12-01,23,Sun,12,13,,TAM,L 11-28,23,41,18,56.1,193,1,2,2.4,4.9,61.0,5,47,10.87,4.7,4.20,3.00,2.67,8.4,2019,2019_13_JAX_TAM
CAR,2019-11-24,23,Sun,11,12,@,NOR,L 31-34,23,36,13,63.9,230,3,0,8.3,0.0,112.7,4,26,10.00,6.4,5.75,8.06,7.25,10.0,2019,2019_12_CAR_NOR
GNB,2019-11-24,23,Sun,11,12,@,SFO,L 8-37,23,37,14,62.2,81,1,0,2.7,0.0,76.3,5,38,11.90,2.2,1.93,2.73,2.40,3.5,2019,2019_12_GNB_SFO
PIT,2019-11-14,23,Thu,10,11,@,CLE,L 7-21,23,44,21,52.3,178,1,4,2.3,9.1,36.3,4,43,8.33,4.0,3.71,0.41,0.38,7.7,2019,2019_11_PIT_CLE
MIN,2019-11-10,23,Sun,10,10,@,DAL,W 28-24,23,32,9,71.9,211,2,0,6.3,0.0,111.5,1,9,3.03,6.6,6.39,7.84,7.61,9.2,2019,2019_10_MIN_DAL
GNB,2019-11-03,23,Sun,9,9,@,LAC,L 11-26,23,35,12,65.7,139,1,0,2.9,0.0,85.5,3,22,7.89,4.0,3.66,4.54,4.18,6.0,2019,2019_09_GNB_LAC
GNB,2019-10-27,23,Sun,8,8,@,KAN,W 31-24,23,33,10,69.7,256,3,0,9.1,0.0,129.0,5,49,13.16,7.8,6.74,9.58,8.32,11.1,2019,2019_08_GNB_KAN
CHI,2019-10-27,23,Sun,7,8,,LAC,L 16-17,23,35,12,65.7,226,0,1,0.0,2.9,75.1,4,27,10.26,6.5,5.79,5.17,4.64,9.8,2019,2019_08_CHI_LAC
MIN,2019-10-24,23,Thu,8,8,,WAS,W 19-9,23,26,3,88.5,273,0,0,0.0,0.0,112.3,3,12,10.34,10.5,9.41,10.50,9.41,11.9,2019,2019_08_MIN_WAS
LAR,2019-10-20,23,Sun,7,7,@,ATL,W 37-10,23,38,15,60.5,291,2,0,5.3,0.0,102.0,0,0,0.00,7.7,7.66,8.71,8.71,12.7,2019,2019_07_LAR_ATL
MIA,2019-10-20,23,Sun,6,7,@,BUF,L 21-31,23,35,12,65.7,272,1,1,2.9,2.9,88.0,1,10,2.78,7.8,7.56,7.06,6.86,11.8,2019,2019_07_MIA_BUF
NOR,2019-10-20,23,Sun,7,7,@,CHI,W 36-25,23,38,15,60.5,273,2,0,5.3,0.0,100.9,1,8,2.56,7.2,7.00,8.24,8.03,11.9,2019,2019_07_NOR_CHI
HOU,2019-10-20,23,Sun,7,7,@,IND,L 23-30,23,34,11,67.6,291,1,2,2.9,5.9,81.5,3,17,8.11,8.6,7.86,6.50,5.97,12.7,2019,2019_07_HOU_IND
SEA,2019-10-13,23,Sun,6,6,@,CLE,W 32-28,23,33,10,69.7,284,2,0,6.1,0.0,117.6,3,11,8.33,8.6,7.89,9.82,9.00,12.3,2019,2019_06_SEA_CLE
NYJ,2019-10-13,23,Sun,5,6,,DAL,W 24-22,23,32,9,71.9,326,2,1,6.3,3.1,113.8,2,12,5.88,10.2,9.59,10.03,9.44,14.2,2019,2019_06_NYJ_DAL
