Team,Date,Cmp,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Season,game_id
CHI,2021-01-03,33,Sun,16,17,,GNB,L 16-35,33,42,9,78.6,248,0,1,0.0,2.4,81.7,1,4,2.33,5.9,5.77,4.83,4.72,7.5,2020,2020_17_CHI_GNB
HOU,2020-12-20,33,Sun,14,15,@,IND,L 20-27,33,41,8,80.5,342,2,0,4.9,0.0,120.8,5,31,10.87,8.3,7.43,9.32,8.30,10.4,2020,2020_15_HOU_IND
PIT,2020-12-07,33,Mon,12,13,,WAS,L 17-23,33,53,20,62.3,305,2,1,3.8,1.9,82.7,0,0,0.00,5.8,5.75,5.66,5.66,9.2,2020,2020_13_PIT_WAS
BUF,2020-11-15,33,Sun,10,10,@,ARI,L 30-32,33,50,17,66.0,296,3,2,6.0,4.0,85.1,0,0,0.00,5.9,5.92,5.32,5.32,9.0,2020,2020_10_BUF_ARI
TAM,2020-10-25,33,Sun,7,7,@,LVR,W 45-20,33,45,12,73.3,369,4,0,8.9,0.0,127.0,0,0,0.00,8.2,8.20,9.98,9.98,11.2,2020,2020_07_TAM_LVR
SEA,2020-10-25,33,Sun,6,7,@,ARI,L 34-37 (OT),33,50,17,66.0,372,3,3,6.0,6.0,84.4,2,16,3.85,7.4,7.15,5.94,5.71,11.3,2020,2020_07_SEA_ARI
NOR,2020-10-12,33,Mon,5,5,,LAC,W 30-27 (OT),33,48,15,68.8,313,1,1,2.1,2.1,85.9,2,12,4.00,6.5,6.26,6.00,5.76,9.5,2020,2020_05_NOR_LAC
CAR,2020-09-20,33,Sun,2,2,@,TAM,L 17-31,33,42,9,78.6,340,0,2,0.0,4.8,83.2,5,27,10.64,8.1,7.23,5.95,5.32,10.3,2020,2020_02_CAR_TAM
BUF,2020-09-13,33,Sun,1,1,,NYJ,W 27-17,33,46,13,71.7,306,2,0,4.3,0.0,104.6,3,6,6.12,6.7,6.24,7.52,7.06,9.3,2020,2020_01_BUF_NYJ
CIN,2019-12-22,33,Sun,15,16,@,MIA,L 35-38 (OT),33,56,23,58.9,371,4,0,7.1,0.0,104.5,4,25,6.67,6.6,6.18,8.05,7.52,11.2,2019,2019_16_CIN_MIA
PHI,2019-12-09,33,Mon,13,14,,NYG,W 23-17 (OT),33,50,17,66.0,300,2,0,4.0,0.0,97.5,3,25,5.66,6.0,5.66,6.80,6.42,9.1,2019,2019_14_PHI_NYG
LAR,2019-12-01,33,Sun,12,13,@,ARI,W 34-7,33,45,12,73.3,417,2,0,4.4,0.0,117.5,1,10,2.17,9.3,9.07,10.16,9.93,12.6,2019,2019_13_LAR_ARI
PHI,2019-11-24,33,Sun,11,12,,SEA,L 9-17,33,45,12,73.3,238,1,2,2.2,4.4,75.8,3,18,6.25,5.3,4.96,3.73,3.50,7.2,2019,2019_12_PHI_SEA
JAX,2019-11-17,33,Sun,10,11,@,IND,L 13-33,33,47,14,70.2,279,2,1,4.3,2.1,92.2,2,17,4.08,5.9,5.69,5.83,5.59,8.5,2019,2019_11_JAX_IND
NOR,2019-11-10,33,Sun,9,10,,ATL,L 9-26,33,46,13,71.7,258,0,0,0.0,0.0,89.4,6,46,11.54,5.6,4.96,5.61,4.96,7.8,2019,2019_10_NOR_ATL
NYG,2019-09-08,33,Sun,1,1,@,DAL,L 17-35,33,48,15,68.8,319,1,0,2.1,0.0,94.4,1,4,2.04,6.6,6.51,7.06,6.92,9.7,2019,2019_01_NYG_DAL
ATL,2019-09-08,33,Sun,1,1,@,MIN,L 12-28,33,46,13,71.7,272,2,2,4.3,4.3,85.8,4,32,8.00,5.9,5.44,4.83,4.44,8.2,2019,2019_01_ATL_MIN
PIT,2018-12-23,33,Sun,15,16,@,NOR,L 28-31,33,50,17,66.0,364,3,0,6.0,0.0,108.7,3,16,5.66,7.3,6.87,8.48,8.00,11.0,2018,2018_16_PIT_NOR
IND,2018-12-02,33,Sun,12,13,@,JAX,L 0-6,33,52,19,63.5,224,0,1,0.0,1.9,66.8,3,24,5.45,4.3,4.07,3.44,3.25,6.8,2018,2018_13_IND_JAX
KAN,2018-11-19,33,Mon,11,11,@,LAR,L 51-54,33,46,13,71.7,448,6,3,13.0,6.5,117.6,3,30,6.12,9.7,9.14,9.41,8.84,13.6,2018,2018_11_KAN_LAR
JAX,2018-10-07,33,Sun,5,5,@,KAN,L 14-30,33,61,28,54.1,401,1,4,1.6,6.6,54.7,5,29,7.58,6.6,6.08,3.95,3.65,12.2,2018,2018_05_JAX_KAN
HOU,2018-10-07,33,Sun,5,5,,DAL,W 19-16 (OT),33,44,11,75.0,374,1,1,2.3,2.3,98.2,1,1,2.22,8.5,8.31,7.93,7.76,11.3,2018,2018_05_HOU_DAL
PHI,2018-09-30,33,Sun,4,4,@,TEN,L 23-26 (OT),33,50,17,66.0,315,2,0,4.0,0.0,99.4,4,33,7.41,6.3,5.83,7.10,6.57,9.5,2018,2018_04_PHI_TEN
WAS,2018-09-16,33,Sun,2,2,,IND,L 9-21,33,46,13,71.7,269,0,0,0.0,0.0,88.3,3,23,6.12,5.8,5.49,5.85,5.49,8.2,2018,2018_02_WAS_IND
NYG,2018-09-16,33,Sun,2,2,@,DAL,L 13-20,33,44,11,75.0,220,1,0,2.3,0.0,98.6,6,59,12.00,5.0,4.40,5.45,4.80,6.7,2018,2018_02_NYG_DAL
PIT,2017-11-26,33,Sun,11,12,,GNB,W 31-28,33,45,12,73.3,341,4,2,8.9,4.4,106.8,1,10,2.17,7.6,7.41,7.36,7.20,10.3,2017,2017_12_PIT_GNB
PIT,2017-10-08,33,Sun,5,5,,JAX,L 9-30,33,55,22,60.0,301,0,5,0.0,9.1,37.8,2,11,3.51,5.5,5.28,1.38,1.33,9.1,2017,2017_05_PIT_JAX
ARI,2017-10-01,33,Sun,4,4,,SFO,W 18-15 (OT),33,51,18,64.7,317,1,1,2.0,2.0,83.5,6,40,10.53,6.2,5.56,5.73,5.12,9.6,2017,2017_04_ARI_SFO
GNB,2017-09-17,33,Sun,2,2,@,ATL,L 23-34,33,50,17,66.0,308,2,1,4.0,2.0,90.7,3,35,5.66,6.2,5.81,6.06,5.72,9.3,2017,2017_02_GNB_ATL
TAM,2022-12-25,32,Sun,15,16,@,ARI,W 19-16 (OT),32,48,16,66.7,281,1,2,2.1,4.2,71.6,0,0,0.00,5.9,5.85,4.40,4.40,8.8,2022,2022_16_TAM_ARI
PIT,2022-10-23,32,Sun,7,7,@,MIA,L 10-16,32,44,12,72.7,246,1,3,2.3,6.8,66.2,2,11,4.35,5.6,5.35,2.98,2.85,7.7,2022,2022_07_PIT_MIA
TAM,2022-10-23,32,Sun,7,7,@,CAR,L 3-21,32,49,17,65.3,276,0,0,0.0,0.0,81.2,1,14,2.00,5.6,5.52,5.63,5.52,8.6,2022,2022_07_TAM_CAR
NOR,2022-10-20,32,Thu,7,7,@,ARI,L 34-42,32,49,17,65.3,409,4,3,8.2,6.1,93.0,0,0,0.00,8.3,8.35,7.22,7.22,12.8,2022,2022_07_NOR_ARI
