Team,Date,Tot,Day,G#,Week,,Opp,Result,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Season,game_id
PIT,2021-10-31,370,Sun,7,8,@,CLE,W 15-10,370,69,5.36,58,5.28,0,31:45,3:01,2021,2021_08_PIT_CLE
CAR,2020-12-13,370,Sun,13,14,,DEN,L 27-32,370,65,5.69,58,6.29,0,30:28,3:03,2020,2020_14_CAR_DEN
BUF,2020-10-13,370,Tue,5,5,@,TEN,L 16-42,370,69,5.36,62,5.39,3,32:24,2:55,2020,2020_05_BUF_TEN
CAR,2019-11-03,370,Sun,8,9,,TEN,W 30-20,370,68,5.44,64,6.73,1,33:17,3:17,2019,2019_09_CAR_TEN
NYG,2019-10-27,370,Sun,8,8,@,DET,L 26-31,370,68,5.44,61,6.15,1,30:47,3:02,2019,2019_08_NYG_DET
CIN,2019-10-06,370,Sun,5,5,,ARI,L 23-26,370,62,5.97,71,7.24,0,28:57,3:03,2019,2019_05_CIN_ARI
NYG,2019-09-15,370,Sun,2,2,,BUF,L 14-28,370,66,5.61,67,5.79,2,27:22,3:11,2019,2019_02_NYG_BUF
BUF,2019-09-08,370,Sun,1,1,@,NYJ,W 17-16,370,63,5.87,66,3.38,4,27:59,3:09,2019,2019_01_BUF_NYJ
DEN,2018-12-30,370,Sun,16,17,,LAC,L 9-23,370,74,5.00,55,5.02,4,31:48,3:03,2018,2018_17_DEN_LAC
NYJ,2018-12-23,370,Sun,15,16,,GNB,L 38-44 (OT),370,57,6.49,79,6.84,0,29:18,3:47,2018,2018_16_NYJ_GNB
NOR,2018-12-23,370,Sun,15,16,,PIT,W 31-28,370,61,6.07,71,6.04,1,28:40,3:24,2018,2018_16_NOR_PIT
IND,2018-12-16,370,Sun,14,15,,DAL,W 23-0,370,66,5.61,64,4.56,1,31:48,2:54,2018,2018_15_IND_DAL
BAL,2018-12-16,370,Sun,14,15,,TAM,W 20-12,370,74,5.00,47,5.13,2,37:10,2:50,2018,2018_15_BAL_TAM
MIA,2018-10-25,370,Thu,8,8,@,HOU,L 23-42,370,65,5.69,55,7.76,1,31:09,3:21,2018,2018_08_MIA_HOU
GNB,2018-09-09,370,Sun,1,1,,CHI,W 24-23,370,59,6.27,66,4.45,2,26:38,3:07,2018,2018_01_GNB_CHI
BAL,2017-12-03,370,Sun,12,13,,DET,W 44-20,370,63,5.87,61,6.10,0,29:51,3:05,2017,2017_13_BAL_DET
GNB,2017-09-10,370,Sun,1,1,,SEA,W 17-9,370,74,5.00,48,4.69,1,39:13,3:09,2017,2017_01_GNB_SEA
BUF,2022-10-30,369,Sun,7,8,,GNB,W 27-17,369,54,6.83,63,6.32,2,26:12,3:04,2022,2022_08_BUF_GNB
NOR,2022-01-09,369,Sun,17,18,@,ATL,W 30-20,369,71,5.20,48,5.35,0,39:17,2:59,2021,2021_18_NOR_ATL
WAS,2021-11-21,369,Sun,10,11,@,CAR,W 27-21,369,65,5.68,49,6.06,1,35:53,3:06,2021,2021_11_WAS_CAR
LAC,2021-10-31,369,Sun,7,8,,NWE,L 24-27,369,58,6.36,75,4.69,2,24:36,3:07,2021,2021_08_LAC_NWE
TEN,2021-10-24,369,Sun,7,7,,KAN,W 27-3,369,64,5.77,68,4.91,1,36:21,2:58,2021,2021_07_TEN_KAN
NOR,2021-10-10,369,Sun,5,5,@,WAS,W 33-22,369,55,6.71,76,4.91,2,23:34,3:15,2021,2021_05_NOR_WAS
ATL,2020-12-20,369,Sun,14,15,,TAM,L 27-31,369,65,5.68,66,6.30,0,28:11,3:09,2020,2020_15_ATL_TAM
BUF,2020-11-15,369,Sun,10,10,@,ARI,L 30-32,369,68,5.43,70,6.47,2,30:20,3:25,2020,2020_10_BUF_ARI
GNB,2020-09-27,369,Sun,3,3,@,NOR,W 37-30,369,59,6.25,58,6.84,0,31:40,3:11,2020,2020_03_GNB_NOR
KAN,2020-09-10,369,Thu,1,1,,HOU,W 34-20,369,67,5.51,58,6.21,0,34:47,2:53,2020,2020_01_KAN_HOU
JAX,2019-11-24,369,Sun,11,12,@,TEN,L 20-42,369,78,4.73,52,9.06,1,36:56,3:01,2019,2019_12_JAX_TEN
SEA,2018-10-14,369,Sun,6,6,@,OAK,W 27-3,369,61,6.05,56,3.30,1,31:26,2:50,2018,2018_06_SEA_OAK
BAL,2018-09-09,369,Sun,1,1,,BUF,W 47-3,369,74,4.99,61,2.51,1,35:14,3:21,2018,2018_01_BAL_BUF
SFO,2017-12-24,369,Sun,15,16,,JAX,W 44-33,369,66,5.59,79,5.97,1,29:11,3:27,2017,2017_16_SFO_JAX
CHI,2022-11-06,368,Sun,9,9,,MIA,L 32-35,368,70,5.26,53,7.15,0,34:46,2:59,2022,2022_09_CHI_MIA
SFO,2022-10-30,368,Sun,8,8,@,LAR,W 31-14,368,52,7.08,56,3.98,0,29:56,2:45,2022,2022_08_SFO_LAR
KAN,2022-10-10,368,Mon,5,5,,LVR,W 30-29,368,69,5.33,56,6.75,0,31:07,3:08,2022,2022_05_KAN_LVR
KAN,2021-11-01,368,Mon,8,8,,NYG,W 20-17,368,77,4.78,56,5.36,2,34:38,3:05,2021,2021_08_KAN_NYG
TEN,2021-10-10,368,Sun,5,5,@,JAX,W 37-19,368,61,6.03,66,6.88,0,31:30,3:07,2021,2021_05_TEN_JAX
TEN,2021-09-26,368,Sun,3,3,,IND,W 25-16,368,65,5.66,57,4.65,3,34:06,3:01,2021,2021_03_TEN_IND
CLE,2019-11-10,368,Sun,9,10,,BUF,W 19-16,368,66,5.58,62,5.55,0,31:46,3:14,2019,2019_10_CLE_BUF
NWE,2018-12-16,368,Sun,14,15,@,PIT,L 10-17,368,56,6.57,61,6.16,1,29:11,2:56,2018,2018_15_NWE_PIT
BUF,2018-12-09,368,Sun,13,14,,NYJ,L 23-27,368,71,5.18,53,4.68,3,33:47,3:12,2018,2018_14_BUF_NYJ
LAC,2018-09-30,368,Sun,4,4,,SFO,W 29-27,368,67,5.49,59,6.17,1,32:26,3:13,2018,2018_04_LAC_SFO
ARI,2017-11-05,368,Sun,8,9,@,SFO,W 20-10,368,73,5.04,73,4.51,2,36:22,3:22,2017,2017_09_ARI_SFO
ARI,2017-10-01,368,Sun,4,4,,SFO,W 18-15 (OT),368,79,4.66,79,3.86,1,36:15,3:40,2017,2017_04_ARI_SFO
CLE,2022-11-27,367,Sun,11,12,,TAM,W 23-17 (OT),367,75,4.89,66,4.92,1,39:04,3:25,2022,2022_12_CLE_TAM
NYG,2022-11-13,367,Sun,9,10,,HOU,W 24-16,367,67,5.48,60,6.45,0,33:20,3:12,2022,2022_10_NYG_HOU
NOR,2022-10-30,367,Sun,8,8,,LVR,W 24-0,367,63,5.83,56,3.27,0,34:51,2:46,2022,2022_08_NOR_LVR
NYG,2021-10-10,367,Sun,5,5,@,DAL,L 20-44,367,64,5.73,74,6.96,2,27:48,3:14,2021,2021_05_NYG_DAL
CIN,2021-10-10,367,Sun,5,5,,GNB,L 22-25 (OT),367,65,5.65,63,7.40,2,34:06,3:22,2021,2021_05_CIN_GNB
GNB,2021-10-03,367,Sun,4,4,,PIT,W 27-17,367,72,5.10,58,4.86,1,34:41,3:03,2021,2021_04_GNB_PIT
PHI,2021-09-27,367,Mon,3,3,@,DAL,L 21-41,367,53,6.92,71,5.35,2,25:02,3:10,2021,2021_03_PHI_DAL
ATL,2020-12-27,367,Sun,15,16,@,KAN,L 14-17,367,62,5.92,66,5.98,1,33:12,2:53,2020,2020_16_ATL_KAN
MIA,2020-12-13,367,Sun,13,14,,KAN,L 27-33,367,77,4.77,61,7.34,1,31:30,3:15,2020,2020_14_MIA_KAN
LAC,2020-11-29,367,Sun,11,12,@,BUF,L 17-27,367,79,4.65,58,5.72,1,30:04,3:13,2020,2020_12_LAC_BUF
GNB,2020-11-22,367,Sun,10,11,@,IND,L 31-34 (OT),367,57,6.44,74,5.68,4,27:49,3:27,2020,2020_11_GNB_IND
CIN,2020-11-01,367,Sun,8,8,,TEN,W 31-20,367,69,5.32,60,7.35,0,35:57,3:09,2020,2020_08_CIN_TEN
PIT,2020-10-11,367,Sun,4,5,,PHI,W 38-29,367,67,5.48,57,5.89,1,34:43,3:16,2020,2020_05_PIT_PHI
ATL,2019-09-15,367,Sun,2,2,,PHI,W 24-20,367,61,6.02,72,3.97,3,27:06,3:16,2019,2019_02_ATL_PHI
GNB,2018-11-04,367,Sun,8,9,@,NWE,L 17-31,367,69,5.32,69,6.28,1,32:34,3:10,2018,2018_09_GNB_NWE
MIA,2017-12-03,367,Sun,12,13,,DEN,W 35-9,367,64,5.73,67,4.03,3,34:22,3:20,2017,2017_13_MIA_DEN
OAK,2017-10-29,367,Sun,8,8,@,BUF,L 14-34,367,63,5.83,64,5.17,4,24:23,3:02,2017,2017_08_OAK_BUF
GNB,2017-09-17,367,Sun,2,2,@,ATL,L 23-34,367,68,5.40,58,6.28,2,31:23,3:10,2017,2017_02_GNB_ATL
LAC,2017-09-17,367,Sun,2,2,,MIA,L 17-19,367,54,6.80,68,4.94,0,26:38,2:54,2017,2017_02_LAC_MIA
DET,2017-09-10,367,Sun,1,1,,ARI,W 35-23,367,69,5.32,67,4.60,1,33:20,3:26,2017,2017_01_DET_ARI
ARI,2022-11-27,366,Sun,12,12,,LAC,L 24-25,366,64,5.72,64,4.86,2,30:35,3:08,2022,2022_12_ARI_LAC
NYJ,2021-11-14,366,Sun,9,10,,BUF,L 17-45,366,70,5.23,54,9.06,5,32:33,3:20,2021,2021_10_NYJ_BUF
ATL,2021-11-07,366,Sun,8,9,@,NOR,W 27-25,366,57,6.42,69,5.45,0,27:39,3:03,2021,2021_09_ATL_NOR
CIN,2021-09-12,366,Sun,1,1,,MIN,W 27-24 (OT),366,68,5.38,75,5.37,0,34:51,3:38,2021,2021_01_CIN_MIN
IND,2020-11-01,366,Sun,7,8,@,DET,W 41-21,366,75,4.88,60,5.43,0,37:46,3:01,2020,2020_08_IND_DET
SFO,2020-09-13,366,Sun,1,1,,ARI,L 20-24,366,61,6.00,78,5.18,0,28:34,3:04,2020,2020_01_SFO_ARI
LAC,2019-12-29,366,Sun,16,17,@,KAN,L 21-31,366,74,4.95,48,7.00,2,36:04,3:03,2019,2019_17_LAC_KAN
OAK,2019-12-22,366,Sun,15,16,@,LAC,W 24-17,366,62,5.90,56,5.07,0,33:24,3:01,2019,2019_16_OAK_LAC
LAC,2019-09-22,366,Sun,3,3,,HOU,L 20-27,366,69,5.30,55,6.84,1,31:48,3:17,2019,2019_03_LAC_HOU
BAL,2018-12-02,366,Sun,12,13,@,ATL,W 26-16,366,77,4.75,45,2.91,1,39:39,3:09,2018,2018_13_BAL_ATL
ATL,2018-11-22,366,Thu,11,12,@,NOR,L 17-31,366,69,5.30,55,5.67,4,30:59,2:55,2018,2018_12_ATL_NOR
IND,2018-11-11,366,Sun,9,10,,JAX,W 29-26,366,52,7.04,73,5.68,1,24:50,3:05,2018,2018_10_IND_JAX
WAS,2018-11-04,366,Sun,8,9,,ATL,L 14-38,366,64,5.72,64,7.67,1,27:04,2:57,2018,2018_09_WAS_ATL
TEN,2017-12-24,366,Sun,15,16,,LAR,L 23-27,366,66,5.55,66,6.09,1,29:56,3:20,2017,2017_16_TEN_LAR
DEN,2017-09-24,366,Sun,3,3,@,BUF,L 16-26,366,66,5.55,63,4.32,2,29:34,3:03,2017,2017_03_DEN_BUF
JAX,2022-12-22,365,Thu,15,16,@,NYJ,W 19-3,365,71,5.14,56,4.05,1,34:52,2:53,2022,2022_16_JAX_NYJ
LAC,2022-12-18,365,Sun,14,15,,TEN,W 17-14,365,69,5.29,57,4.98,2,29:48,3:02,2022,2022_15_LAC_TEN
LAC,2022-11-20,365,Sun,10,11,,KAN,L 27-30,365,65,5.62,62,7.82,2,32:19,2:58,2022,2022_11_LAC_KAN
IND,2022-10-02,365,Sun,4,4,,TEN,L 17-24,365,63,5.79,52,4.67,3,33:57,2:49,2022,2022_04_IND_TEN
ARI,2022-09-25,365,Sun,3,3,,LAR,L 12-20,365,81,4.51,46,7.37,0,33:56,3:01,2022,2022_03_ARI_LAR
NWE,2021-12-18,365,Sat,14,15,@,IND,L 17-27,365,65,5.62,52,5.29,2,29:38,2:58,2021,2021_15_NWE_IND
SFO,2021-12-05,365,Sun,12,13,@,SEA,L 23-30,365,56,6.52,68,4.81,3,26:41,3:13,2021,2021_13_SFO_SEA
LAR,2021-10-17,365,Sun,6,6,@,NYG,W 38-11,365,66,5.53,73,3.58,2,32:22,3:02,2021,2021_06_LAR_NYG
IND,2020-12-27,365,Sun,15,16,@,PIT,L 24-28,365,67,5.45,64,5.53,2,32:28,3:10,2020,2020_16_IND_PIT
DEN,2020-12-13,365,Sun,13,14,@,CAR,W 32-27,365,58,6.29,65,5.69,1,29:32,3:03,2020,2020_14_DEN_CAR
HOU,2020-10-25,365,Sun,7,7,,GNB,L 20-35,365,64,5.70,61,6.21,1,31:06,3:03,2020,2020_07_HOU_GNB
MIN,2020-10-18,365,Sun,6,6,,ATL,L 23-40,365,50,7.30,79,5.85,3,19:53,3:03,2020,2020_06_MIN_ATL
LAC,2019-10-20,365,Sun,7,7,@,TEN,L 20-23,365,60,6.08,61,6.61,1,27:45,3:10,2019,2019_07_LAC_TEN
TEN,2019-09-29,365,Sun,4,4,@,ATL,W 24-10,365,61,5.98,75,5.63,0,29:19,2:57,2019,2019_04_TEN_ATL
TEN,2018-11-26,365,Mon,11,12,@,HOU,L 17-34,365,52,7.02,62,7.45,1,30:02,2:44,2018,2018_12_TEN_HOU
LAR,2018-09-10,365,Mon,1,1,@,OAK,W 33-13,365,60,6.08,64,6.17,0,28:29,3:10,2018,2018_01_LAR_OAK
BAL,2017-10-08,365,Sun,5,5,@,OAK,W 30-17,365,65,5.62,54,4.54,0,33:43,2:51,2017,2017_05_BAL_OAK
TEN,2022-12-11,364,Sun,13,14,,JAX,L 22-36,364,62,5.87,67,6.39,4,27:08,3:13,2022,2022_14_TEN_JAX
WAS,2022-10-23,364,Sun,7,7,,GNB,W 23-21,364,72,5.06,47,4.94,1,37:07,3:21,2022,2022_07_WAS_GNB
PIT,2022-10-09,364,Sun,5,5,@,BUF,L 3-38,364,72,5.06,54,10.22,2,36:08,3:10,2022,2022_05_PIT_BUF
NWE,2022-10-09,364,Sun,5,5,,DET,W 29-0,364,56,6.50,64,4.88,1,31:29,2:55,2022,2022_05_NWE_DET
DEN,2022-01-08,364,Sat,17,18,,KAN,L 24-28,364,54,6.74,74,5.27,1,26:56,2:59,2021,2021_18_DEN_KAN
MIN,2020-12-25,364,Fri,15,16,@,NOR,L 33-52,364,60,6.07,73,7.99,0,23:13,3:11,2020,2020_16_MIN_NOR
CAR,2020-12-19,364,Sat,14,15,@,GNB,L 16-24,364,65,5.60,61,4.77,1,30:51,3:05,2020,2020_15_CAR_GNB
LVR,2020-11-22,364,Sun,10,11,,KAN,L 31-35,364,57,6.39,73,6.30,1,27:55,3:04,2020,2020_11_LVR_KAN
DAL,2020-11-08,364,Sun,9,9,,PIT,L 19-24,364,71,5.13,63,5.63,2,33:24,3:15,2020,2020_09_DAL_PIT
PHI,2020-10-18,364,Sun,6,6,,BAL,L 28-30,364,64,5.69,67,5.30,1,23:30,3:31,2020,2020_06_PHI_BAL
JAX,2020-10-11,364,Sun,5,5,@,HOU,L 14-30,364,73,4.99,58,8.38,2,31:59,2:55,2020,2020_05_JAX_HOU
OAK,2019-12-15,364,Sun,14,15,,JAX,L 16-20,364,72,5.06,53,4.94,0,34:12,3:03,2019,2019_15_OAK_JAX
DET,2019-11-28,364,Thu,12,13,,CHI,L 20-24,364,67,5.43,62,6.76,1,29:10,3:23,2019,2019_13_DET_CHI
DET,2019-11-24,364,Sun,11,12,@,WAS,L 16-19,364,71,5.13,57,4.04,4,33:30,3:15,2019,2019_12_DET_WAS
MIN,2019-11-10,364,Sun,10,10,@,DAL,W 28-24,364,69,5.28,70,6.33,0,33:27,3:02,2019,2019_10_MIN_DAL
PHI,2018-10-07,364,Sun,5,5,,MIN,L 21-23,364,55,6.62,61,6.15,2,27:13,3:02,2018,2018_05_PHI_MIN
SFO,2018-09-30,364,Sun,4,4,@,LAC,L 27-29,364,59,6.17,67,5.49,2,27:34,3:13,2018,2018_04_SFO_LAC
CIN,2017-12-24,364,Sun,15,16,,DET,W 26-17,364,78,4.67,59,4.68,1,32:29,3:08,2017,2017_16_CIN_DET
DEN,2017-10-30,364,Mon,7,8,@,KAN,L 19-29,364,70,5.20,59,4.68,5,31:23,3:05,2017,2017_08_DEN_KAN
ATL,2017-09-17,364,Sun,2,2,,GNB,W 34-23,364,58,6.28,68,5.40,0,28:37,3:10,2017,2017_02_ATL_GNB
CIN,2022-12-11,363,Sun,13,14,,CLE,W 23-10,363,61,5.95,70,4.91,1,28:08,3:06,2022,2022_14_CIN_CLE
ARI,2022-10-09,363,Sun,5,5,,PHI,L 17-20,363,69,5.26,71,5.03,1,25:21,2:53,2022,2022_05_ARI_PHI
CHI,2022-09-25,363,Sun,3,3,,HOU,W 23-20,363,62,5.85,57,5.77,2,31:22,2:55,2022,2022_03_CHI_HOU
LAC,2021-12-05,363,Sun,12,13,@,CIN,W 41-22,363,61,5.95,71,5.01,3,28:46,3:20,2021,2021_13_LAC_CIN
ATL,2020-11-08,363,Sun,9,9,,DEN,W 34-27,363,69,5.26,71,5.70,1,33:27,3:14,2020,2020_09_ATL_DEN
PHI,2020-09-20,363,Sun,2,2,,LAR,L 19-37,363,69,5.26,67,6.70,3,28:47,3:08,2020,2020_02_PHI_LAR
CHI,2020-09-13,363,Sun,1,1,@,DET,W 27-23,363,65,5.58,72,5.92,0,29:05,3:16,2020,2020_01_CHI_DET
KAN,2017-11-19,363,Sun,10,11,@,NYG,L 9-12 (OT),363,71,5.11,68,4.66,3,37:16,3:20,2017,2017_11_KAN_NYG
WAS,2022-10-30,362,Sun,8,8,@,IND,W 17-16,362,61,5.93,54,6.00,1,30:40,2:50,2022,2022_08_WAS_IND
TEN,2021-10-18,362,Mon,6,6,,BUF,W 34-31,362,51,7.10,73,5.71,1,27:10,3:08,2021,2021_06_TEN_BUF
PIT,2020-10-25,362,Sun,6,7,@,TEN,W 27-24,362,74,4.89,56,5.21,3,36:37,3:06,2020,2020_07_PIT_TEN
LAC,2020-09-13,362,Sun,1,1,@,CIN,W 16-13,362,71,5.10,67,4.40,0,30:10,3:17,2020,2020_01_LAC_CIN
MIA,2019-12-08,362,Sun,13,14,@,NYJ,L 21-22,362,65,5.57,69,5.42,1,30:06,3:06,2019,2019_14_MIA_NYJ
WAS,2019-12-01,362,Sun,12,13,@,CAR,W 29-21,362,60,6.03,73,3.81,0,30:37,3:32,2019,2019_13_WAS_CAR
NYJ,2018-09-16,362,Sun,2,2,,MIA,L 12-20,362,63,5.75,58,4.43,3,31:35,3:04,2018,2018_02_NYJ_MIA
KAN,2018-09-09,362,Sun,1,1,@,LAC,W 38-28,362,55,6.58,74,7.31,0,25:34,3:08,2018,2018_01_KAN_LAC
MIA,2017-12-11,362,Mon,13,14,,NWE,W 27-20,362,70,5.17,55,4.51,0,36:09,3:18,2017,2017_14_MIA_NWE
CAR,2017-10-08,362,Sun,5,5,@,DET,W 27-24,362,64,5.66,56,4.32,0,35:23,3:09,2017,2017_05_CAR_DET
NOR,2017-09-24,362,Sun,3,3,@,CAR,W 34-13,362,57,6.35,59,4.88,0,31:09,2:52,2017,2017_03_NOR_CAR
DAL,2022-12-29,361,Thu,16,17,@,TEN,W 27-13,361,74,4.88,65,4.88,3,33:26,3:02,2022,2022_17_DAL_TEN
TEN,2022-09-25,361,Sun,3,3,,LVR,W 24-22,361,55,6.56,65,6.09,1,29:15,3:09,2022,2022_03_TEN_LVR
MIN,2021-12-26,361,Sun,15,16,,LAR,L 23-30,361,63,5.73,70,5.09,1,30:00,3:01,2021,2021_16_MIN_LAR
BUF,2021-11-25,361,Thu,11,12,@,NOR,W 31-6,361,62,5.82,57,3.33,2,34:38,2:49,2021,2021_12_BUF_NOR
CLE,2021-11-07,361,Sun,9,9,@,CIN,W 41-16,361,46,7.85,70,4.97,0,24:38,3:07,2021,2021_09_CLE_CIN
NOR,2021-10-31,361,Sun,7,8,,TAM,W 36-27,361,72,5.01,58,7.26,0,33:16,3:09,2021,2021_08_NOR_TAM
JAX,2021-09-26,361,Sun,3,3,,ARI,L 19-31,361,66,5.47,64,6.36,4,27:06,3:03,2021,2021_03_JAX_ARI
CIN,2019-12-29,361,Sun,16,17,,CLE,W 33-23,361,68,5.31,53,5.91,1,34:41,3:00,2019,2019_17_CIN_CLE
WAS,2019-12-22,361,Sun,15,16,,NYG,L 35-41 (OT),361,67,5.39,69,8.00,0,33:48,3:36,2019,2019_16_WAS_NYG
BAL,2018-12-22,361,Sat,15,16,@,LAC,W 22-10,361,60,6.02,57,3.47,1,31:25,2:56,2018,2018_16_BAL_LAC
DEN,2018-12-02,361,Sun,12,13,@,CIN,W 24-10,361,57,6.33,64,4.89,1,28:40,3:13,2018,2018_13_DEN_CIN
BAL,2018-10-14,361,Sun,6,6,@,TEN,W 21-0,361,72,5.01,40,2.65,1,37:34,2:52,2018,2018_06_BAL_TEN
CIN,2017-11-26,361,Sun,11,12,,CLE,W 30-16,361,59,6.12,67,6.04,0,30:32,2:54,2017,2017_12_CIN_CLE
HOU,2023-01-08,360,Sun,17,18,@,IND,W 32-31,360,64,5.63,70,5.69,3,26:07,3:09,2022,2022_18_HOU_IND
PHI,2022-11-03,360,Thu,8,9,@,HOU,W 29-17,360,62,5.81,57,5.32,1,28:13,2:50,2022,2022_09_PHI_HOU
LAR,2022-10-16,360,Sun,6,6,,CAR,W 24-10,360,63,5.71,44,4.61,1,37:05,2:58,2022,2022_06_LAR_CAR
HOU,2021-10-10,360,Sun,5,5,,NWE,L 22-25,360,56,6.43,61,5.77,1,29:16,3:01,2021,2021_05_HOU_NWE
HOU,2020-09-10,360,Thu,1,1,@,KAN,L 20-34,360,58,6.21,67,5.51,1,25:13,2:53,2020,2020_01_HOU_KAN
PHI,2018-12-30,360,Sun,16,17,@,WAS,W 24-0,360,71,5.07,44,2.02,1,43:19,2:38,2018,2018_17_PHI_WAS
WAS,2018-10-28,360,Sun,7,8,@,NYG,W 20-13,360,65,5.54,68,4.46,1,33:38,3:13,2018,2018_08_WAS_NYG
NWE,2017-12-17,360,Sun,14,15,@,PIT,W 27-24,360,56,6.43,63,6.56,1,24:53,2:54,2017,2017_15_NWE_PIT
SEA,2017-11-20,360,Mon,10,11,,ATL,L 31-34,360,69,5.22,58,4.81,2,29:39,3:18,2017,2017_11_SEA_ATL
DET,2022-12-18,359,Sun,14,15,@,NYJ,W 20-17,359,66,5.44,61,5.52,0,32:32,3:04,2022,2022_15_DET_NYJ
TEN,2022-09-11,359,Sun,1,1,,NYG,L 20-21,359,60,5.98,58,6.79,1,31:06,3:00,2022,2022_01_TEN_NYG
TAM,2021-11-28,359,Sun,11,12,@,IND,W 38-31,359,63,5.70,67,5.85,2,29:59,3:19,2021,2021_12_TAM_IND
DEN,2020-10-01,359,Thu,4,4,@,NYJ,W 37-28,359,63,5.70,74,4.34,3,31:39,3:29,2020,2020_04_DEN_NYJ
SFO,2020-09-20,359,Sun,2,2,@,NYJ,W 31-13,359,59,6.08,62,4.47,1,32:13,2:56,2020,2020_02_SFO_NYJ
LAC,2019-12-01,359,Sun,12,13,@,DEN,L 20-23,359,61,5.89,53,4.11,2,32:09,3:01,2019,2019_13_LAC_DEN
NYG,2018-11-18,359,Sun,10,11,,TAM,W 38-35,359,53,6.77,68,7.50,0,27:53,3:01,2018,2018_11_NYG_TAM
GNB,2018-11-15,359,Thu,10,11,@,SEA,L 24-27,359,48,7.48,69,5.48,0,25:42,2:56,2018,2018_11_GNB_SEA
GNB,2018-10-28,359,Sun,7,8,@,LAR,L 27-29,359,52,6.90,75,5.55,1,25:50,3:19,2018,2018_08_GNB_LAR
CIN,2017-12-31,359,Sun,16,17,@,BAL,W 31-27,359,75,4.79,74,4.22,1,28:39,3:33,2017,2017_17_CIN_BAL
OAK,2017-09-10,359,Sun,1,1,@,TEN,W 26-16,359,63,5.70,63,5.56,0,31:39,2:59,2017,2017_01_OAK_TEN
MIN,2022-11-24,358,Thu,11,12,,NWE,W 33-26,358,66,5.42,55,7.44,1,36:17,3:00,2022,2022_12_MIN_NWE
DEN,2021-12-12,358,Sun,13,14,,DET,W 38-10,358,65,5.51,62,5.10,0,32:07,2:54,2021,2021_14_DEN_DET
PHI,2021-10-24,358,Sun,7,7,@,LVR,L 22-33,358,68,5.26,63,7.02,2,27:29,3:01,2021,2021_07_PHI_LVR
CLE,2021-01-03,358,Sun,16,17,,PIT,W 24-22,358,62,5.77,65,6.06,0,32:10,3:02,2020,2020_17_CLE_PIT
NOR,2020-12-13,358,Sun,13,14,@,PHI,L 21-24,358,63,5.68,66,6.26,2,29:44,3:08,2020,2020_14_NOR_PHI
GNB,2022-12-04,357,Sun,13,13,@,CHI,W 28-19,357,63,5.67,50,8.18,0,32:28,2:55,2022,2022_13_GNB_CHI
BUF,2022-11-20,357,Sun,10,11,,CLE,W 31-23,357,62,5.76,68,5.82,0,28:38,3:15,2022,2022_11_BUF_CLE
PHI,2022-10-09,357,Sun,5,5,@,ARI,W 20-17,357,71,5.03,69,5.26,0,34:39,2:53,2022,2022_05_PHI_ARI
DET,2022-01-02,357,Sun,16,17,@,SEA,L 29-51,357,59,6.05,71,7.00,3,26:27,3:13,2021,2021_17_DET_SEA
JAX,2021-11-28,357,Sun,11,12,,ATL,L 14-21,357,71,5.03,59,5.63,2,29:08,2:55,2021,2021_12_JAX_ATL
LAC,2021-11-28,357,Sun,11,12,@,DEN,L 13-28,357,64,5.58,59,5.12,2,30:23,3:05,2021,2021_12_LAC_DEN
LVR,2020-11-15,357,Sun,9,10,,DEN,W 37-12,357,66,5.41,68,4.60,0,36:38,3:19,2020,2020_10_LVR_DEN
BAL,2020-11-15,357,Sun,9,10,@,NWE,L 17-23,357,64,5.58,58,5.31,1,32:34,2:53,2020,2020_10_BAL_NWE
NYG,2020-11-02,357,Mon,8,8,,TAM,L 23-25,357,69,5.17,66,5.21,2,29:50,3:08,2020,2020_08_NYG_TAM
NWE,2020-10-05,357,Mon,4,4,@,KAN,L 10-26,357,74,4.82,55,5.87,4,31:34,2:42,2020,2020_04_NWE_KAN
NWE,2020-09-13,357,Sun,1,1,,MIA,W 21-11,357,63,5.67,58,4.64,1,34:49,2:45,2020,2020_01_NWE_MIA
DET,2019-11-10,357,Sun,9,10,@,CHI,L 13-20,357,75,4.76,52,4.35,1,31:54,3:07,2019,2019_10_DET_CHI
ARI,2019-10-31,357,Thu,9,9,,SFO,L 25-28,357,50,7.14,69,5.96,0,25:29,3:10,2019,2019_09_ARI_SFO
OAK,2019-09-09,357,Mon,1,1,,DEN,W 24-16,357,54,6.61,57,6.04,0,32:45,2:49,2019,2019_01_OAK_DEN
DEN,2018-10-14,357,Sun,6,6,,LAR,L 20-23,357,60,5.95,72,6.17,1,24:50,3:16,2018,2018_06_DEN_LAR
HOU,2017-11-19,357,Sun,10,11,,ARI,W 31-21,357,67,5.33,54,5.41,2,33:46,3:11,2017,2017_11_HOU_ARI
MIA,2017-10-22,357,Sun,6,7,,NYJ,W 31-28,357,65,5.49,52,5.23,2,31:58,3:25,2017,2017_07_MIA_NYJ
MIN,2017-10-22,357,Sun,7,7,,BAL,W 24-16,357,64,5.58,64,3.25,1,32:01,2:48,2017,2017_07_MIN_BAL
CHI,2022-01-09,356,Sun,17,18,@,MIN,L 17-31,356,80,4.45,47,7.04,2,36:47,2:51,2021,2021_18_CHI_MIN
LAR,2021-12-26,356,Sun,15,16,@,MIN,W 30-23,356,70,5.09,63,5.73,3,30:00,3:01,2021,2021_16_LAR_MIN
