Team,Date,Tot,Day,G#,Week,,Opp,Result,Tot,TO,Season,game_id
LAC,2021-11-28,302,Sun,11,12,@,DEN,L 13-28,302,1,2021,2021_12_LAC_DEN
CAR,2021-10-24,302,Sun,7,7,@,NYG,L 3-25,302,0,2021,2021_07_CAR_NYG
CLE,2021-09-19,302,Sun,2,2,,HOU,W 31-21,302,2,2021,2021_02_CLE_HOU
WAS,2020-12-20,302,Sun,14,15,,SEA,L 15-20,302,1,2020,2020_15_WAS_SEA
NYJ,2020-10-18,302,Sun,6,6,@,MIA,L 0-24,302,2,2020,2020_06_NYJ_MIA
LAC,2020-09-27,302,Sun,3,3,,CAR,L 16-21,302,0,2020,2020_03_LAC_CAR
SEA,2019-11-11,302,Mon,10,10,@,SFO,W 27-24 (OT),302,3,2019,2019_10_SEA_SFO
CLE,2019-11-03,302,Sun,8,9,@,DEN,L 19-24,302,1,2019,2019_09_CLE_DEN
MIN,2019-09-22,302,Sun,3,3,,OAK,W 34-14,302,1,2019,2019_03_MIN_OAK
JAX,2018-09-16,302,Sun,2,2,,NWE,W 31-20,302,1,2018,2018_02_JAX_NWE
WAS,2023-01-01,301,Sun,16,17,,CLE,L 10-24,301,0,2022,2022_17_WAS_CLE
MIA,2022-12-25,301,Sun,15,16,,GNB,L 20-26,301,1,2022,2022_16_MIA_GNB
WAS,2022-11-06,301,Sun,9,9,,MIN,L 17-20,301,1,2022,2022_09_WAS_MIN
NYG,2022-10-09,301,Sun,5,5,@,GNB,W 27-22,301,0,2022,2022_05_NYG_GNB
ARI,2022-01-02,301,Sun,16,17,@,DAL,W 25-22,301,1,2021,2021_17_ARI_DAL
CIN,2021-11-28,301,Sun,11,12,,PIT,W 41-10,301,3,2021,2021_12_CIN_PIT
JAX,2021-11-07,301,Sun,8,9,,BUF,W 9-6,301,3,2021,2021_09_JAX_BUF
KAN,2021-11-07,301,Sun,9,9,,GNB,W 13-7,301,2,2021,2021_09_KAN_GNB
TAM,2021-10-10,301,Sun,5,5,,MIA,W 45-17,301,2,2021,2021_05_TAM_MIA
PHI,2020-11-30,301,Mon,11,12,,SEA,L 17-23,301,0,2020,2020_12_PHI_SEA
TEN,2019-12-29,301,Sun,16,17,@,HOU,W 35-14,301,1,2019,2019_17_TEN_HOU
NYG,2018-12-16,301,Sun,14,15,,TEN,L 0-17,301,0,2018,2018_15_NYG_TEN
CAR,2018-11-04,301,Sun,8,9,,TAM,W 42-28,301,2,2018,2018_09_CAR_TAM
PHI,2017-12-31,301,Sun,16,17,,DAL,L 0-6,301,1,2017,2017_17_PHI_DAL
GNB,2017-09-24,301,Sun,3,3,,CIN,W 27-24 (OT),301,1,2017,2017_03_GNB_CIN
ATL,2017-09-10,301,Sun,1,1,@,CHI,W 23-17,301,0,2017,2017_01_ATL_CHI
DAL,2022-11-24,300,Thu,11,12,,NYG,W 28-20,300,0,2022,2022_12_DAL_NYG
LAC,2021-11-21,300,Sun,10,11,,PIT,W 41-37,300,0,2021,2021_11_LAC_PIT
KAN,2021-11-01,300,Mon,8,8,,NYG,W 20-17,300,1,2021,2021_08_KAN_NYG
NOR,2021-09-26,300,Sun,3,3,@,NWE,W 28-13,300,3,2021,2021_03_NOR_NWE
DAL,2020-10-11,300,Sun,5,5,,NYG,W 37-34,300,1,2020,2020_05_DAL_NYG
WAS,2020-09-27,300,Sun,3,3,@,CLE,L 20-34,300,0,2020,2020_03_WAS_CLE
CHI,2019-12-29,300,Sun,16,17,@,MIN,W 21-19,300,3,2019,2019_17_CHI_MIN
MIA,2019-11-10,300,Sun,9,10,@,IND,W 16-12,300,3,2019,2019_10_MIA_IND
OAK,2018-12-24,300,Mon,15,16,,DEN,W 27-14,300,2,2018,2018_16_OAK_DEN
ATL,2018-12-09,300,Sun,13,14,@,GNB,L 20-34,300,0,2018,2018_14_ATL_GNB
CHI,2017-10-09,300,Mon,5,5,,MIN,L 17-20,300,0,2017,2017_05_CHI_MIN
ATL,2022-12-24,299,Sat,15,16,@,BAL,L 9-17,299,0,2022,2022_16_ATL_BAL
LVR,2022-10-02,299,Sun,4,4,,DEN,W 32-23,299,1,2022,2022_04_LVR_DEN
IND,2022-09-11,299,Sun,1,1,@,HOU,T 20-20 (OT),299,1,2022,2022_01_IND_HOU
CLE,2022-01-03,299,Mon,16,17,@,PIT,L 14-26,299,1,2021,2021_17_CLE_PIT
CHI,2021-11-21,299,Sun,10,11,,BAL,L 13-16,299,1,2021,2021_11_CHI_BAL
KAN,2021-11-14,299,Sun,10,10,@,LVR,W 41-14,299,2,2021,2021_10_KAN_LVR
NWE,2021-10-24,299,Sun,7,7,,NYJ,W 54-13,299,3,2021,2021_07_NWE_NYJ
NYJ,2020-12-27,299,Sun,15,16,,CLE,W 23-16,299,2,2020,2020_16_NYJ_CLE
NWE,2020-10-18,299,Sun,5,6,,DEN,L 12-18,299,2,2020,2020_06_NWE_DEN
GNB,2019-10-14,299,Mon,6,6,,DET,W 23-22,299,0,2019,2019_06_GNB_DET
NOR,2018-09-30,299,Sun,4,4,@,NYG,W 33-18,299,2,2018,2018_04_NOR_NYG
PHI,2018-09-06,299,Thu,1,1,,ATL,W 18-12,299,1,2018,2018_01_PHI_ATL
NYJ,2017-11-26,299,Sun,11,12,,CAR,L 27-35,299,0,2017,2017_12_NYJ_CAR
ARI,2023-01-01,298,Sun,16,17,@,ATL,L 19-20,298,1,2022,2022_17_ARI_ATL
TAM,2022-12-05,298,Mon,12,13,,NOR,W 17-16,298,0,2022,2022_13_TAM_NOR
LAR,2022-11-13,298,Sun,9,10,,ARI,L 17-27,298,0,2022,2022_10_LAR_ARI
NWE,2022-01-09,298,Sun,17,18,@,MIA,L 24-33,298,0,2021,2021_18_NWE_MIA
LVR,2021-12-05,298,Sun,12,13,,WAS,L 15-17,298,1,2021,2021_13_LVR_WAS
GNB,2021-09-26,298,Sun,3,3,@,SFO,W 30-28,298,2,2021,2021_03_GNB_SFO
NWE,2020-11-29,298,Sun,11,12,,ARI,W 20-17,298,1,2020,2020_12_NWE_ARI
PHI,2019-11-17,298,Sun,10,11,,NWE,L 10-17,298,0,2019,2019_11_PHI_NWE
WAS,2019-09-23,298,Mon,3,3,,CHI,L 15-31,298,1,2019,2019_03_WAS_CHI
TAM,2018-12-09,298,Sun,13,14,,NOR,L 14-28,298,2,2018,2018_14_TAM_NOR
NYG,2018-09-16,298,Sun,2,2,@,DAL,L 13-20,298,0,2018,2018_02_NYG_DAL
OAK,2017-10-01,298,Sun,4,4,@,DEN,L 10-16,298,0,2017,2017_04_OAK_DEN
SEA,2022-12-24,297,Sat,15,16,@,KAN,L 10-24,297,0,2022,2022_16_SEA_KAN
NYJ,2022-11-20,297,Sun,10,11,@,NWE,L 3-10,297,0,2022,2022_11_NYJ_NWE
MIA,2022-11-13,297,Sun,10,10,,CLE,W 39-17,297,1,2022,2022_10_MIA_CLE
DEN,2022-10-17,297,Mon,6,6,@,LAC,L 16-19 (OT),297,1,2022,2022_06_DEN_LAC
NYJ,2022-10-02,297,Sun,4,4,@,PIT,W 24-20,297,4,2022,2022_04_NYJ_PIT
DAL,2022-10-02,297,Sun,4,4,,WAS,W 25-10,297,2,2022,2022_04_DAL_WAS
NYG,2021-12-05,297,Sun,12,13,@,MIA,L 9-20,297,0,2021,2021_13_NYG_MIA
WAS,2021-11-21,297,Sun,10,11,@,CAR,W 27-21,297,0,2021,2021_11_WAS_CAR
HOU,2019-09-29,297,Sun,4,4,,CAR,L 10-16,297,3,2019,2019_04_HOU_CAR
CIN,2018-12-16,297,Sun,14,15,,OAK,W 30-16,297,2,2018,2018_15_CIN_OAK
TEN,2018-11-05,297,Mon,8,9,@,DAL,W 28-14,297,2,2018,2018_09_TEN_DAL
CIN,2018-10-07,297,Sun,5,5,,MIA,W 27-17,297,3,2018,2018_05_CIN_MIA
TEN,2017-10-16,297,Mon,6,6,,IND,W 36-22,297,1,2017,2017_06_TEN_IND
ARI,2022-10-16,296,Sun,6,6,@,SEA,L 9-19,296,1,2022,2022_06_ARI_SEA
BUF,2022-10-02,296,Sun,4,4,@,BAL,W 23-20,296,2,2022,2022_04_BUF_BAL
HOU,2021-12-19,296,Sun,14,15,@,JAX,W 30-16,296,0,2021,2021_15_HOU_JAX
NYG,2021-09-26,296,Sun,3,3,,ATL,L 14-17,296,1,2021,2021_03_NYG_ATL
HOU,2019-11-21,296,Thu,11,12,,IND,W 20-17,296,0,2019,2019_12_HOU_IND
ARI,2017-12-31,296,Sun,16,17,@,SEA,W 26-24,296,0,2017,2017_17_ARI_SEA
BAL,2017-12-23,296,Sat,15,16,,IND,W 23-16,296,0,2017,2017_16_BAL_IND
NYJ,2022-10-09,295,Sun,5,5,,MIA,W 40-17,295,2,2022,2022_05_NYJ_MIA
JAX,2021-11-14,295,Sun,9,10,@,IND,L 17-23,295,0,2021,2021_10_JAX_IND
SFO,2021-10-24,295,Sun,6,7,,IND,L 18-30,295,2,2021,2021_07_SFO_IND
LAR,2020-10-04,295,Sun,4,4,,NYG,W 17-9,295,1,2020,2020_04_LAR_NYG
CHI,2020-09-20,295,Sun,2,2,,NYG,W 17-13,295,2,2020,2020_02_CHI_NYG
LAC,2020-09-13,295,Sun,1,1,@,CIN,W 16-13,295,2,2020,2020_01_LAC_CIN
TAM,2019-12-15,295,Sun,14,15,@,DET,W 38-17,295,3,2019,2019_15_TAM_DET
SFO,2019-09-08,295,Sun,1,1,@,TAM,W 31-17,295,4,2019,2019_01_SFO_TAM
LAC,2018-12-09,295,Sun,13,14,,CIN,W 26-21,295,0,2018,2018_14_LAC_CIN
DAL,2018-09-23,295,Sun,3,3,@,SEA,L 13-24,295,0,2018,2018_03_DAL_SEA
LAC,2017-12-24,295,Sun,15,16,@,NYJ,W 14-7,295,3,2017,2017_16_LAC_NYJ
MIA,2017-10-26,295,Thu,7,8,@,BAL,L 0-40,295,0,2017,2017_08_MIA_BAL
HOU,2017-09-14,295,Thu,2,2,@,CIN,W 13-9,295,1,2017,2017_02_HOU_CIN
TAM,2021-10-03,294,Sun,4,4,@,NWE,W 19-17,294,2,2021,2021_04_TAM_NWE
IND,2020-11-12,294,Thu,9,10,@,TEN,W 34-17,294,0,2020,2020_10_IND_TEN
LAC,2020-10-25,294,Sun,6,7,,JAX,W 39-29,294,1,2020,2020_07_LAC_JAX
JAX,2020-09-24,294,Thu,3,3,,MIA,L 13-31,294,0,2020,2020_03_JAX_MIA
NYG,2019-11-10,294,Sun,10,10,@,NYJ,L 27-34,294,0,2019,2019_10_NYG_NYJ
CAR,2018-12-30,294,Sun,16,17,@,NOR,W 33-14,294,1,2018,2018_17_CAR_NOR
OAK,2018-12-16,294,Sun,14,15,@,CIN,L 16-30,294,1,2018,2018_15_OAK_CIN
LAC,2018-12-13,294,Thu,14,15,@,KAN,W 29-28,294,0,2018,2018_15_LAC_KAN
LAR,2018-12-09,294,Sun,13,14,@,CHI,L 6-15,294,3,2018,2018_14_LAR_CHI
GNB,2018-11-11,294,Sun,9,10,,MIA,W 31-12,294,2,2018,2018_10_GNB_MIA
GNB,2018-09-09,294,Sun,1,1,,CHI,W 24-23,294,1,2018,2018_01_GNB_CHI
NOR,2017-12-17,294,Sun,14,15,,NYJ,W 31-19,294,2,2017,2017_15_NOR_NYJ
HOU,2017-11-27,294,Mon,11,12,@,BAL,L 16-23,294,0,2017,2017_12_HOU_BAL
NOR,2022-09-25,293,Sun,3,3,@,CAR,L 14-22,293,0,2022,2022_03_NOR_CAR
GNB,2020-12-13,293,Sun,13,14,@,DET,W 31-24,293,0,2020,2020_14_GNB_DET
PIT,2019-11-14,293,Thu,10,11,@,CLE,L 7-21,293,0,2019,2019_11_PIT_CLE
BAL,2018-09-23,293,Sun,3,3,,DEN,W 27-14,293,1,2018,2018_03_BAL_DEN
LAC,2018-09-16,293,Sun,2,2,@,BUF,W 31-20,293,2,2018,2018_02_LAC_BUF
DAL,2018-09-09,293,Sun,1,1,@,CAR,L 8-16,293,1,2018,2018_01_DAL_CAR
ARI,2017-12-24,293,Sun,15,16,,NYG,W 23-0,293,3,2017,2017_16_ARI_NYG
DAL,2017-12-17,293,Sun,14,15,@,OAK,W 20-17,293,1,2017,2017_15_DAL_OAK
CHI,2017-12-16,293,Sat,14,15,@,DET,L 10-20,293,1,2017,2017_15_CHI_DET
CHI,2017-10-22,293,Sun,7,7,,CAR,W 17-3,293,3,2017,2017_07_CHI_CAR
NYJ,2022-11-27,292,Sun,11,12,,CHI,W 31-10,292,1,2022,2022_12_NYJ_CHI
TEN,2022-10-23,292,Sun,6,7,,IND,W 19-10,292,3,2022,2022_07_TEN_IND
CIN,2021-12-19,292,Sun,14,15,@,DEN,W 15-10,292,1,2021,2021_15_CIN_DEN
LAR,2020-12-27,292,Sun,15,16,@,SEA,L 9-20,292,0,2020,2020_16_LAR_SEA
DEN,2020-11-29,292,Sun,11,12,,NOR,L 3-31,292,1,2020,2020_12_DEN_NOR
LAC,2020-11-22,292,Sun,10,11,,NYJ,W 34-28,292,1,2020,2020_11_LAC_NYJ
PIT,2020-10-25,292,Sun,6,7,@,TEN,W 27-24,292,0,2020,2020_07_PIT_TEN
CHI,2019-12-15,292,Sun,14,15,@,GNB,L 13-21,292,0,2019,2019_15_CHI_GNB
IND,2019-12-01,292,Sun,12,13,,TEN,L 17-31,292,2,2019,2019_13_IND_TEN
TEN,2019-09-19,292,Thu,3,3,@,JAX,L 7-20,292,0,2019,2019_03_TEN_JAX
KAN,2018-12-30,292,Sun,16,17,,OAK,W 35-3,292,4,2018,2018_17_KAN_OAK
TEN,2018-12-22,292,Sat,15,16,,WAS,W 25-16,292,2,2018,2018_16_TEN_WAS
IND,2018-12-16,292,Sun,14,15,,DAL,W 23-0,292,1,2018,2018_15_IND_DAL
HOU,2018-10-07,292,Sun,5,5,,DAL,W 19-16 (OT),292,2,2018,2018_05_HOU_DAL
MIN,2018-09-23,292,Sun,3,3,,BUF,L 6-27,292,0,2018,2018_03_MIN_BUF
BUF,2018-09-23,292,Sun,3,3,@,MIN,W 27-6,292,3,2018,2018_03_BUF_MIN
HOU,2017-11-19,292,Sun,10,11,,ARI,W 31-21,292,2,2017,2017_11_HOU_ARI
DET,2023-01-08,291,Sun,17,18,@,GNB,W 20-16,291,2,2022,2022_18_DET_GNB
CAR,2022-11-10,291,Thu,10,10,,ATL,W 25-15,291,1,2022,2022_10_CAR_ATL
BAL,2022-10-09,291,Sun,5,5,,CIN,W 19-17,291,1,2022,2022_05_BAL_CIN
SFO,2020-12-20,291,Sun,14,15,@,DAL,L 33-41,291,0,2020,2020_15_SFO_DAL
CAR,2020-12-19,291,Sat,14,15,@,GNB,L 16-24,291,0,2020,2020_15_CAR_GNB
LAC,2020-12-06,291,Sun,12,13,,NWE,L 0-45,291,0,2020,2020_13_LAC_NWE
PIT,2020-09-14,291,Mon,1,1,@,NYG,W 26-16,291,2,2020,2020_01_PIT_NYG
CIN,2019-12-15,291,Sun,14,15,,NWE,L 13-34,291,0,2019,2019_15_CIN_NWE
JAX,2019-10-20,291,Sun,7,7,@,CIN,W 27-17,291,4,2019,2019_07_JAX_CIN
ARI,2018-12-30,291,Sun,16,17,@,SEA,L 24-27,291,1,2018,2018_17_ARI_SEA
WAS,2018-12-22,291,Sat,15,16,@,TEN,L 16-25,291,0,2018,2018_16_WAS_TEN
LAC,2017-12-03,291,Sun,12,13,,CLE,W 19-10,291,2,2017,2017_13_LAC_CLE
CHI,2017-10-15,291,Sun,6,6,@,BAL,W 27-24 (OT),291,3,2017,2017_06_CHI_BAL
PIT,2022-11-28,290,Mon,11,12,@,IND,W 24-17,290,2,2022,2022_12_PIT_IND
BAL,2021-12-12,290,Sun,13,14,@,CLE,L 22-24,290,1,2021,2021_14_BAL_CLE
KAN,2021-12-12,290,Sun,13,14,,LVR,W 48-9,290,5,2021,2021_14_KAN_LVR
DEN,2021-11-07,290,Sun,9,9,@,DAL,W 30-16,290,2,2021,2021_09_DEN_DAL
ARI,2021-10-17,290,Sun,6,6,@,CLE,W 37-14,290,3,2021,2021_06_ARI_CLE
BUF,2021-09-26,290,Sun,3,3,,WAS,W 43-21,290,3,2021,2021_03_BUF_WAS
SEA,2020-12-06,290,Sun,12,13,,NYG,L 12-17,290,1,2020,2020_13_SEA_NYG
SFO,2019-12-15,290,Sun,14,15,,ATL,L 22-29,290,1,2019,2019_15_SFO_ATL
DEN,2018-11-04,290,Sun,9,9,,HOU,L 17-19,290,0,2018,2018_09_DEN_HOU
JAX,2017-12-03,290,Sun,12,13,,IND,W 30-10,290,2,2017,2017_13_JAX_IND
SEA,2017-11-09,290,Thu,9,10,@,ARI,W 22-16,290,1,2017,2017_10_SEA_ARI
DAL,2017-10-22,290,Sun,6,7,@,SFO,W 40-10,290,3,2017,2017_07_DAL_SFO
CLE,2017-09-10,290,Sun,1,1,,PIT,L 18-21,290,1,2017,2017_01_CLE_PIT
SFO,2022-10-16,289,Sun,6,6,@,ATL,L 14-28,289,0,2022,2022_06_SFO_ATL
LAR,2020-12-20,289,Sun,14,15,,NYJ,L 20-23,289,0,2020,2020_15_LAR_NYJ
CHI,2020-10-04,289,Sun,4,4,,IND,L 11-19,289,0,2020,2020_04_CHI_IND
DAL,2019-12-15,289,Sun,14,15,,LAR,W 44-21,289,1,2019,2019_15_DAL_LAR
CAR,2019-09-12,289,Thu,2,2,,TAM,L 14-20,289,0,2019,2019_02_CAR_TAM
NWE,2018-12-23,289,Sun,15,16,,BUF,W 24-12,289,3,2018,2018_16_NWE_BUF
LAC,2018-10-07,289,Sun,5,5,,OAK,W 26-10,289,2,2018,2018_05_LAC_OAK
NYG,2017-12-24,289,Sun,15,16,@,ARI,L 0-23,289,2,2017,2017_16_NYG_ARI
MIN,2017-11-23,289,Thu,11,12,@,DET,W 30-23,289,2,2017,2017_12_MIN_DET
ATL,2017-10-15,289,Sun,5,6,,MIA,L 17-20,289,1,2017,2017_06_ATL_MIA
WAS,2022-12-18,288,Sun,14,15,,NYG,L 12-20,288,0,2022,2022_15_WAS_NYG
ATL,2022-11-20,288,Sun,11,11,,CHI,W 27-24,288,1,2022,2022_11_ATL_CHI
NYJ,2022-10-30,288,Sun,8,8,,NWE,L 17-22,288,1,2022,2022_08_NYJ_NWE
BUF,2021-12-26,288,Sun,15,16,@,NWE,W 33-21,288,2,2021,2021_16_BUF_NWE
LVR,2021-11-21,288,Sun,10,11,,CIN,L 13-32,288,1,2021,2021_11_LVR_CIN
MIN,2021-10-10,288,Sun,5,5,,DET,W 19-17,288,2,2021,2021_05_MIN_DET
CLE,2020-12-20,288,Sun,14,15,@,NYG,W 20-6,288,0,2020,2020_15_CLE_NYG
DEN,2020-10-18,288,Sun,5,6,@,NWE,W 18-12,288,3,2020,2020_06_DEN_NWE
ATL,2019-12-22,288,Sun,15,16,,JAX,W 24-12,288,1,2019,2019_16_ATL_JAX
TEN,2019-09-15,288,Sun,2,2,,IND,L 17-19,288,2,2019,2019_02_TEN_IND
CIN,2018-12-09,288,Sun,13,14,@,LAC,L 21-26,288,0,2018,2018_14_CIN_LAC
NYG,2018-12-09,288,Sun,13,14,@,WAS,W 40-16,288,3,2018,2018_14_NYG_WAS
CAR,2018-10-14,288,Sun,5,6,@,WAS,L 17-23,288,0,2018,2018_06_CAR_WAS
IND,2017-11-05,288,Sun,9,9,@,HOU,W 20-14,288,1,2017,2017_09_IND_HOU
PIT,2017-10-01,288,Sun,4,4,@,BAL,W 26-9,288,3,2017,2017_04_PIT_BAL
NOR,2017-09-24,288,Sun,3,3,@,CAR,W 34-13,288,3,2017,2017_03_NOR_CAR
CAR,2022-12-11,287,Sun,13,14,@,SEA,W 30-24,287,2,2022,2022_14_CAR_SEA
NYJ,2022-12-04,287,Sun,12,13,@,MIN,L 22-27,287,0,2022,2022_13_NYJ_MIN
PHI,2019-09-22,287,Sun,3,3,,DET,L 24-27,287,0,2019,2019_03_PHI_DET
ARI,2017-11-09,287,Thu,9,10,,SEA,L 16-22,287,0,2017,2017_10_ARI_SEA
SFO,2017-09-10,287,Sun,1,1,,CAR,L 3-23,287,2,2017,2017_01_SFO_CAR
DEN,2020-10-25,286,Sun,6,7,,KAN,L 16-43,286,1,2020,2020_07_DEN_KAN
IND,2019-12-22,286,Sun,15,16,,CAR,W 38-6,286,3,2019,2019_16_IND_CAR
ATL,2019-09-15,286,Sun,2,2,,PHI,W 24-20,286,3,2019,2019_02_ATL_PHI
NYJ,2018-12-15,286,Sat,14,15,,HOU,L 22-29,286,0,2018,2018_15_NYJ_HOU
TAM,2018-11-11,286,Sun,9,10,,WAS,L 3-16,286,0,2018,2018_10_TAM_WAS
WAS,2017-12-17,286,Sun,14,15,,ARI,W 20-15,286,2,2017,2017_15_WAS_ARI
TEN,2022-12-24,285,Sat,15,16,,HOU,L 14-19,285,1,2022,2022_16_TEN_HOU
CIN,2022-12-24,285,Sat,15,16,@,NWE,W 22-18,285,1,2022,2022_16_CIN_NWE
DEN,2022-12-04,285,Sun,12,13,@,BAL,L 9-10,285,2,2022,2022_13_DEN_BAL
GNB,2022-09-25,285,Sun,3,3,@,TAM,W 14-12,285,2,2022,2022_03_GNB_TAM
BAL,2021-09-26,285,Sun,3,3,@,DET,W 19-17,285,0,2021,2021_03_BAL_DET
KAN,2020-12-20,285,Sun,14,15,@,NOR,W 32-29,285,1,2020,2020_15_KAN_NOR
ARI,2020-10-11,285,Sun,5,5,@,NYJ,W 30-10,285,0,2020,2020_05_ARI_NYJ
DAL,2017-10-29,285,Sun,7,8,@,WAS,W 33-19,285,3,2017,2017_08_DAL_WAS
PHI,2023-01-08,284,Sun,17,18,,NYG,W 22-16,284,0,2022,2022_18_PHI_NYG
LAC,2022-12-18,284,Sun,14,15,,TEN,W 17-14,284,1,2022,2022_15_LAC_TEN
PHI,2022-11-20,284,Sun,10,11,@,IND,W 17-16,284,1,2022,2022_11_PHI_IND
OAK,2019-12-22,284,Sun,15,16,@,LAC,W 24-17,284,0,2019,2019_16_OAK_LAC
CLE,2019-11-24,284,Sun,11,12,,MIA,W 41-24,284,2,2019,2019_12_CLE_MIA
NOR,2018-11-11,284,Sun,9,10,@,CIN,W 51-14,284,2,2018,2018_10_NOR_CIN
TEN,2018-11-11,284,Sun,9,10,,NWE,W 34-10,284,0,2018,2018_10_TEN_NWE
BAL,2018-09-30,284,Sun,4,4,@,PIT,W 26-14,284,2,2018,2018_04_BAL_PIT
CLE,2017-11-19,284,Sun,10,11,,JAX,L 7-19,284,1,2017,2017_11_CLE_JAX
TEN,2017-10-22,284,Sun,7,7,@,CLE,W 12-9 (OT),284,3,2017,2017_07_TEN_CLE
DET,2017-10-01,284,Sun,4,4,@,MIN,W 14-7,284,3,2017,2017_04_DET_MIN
BAL,2022-12-17,283,Sat,14,15,@,CLE,L 3-13,283,0,2022,2022_15_BAL_CLE
CLE,2022-12-04,283,Sun,12,13,@,HOU,W 27-14,283,4,2022,2022_13_CLE_HOU
TAM,2022-11-13,283,Sun,10,10,,SEA,W 21-16,283,1,2022,2022_10_TAM_SEA
IND,2021-01-03,283,Sun,16,17,,JAX,W 28-14,283,1,2020,2020_17_IND_JAX
NOR,2020-10-25,283,Sun,6,7,,CAR,W 27-24,283,0,2020,2020_07_NOR_CAR
SFO,2019-12-01,283,Sun,12,13,@,BAL,L 17-20,283,1,2019,2019_13_SFO_BAL
CHI,2019-11-17,283,Sun,10,11,@,LAR,L 7-17,283,2,2019,2019_11_CHI_LAR
DAL,2019-10-20,283,Sun,7,7,,PHI,W 37-10,283,4,2019,2019_07_DAL_PHI
WAS,2019-10-20,283,Sun,7,7,,SFO,L 0-9,283,1,2019,2019_07_WAS_SFO
DAL,2019-09-22,283,Sun,3,3,,MIA,W 31-6,283,1,2019,2019_03_DAL_MIA
DET,2018-11-04,283,Sun,8,9,@,MIN,L 9-24,283,2,2018,2018_09_DET_MIN
NOR,2018-10-08,283,Mon,5,5,,WAS,W 43-19,283,2,2018,2018_05_NOR_WAS
HOU,2018-09-16,283,Sun,2,2,@,TEN,L 17-20,283,0,2018,2018_02_HOU_TEN
LAR,2017-11-12,283,Sun,9,10,,HOU,W 33-7,283,4,2017,2017_10_LAR_HOU
LVR,2022-12-08,282,Thu,13,14,@,LAR,L 16-17,282,1,2022,2022_14_LVR_LAR
KAN,2022-09-11,282,Sun,1,1,@,ARI,W 44-21,282,0,2022,2022_01_KAN_ARI
GNB,2021-10-03,282,Sun,4,4,,PIT,W 27-17,282,2,2021,2021_04_GNB_PIT
DAL,2019-11-24,282,Sun,11,12,@,NWE,L 9-13,282,0,2019,2019_12_DAL_NWE
OAK,2018-11-18,282,Sun,10,11,@,ARI,W 23-21,282,2,2018,2018_11_OAK_ARI
MIA,2018-11-04,282,Sun,9,9,,NYJ,W 13-6,282,4,2018,2018_09_MIA_NYJ
SEA,2017-12-24,282,Sun,15,16,@,DAL,W 21-12,282,3,2017,2017_16_SEA_DAL
CHI,2017-09-24,282,Sun,3,3,,PIT,W 23-17 (OT),282,2,2017,2017_03_CHI_PIT
JAX,2021-12-19,281,Sun,14,15,,HOU,L 16-30,281,1,2021,2021_15_JAX_HOU
PHI,2021-12-05,281,Sun,13,13,@,NYJ,W 33-18,281,1,2021,2021_13_PHI_NYJ
NOR,2020-11-15,281,Sun,9,10,,SFO,W 27-13,281,4,2020,2020_10_NOR_SFO
NOR,2020-10-04,281,Sun,4,4,@,DET,W 35-29,281,1,2020,2020_04_NOR_DET
NYJ,2019-11-10,281,Sun,9,10,,NYG,W 34-27,281,2,2019,2019_10_NYJ_NYG
HOU,2019-09-15,281,Sun,2,2,,JAX,W 13-12,281,1,2019,2019_02_HOU_JAX
WAS,2018-09-16,281,Sun,2,2,,IND,L 9-21,281,2,2018,2018_02_WAS_IND
ATL,2017-10-01,281,Sun,4,4,,BUF,L 17-23,281,0,2017,2017_04_ATL_BUF
CHI,2022-11-20,280,Sun,11,11,@,ATL,L 24-27,280,2,2022,2022_11_CHI_ATL
CAR,2022-01-02,280,Sun,16,17,@,NOR,L 10-18,280,0,2021,2021_17_CAR_NOR
CHI,2021-11-08,280,Mon,9,9,@,PIT,L 27-29,280,1,2021,2021_09_CHI_PIT
IND,2021-10-24,280,Sun,7,7,@,SFO,W 30-18,280,4,2021,2021_07_IND_SFO
SFO,2021-01-03,280,Sun,16,17,,SEA,L 23-26,280,0,2020,2020_17_SFO_SEA
WAS,2020-12-27,280,Sun,15,16,,CAR,L 13-20,280,2,2020,2020_16_WAS_CAR
LAC,2020-11-15,280,Sun,9,10,@,MIA,L 21-29,280,1,2020,2020_10_LAC_MIA
TEN,2018-12-02,280,Sun,12,13,,NYJ,W 26-22,280,1,2018,2018_13_TEN_NYJ
DAL,2017-11-30,280,Thu,12,13,,WAS,W 38-14,280,4,2017,2017_13_DAL_WAS
SEA,2017-11-26,280,Sun,11,12,@,SFO,W 24-13,280,1,2017,2017_12_SEA_SFO
HOU,2017-09-10,280,Sun,1,1,,JAX,L 7-29,280,0,2017,2017_01_HOU_JAX
KAN,2023-01-07,279,Sat,17,18,@,LVR,W 31-13,279,2,2022,2022_18_KAN_LVR
SEA,2023-01-01,279,Sun,16,17,,NYJ,W 23-6,279,3,2022,2022_17_SEA_NYJ
WAS,2022-10-02,279,Sun,4,4,@,DAL,L 10-25,279,0,2022,2022_04_WAS_DAL
CHI,2020-12-27,279,Sun,15,16,@,JAX,W 41-17,279,2,2020,2020_16_CHI_JAX
LAR,2020-10-26,279,Mon,7,7,,CHI,W 24-10,279,2,2020,2020_07_LAR_CHI
PIT,2019-12-01,279,Sun,12,13,,CLE,W 20-13,279,2,2019,2019_13_PIT_CLE
ATL,2019-11-28,279,Thu,12,13,,NOR,L 18-26,279,0,2019,2019_13_ATL_NOR
