Team,Date,Pts,Day,G#,Week,,Opp,Result,Pts,PtsO,PtDif,PC,Season,game_id
KAN,2022-12-24,24,Sat,15,16,,SEA,W 24-10,24,10,14,34,2022,2022_16_KAN_SEA
NYG,2022-12-24,24,Sat,15,16,@,MIN,L 24-27,24,27,-3,51,2022,2022_16_NYG_MIN
GNB,2022-12-19,24,Mon,14,15,,LAR,W 24-12,24,12,12,36,2022,2022_15_GNB_LAR
DEN,2022-12-18,24,Sun,14,15,,ARI,W 24-15,24,15,9,39,2022,2022_15_DEN_ARI
PIT,2022-12-18,24,Sun,14,15,@,CAR,W 24-16,24,16,8,40,2022,2022_15_PIT_CAR
HOU,2022-12-18,24,Sun,14,15,,KAN,L 24-30 (OT),24,30,-6,54,2022,2022_15_HOU_KAN
NWE,2022-12-18,24,Sun,14,15,@,LVR,L 24-30,24,30,-6,54,2022,2022_15_NWE_LVR
SEA,2022-12-11,24,Sun,13,14,,CAR,L 24-30,24,30,-6,54,2022,2022_14_SEA_CAR
KAN,2022-12-04,24,Sun,12,13,@,CIN,L 24-27,24,27,-3,51,2022,2022_13_KAN_CIN
BUF,2022-12-01,24,Thu,12,13,@,NWE,W 24-10,24,10,14,34,2022,2022_13_BUF_NWE
PIT,2022-11-28,24,Mon,11,12,@,IND,W 24-17,24,17,7,41,2022,2022_12_PIT_IND
ARI,2022-11-27,24,Sun,12,12,,LAC,L 24-25,24,25,-1,49,2022,2022_12_ARI_LAC
CHI,2022-11-20,24,Sun,11,11,@,ATL,L 24-27,24,27,-3,51,2022,2022_11_CHI_ATL
NYG,2022-11-13,24,Sun,9,10,,HOU,W 24-16,24,16,8,40,2022,2022_10_NYG_HOU
NOR,2022-10-30,24,Sun,8,8,,LVR,W 24-0,24,0,24,24,2022,2022_08_NOR_LVR
DAL,2022-10-23,24,Sun,7,7,,DET,W 24-6,24,6,18,30,2022,2022_07_DAL_DET
MIN,2022-10-16,24,Sun,6,6,@,MIA,W 24-16,24,16,8,40,2022,2022_06_MIN_MIA
LAR,2022-10-16,24,Sun,6,6,,CAR,W 24-10,24,10,14,34,2022,2022_06_LAR_CAR
BUF,2022-10-16,24,Sun,6,6,@,KAN,W 24-20,24,20,4,44,2022,2022_06_BUF_KAN
NYG,2022-10-16,24,Sun,6,6,,BAL,W 24-20,24,20,4,44,2022,2022_06_NYG_BAL
SFO,2022-10-03,24,Mon,4,4,,LAR,W 24-9,24,9,15,33,2022,2022_04_SFO_LAR
NWE,2022-10-02,24,Sun,4,4,@,GNB,L 24-27 (OT),24,27,-3,51,2022,2022_04_NWE_GNB
NYJ,2022-10-02,24,Sun,4,4,@,PIT,W 24-20,24,20,4,44,2022,2022_04_NYJ_PIT
TEN,2022-10-02,24,Sun,4,4,@,IND,W 24-17,24,17,7,41,2022,2022_04_TEN_IND
HOU,2022-10-02,24,Sun,4,4,,LAC,L 24-34,24,34,-10,58,2022,2022_04_HOU_LAC
PHI,2022-09-25,24,Sun,3,3,@,WAS,W 24-8,24,8,16,32,2022,2022_03_PHI_WAS
DET,2022-09-25,24,Sun,3,3,@,MIN,L 24-28,24,28,-4,52,2022,2022_03_DET_MIN
TEN,2022-09-25,24,Sun,3,3,,LVR,W 24-22,24,22,2,46,2022,2022_03_TEN_LVR
PHI,2022-09-19,24,Mon,2,2,,MIN,W 24-7,24,7,17,31,2022,2022_02_PHI_MIN
JAX,2022-09-18,24,Sun,2,2,,IND,W 24-0,24,0,24,24,2022,2022_02_JAX_IND
LAC,2022-09-15,24,Thu,2,2,@,KAN,L 24-27,24,27,-3,51,2022,2022_02_LAC_KAN
CAR,2022-09-11,24,Sun,1,1,,CLE,L 24-26,24,26,-2,50,2022,2022_01_CAR_CLE
LAC,2022-09-11,24,Sun,1,1,,LVR,W 24-19,24,19,5,43,2022,2022_01_LAC_LVR
BAL,2022-09-11,24,Sun,1,1,@,NYJ,W 24-9,24,9,15,33,2022,2022_01_BAL_NYJ
NWE,2022-01-09,24,Sun,17,18,@,MIA,L 24-33,24,33,-9,57,2021,2021_18_NWE_MIA
LAR,2022-01-09,24,Sun,17,18,,SFO,L 24-27 (OT),24,27,-3,51,2021,2021_18_LAR_SFO
DEN,2022-01-08,24,Sat,17,18,,KAN,L 24-28,24,28,-4,52,2021,2021_18_DEN_KAN
NYJ,2022-01-02,24,Sun,16,17,,TAM,L 24-28,24,28,-4,52,2021,2021_17_NYJ_TAM
SEA,2021-12-26,24,Sun,15,16,,CHI,L 24-25,24,25,-1,49,2021,2021_16_SEA_CHI
GNB,2021-12-25,24,Sat,15,16,,CLE,W 24-22,24,22,2,46,2021,2021_16_GNB_CLE
NYJ,2021-12-19,24,Sun,14,15,@,MIA,L 24-31,24,31,-7,55,2021,2021_15_NYJ_MIA
CLE,2021-12-12,24,Sun,13,14,,BAL,W 24-22,24,22,2,46,2021,2021_14_CLE_BAL
MIA,2021-11-21,24,Sun,11,11,@,NYJ,W 24-17,24,17,7,41,2021,2021_11_MIA_NYJ
PHI,2021-11-07,24,Sun,9,9,,LAC,L 24-27,24,27,-3,51,2021,2021_09_PHI_LAC
NWE,2021-11-07,24,Sun,9,9,@,CAR,W 24-6,24,6,18,30,2021,2021_09_NWE_CAR
LAC,2021-10-31,24,Sun,7,8,,NWE,L 24-27,24,27,-3,51,2021,2021_08_LAC_NWE
GNB,2021-10-28,24,Thu,8,8,@,ARI,W 24-21,24,21,3,45,2021,2021_08_GNB_ARI
GNB,2021-10-24,24,Sun,7,7,,WAS,W 24-10,24,10,14,34,2021,2021_07_GNB_WAS
DEN,2021-10-17,24,Sun,6,6,,LVR,L 24-34,24,34,-10,58,2021,2021_06_DEN_LVR
GNB,2021-10-17,24,Sun,6,6,@,CHI,W 24-14,24,14,10,38,2021,2021_06_GNB_CHI
CHI,2021-10-03,24,Sun,4,4,,DET,W 24-14,24,14,10,38,2021,2021_04_CHI_DET
TEN,2021-10-03,24,Sun,4,4,@,NYJ,L 24-27 (OT),24,27,-3,51,2021,2021_04_TEN_NYJ
CIN,2021-09-30,24,Thu,4,4,,JAX,W 24-21,24,21,3,45,2021,2021_04_CIN_JAX
KAN,2021-09-26,24,Sun,3,3,,LAC,L 24-30,24,30,-6,54,2021,2021_03_KAN_LAC
TAM,2021-09-26,24,Sun,3,3,@,LAR,L 24-34,24,34,-10,58,2021,2021_03_TAM_LAR
CIN,2021-09-26,24,Sun,3,3,@,PIT,W 24-10,24,10,14,34,2021,2021_03_CIN_PIT
CAR,2021-09-23,24,Thu,3,3,@,HOU,W 24-9,24,9,15,33,2021,2021_03_CAR_HOU
IND,2021-09-19,24,Sun,2,2,,LAR,L 24-27,24,27,-3,51,2021,2021_02_IND_LAR
MIN,2021-09-12,24,Sun,1,1,@,CIN,L 24-27 (OT),24,27,-3,51,2021,2021_01_MIN_CIN
CLE,2021-01-03,24,Sun,16,17,,PIT,W 24-22,24,22,2,46,2020,2020_17_CLE_PIT
IND,2020-12-27,24,Sun,15,16,@,PIT,L 24-28,24,28,-4,52,2020,2020_16_IND_PIT
GNB,2020-12-19,24,Sat,14,15,,CAR,W 24-16,24,16,8,40,2020,2020_15_GNB_CAR
DET,2020-12-13,24,Sun,13,14,,GNB,L 24-31,24,31,-7,55,2020,2020_14_DET_GNB
PHI,2020-12-13,24,Sun,13,14,,NOR,W 24-21,24,21,3,45,2020,2020_14_PHI_NOR
LAR,2020-12-10,24,Thu,13,14,,NWE,W 24-3,24,3,21,27,2020,2020_14_LAR_NWE
SFO,2020-12-07,24,Mon,12,13,,BUF,L 24-34,24,34,-10,58,2020,2020_13_SFO_BUF
JAX,2020-12-06,24,Sun,12,13,@,MIN,L 24-27 (OT),24,27,-3,51,2020,2020_13_JAX_MIN
TAM,2020-11-29,24,Sun,12,12,,KAN,L 24-27,24,27,-3,51,2020,2020_12_TAM_KAN
TAM,2020-11-23,24,Mon,11,11,,LAR,L 24-27,24,27,-3,51,2020,2020_11_TAM_LAR
NOR,2020-11-22,24,Sun,10,11,,ATL,W 24-9,24,9,15,33,2020,2020_11_NOR_ATL
BAL,2020-11-22,24,Sun,10,11,,TEN,L 24-30 (OT),24,30,-6,54,2020,2020_11_BAL_TEN
GNB,2020-11-15,24,Sun,9,10,,JAX,W 24-20,24,20,4,44,2020,2020_10_GNB_JAX
PIT,2020-11-08,24,Sun,8,9,@,DAL,W 24-19,24,19,5,43,2020,2020_09_PIT_DAL
BAL,2020-11-08,24,Sun,8,9,@,IND,W 24-10,24,10,14,34,2020,2020_09_BAL_IND
TEN,2020-11-08,24,Sun,8,9,,CHI,W 24-17,24,17,7,41,2020,2020_09_TEN_CHI
BUF,2020-11-01,24,Sun,8,8,,NWE,W 24-21,24,21,3,45,2020,2020_08_BUF_NWE
BAL,2020-11-01,24,Sun,7,8,,PIT,L 24-28,24,28,-4,52,2020,2020_08_BAL_PIT
LAR,2020-10-26,24,Mon,7,7,,CHI,W 24-10,24,10,14,34,2020,2020_07_LAR_CHI
CAR,2020-10-25,24,Sun,7,7,@,NOR,L 24-27,24,27,-3,51,2020,2020_07_CAR_NOR
TEN,2020-10-25,24,Sun,6,7,,PIT,L 24-27,24,27,-3,51,2020,2020_07_TEN_PIT
SFO,2020-10-18,24,Sun,6,6,,LAR,W 24-16,24,16,8,40,2020,2020_06_SFO_LAR
MIA,2020-10-18,24,Sun,6,6,,NYJ,W 24-0,24,0,24,24,2020,2020_06_MIA_NYJ
NOR,2020-09-21,24,Mon,2,2,@,LVR,L 24-34,24,34,-10,58,2020,2020_02_NOR_LVR
ARI,2020-09-13,24,Sun,1,1,@,SFO,W 24-20,24,20,4,44,2020,2020_01_ARI_SFO
NWE,2019-12-29,24,Sun,16,17,,MIA,L 24-27,24,27,-3,51,2019,2019_17_NWE_MIA
ARI,2019-12-29,24,Sun,16,17,@,LAR,L 24-31,24,31,-7,55,2019,2019_17_ARI_LAR
ATL,2019-12-22,24,Sun,15,16,,JAX,W 24-12,24,12,12,36,2019,2019_16_ATL_JAX
OAK,2019-12-22,24,Sun,15,16,@,LAC,W 24-17,24,17,7,41,2019,2019_16_OAK_LAC
NWE,2019-12-21,24,Sat,15,16,,BUF,W 24-17,24,17,7,41,2019,2019_16_NWE_BUF
CLE,2019-12-15,24,Sun,14,15,@,ARI,L 24-38,24,38,-14,62,2019,2019_15_CLE_ARI
HOU,2019-12-15,24,Sun,14,15,@,TEN,W 24-21,24,21,3,45,2019,2019_15_HOU_TEN
CAR,2019-12-15,24,Sun,14,15,,SEA,L 24-30,24,30,-6,54,2019,2019_15_CAR_SEA
HOU,2019-12-08,24,Sun,13,14,,DEN,L 24-38,24,38,-14,62,2019,2019_14_HOU_DEN
BAL,2019-12-08,24,Sun,13,14,@,BUF,W 24-17,24,17,7,41,2019,2019_14_BAL_BUF
DAL,2019-12-05,24,Thu,13,14,@,CHI,L 24-31,24,31,-7,55,2019,2019_14_DAL_CHI
CHI,2019-11-28,24,Thu,12,13,@,DET,W 24-20,24,20,4,44,2019,2019_13_CHI_DET
MIA,2019-11-24,24,Sun,11,12,@,CLE,L 24-41,24,41,-17,65,2019,2019_12_MIA_CLE
KAN,2019-11-18,24,Mon,11,11,@,LAC,W 24-17,24,17,7,41,2019,2019_11_KAN_LAC
SFO,2019-11-11,24,Mon,9,10,,SEA,L 24-27 (OT),24,27,-3,51,2019,2019_10_SFO_SEA
GNB,2019-11-10,24,Sun,10,10,,CAR,W 24-16,24,16,8,40,2019,2019_10_GNB_CAR
DAL,2019-11-10,24,Sun,9,10,,MIN,L 24-28,24,28,-4,52,2019,2019_10_DAL_MIN
LAC,2019-11-07,24,Thu,10,10,@,OAK,L 24-26,24,26,-2,50,2019,2019_10_LAC_OAK
IND,2019-11-03,24,Sun,8,9,@,PIT,L 24-26,24,26,-2,50,2019,2019_09_IND_PIT
DEN,2019-11-03,24,Sun,9,9,,CLE,W 24-19,24,19,5,43,2019,2019_09_DEN_CLE
BUF,2019-11-03,24,Sun,8,9,,WAS,W 24-9,24,9,15,33,2019,2019_09_BUF_WAS
DET,2019-11-03,24,Sun,8,9,@,OAK,L 24-31,24,31,-7,55,2019,2019_09_DET_OAK
KAN,2019-10-27,24,Sun,8,8,,GNB,L 24-31,24,31,-7,55,2019,2019_08_KAN_GNB
LAR,2019-10-27,24,Sun,8,8,,CIN,W 24-10,24,10,14,34,2019,2019_08_LAR_CIN
OAK,2019-10-27,24,Sun,7,8,@,HOU,L 24-27,24,27,-3,51,2019,2019_08_OAK_HOU
OAK,2019-10-20,24,Sun,6,7,@,GNB,L 24-42,24,42,-18,66,2019,2019_07_OAK_GNB
KAN,2019-10-13,24,Sun,6,6,,HOU,L 24-31,24,31,-7,55,2019,2019_06_KAN_HOU
NYJ,2019-10-13,24,Sun,5,6,,DAL,W 24-22,24,22,2,46,2019,2019_06_NYJ_DAL
PIT,2019-10-13,24,Sun,6,6,@,LAC,W 24-17,24,17,7,41,2019,2019_06_PIT_LAC
DAL,2019-10-06,24,Sun,5,5,,GNB,L 24-34,24,34,-10,58,2019,2019_05_DAL_GNB
OAK,2019-10-06,24,Sun,5,5,,CHI,W 24-21,24,21,3,45,2019,2019_05_OAK_CHI
TAM,2019-10-06,24,Sun,5,5,@,NOR,L 24-31,24,31,-7,55,2019,2019_05_TAM_NOR
TEN,2019-09-29,24,Sun,4,4,@,ATL,W 24-10,24,10,14,34,2019,2019_04_TEN_ATL
DEN,2019-09-29,24,Sun,4,4,,JAX,L 24-26,24,26,-2,50,2019,2019_04_DEN_JAX
IND,2019-09-29,24,Sun,4,4,,OAK,L 24-31,24,31,-7,55,2019,2019_04_IND_OAK
NYG,2019-09-29,24,Sun,4,4,,WAS,W 24-3,24,3,21,27,2019,2019_04_NYG_WAS
ATL,2019-09-22,24,Sun,3,3,@,IND,L 24-27,24,27,-3,51,2019,2019_03_ATL_IND
PHI,2019-09-22,24,Sun,3,3,,DET,L 24-27,24,27,-3,51,2019,2019_03_PHI_DET
SFO,2019-09-22,24,Sun,3,3,,PIT,W 24-20,24,20,4,44,2019,2019_03_SFO_PIT
ATL,2019-09-15,24,Sun,2,2,,PHI,W 24-20,24,20,4,44,2019,2019_02_ATL_PHI
OAK,2019-09-09,24,Mon,1,1,,DEN,W 24-16,24,16,8,40,2019,2019_01_OAK_DEN
IND,2019-09-08,24,Sun,1,1,@,LAC,L 24-30 (OT),24,30,-6,54,2019,2019_01_IND_LAC
CHI,2018-12-30,24,Sun,16,17,@,MIN,W 24-10,24,10,14,34,2018,2018_17_CHI_MIN
CLE,2018-12-30,24,Sun,16,17,@,BAL,L 24-26,24,26,-2,50,2018,2018_17_CLE_BAL
ARI,2018-12-30,24,Sun,16,17,@,SEA,L 24-27,24,27,-3,51,2018,2018_17_ARI_SEA
PHI,2018-12-30,24,Sun,16,17,@,WAS,W 24-0,24,0,24,24,2018,2018_17_PHI_WAS
NWE,2018-12-23,24,Sun,15,16,,BUF,W 24-12,24,12,12,36,2018,2018_16_NWE_BUF
ATL,2018-12-23,24,Sun,15,16,@,CAR,W 24-10,24,10,14,34,2018,2018_16_ATL_CAR
CHI,2018-12-16,24,Sun,14,15,,GNB,W 24-17,24,17,7,41,2018,2018_15_CHI_GNB
IND,2018-12-09,24,Sun,13,14,@,HOU,W 24-21,24,21,3,45,2018,2018_14_IND_HOU
BAL,2018-12-09,24,Sun,13,14,@,KAN,L 24-27 (OT),24,27,-3,51,2018,2018_14_BAL_KAN
OAK,2018-12-09,24,Sun,13,14,,PIT,W 24-21,24,21,3,45,2018,2018_14_OAK_PIT
TAM,2018-12-02,24,Sun,12,13,,CAR,W 24-17,24,17,7,41,2018,2018_13_TAM_CAR
DEN,2018-12-02,24,Sun,12,13,@,CIN,W 24-10,24,10,14,34,2018,2018_13_DEN_CIN
NWE,2018-12-02,24,Sun,12,13,,MIN,W 24-10,24,10,14,34,2018,2018_13_NWE_MIN
MIA,2018-11-25,24,Sun,11,12,@,IND,L 24-27,24,27,-3,51,2018,2018_12_MIA_IND
MIN,2018-11-25,24,Sun,11,12,,GNB,W 24-17,24,17,7,41,2018,2018_12_MIN_GNB
BUF,2018-11-25,24,Sun,11,12,,JAX,W 24-21,24,21,3,45,2018,2018_12_BUF_JAX
DEN,2018-11-25,24,Sun,11,12,,PIT,W 24-17,24,17,7,41,2018,2018_12_DEN_PIT
BAL,2018-11-18,24,Sun,10,11,,CIN,W 24-21,24,21,3,45,2018,2018_11_BAL_CIN
GNB,2018-11-15,24,Thu,10,11,@,SEA,L 24-27,24,27,-3,51,2018,2018_11_GNB_SEA
MIN,2018-11-04,24,Sun,9,9,,DET,W 24-9,24,9,15,33,2018,2018_09_MIN_DET
PHI,2018-10-28,24,Sun,8,8,@,JAX,W 24-18,24,18,6,42,2018,2018_08_PHI_JAX
CHI,2018-10-28,24,Sun,7,8,,NYJ,W 24-10,24,10,14,34,2018,2018_08_CHI_NYJ
NOR,2018-10-21,24,Sun,6,7,@,BAL,W 24-23,24,23,1,47,2018,2018_07_NOR_BAL
IND,2018-10-04,24,Thu,5,5,@,NWE,L 24-38,24,38,-14,62,2018,2018_05_IND_NWE
DET,2018-09-30,24,Sun,4,4,@,DAL,L 24-26,24,26,-2,50,2018,2018_04_DET_DAL
SEA,2018-09-23,24,Sun,3,3,,DAL,W 24-13,24,13,11,37,2018,2018_03_SEA_DAL
CHI,2018-09-17,24,Mon,2,2,,SEA,W 24-17,24,17,7,41,2018,2018_02_CHI_SEA
CAR,2018-09-16,24,Sun,2,2,@,ATL,L 24-31,24,31,-7,55,2018,2018_02_CAR_ATL
GNB,2018-09-09,24,Sun,1,1,,CHI,W 24-23,24,23,1,47,2018,2018_01_GNB_CHI
WAS,2018-09-09,24,Sun,1,1,@,ARI,W 24-6,24,6,18,30,2018,2018_01_WAS_ARI
SEA,2018-09-09,24,Sun,1,1,@,DEN,L 24-27,24,27,-3,51,2018,2018_01_SEA_DEN
MIN,2018-09-09,24,Sun,1,1,,SFO,W 24-16,24,16,8,40,2018,2018_01_MIN_SFO
SEA,2017-12-31,24,Sun,16,17,,ARI,L 24-26,24,26,-2,50,2017,2017_17_SEA_ARI
DEN,2017-12-31,24,Sun,16,17,,KAN,L 24-27,24,27,-3,51,2017,2017_17_DEN_KAN
CLE,2017-12-31,24,Sun,16,17,@,PIT,L 24-28,24,28,-4,52,2017,2017_17_CLE_PIT
NOR,2017-12-31,24,Sun,16,17,@,TAM,L 24-31,24,31,-7,55,2017,2017_17_NOR_TAM
ATL,2017-12-18,24,Mon,14,15,@,TAM,W 24-21,24,21,3,45,2017,2017_15_ATL_TAM
GNB,2017-12-17,24,Sun,14,15,@,CAR,L 24-31,24,31,-7,55,2017,2017_15_GNB_CAR
BUF,2017-12-17,24,Sun,14,15,,MIA,W 24-16,24,16,8,40,2017,2017_15_BUF_MIA
PIT,2017-12-17,24,Sun,14,15,,NWE,L 24-27,24,27,-3,51,2017,2017_15_PIT_NWE
MIN,2017-12-10,24,Sun,13,14,@,CAR,L 24-31,24,31,-7,55,2017,2017_14_MIN_CAR
SEA,2017-12-10,24,Sun,13,14,@,JAX,L 24-30,24,30,-6,54,2017,2017_14_SEA_JAX
DET,2017-12-10,24,Sun,13,14,@,TAM,W 24-21,24,21,3,45,2017,2017_14_DET_TAM
TEN,2017-12-03,24,Sun,12,13,,HOU,W 24-13,24,13,11,37,2017,2017_13_TEN_HOU
OAK,2017-12-03,24,Sun,12,13,,NYG,W 24-17,24,17,7,41,2017,2017_13_OAK_NYG
SEA,2017-12-03,24,Sun,12,13,,PHI,W 24-10,24,10,14,34,2017,2017_13_SEA_PHI
JAX,2017-11-26,24,Sun,11,12,@,ARI,L 24-27,24,27,-3,51,2017,2017_12_JAX_ARI
SEA,2017-11-26,24,Sun,11,12,@,SFO,W 24-13,24,13,11,37,2017,2017_12_SEA_SFO
CHI,2017-11-19,24,Sun,10,11,,DET,L 24-27,24,27,-3,51,2017,2017_11_CHI_DET
MIN,2017-11-19,24,Sun,10,11,,LAR,W 24-7,24,7,17,31,2017,2017_11_MIN_LAR
BUF,2017-11-19,24,Sun,10,11,@,LAC,L 24-54,24,54,-30,78,2017,2017_11_BUF_LAC
TEN,2017-11-12,24,Sun,9,10,,CIN,W 24-20,24,20,4,44,2017,2017_10_TEN_CIN
CLE,2017-11-12,24,Sun,9,10,@,DET,L 24-38,24,38,-14,62,2017,2017_10_CLE_DET
MIA,2017-11-05,24,Sun,8,9,,OAK,L 24-27,24,27,-3,51,2017,2017_09_MIA_OAK
CIN,2017-10-29,24,Sun,7,8,,IND,W 24-23,24,23,1,47,2017,2017_08_CIN_IND
WAS,2017-10-23,24,Mon,6,7,@,PHI,L 24-34,24,34,-10,58,2017,2017_07_WAS_PHI
SEA,2017-10-22,24,Sun,6,7,@,NYG,W 24-7,24,7,17,31,2017,2017_07_SEA_NYG
MIN,2017-10-22,24,Sun,7,7,,BAL,W 24-16,24,16,8,40,2017,2017_07_MIN_BAL
BAL,2017-10-15,24,Sun,6,6,,CHI,L 24-27 (OT),24,27,-3,51,2017,2017_06_BAL_CHI
NWE,2017-10-15,24,Sun,6,6,@,NYJ,W 24-17,24,17,7,41,2017,2017_06_NWE_NYJ
SFO,2017-10-15,24,Sun,6,6,@,WAS,L 24-26,24,26,-2,50,2017,2017_06_SFO_WAS
DET,2017-10-08,24,Sun,5,5,,CAR,L 24-27,24,27,-3,51,2017,2017_05_DET_CAR
LAC,2017-10-01,24,Sun,4,4,,PHI,L 24-26,24,26,-2,50,2017,2017_04_LAC_PHI
CIN,2017-09-24,24,Sun,3,3,@,GNB,L 24-27 (OT),24,27,-3,51,2017,2017_03_CIN_GNB
NYG,2017-09-24,24,Sun,3,3,@,PHI,L 24-27,24,27,-3,51,2017,2017_03_NYG_PHI
KAN,2017-09-24,24,Sun,3,3,@,LAC,W 24-10,24,10,14,34,2017,2017_03_KAN_LAC
DET,2017-09-18,24,Mon,2,2,@,NYG,W 24-10,24,10,14,34,2017,2017_02_DET_NYG
BAL,2017-09-17,24,Sun,2,2,,CLE,W 24-10,24,10,14,34,2017,2017_02_BAL_CLE
DEN,2017-09-11,24,Mon,1,1,,LAC,W 24-21,24,21,3,45,2017,2017_01_DEN_LAC
NWE,2023-01-08,23,Sun,17,18,@,BUF,L 23-35,23,35,-12,58,2022,2022_18_NWE_BUF
NWE,2023-01-01,23,Sun,16,17,,MIA,W 23-21,23,21,2,44,2022,2022_17_NWE_MIA
SEA,2023-01-01,23,Sun,16,17,,NYJ,W 23-6,23,6,17,29,2022,2022_17_SEA_NYJ
DET,2022-12-24,23,Sat,15,16,@,CAR,L 23-37,23,37,-14,60,2022,2022_16_DET_CAR
TAM,2022-12-18,23,Sun,14,15,,CIN,L 23-34,23,34,-11,57,2022,2022_15_TAM_CIN
CIN,2022-12-11,23,Sun,13,14,,CLE,W 23-10,23,10,13,33,2022,2022_14_CIN_CLE
HOU,2022-12-11,23,Sun,13,14,@,DAL,L 23-27,23,27,-4,50,2022,2022_14_HOU_DAL
MIN,2022-12-11,23,Sun,13,14,@,DET,L 23-34,23,34,-11,57,2022,2022_14_MIN_DET
LAC,2022-12-11,23,Sun,13,14,,MIA,W 23-17,23,17,6,40,2022,2022_14_LAC_MIA
LAR,2022-12-04,23,Sun,12,13,,SEA,L 23-27,23,27,-4,50,2022,2022_13_LAR_SEA
CAR,2022-11-27,23,Sun,12,12,,DEN,W 23-10,23,10,13,33,2022,2022_12_CAR_DEN
CLE,2022-11-27,23,Sun,11,12,,TAM,W 23-17 (OT),23,17,6,40,2022,2022_12_CLE_TAM
CLE,2022-11-20,23,Sun,10,11,@,BUF,L 23-31,23,31,-8,54,2022,2022_11_CLE_BUF
WAS,2022-11-20,23,Sun,11,11,@,HOU,W 23-10,23,10,13,33,2022,2022_11_WAS_HOU
BAL,2022-10-23,23,Sun,7,7,,CLE,W 23-20,23,20,3,43,2022,2022_07_BAL_CLE
WAS,2022-10-23,23,Sun,7,7,,GNB,W 23-21,23,21,2,44,2022,2022_07_WAS_GNB
NYG,2022-10-23,23,Sun,7,7,@,JAX,W 23-17,23,17,6,40,2022,2022_07_NYG_JAX
SFO,2022-10-23,23,Sun,7,7,,KAN,L 23-44,23,44,-21,67,2022,2022_07_SFO_KAN
LAC,2022-10-23,23,Sun,7,7,,SEA,L 23-37,23,37,-14,60,2022,2022_07_LAC_SEA
ATL,2022-10-02,23,Sun,4,4,,CLE,W 23-20,23,20,3,43,2022,2022_04_ATL_CLE
DEN,2022-10-02,23,Sun,4,4,@,LVR,L 23-32,23,32,-9,55,2022,2022_04_DEN_LVR
BUF,2022-10-02,23,Sun,4,4,@,BAL,W 23-20,23,20,3,43,2022,2022_04_BUF_BAL
DAL,2022-09-26,23,Mon,3,3,@,NYG,W 23-16,23,16,7,39,2022,2022_03_DAL_NYG
SEA,2022-09-25,23,Sun,3,3,,ATL,L 23-27,23,27,-4,50,2022,2022_03_SEA_ATL
CHI,2022-09-25,23,Sun,3,3,,HOU,W 23-20,23,20,3,43,2022,2022_03_CHI_HOU
LVR,2022-09-18,23,Sun,2,2,,ARI,L 23-29 (OT),23,29,-6,52,2022,2022_02_LVR_ARI
PIT,2022-09-11,23,Sun,1,1,@,CIN,W 23-20 (OT),23,20,3,43,2022,2022_01_PIT_CIN
MIN,2022-09-11,23,Sun,1,1,,GNB,W 23-7,23,7,16,30,2022,2022_01_MIN_GNB
LVR,2022-01-02,23,Sun,16,17,@,IND,W 23-20,23,20,3,43,2021,2021_17_LVR_IND
SFO,2022-01-02,23,Sun,16,17,,HOU,W 23-7,23,7,16,30,2021,2021_17_SFO_HOU
MIN,2021-12-26,23,Sun,15,16,,LAR,L 23-30,23,30,-7,53,2021,2021_16_MIN_LAR
ARI,2021-12-13,23,Mon,13,14,,LAR,L 23-30,23,30,-7,53,2021,2021_14_ARI_LAR
CIN,2021-12-12,23,Sun,13,14,,SFO,L 23-26 (OT),23,26,-3,49,2021,2021_14_CIN_SFO
SFO,2021-12-05,23,Sun,12,13,@,SEA,L 23-30,23,30,-7,53,2021,2021_13_SFO_SEA
ARI,2021-11-21,23,Sun,11,11,@,SEA,W 23-13,23,13,10,36,2021,2021_11_ARI_SEA
IND,2021-11-14,23,Sun,10,10,,JAX,W 23-17,23,17,6,40,2021,2021_10_IND_JAX
TEN,2021-11-14,23,Sun,10,10,,NOR,W 23-21,23,21,2,44,2021,2021_10_TEN_NOR
NYG,2021-11-07,23,Sun,9,9,,LVR,W 23-16,23,16,7,39,2021,2021_09_NYG_LVR
JAX,2021-10-17,23,Sun,6,6,,MIA,W 23-20,23,20,3,43,2021,2021_06_JAX_MIA
PIT,2021-10-17,23,Sun,6,6,,SEA,W 23-20 (OT),23,20,3,43,2021,2021_06_PIT_SEA
BAL,2021-10-03,23,Sun,4,4,@,DEN,W 23-7,23,7,16,30,2021,2021_04_BAL_DEN
DEN,2021-09-19,23,Sun,2,2,@,JAX,W 23-13,23,13,10,36,2021,2021_02_DEN_JAX
PIT,2021-09-12,23,Sun,1,1,@,BUF,W 23-16,23,16,7,39,2021,2021_01_PIT_BUF
NYG,2021-01-03,23,Sun,16,17,,DAL,W 23-19,23,19,4,42,2020,2020_17_NYG_DAL
SFO,2021-01-03,23,Sun,16,17,,SEA,L 23-26,23,26,-3,49,2020,2020_17_SFO_SEA
NYJ,2020-12-27,23,Sun,15,16,,CLE,W 23-16,23,16,7,39,2020,2020_16_NYJ_CLE
NYJ,2020-12-20,23,Sun,14,15,@,LAR,W 23-20,23,20,3,43,2020,2020_15_NYJ_LAR
WAS,2020-12-13,23,Sun,13,14,@,SFO,W 23-15,23,15,8,38,2020,2020_14_WAS_SFO
WAS,2020-12-07,23,Mon,12,13,@,PIT,W 23-17,23,17,6,40,2020,2020_13_WAS_PIT
