Team,Date,Pts,Day,G#,Week,,Opp,Result,Pts,PtsO,PtDif,PC,Season,game_id
MIN,2019-10-20,42,Sun,7,7,@,DET,W 42-30,42,30,12,72,2019,2019_07_MIN_DET
GNB,2019-10-20,42,Sun,7,7,,OAK,W 42-24,42,24,18,66,2019,2019_07_GNB_OAK
BUF,2018-12-30,42,Sun,16,17,,MIA,W 42-17,42,17,25,59,2018,2018_17_BUF_MIA
CAR,2018-11-04,42,Sun,8,9,,TAM,W 42-28,42,28,14,70,2018,2018_09_CAR_TAM
IND,2018-10-28,42,Sun,8,8,@,OAK,W 42-28,42,28,14,70,2018,2018_08_IND_OAK
HOU,2018-10-25,42,Thu,8,8,,MIA,W 42-23,42,23,19,65,2018,2018_08_HOU_MIA
NYJ,2018-10-14,42,Sun,6,6,,IND,W 42-34,42,34,8,76,2018,2018_06_NYJ_IND
CLE,2018-09-30,42,Sun,4,4,@,OAK,L 42-45 (OT),42,45,-3,87,2018,2018_04_CLE_OAK
KAN,2018-09-16,42,Sun,2,2,@,PIT,W 42-37,42,37,5,79,2018,2018_02_KAN_PIT
LAR,2017-12-17,42,Sun,14,15,@,SEA,W 42-7,42,7,35,49,2017,2017_15_LAR_SEA
KAN,2017-10-08,42,Sun,5,5,@,HOU,W 42-34,42,34,8,76,2017,2017_05_KAN_HOU
DEN,2017-09-17,42,Sun,2,2,,DAL,W 42-17,42,17,25,59,2017,2017_02_DEN_DAL
KAN,2017-09-07,42,Thu,1,1,@,NWE,W 42-27,42,27,15,69,2017,2017_01_KAN_NWE
DET,2023-01-01,41,Sun,16,17,,CHI,W 41-10,41,10,31,51,2022,2022_17_DET_CHI
GNB,2023-01-01,41,Sun,16,17,,MIN,W 41-17,41,17,24,58,2022,2022_17_GNB_MIN
KAN,2022-10-02,41,Sun,4,4,@,TAM,W 41-31,41,31,10,72,2022,2022_04_KAN_TAM
BUF,2022-09-19,41,Mon,2,2,,TEN,W 41-7,41,7,34,48,2022,2022_02_BUF_TEN
TAM,2022-01-09,41,Sun,17,18,,CAR,W 41-17,41,17,24,58,2021,2021_18_TAM_CAR
HOU,2021-12-26,41,Sun,15,16,,LAC,W 41-29,41,29,12,70,2021,2021_16_HOU_LAC
CIN,2021-12-26,41,Sun,15,16,,BAL,W 41-21,41,21,20,62,2021,2021_16_CIN_BAL
LAC,2021-12-05,41,Sun,12,13,@,CIN,W 41-22,41,22,19,63,2021,2021_13_LAC_CIN
