Team,Date,Pen,Day,G#,Week,,Opp,Result,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,Season,game_id
OAK,2019-11-07,12,Thu,9,10,,LAC,W 26-24,12,97,8,70,20,167,2019,2019_10_OAK_LAC
DEN,2019-10-06,12,Sun,5,5,@,LAC,W 20-13,12,122,4,43,16,165,2019,2019_05_DEN_LAC
ARI,2019-10-06,12,Sun,5,5,@,CIN,W 26-23,12,96,7,60,19,156,2019,2019_05_ARI_CIN
MIN,2019-10-06,12,Sun,5,5,@,NYG,W 28-10,12,112,5,45,17,157,2019,2019_05_MIN_NYG
TAM,2019-09-29,12,Sun,4,4,@,LAR,W 55-40,12,99,13,106,25,205,2019,2019_04_TAM_LAR
JAX,2019-09-29,12,Sun,4,4,@,DEN,W 26-24,12,104,5,48,17,152,2019,2019_04_JAX_DEN
WAS,2019-09-29,12,Sun,4,4,@,NYG,L 3-24,12,58,5,45,17,103,2019,2019_04_WAS_NYG
NYJ,2019-09-16,12,Mon,2,2,,CLE,L 3-23,12,89,9,85,21,174,2019,2019_02_NYJ_CLE
TAM,2019-09-12,12,Thu,2,2,@,CAR,W 20-14,12,66,5,50,17,116,2019,2019_02_TAM_CAR
WAS,2019-09-08,12,Sun,1,1,@,PHI,L 27-32,12,96,6,55,18,151,2019,2019_01_WAS_PHI
IND,2018-12-30,12,Sun,16,17,@,TEN,W 33-17,12,96,9,75,21,171,2018,2018_17_IND_TEN
CIN,2018-12-02,12,Sun,12,13,,DEN,L 10-24,12,100,7,60,19,160,2018,2018_13_CIN_DEN
NYG,2018-12-02,12,Sun,12,13,,CHI,W 30-27 (OT),12,107,8,58,20,165,2018,2018_13_NYG_CHI
LAC,2018-11-04,12,Sun,8,9,@,SEA,W 25-17,12,105,10,83,22,188,2018,2018_09_LAC_SEA
BUF,2018-10-14,12,Sun,6,6,@,HOU,L 13-20,12,104,6,50,18,154,2018,2018_06_BUF_HOU
GNB,2018-10-07,12,Sun,5,5,@,DET,L 23-31,12,112,8,71,20,183,2018,2018_05_GNB_DET
BUF,2018-09-23,12,Sun,3,3,@,MIN,W 27-6,12,84,6,59,18,143,2018,2018_03_BUF_MIN
PIT,2018-09-16,12,Sun,2,2,,KAN,L 37-42,12,90,12,76,24,166,2018,2018_02_PIT_KAN
KAN,2018-09-16,12,Sun,2,2,@,PIT,W 42-37,12,76,12,90,24,166,2018,2018_02_KAN_PIT
PIT,2018-09-09,12,Sun,1,1,@,CLE,T 21-21 (OT),12,116,11,87,23,203,2018,2018_01_PIT_CLE
MIN,2017-12-31,12,Sun,16,17,,CHI,W 23-10,12,103,10,116,22,219,2017,2017_17_MIN_CHI
JAX,2017-12-24,12,Sun,15,16,@,SFO,L 33-44,12,99,8,68,20,167,2017,2017_16_JAX_SFO
TAM,2017-12-24,12,Sun,15,16,@,CAR,L 19-22,12,72,6,50,18,122,2017,2017_16_TAM_CAR
DEN,2017-12-14,12,Thu,14,15,@,IND,W 25-13,12,80,4,39,16,119,2017,2017_15_DEN_IND
CIN,2017-11-12,12,Sun,9,10,@,TEN,L 20-24,12,84,5,55,17,139,2017,2017_10_CIN_TEN
SEA,2017-11-09,12,Thu,9,10,@,ARI,W 22-16,12,108,9,58,21,166,2017,2017_10_SEA_ARI
CLE,2017-10-22,12,Sun,7,7,,TEN,L 9-12 (OT),12,81,5,35,17,116,2017,2017_07_CLE_TEN
NYJ,2017-10-22,12,Sun,7,7,@,MIA,L 28-31,12,124,9,76,21,200,2017,2017_07_NYJ_MIA
NWE,2017-10-05,12,Thu,5,5,@,TAM,W 19-14,12,108,9,70,21,178,2017,2017_05_NWE_TAM
IND,2022-12-17,11,Sat,14,15,@,MIN,L 36-39 (OT),11,103,9,74,20,177,2022,2022_15_IND_MIN
NYJ,2022-10-23,11,Sun,7,7,@,DEN,W 16-9,11,85,4,34,15,119,2022,2022_07_NYJ_DEN
LVR,2022-10-10,11,Mon,5,5,@,KAN,L 29-30,11,99,5,72,16,171,2022,2022_05_LVR_KAN
MIA,2022-10-09,11,Sun,5,5,@,NYJ,L 17-40,11,102,5,105,16,207,2022,2022_05_MIA_NYJ
WAS,2022-10-02,11,Sun,4,4,@,DAL,L 10-25,11,136,4,20,15,156,2022,2022_04_WAS_DAL
SEA,2022-10-02,11,Sun,4,4,@,DET,W 48-45,11,76,8,59,19,135,2022,2022_04_SEA_DET
PHI,2021-12-26,11,Sun,15,16,,NYG,W 34-10,11,79,6,40,17,119,2021,2021_16_PHI_NYG
ARI,2021-12-25,11,Sat,15,16,,IND,L 16-22,11,85,5,40,16,125,2021,2021_16_ARI_IND
MIN,2021-12-09,11,Thu,13,14,,PIT,W 36-28,11,102,10,85,21,187,2021,2021_14_MIN_PIT
MIA,2021-11-11,11,Thu,10,10,,BAL,W 22-10,11,97,4,20,15,117,2021,2021_10_MIA_BAL
DAL,2021-10-31,11,Sun,7,8,@,MIN,W 20-16,11,96,7,57,18,153,2021,2021_08_DAL_MIN
TAM,2021-10-31,11,Sun,8,8,@,NOR,L 27-36,11,99,2,10,13,109,2021,2021_08_TAM_NOR
