Team,Date,Cmp,Day,G#,Week,,Opp,Result,Cmp,Att,Cmp%,Yds,TD,Sk,Yds,Int,Rate,Season,game_id
GNB,2018-11-11,23,Sun,9,10,,MIA,W 31-12,23,37,62.2,163,0,6,50,1,61.0,2018,2018_10_GNB_MIA
TEN,2018-11-11,23,Sun,9,10,,NWE,W 34-10,23,43,53.5,244,0,3,23,0,70.3,2018,2018_10_TEN_NWE
PIT,2018-11-08,23,Thu,9,10,,CAR,W 52-21,23,29,79.3,147,2,5,46,1,96.4,2018,2018_10_PIT_CAR
CAR,2018-11-08,23,Thu,9,10,@,PIT,L 21-52,23,27,85.2,319,5,1,6,0,155.5,2018,2018_10_CAR_PIT
CLE,2018-11-04,23,Sun,9,9,,KAN,L 21-37,23,32,71.9,360,3,2,15,1,127.1,2018,2018_09_CLE_KAN
GNB,2018-11-04,23,Sun,8,9,@,NWE,L 17-31,23,36,63.9,310,1,2,21,0,100.5,2018,2018_09_GNB_NWE
SFO,2018-10-28,23,Sun,8,8,@,ARI,L 15-18,23,40,57.5,233,2,3,19,1,80.5,2018,2018_08_SFO_ARI
KAN,2018-10-28,23,Sun,8,8,,DEN,W 30-23,23,34,67.6,222,2,5,40,1,93.0,2018,2018_08_KAN_DEN
TAM,2018-10-21,23,Sun,6,7,,CLE,W 26-23 (OT),23,34,67.6,186,2,5,29,0,100.9,2018,2018_07_TAM_CLE
NYJ,2018-10-14,23,Sun,6,6,,IND,W 42-34,23,43,53.5,301,4,0,0,3,77.8,2018,2018_06_NYJ_IND
NWE,2018-10-14,23,Sun,6,6,,KAN,W 43-40,23,36,63.9,352,4,0,0,2,110.0,2018,2018_06_NWE_KAN
SEA,2018-10-14,23,Sun,6,6,@,OAK,W 27-3,23,31,74.2,106,0,6,36,0,78.2,2018,2018_06_SEA_OAK
NOR,2018-10-08,23,Mon,5,5,,WAS,W 43-19,23,39,59.0,244,0,3,31,1,66.6,2018,2018_05_NOR_WAS
CAR,2018-10-07,23,Sun,4,5,,NYG,W 33-31,23,37,62.2,382,3,1,1,2,101.4,2018,2018_05_CAR_NYG
SEA,2018-10-07,23,Sun,5,5,,LAR,L 31-33,23,32,71.9,313,1,1,8,2,87.1,2018,2018_05_SEA_LAR
MIA,2018-09-30,23,Sun,4,4,@,NWE,L 7-38,23,35,65.7,274,3,0,0,2,94.2,2018,2018_04_MIA_NWE
LAC,2018-09-30,23,Sun,4,4,,SFO,W 29-27,23,37,62.2,288,2,1,10,2,81.8,2018,2018_04_LAC_SFO
CAR,2018-09-16,23,Sun,2,2,@,ATL,L 24-31,23,28,82.1,272,2,0,0,1,116.1,2018,2018_02_CAR_ATL
PIT,2018-09-16,23,Sun,2,2,,KAN,L 37-42,23,28,82.1,322,6,1,4,0,154.2,2018,2018_02_PIT_KAN
BUF,2018-09-16,23,Sun,2,2,,LAC,L 20-31,23,27,85.2,240,3,2,16,0,140.7,2018,2018_02_BUF_LAC
GNB,2018-09-09,23,Sun,1,1,,CHI,W 24-23,23,35,65.7,155,0,4,16,0,75.3,2018,2018_01_GNB_CHI
JAX,2018-09-09,23,Sun,1,1,@,NYG,W 20-15,23,37,62.2,210,0,2,14,1,66.3,2018,2018_01_JAX_NYG
CLE,2018-09-09,23,Sun,1,1,,PIT,T 21-21 (OT),23,41,56.1,313,1,4,22,3,58.3,2018,2018_01_CLE_PIT
BAL,2017-12-31,23,Sun,16,17,,CIN,L 27-31,23,44,52.3,213,3,1,9,0,88.5,2017,2017_17_BAL_CIN
DAL,2017-12-31,23,Sun,16,17,@,PHI,W 6-0,23,34,67.6,149,0,3,24,1,64.5,2017,2017_17_DAL_PHI
CLE,2017-12-31,23,Sun,16,17,@,PIT,L 24-28,23,27,85.2,224,1,3,15,1,98.1,2017,2017_17_CLE_PIT
SFO,2017-12-17,23,Sun,14,15,,TEN,W 25-23,23,33,69.7,238,2,1,3,0,110.4,2017,2017_15_SFO_TEN
LAC,2017-12-16,23,Sat,14,15,@,KAN,L 13-30,23,30,76.7,223,2,1,8,0,119.2,2017,2017_15_LAC_KAN
DET,2017-12-03,23,Sun,12,13,@,BAL,L 20-44,23,36,63.9,269,2,0,0,0,105.0,2017,2017_13_DET_BAL
BUF,2017-11-26,23,Sun,11,12,@,KAN,W 16-10,23,36,63.9,181,1,2,18,1,74.0,2017,2017_12_BUF_KAN
NWE,2017-11-26,23,Sun,11,12,,MIA,W 35-17,23,34,67.6,154,1,7,61,2,62.6,2017,2017_12_NWE_MIA
CIN,2017-11-19,23,Sun,10,11,@,DEN,W 20-17,23,42,54.8,229,1,3,25,1,68.5,2017,2017_11_CIN_DEN
TAM,2017-11-19,23,Sun,10,11,@,MIA,W 30-20,23,40,57.5,365,2,1,0,3,73.4,2017,2017_11_TAM_MIA
MIN,2017-11-19,23,Sun,10,11,,LAR,W 24-7,23,37,62.2,209,0,2,16,0,77.4,2017,2017_11_MIN_LAR
TAM,2017-11-12,23,Sun,9,10,,NYJ,W 15-10,23,39,59.0,219,1,6,43,1,72.5,2017,2017_10_TAM_NYJ
CHI,2017-10-29,23,Sun,8,8,@,NOR,L 12-20,23,28,82.1,286,0,2,13,0,109.2,2017,2017_08_CHI_NOR
NWE,2017-10-22,23,Sun,7,7,,ATL,W 23-7,23,33,69.7,223,1,1,10,0,98.4,2017,2017_07_NWE_ATL
IND,2017-10-16,23,Mon,6,6,@,TEN,L 22-36,23,32,71.9,305,1,1,1,1,99.1,2017,2017_06_IND_TEN
LAR,2017-10-15,23,Sun,6,6,@,JAX,W 27-17,23,35,65.7,220,1,5,21,1,80.7,2017,2017_06_LAR_JAX
WAS,2017-10-15,23,Sun,5,6,,SFO,W 26-24,23,47,48.9,250,1,3,29,1,63.3,2017,2017_06_WAS_SFO
CAR,2017-10-08,23,Sun,5,5,@,DET,W 27-24,23,35,65.7,192,2,6,37,0,98.7,2017,2017_05_CAR_DET
CLE,2017-10-08,23,Sun,5,5,,NYJ,L 14-17,23,30,76.7,178,2,3,16,1,99.0,2017,2017_05_CLE_NYJ
JAX,2017-10-01,23,Sun,4,4,@,NYJ,L 20-23 (OT),23,32,71.9,215,0,5,40,1,77.0,2017,2017_04_JAX_NYJ
LAR,2017-09-21,23,Thu,3,3,@,SFO,W 41-39,23,37,62.2,308,2,4,24,1,95.3,2017,2017_03_LAR_SFO
SFO,2017-09-17,23,Sun,2,2,@,SEA,L 9-12,23,39,59.0,181,1,3,17,0,79.1,2017,2017_02_SFO_SEA
MIN,2017-09-17,23,Sun,2,2,@,PIT,L 9-26,23,35,65.7,233,2,2,10,0,103.6,2017,2017_02_MIN_PIT
NYJ,2017-09-17,23,Sun,2,2,@,OAK,L 20-45,23,28,82.1,230,3,0,0,0,136.6,2017,2017_02_NYJ_OAK
PHI,2017-09-10,23,Sun,1,1,@,WAS,W 30-17,23,40,57.5,200,1,4,40,1,68.7,2017,2017_01_PHI_WAS
ATL,2023-01-08,22,Sun,17,18,,TAM,W 30-17,22,34,64.7,136,2,0,0,0,92.3,2022,2022_18_ATL_TAM
KAN,2023-01-07,22,Sat,17,18,@,LVR,W 31-13,22,36,61.1,180,1,6,39,1,71.5,2022,2022_18_KAN_LVR
HOU,2023-01-01,22,Sun,16,17,,JAX,L 3-31,22,29,75.9,168,0,2,13,2,60.7,2022,2022_17_HOU_JAX
GNB,2023-01-01,22,Sun,16,17,,MIN,W 41-17,22,35,62.9,244,2,2,18,3,66.8,2022,2022_17_GNB_MIN
LVR,2023-01-01,22,Sun,16,17,,SFO,L 34-37 (OT),22,35,62.9,284,2,0,0,1,95.4,2022,2022_17_LVR_SFO
BAL,2022-12-24,22,Sat,15,16,,ATL,W 17-9,22,33,66.7,212,0,2,6,0,84.4,2022,2022_16_BAL_ATL
LAR,2022-12-19,22,Mon,14,15,@,GNB,L 12-24,22,30,73.3,207,1,3,22,1,89.2,2022,2022_15_LAR_GNB
CHI,2022-12-18,22,Sun,14,15,,PHI,L 20-25,22,37,59.5,309,0,1,6,2,63.9,2022,2022_15_CHI_PHI
BAL,2022-12-11,22,Sun,13,14,@,PIT,W 16-14,22,31,71.0,264,1,2,12,3,67.9,2022,2022_14_BAL_PIT
LVR,2022-12-08,22,Thu,13,14,@,LAR,L 16-17,22,35,62.9,211,1,4,19,0,89.1,2022,2022_14_LVR_LAR
BUF,2022-12-01,22,Thu,12,13,@,NWE,W 24-10,22,36,61.1,182,1,1,13,0,83.3,2022,2022_13_BUF_NWE
NWE,2022-12-01,22,Thu,12,13,,BUF,L 10-24,22,33,66.7,223,2,2,0,0,106.0,2022,2022_13_NWE_BUF
PIT,2022-11-28,22,Mon,11,12,@,IND,W 24-17,22,34,64.7,180,1,3,19,1,75.6,2022,2022_12_PIT_IND
CHI,2022-11-27,22,Sun,12,12,@,NYJ,L 10-31,22,29,75.9,308,3,1,7,0,144.0,2022,2022_12_CHI_NYJ
CIN,2022-11-27,22,Sun,11,12,@,TEN,W 20-16,22,34,64.7,281,0,1,10,0,90.4,2022,2022_12_CIN_TEN
TEN,2022-11-27,22,Sun,11,12,,CIN,L 16-20,22,37,59.5,266,1,1,4,0,90.6,2022,2022_12_TEN_CIN
LAR,2022-11-20,22,Sun,10,11,@,NOR,L 20-27,22,28,78.6,235,3,4,39,0,137.4,2022,2022_11_LAR_NOR
MIA,2022-11-13,22,Sun,10,10,,CLE,W 39-17,22,35,62.9,185,1,3,27,0,86.0,2022,2022_10_MIA_CLE
NYG,2022-11-13,22,Sun,9,10,,HOU,W 24-16,22,37,59.5,286,1,4,33,1,81.6,2022,2022_10_NYG_HOU
SEA,2022-11-13,22,Sun,10,10,@,TAM,L 16-21,22,30,73.3,258,2,0,0,2,93.5,2022,2022_10_SEA_TAM
LAR,2022-10-30,22,Sun,7,8,,SFO,L 14-31,22,26,84.6,257,3,3,12,0,146.3,2022,2022_08_LAR_SFO
SFO,2022-10-30,22,Sun,8,8,@,LAR,W 31-14,22,33,66.7,167,1,2,20,0,88.8,2022,2022_08_SFO_LAR
BAL,2022-10-23,22,Sun,7,7,,CLE,W 23-20,22,27,81.5,223,0,5,35,0,101.1,2022,2022_07_BAL_CLE
NYG,2022-10-23,22,Sun,7,7,@,JAX,W 23-17,22,44,50.0,310,0,0,0,0,73.1,2022,2022_07_NYG_JAX
CLE,2022-10-09,22,Sun,5,5,,LAC,L 28-30,22,34,64.7,227,1,1,1,0,93.6,2022,2022_05_CLE_LAC
PIT,2022-10-09,22,Sun,5,5,@,BUF,L 3-38,22,36,61.1,432,4,0,0,1,128.5,2022,2022_05_PIT_BUF
ARI,2022-10-02,22,Sun,4,4,@,CAR,W 26-16,22,36,61.1,180,1,2,17,2,60.0,2022,2022_04_ARI_CAR
CIN,2022-09-29,22,Thu,4,4,,MIA,W 27-15,22,37,59.5,293,1,1,10,2,71.1,2022,2022_04_CIN_MIA
BAL,2022-09-25,22,Sun,3,3,@,NWE,W 37-26,22,32,68.8,302,0,3,19,3,59.6,2022,2022_03_BAL_NWE
WAS,2022-09-25,22,Sun,3,3,,PHI,L 8-24,22,35,62.9,328,3,3,12,0,122.1,2022,2022_03_WAS_PHI
NYJ,2022-09-18,22,Sun,2,2,@,CLE,W 31-30,22,27,81.5,221,1,1,8,1,97.7,2022,2022_02_NYJ_CLE
CAR,2022-09-18,22,Sun,2,2,@,NYG,L 16-19,22,34,64.7,162,1,3,14,0,85.7,2022,2022_02_CAR_NYG
LAC,2022-09-11,22,Sun,1,1,,LVR,W 24-19,22,37,59.5,256,2,6,39,3,64.7,2022,2022_01_LAC_LVR
GNB,2022-01-09,22,Sun,17,18,@,DET,L 30-37,22,32,68.8,305,3,1,8,0,130.3,2021,2021_18_GNB_DET
PHI,2022-01-08,22,Sat,17,18,,DAL,L 26-51,22,28,78.6,304,5,1,1,0,151.5,2021,2021_18_PHI_DAL
SEA,2022-01-02,22,Sun,16,17,,DET,W 51-29,22,37,59.5,262,2,0,0,3,65.4,2021,2021_17_SEA_DET
DEN,2022-01-02,22,Sun,16,17,@,LAC,L 13-34,22,31,71.0,237,2,0,0,0,114.6,2021,2021_17_DEN_LAC
TAM,2021-12-26,22,Sun,15,16,@,CAR,W 32-6,22,45,48.9,206,0,7,45,1,52.6,2021,2021_16_TAM_CAR
SFO,2021-12-23,22,Thu,15,16,@,TEN,L 17-20,22,30,73.3,188,1,4,21,0,100.4,2021,2021_16_SFO_TEN
HOU,2021-12-19,22,Sun,14,15,@,JAX,W 30-16,22,38,57.9,189,0,3,21,0,71.1,2021,2021_15_HOU_JAX
KAN,2021-12-16,22,Thu,14,15,@,LAC,W 34-28 (OT),22,39,56.4,236,2,0,0,1,80.7,2021,2021_15_KAN_LAC
BAL,2021-12-12,22,Sun,13,14,@,CLE,L 22-24,22,32,68.8,190,2,0,0,1,91.9,2021,2021_14_BAL_CLE
WAS,2021-12-12,22,Sun,13,14,,DAL,L 20-27,22,39,56.4,201,1,4,10,2,57.7,2021,2021_14_WAS_DAL
KAN,2021-12-05,22,Sun,12,13,,DEN,W 22-9,22,40,55.0,250,1,1,7,2,61.5,2021,2021_13_KAN_DEN
PHI,2021-11-21,22,Sun,11,11,,NOR,W 40-29,22,40,55.0,214,3,0,0,2,74.4,2021,2021_11_PHI_NOR
ATL,2021-11-18,22,Thu,10,11,,NWE,L 0-25,22,26,84.6,174,1,3,33,1,91.3,2021,2021_11_ATL_NWE
JAX,2021-11-14,22,Sun,9,10,@,IND,L 17-23,22,34,64.7,168,0,1,12,0,76.6,2021,2021_10_JAX_IND
PHI,2021-11-14,22,Sun,10,10,@,DEN,W 30-13,22,36,61.1,212,0,1,14,0,77.5,2021,2021_10_PHI_DEN
CLE,2021-11-14,22,Sun,10,10,@,NWE,L 7-45,22,26,84.6,268,4,2,15,0,149.2,2021,2021_10_CLE_NWE
NYJ,2021-11-04,22,Thu,8,9,@,IND,L 30-45,22,30,73.3,272,3,1,0,0,134.3,2021,2021_09_NYJ_IND
NYJ,2021-10-31,22,Sun,7,8,,CIN,W 34-31,22,35,62.9,277,3,3,28,1,104.1,2021,2021_08_NYJ_CIN
HOU,2021-10-31,22,Sun,8,8,,LAR,L 22-38,22,34,64.7,302,3,1,8,0,122.4,2021,2021_08_HOU_LAR
TAM,2021-10-31,22,Sun,8,8,@,NOR,L 27-36,22,39,56.4,209,2,1,6,0,88.5,2021,2021_08_TAM_NOR
CLE,2021-10-31,22,Sun,8,8,,PIT,L 10-15,22,35,62.9,255,1,2,11,0,94.3,2021,2021_08_CLE_PIT
ARI,2021-10-28,22,Thu,8,8,,GNB,L 21-24,22,37,59.5,184,2,1,0,0,90.4,2021,2021_08_ARI_GNB
GNB,2021-10-28,22,Thu,8,8,@,ARI,W 24-21,22,33,66.7,260,0,2,14,2,65.2,2021,2021_08_GNB_ARI
CHI,2021-10-24,22,Sun,7,7,@,TAM,L 3-38,22,39,56.4,226,4,0,0,0,107.4,2021,2021_07_CHI_TAM
KAN,2021-10-24,22,Sun,7,7,@,TEN,L 3-27,22,28,78.6,266,2,1,9,1,115.2,2021,2021_07_KAN_TEN
TAM,2021-10-24,22,Sun,7,7,,CHI,W 38-3,22,32,68.8,168,0,4,16,3,42.2,2021,2021_07_TAM_CHI
BAL,2021-10-17,22,Sun,6,6,,LAC,W 34-6,22,39,56.4,182,1,2,13,1,66.4,2021,2021_06_BAL_LAC
NYG,2021-10-17,22,Sun,6,6,,LAR,L 11-38,22,30,73.3,234,4,2,17,2,107.5,2021,2021_06_NYG_LAR
CHI,2021-10-10,22,Sun,5,5,@,LVR,W 20-9,22,35,62.9,188,0,3,18,1,64.9,2021,2021_05_CHI_LVR
CAR,2021-10-10,22,Sun,5,5,,PHI,L 18-21,22,37,59.5,182,0,2,16,1,60.9,2021,2021_05_CAR_PHI
SFO,2021-10-10,22,Sun,5,5,@,ARI,L 10-17,22,31,71.0,210,1,2,29,0,100.2,2021,2021_05_SFO_ARI
DEN,2021-10-03,22,Sun,4,4,,BAL,L 7-23,22,37,59.5,304,1,3,12,0,94.9,2021,2021_04_DEN_BAL
NWE,2021-10-03,22,Sun,4,4,,TAM,L 17-19,22,43,51.2,261,0,1,8,0,70.0,2021,2021_04_NWE_TAM
BAL,2021-09-26,22,Sun,3,3,@,DET,W 19-17,22,31,71.0,192,0,2,25,0,87.0,2021,2021_03_BAL_DET
ARI,2021-09-26,22,Sun,3,3,@,JAX,W 31-19,22,34,64.7,202,1,3,17,2,66.1,2021,2021_03_ARI_JAX
DET,2021-09-20,22,Mon,2,2,@,GNB,L 17-35,22,27,81.5,227,4,3,28,0,141.3,2021,2021_02_DET_GNB
ARI,2021-09-19,22,Sun,2,2,,MIN,W 34-33,22,32,68.8,242,3,1,2,0,122.1,2021,2021_02_ARI_MIN
LAR,2021-09-19,22,Sun,2,2,@,IND,W 27-24,22,36,61.1,245,1,3,27,2,67.5,2021,2021_02_LAR_IND
PHI,2021-09-19,22,Sun,2,2,,SFO,L 11-17,22,30,73.3,189,1,0,0,0,100.6,2021,2021_02_PHI_SFO
NYJ,2021-09-19,22,Sun,2,2,,NWE,L 6-25,22,30,73.3,159,0,3,27,0,85.3,2021,2021_02_NYJ_NWE
TEN,2021-09-19,22,Sun,2,2,@,SEA,W 33-30 (OT),22,31,71.0,320,2,3,23,0,125.7,2021,2021_02_TEN_SEA
WAS,2021-09-16,22,Thu,2,2,,NYG,W 30-29,22,32,68.8,228,1,4,21,0,99.5,2021,2021_02_WAS_NYG
ARI,2021-09-12,22,Sun,1,1,@,TEN,W 38-13,22,36,61.1,162,1,6,56,1,69.4,2021,2021_01_ARI_TEN
DEN,2021-09-12,22,Sun,1,1,@,NYG,W 27-13,22,37,59.5,254,1,2,13,0,89.2,2021,2021_01_DEN_NYG
ARI,2021-01-03,22,Sun,16,17,@,LAR,L 7-18,22,38,57.9,223,0,2,8,1,63.8,2020,2020_17_ARI_LAR
CAR,2021-01-03,22,Sun,16,17,,NOR,L 7-33,22,32,68.8,191,3,2,10,0,115.5,2020,2020_17_CAR_NOR
NYJ,2021-01-03,22,Sun,16,17,@,NWE,L 14-28,22,31,71.0,238,4,3,23,0,132.8,2020,2020_17_NYJ_NWE
PHI,2021-01-03,22,Sun,16,17,,WAS,L 14-20,22,32,68.8,145,2,3,17,2,73.0,2020,2020_17_PHI_WAS
KAN,2021-01-03,22,Sun,16,17,,LAC,L 21-38,22,31,71.0,281,3,3,21,0,131.2,2020,2020_17_KAN_LAC
PHI,2020-12-27,22,Sun,15,16,@,DAL,L 17-37,22,30,73.3,362,3,2,15,1,132.9,2020,2020_16_PHI_DAL
NYJ,2020-12-20,22,Sun,14,15,@,LAR,W 23-20,22,34,64.7,189,2,3,20,1,86.5,2020,2020_15_NYJ_LAR
BAL,2020-12-20,22,Sun,14,15,,JAX,W 40-14,22,29,75.9,205,2,5,21,0,117.7,2020,2020_15_BAL_JAX
HOU,2020-12-20,22,Sun,14,15,@,IND,L 20-27,22,29,75.9,223,2,1,5,0,120.3,2020,2020_15_HOU_IND
LAR,2020-12-20,22,Sun,14,15,,NYJ,L 20-23,22,31,71.0,196,1,2,11,0,98.3,2020,2020_15_LAR_NYJ
LVR,2020-12-17,22,Thu,14,15,,LAC,L 27-30 (OT),22,32,68.8,306,2,1,8,0,120.1,2020,2020_15_LVR_LAC
LAC,2020-12-13,22,Sun,13,14,,ATL,W 20-17,22,33,66.7,249,2,2,14,3,71.4,2020,2020_14_LAC_ATL
PHI,2020-11-30,22,Mon,11,12,,SEA,L 17-23,22,31,71.0,225,1,2,5,0,102.2,2020,2020_12_PHI_SEA
LVR,2020-11-29,22,Sun,11,12,@,ATL,L 6-43,22,39,56.4,179,2,1,6,1,74.6,2020,2020_12_LVR_ATL
CIN,2020-11-29,22,Sun,11,12,,NYG,L 17-19,22,38,57.9,244,0,0,0,0,77.1,2020,2020_12_CIN_NYG
MIN,2020-11-22,22,Sun,10,11,,DAL,L 28-31,22,32,68.8,196,3,1,7,1,103.1,2020,2020_11_MIN_DAL
DAL,2020-11-22,22,Sun,10,11,@,MIN,W 31-28,22,30,73.3,305,3,2,9,0,138.9,2020,2020_11_DAL_MIN
LAR,2020-11-15,22,Sun,9,10,,SEA,W 23-16,22,37,59.5,220,0,6,28,2,53.9,2020,2020_10_LAR_SEA
BUF,2020-11-15,22,Sun,10,10,@,ARI,L 30-32,22,32,68.8,236,1,3,9,1,87.5,2020,2020_10_BUF_ARI
NOR,2020-11-08,22,Sun,8,9,@,TAM,W 38-3,22,38,57.9,186,0,3,23,3,37.8,2020,2020_09_NOR_TAM
GNB,2020-11-05,22,Thu,8,9,@,SFO,W 34-17,22,35,62.9,282,1,1,9,1,85.7,2020,2020_09_GNB_SFO
IND,2020-10-11,22,Sun,5,5,@,CLE,L 23-32,22,38,57.9,261,2,1,4,2,74.6,2020,2020_05_IND_CLE
LVR,2020-10-11,22,Sun,5,5,@,KAN,W 40-32,22,43,51.2,333,2,3,7,1,82.8,2020,2020_05_LVR_KAN
KAN,2020-10-11,22,Sun,5,5,,LVR,L 32-40,22,31,71.0,346,3,1,1,1,126.5,2020,2020_05_KAN_LVR
SFO,2020-10-11,22,Sun,5,5,,MIA,L 17-43,22,28,78.6,342,3,2,8,0,153.3,2020,2020_05_SFO_MIA
LAC,2020-09-27,22,Sun,3,3,,CAR,L 16-21,22,28,78.6,221,1,2,14,0,111.5,2020,2020_03_LAC_CAR
ARI,2020-09-27,22,Sun,3,3,,DET,L 23-26,22,31,71.0,232,2,4,38,0,113.9,2020,2020_03_ARI_DET
KAN,2020-09-20,22,Sun,2,2,@,LAC,W 23-20 (OT),22,33,66.7,296,1,2,15,1,92.5,2020,2020_02_KAN_LAC
NYJ,2020-09-20,22,Sun,2,2,,SFO,L 13-31,22,27,81.5,177,2,3,25,1,103.2,2020,2020_02_NYJ_SFO
TEN,2020-09-14,22,Mon,1,1,@,DEN,W 16-14,22,33,66.7,216,1,0,0,0,95.0,2020,2020_01_TEN_DEN
LVR,2020-09-13,22,Sun,1,1,@,CAR,W 34-30,22,34,64.7,259,1,1,10,0,97.5,2020,2020_01_LVR_CAR
CAR,2020-09-13,22,Sun,1,1,,LVR,L 30-34,22,30,73.3,239,1,0,0,0,107.5,2020,2020_01_CAR_LVR
JAX,2019-12-15,22,Sun,14,15,@,OAK,W 20-16,22,36,61.1,236,1,4,31,0,89.6,2019,2019_15_JAX_OAK
ATL,2019-12-15,22,Sun,14,15,@,SFO,W 29-22,22,34,64.7,193,1,1,7,0,89.5,2019,2019_15_ATL_SFO
HOU,2019-12-15,22,Sun,14,15,@,TEN,W 24-21,22,37,59.5,269,2,2,10,1,88.7,2019,2019_15_HOU_TEN
HOU,2019-12-08,22,Sun,13,14,,DEN,L 24-38,22,27,81.5,301,3,1,8,1,134.7,2019,2019_14_HOU_DEN
SEA,2019-12-08,22,Sun,13,14,@,LAR,L 12-28,22,32,68.8,293,2,0,0,2,92.3,2019,2019_14_SEA_LAR
LAR,2019-12-08,22,Sun,13,14,,SEA,W 28-12,22,36,61.1,202,0,5,43,1,64.8,2019,2019_14_LAR_SEA
SEA,2019-12-02,22,Mon,12,13,,MIN,W 37-30,22,38,57.9,276,2,0,0,1,87.2,2019,2019_13_SEA_MIN
NYJ,2019-12-01,22,Sun,12,13,@,CIN,L 6-22,22,37,59.5,233,1,1,10,0,86.9,2019,2019_13_NYJ_CIN
CHI,2019-11-28,22,Thu,12,13,@,DET,W 24-20,22,38,57.9,259,2,2,21,1,85.3,2019,2019_13_CHI_DET
CAR,2019-11-17,22,Sun,10,11,,ATL,L 3-29,22,32,68.8,295,1,3,19,0,108.2,2019,2019_11_CAR_ATL
CLE,2019-11-10,22,Sun,9,10,,BUF,W 19-16,22,41,53.7,260,0,1,6,0,73.2,2019,2019_10_CLE_BUF
PIT,2019-11-10,22,Sun,9,10,,LAR,W 17-12,22,42,52.4,218,0,4,25,3,37.6,2019,2019_10_PIT_LAR
LAR,2019-11-10,22,Sun,9,10,@,PIT,L 12-17,22,38,57.9,231,1,3,11,0,84.4,2019,2019_10_LAR_PIT
NYG,2019-11-04,22,Mon,9,9,,DAL,L 18-37,22,35,62.9,257,3,0,0,1,101.7,2019,2019_09_NYG_DAL
JAX,2019-11-03,22,Sun,9,9,,HOU,L 3-26,22,28,78.6,194,2,1,7,0,119.3,2019,2019_09_JAX_HOU
NYJ,2019-10-27,22,Sun,7,8,@,JAX,L 15-29,22,34,64.7,278,3,2,1,0,119.5,2019,2019_08_NYJ_JAX
JAX,2019-10-20,22,Sun,7,7,@,CIN,W 27-17,22,43,51.2,258,1,2,18,3,48.4,2019,2019_07_JAX_CIN
LAR,2019-10-20,22,Sun,7,7,@,ATL,W 37-10,22,33,66.7,186,1,5,38,1,78.6,2019,2019_07_LAR_ATL
ARI,2019-10-20,22,Sun,7,7,@,NYG,W 27-21,22,35,62.9,156,1,8,67,1,70.7,2019,2019_07_ARI_NYG
PHI,2019-10-13,22,Sun,6,6,@,MIN,L 20-38,22,29,75.9,325,4,1,8,1,137.2,2019,2019_06_PHI_MIN
SEA,2019-10-13,22,Sun,6,6,@,CLE,W 32-28,22,37,59.5,249,1,0,0,3,54.9,2019,2019_06_SEA_CLE
DAL,2019-10-06,22,Sun,5,5,,GNB,L 24-34,22,34,64.7,215,0,2,23,0,82.4,2019,2019_05_DAL_GNB
OAK,2019-10-06,22,Sun,5,5,,CHI,W 24-21,22,30,73.3,194,2,4,37,2,84.6,2019,2019_05_OAK_CHI
IND,2019-10-06,22,Sun,5,5,@,KAN,W 19-13,22,39,56.4,288,1,4,33,0,88.4,2019,2019_05_IND_KAN
NYG,2019-10-06,22,Sun,5,5,,MIN,L 10-28,22,27,81.5,279,2,3,27,0,134.4,2019,2019_05_NYG_MIN
JAX,2019-09-29,22,Sun,4,4,@,DEN,W 26-24,22,38,57.9,303,3,0,0,1,98.9,2019,2019_04_JAX_DEN
NWE,2019-09-29,22,Sun,4,4,@,BUF,W 16-10,22,44,50.0,240,0,5,40,4,28.6,2019,2019_04_NWE_BUF
SEA,2019-09-29,22,Sun,4,4,@,ARI,W 27-10,22,32,68.8,206,0,4,35,1,73.2,2019,2019_04_SEA_ARI
ARI,2019-09-29,22,Sun,4,4,,SEA,L 10-27,22,28,78.6,225,1,4,15,0,112.1,2019,2019_04_ARI_SEA
NOR,2019-09-29,22,Sun,4,4,,DAL,W 12-10,22,33,66.7,212,0,1,11,1,71.8,2019,2019_04_NOR_DAL
KAN,2019-09-22,22,Sun,3,3,,BAL,W 33-28,22,43,51.2,249,0,3,18,0,68.8,2019,2019_03_KAN_BAL
LAC,2019-09-15,22,Sun,2,2,@,DET,L 10-13,22,30,73.3,245,2,0,0,2,91.7,2019,2019_02_LAC_DET
MIN,2019-09-15,22,Sun,2,2,@,GNB,L 16-21,22,34,64.7,191,2,2,18,0,99.0,2019,2019_02_MIN_GNB
DEN,2019-09-09,22,Mon,1,1,@,OAK,L 16-24,22,26,84.6,259,1,0,0,0,121.0,2019,2019_01_DEN_OAK
ATL,2018-12-30,22,Sun,16,17,@,TAM,W 34-32,22,35,62.9,341,4,1,4,1,121.3,2018,2018_17_ATL_TAM
CHI,2018-12-23,22,Sun,15,16,@,SFO,W 14-9,22,38,57.9,232,0,1,9,1,64.8,2018,2018_16_CHI_SFO
BUF,2018-12-16,22,Sun,14,15,,DET,W 14-13,22,29,75.9,208,1,0,0,0,106.7,2018,2018_15_BUF_DET
NWE,2018-12-16,22,Sun,14,15,@,PIT,L 10-17,22,34,64.7,218,2,2,17,2,77.8,2018,2018_15_NWE_PIT
ARI,2018-12-16,22,Sun,14,15,@,ATL,L 14-40,22,36,61.1,220,2,2,11,0,97.0,2018,2018_15_ARI_ATL
NYJ,2018-12-15,22,Sat,14,15,,HOU,L 22-29,22,28,78.6,239,2,6,55,0,126.0,2018,2018_15_NYJ_HOU
