Team,Date,Cmp,Day,G#,Week,,Opp,Result,Cmp,Att,Cmp%,Yds,TD,Sk,Yds,Int,Rate,Season,game_id
CLE,2020-10-25,36,Sun,7,7,@,CIN,W 37-34,36,48,75.0,387,3,4,35,1,110.3,2020,2020_07_CLE_CIN
JAX,2020-09-13,36,Sun,1,1,,IND,W 27-20,36,46,78.3,357,1,1,6,2,88.1,2020,2020_01_JAX_IND
TEN,2019-11-10,36,Sun,10,10,,KAN,W 35-32,36,51,70.6,433,3,2,13,0,115.9,2019,2019_10_TEN_KAN
LAR,2018-09-27,36,Thu,4,4,,MIN,W 38-31,36,50,72.0,392,3,4,30,0,114.7,2018,2018_04_LAR_MIN
TAM,2017-12-10,36,Sun,13,14,,DET,L 21-24,36,44,81.8,381,1,0,0,2,91.4,2017,2017_14_TAM_DET
ARI,2022-11-27,35,Sun,12,12,,LAC,L 24-25,35,47,74.5,246,3,4,28,0,107.2,2022,2022_12_ARI_LAC
ATL,2022-10-09,35,Sun,5,5,@,TAM,L 15-21,35,52,67.3,351,1,0,0,0,92.7,2022,2022_05_ATL_TAM
SEA,2021-11-21,35,Sun,10,11,,ARI,L 13-23,35,44,79.5,318,2,2,10,0,111.9,2021,2021_11_SEA_ARI
HOU,2021-11-21,35,Sun,10,11,@,TEN,W 22-13,35,52,67.3,317,1,2,6,4,57.9,2021,2021_11_HOU_TEN
TEN,2021-10-18,35,Mon,6,6,,BUF,W 34-31,35,47,74.5,335,3,3,18,1,106.3,2021,2021_06_TEN_BUF
LVR,2021-10-17,35,Sun,6,6,@,DEN,W 34-24,35,49,71.4,309,3,5,25,3,82.8,2021,2021_06_LVR_DEN
TAM,2021-09-19,35,Sun,2,2,,ATL,W 48-25,35,48,72.9,293,2,1,7,3,76.1,2021,2021_02_TAM_ATL
LVR,2020-11-22,35,Sun,10,11,,KAN,L 31-35,35,46,76.1,352,2,0,0,1,102.8,2020,2020_11_LVR_KAN
NYJ,2020-11-01,35,Sun,8,8,@,KAN,L 9-35,35,47,74.5,446,5,0,0,0,139.1,2020,2020_08_NYJ_KAN
MIA,2020-11-01,35,Sun,7,8,,LAR,W 28-17,35,61,57.4,340,1,2,15,2,64.9,2020,2020_08_MIA_LAR
CAR,2020-09-27,35,Sun,3,3,@,LAC,W 21-16,35,49,71.4,319,1,2,11,1,87.0,2020,2020_03_CAR_LAC
IND,2019-12-08,35,Sun,13,14,@,TAM,L 35-38,35,49,71.4,467,4,1,7,3,103.0,2019,2019_14_IND_TAM
NOR,2019-11-28,35,Thu,12,13,@,ATL,W 26-18,35,50,70.0,259,2,9,53,2,78.7,2019,2019_13_NOR_ATL
TEN,2019-09-29,35,Sun,4,4,@,ATL,W 24-10,35,53,66.0,364,0,5,33,0,85.7,2019,2019_04_TEN_ATL
CHI,2019-09-15,35,Sun,2,2,@,DEN,W 16-14,35,50,70.0,282,1,2,10,1,82.2,2019,2019_02_CHI_DEN
SEA,2019-09-08,35,Sun,1,1,,CIN,W 21-20,35,51,68.6,395,2,5,23,0,104.6,2019,2019_01_SEA_CIN
HOU,2018-12-23,35,Sun,15,16,@,PHI,L 30-32,35,50,70.0,462,4,1,9,1,117.2,2018,2018_16_HOU_PHI
PHI,2018-12-16,35,Sun,14,15,@,LAR,W 30-23,35,54,64.8,325,0,2,14,1,73.5,2018,2018_15_PHI_LAR
BAL,2018-12-09,35,Sun,13,14,@,KAN,L 24-27 (OT),35,53,66.0,348,2,3,29,1,89.2,2018,2018_14_BAL_KAN
NOR,2018-11-22,35,Thu,11,12,,ATL,W 31-17,35,47,74.5,340,2,6,37,1,99.6,2018,2018_12_NOR_ATL
NYJ,2018-10-07,35,Sun,5,5,,DEN,W 34-16,35,51,68.6,344,2,4,33,1,92.3,2018,2018_05_NYJ_DEN
CLE,2018-09-30,35,Sun,4,4,@,OAK,L 42-45 (OT),35,58,60.3,426,4,3,11,2,91.6,2018,2018_04_CLE_OAK
TAM,2018-09-16,35,Sun,2,2,,PHI,W 27-21,35,48,72.9,321,1,3,13,0,97.7,2018,2018_02_TAM_PHI
GNB,2018-09-16,35,Sun,2,2,,MIN,T 29-29 (OT),35,48,72.9,412,4,2,13,1,117.7,2018,2018_02_GNB_MIN
CLE,2017-12-10,35,Sun,13,14,,GNB,L 21-27 (OT),35,46,76.1,256,3,1,9,0,110.4,2017,2017_14_CLE_GNB
TEN,2017-11-05,35,Sun,8,9,,BAL,W 23-20,35,53,66.0,268,2,2,9,2,75.0,2017,2017_09_TEN_BAL
PHI,2017-09-24,35,Sun,3,3,,NYG,W 27-24,35,47,74.5,366,3,0,0,2,100.1,2017,2017_03_PHI_NYG
CAR,2023-01-01,34,Sun,16,17,@,TAM,L 24-30,34,45,75.6,411,3,3,21,0,125.3,2022,2022_17_CAR_TAM
NYG,2022-12-24,34,Sat,15,16,@,MIN,L 24-27,34,48,70.8,270,3,4,29,0,105.4,2022,2022_16_NYG_MIN
IND,2022-12-17,34,Sat,14,15,@,MIN,L 36-39 (OT),34,55,61.8,426,4,7,34,2,95.0,2022,2022_15_IND_MIN
SFO,2022-12-11,34,Sun,13,14,,TAM,W 35-7,34,55,61.8,253,1,0,0,2,63.7,2022,2022_14_SFO_TAM
ATL,2022-10-23,34,Sun,7,7,@,CIN,L 17-35,34,42,81.0,459,3,3,22,0,136.0,2022,2022_07_ATL_CIN
BUF,2022-10-09,34,Sun,5,5,,PIT,W 38-3,34,52,65.4,310,0,3,17,1,73.4,2022,2022_05_BUF_PIT
LVR,2022-01-09,34,Sun,17,18,,LAC,W 35-32 (OT),34,64,53.1,355,3,3,28,1,78.6,2021,2021_18_LVR_LAC
