Team,Date,Att,Day,G#,Week,,Opp,Result,Att,Yds,Y/A,TD,Season,game_id
TEN,2019-12-29,39,Sun,16,17,@,HOU,W 35-14,39,245,6.3,3,2019,2019_17_TEN_HOU
MIN,2019-12-08,39,Sun,13,14,,DET,W 20-7,39,120,3.1,1,2019,2019_14_MIN_DET
IND,2019-11-21,39,Thu,11,12,@,HOU,L 17-20,39,175,4.5,2,2019,2019_12_IND_HOU
BUF,2019-11-03,39,Sun,8,9,,WAS,W 24-9,39,122,3.1,2,2019,2019_09_BUF_WAS
SFO,2019-10-20,39,Sun,6,7,@,WAS,W 9-0,39,137,3.5,0,2019,2019_07_SFO_WAS
OAK,2019-10-06,39,Sun,5,5,,CHI,W 24-21,39,169,4.3,3,2019,2019_05_OAK_CHI
IND,2018-12-16,39,Sun,14,15,,DAL,W 23-0,39,178,4.6,2,2018,2018_15_IND_DAL
HOU,2018-12-02,39,Sun,12,13,,CLE,W 29-13,39,187,4.8,0,2018,2018_13_HOU_CLE
NWE,2018-12-02,39,Sun,12,13,,MIN,W 24-10,39,160,4.1,2,2018,2018_13_NWE_MIN
JAX,2018-11-25,39,Sun,11,12,@,BUF,L 21-24,39,226,5.8,2,2018,2018_12_JAX_BUF
CHI,2018-11-18,39,Sun,10,11,,MIN,W 25-20,39,148,3.8,0,2018,2018_11_CHI_MIN
NOR,2018-10-21,39,Sun,6,7,@,BAL,W 24-23,39,134,3.4,1,2018,2018_07_NOR_BAL
LAR,2018-10-14,39,Sun,6,6,@,DEN,W 23-20,39,270,6.9,2,2018,2018_06_LAR_DEN
SEA,2018-09-23,39,Sun,3,3,,DAL,W 24-13,39,113,2.9,1,2018,2018_03_SEA_DAL
TEN,2017-12-31,39,Sun,16,17,,JAX,W 15-10,39,116,3.0,0,2017,2017_17_TEN_JAX
JAX,2017-12-10,39,Sun,13,14,,SEA,W 30-24,39,156,4.0,1,2017,2017_14_JAX_SEA
LAR,2017-11-05,39,Sun,8,9,@,NYG,W 51-17,39,162,4.2,2,2017,2017_09_LAR_NYG
DAL,2017-10-29,39,Sun,7,8,@,WAS,W 33-19,39,169,4.3,2,2017,2017_08_DAL_WAS
BAL,2017-10-08,39,Sun,5,5,@,OAK,W 30-17,39,143,3.7,2,2017,2017_05_BAL_OAK
JAX,2017-10-01,39,Sun,4,4,@,NYJ,L 20-23 (OT),39,175,4.5,0,2017,2017_04_JAX_NYJ
PHI,2017-09-24,39,Sun,3,3,,NYG,W 27-24,39,193,4.9,2,2017,2017_03_PHI_NYG
WAS,2017-09-17,39,Sun,2,2,@,LAR,W 27-20,39,229,5.9,2,2017,2017_02_WAS_LAR
DEN,2017-09-17,39,Sun,2,2,,DAL,W 42-17,39,178,4.6,1,2017,2017_02_DEN_DAL
JAX,2017-09-10,39,Sun,1,1,@,HOU,W 29-7,39,155,4.0,1,2017,2017_01_JAX_HOU
MIN,2023-01-08,38,Sun,17,18,@,CHI,W 29-13,38,141,3.7,2,2022,2022_18_MIN_CHI
SEA,2023-01-01,38,Sun,16,17,,NYJ,W 23-6,38,198,5.2,0,2022,2022_17_SEA_NYJ
LVR,2022-12-08,38,Thu,13,14,@,LAR,L 16-17,38,165,4.3,1,2022,2022_14_LVR_LAR
CLE,2022-12-04,38,Sun,12,13,@,HOU,W 27-14,38,174,4.6,0,2022,2022_13_CLE_HOU
WAS,2022-10-23,38,Sun,7,7,,GNB,W 23-21,38,166,4.4,0,2022,2022_07_WAS_GNB
LVR,2022-10-02,38,Sun,4,4,,DEN,W 32-23,38,212,5.6,2,2022,2022_04_LVR_DEN
CLE,2022-09-22,38,Thu,3,3,,PIT,W 29-17,38,171,4.5,1,2022,2022_03_CLE_PIT
GNB,2022-09-18,38,Sun,2,2,,CHI,W 27-10,38,203,5.3,1,2022,2022_02_GNB_CHI
ATL,2022-09-11,38,Sun,1,1,,NOR,L 26-27,38,201,5.3,2,2022,2022_01_ATL_NOR
IND,2022-09-11,38,Sun,1,1,@,HOU,T 20-20 (OT),38,177,4.7,1,2022,2022_01_IND_HOU
CIN,2021-11-28,38,Sun,11,12,,PIT,W 41-10,38,198,5.2,3,2021,2021_12_CIN_PIT
