Team,Date,1stD,Day,G#,Week,,Opp,Result,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,Season,game_id
CHI,2021-12-26,26,Sun,15,16,@,SEA,W 25-24,26,9,14,3,14,7,50.0,3,1,33.3,2021,2021_16_CHI_SEA
HOU,2021-12-26,26,Sun,15,16,,LAC,W 41-29,26,9,14,3,13,9,69.2,0,0,,2021,2021_16_HOU_LAC
GNB,2021-12-19,26,Sun,14,15,@,BAL,W 31-30,26,4,20,2,9,5,55.6,0,0,,2021,2021_15_GNB_BAL
KAN,2021-12-16,26,Thu,14,15,@,LAC,W 34-28 (OT),26,4,20,2,12,7,58.3,1,0,0.0,2021,2021_15_KAN_LAC
LAC,2021-12-12,26,Sun,13,14,,NYG,W 37-21,26,10,15,1,13,7,53.8,0,0,,2021,2021_14_LAC_NYG
TAM,2021-12-12,26,Sun,13,14,,BUF,W 33-27 (OT),26,10,13,3,16,8,50.0,1,0,0.0,2021,2021_14_TAM_BUF
IND,2021-12-05,26,Sun,13,13,@,HOU,W 31-0,26,18,8,0,13,7,53.8,1,1,100.0,2021,2021_13_IND_HOU
MIN,2021-12-05,26,Sun,12,13,@,DET,L 27-29,26,7,19,0,13,6,46.2,1,0,0.0,2021,2021_13_MIN_DET
PHI,2021-12-05,26,Sun,13,13,@,NYJ,W 33-18,26,9,13,4,13,6,46.2,1,1,100.0,2021,2021_13_PHI_NYJ
CHI,2021-12-05,26,Sun,12,13,,ARI,L 22-33,26,8,14,4,15,6,40.0,4,4,100.0,2021,2021_13_CHI_ARI
TEN,2021-11-21,26,Sun,11,11,,HOU,L 13-22,26,7,19,0,15,6,40.0,4,2,50.0,2021,2021_11_TEN_HOU
BUF,2021-11-14,26,Sun,9,10,@,NYJ,W 45-17,26,10,15,1,7,4,57.1,0,0,,2021,2021_10_BUF_NYJ
NOR,2021-11-07,26,Sun,8,9,,ATL,L 25-27,26,6,17,3,10,3,30.0,1,0,0.0,2021,2021_09_NOR_ATL
LAR,2021-10-31,26,Sun,8,8,@,HOU,W 38-22,26,9,16,1,11,4,36.4,1,0,0.0,2021,2021_08_LAR_HOU
NOR,2021-10-31,26,Sun,7,8,,TAM,W 36-27,26,8,12,6,14,5,35.7,3,2,66.7,2021,2021_08_NOR_TAM
