,game_id,season,week,team,opponent,score,home,ewma_dynamic_window_rushing_offense_team,ewma_dynamic_window_passing_offense_team,ewma_dynamic_window_rushing_defense_team,ewma_dynamic_window_passing_defense_team,ewma_dynamic_window_rushing_offense_opp,ewma_dynamic_window_passing_offense_opp,ewma_dynamic_window_rushing_defense_opp,ewma_dynamic_window_passing_defense_opp,team_id,rest_differential,windy,div_game,spread_line,implied_points,total_line,game_type,location,total
54,2020_02_NE_SEA,2020,2,SEA,NE,35,1,-0.0584227666258811,0.5150046348571777,-0.3335744738578796,0.1069094091653823,0.323581337928772,-0.1621844619512558,-0.0561055578291416,-0.2718583941459656,2020_02_NE_SEA_H,0,0,0,4.0,20.5,45.0,REG,Home,65.0
55,2020_02_NE_SEA,2020,2,NE,SEA,30,0,0.323581337928772,-0.1621844619512558,-0.0561055578291416,-0.2718583941459656,-0.0584227666258811,0.5150046348571777,-0.3335744738578796,0.1069094091653823,2020_02_NE_SEA_A,0,0,0,-4.0,24.5,45.0,REG,Home,65.0
56,2020_02_NO_LV,2020,2,LV,NO,34,1,0.1400983929634094,0.3577542603015899,0.0546014867722988,0.1771373003721237,-0.3993255496025085,-0.0199702382087707,0.003442698623985,-0.2610964179039001,2020_02_NO_LV_H,0,0,0,-4.0,25.75,47.5,REG,Home,58.0
57,2020_02_NO_LV,2020,2,NO,LV,24,0,-0.3993255496025085,-0.0199702382087707,0.003442698623985,-0.2610964179039001,0.1400983929634094,0.3577542603015899,0.0546014867722988,0.1771373003721237,2020_02_NO_LV_A,0,0,0,4.0,21.75,47.5,REG,Home,58.0
58,2020_02_NYG_CHI,2020,2,CHI,NYG,17,1,0.1688761562108993,0.0678285285830497,-0.104132130742073,0.0469232164323329,-0.3948870003223419,-0.0285521298646926,-0.1793250292539596,0.4441481232643127,2020_02_NYG_CHI_H,1,0,0,4.5,19.0,42.5,REG,Home,30.0
59,2020_02_NYG_CHI,2020,2,NYG,CHI,13,0,-0.3948870003223419,-0.0285521298646926,-0.1793250292539596,0.4441481232643127,0.1688761562108993,0.0678285285830497,-0.104132130742073,0.0469232164323329,2020_02_NYG_CHI_A,-1,0,0,-4.5,23.5,42.5,REG,Home,30.0
60,2020_02_SF_NYJ,2020,2,NYJ,SF,13,1,0.0145515762269496,-0.2278630137443542,-0.4101540744304657,0.2816532254219055,-0.1283860802650451,0.01047208532691,0.2522509694099426,-0.075336568057537,2020_02_SF_NYJ_H,0,0,0,-7.0,24.25,41.5,REG,Home,44.0
61,2020_02_SF_NYJ,2020,2,SF,NYJ,31,0,-0.1283860802650451,0.01047208532691,0.2522509694099426,-0.075336568057537,0.0145515762269496,-0.2278630137443542,-0.4101540744304657,0.2816532254219055,2020_02_SF_NYJ_A,0,0,0,7.0,17.25,41.5,REG,Home,44.0
62,2020_02_WAS_ARI,2020,2,ARI,WAS,30,1,0.2522509694099426,-0.075336568057537,-0.1283860802650451,0.01047208532691,-0.2888822555541992,-0.1017234474420547,-0.0538183860480785,-0.3915191292762756,2020_02_WAS_ARI_H,0,0,0,7.5,19.5,46.5,REG,Home,45.0
63,2020_02_WAS_ARI,2020,2,WAS,ARI,15,0,-0.2888822555541992,-0.1017234474420547,-0.0538183860480785,-0.3915191292762756,0.2522509694099426,-0.075336568057537,-0.1283860802650451,0.01047208532691,2020_02_WAS_ARI_A,0,0,0,-7.5,27.0,46.5,REG,Home,45.0
64,2020_03_CAR_LAC,2020,3,LAC,CAR,16,1,-0.0643439413048326,0.0392870483919978,-0.0189996376633643,-0.0316954933106899,-0.0224378300830721,-0.0167235657572746,0.0218245785683393,0.1692296661902219,2020_03_CAR_LAC_H,0,0,0,6.0,18.75,43.5,REG,Home,37.0
65,2020_03_CAR_LAC,2020,3,CAR,LAC,21,0,-0.0224378300830721,-0.0167235657572746,0.0218245785683393,0.1692296661902219,-0.0643439413048326,0.0392870483919978,-0.0189996376633643,-0.0316954933106899,2020_03_CAR_LAC_A,0,0,0,-6.0,24.75,43.5,REG,Home,37.0
66,2020_03_CHI_ATL,2020,3,ATL,CHI,26,1,-0.2141826964914798,0.2197058446705341,-0.0806455112993717,0.3305076874792576,0.0286529954522848,0.0610134411603212,0.0290702074766159,-0.0901096219196915,2020_03_CHI_ATL_H,0,0,0,2.5,21.75,46.0,REG,Home,56.0
67,2020_03_CHI_ATL,2020,3,CHI,ATL,30,0,0.0286529954522848,0.0610134411603212,0.0290702074766159,-0.0901096219196915,-0.2141826964914798,0.2197058446705341,-0.0806455112993717,0.3305076874792576,2020_03_CHI_ATL_A,0,0,0,-2.5,24.25,46.0,REG,Home,56.0
68,2020_03_CIN_PHI,2020,3,PHI,CIN,23,1,0.0332793725654482,-0.2952117286622524,-0.0659332320094108,0.3705904297530651,-0.243494252115488,0.0218406148254871,0.0367270544171333,0.2601531257852912,2020_03_CIN_PHI_H,-3,0,0,5.5,20.5,46.5,REG,Home,46.0
69,2020_03_CIN_PHI,2020,3,CIN,PHI,23,0,-0.243494252115488,0.0218406148254871,0.0367270544171333,0.2601531257852912,0.0332793725654482,-0.2952117286622524,-0.0659332320094108,0.3705904297530651,2020_03_CIN_PHI_A,3,0,0,-5.5,26.0,46.5,REG,Home,46.0
70,2020_03_DAL_SEA,2020,3,SEA,DAL,38,1,0.020752589777112,0.4235558301210403,-0.3061542928218841,0.3022036679089069,0.006673652306199,0.0448576442897319,-0.1006298590451478,0.2411075055599212,2020_03_DAL_SEA_H,0,0,0,5.5,26.25,58.0,REG,Home,69.0
71,2020_03_DAL_SEA,2020,3,DAL,SEA,31,0,0.006673652306199,0.0448576442897319,-0.1006298590451478,0.2411075055599212,0.020752589777112,0.4235558301210403,-0.3061542928218841,0.3022036679089069,2020_03_DAL_SEA_A,0,0,0,-5.5,31.75,58.0,REG,Home,69.0
72,2020_03_DET_ARI,2020,3,ARI,DET,23,1,0.1909809812903404,0.0165634885430336,0.0356841392815113,-0.1186952428892254,0.056914971768856,-0.0684429349377751,0.2073455743491649,0.2926277708262205,2020_03_DET_ARI_H,0,0,0,4.5,25.5,55.5,REG,Home,49.0
73,2020_03_DET_ARI,2020,3,DET,ARI,26,0,0.056914971768856,-0.0684429349377751,0.2073455743491649,0.2926277708262205,0.1909809812903404,0.0165634885430336,0.0356841392815113,-0.1186952428892254,2020_03_DET_ARI_A,0,0,0,-4.5,30.0,55.5,REG,Home,49.0
74,2020_03_GB_NO,2020,3,NO,GB,30,1,0.0044159680604934,0.0466840714216232,-0.0863719170214608,0.0757933408021927,0.2092875741422176,0.4458680883049965,0.2613171018660068,0.0344606056809425,2020_03_GB_NO_H,-1,0,0,3.5,24.25,52.0,REG,Home,67.0
75,2020_03_GB_NO,2020,3,GB,NO,37,0,0.2092875741422176,0.4458680883049965,0.2613171018660068,0.0344606056809425,0.0044159680604934,0.0466840714216232,-0.0863719170214608,0.0757933408021927,2020_03_GB_NO_A,1,0,0,-3.5,27.75,52.0,REG,Home,67.0
76,2020_03_HOU_PIT,2020,3,PIT,HOU,28,1,-0.3568265728652477,0.2143752275966108,-0.2323238480836152,-0.1422763526439666,-0.0367703758180141,-0.0498532578349113,0.0748767910525202,0.300224183499813,2020_03_HOU_PIT_H,0,0,0,4.0,21.25,46.5,REG,Home,49.0
77,2020_03_HOU_PIT,2020,3,HOU,PIT,21,0,-0.0367703758180141,-0.0498532578349113,0.0748767910525202,0.300224183499813,-0.3568265728652477,0.2143752275966108,-0.2323238480836152,-0.1422763526439666,2020_03_HOU_PIT_A,0,0,0,-4.0,25.25,46.5,REG,Home,49.0
78,2020_03_KC_BAL,2020,3,BAL,KC,20,1,0.0385505765676498,0.3306339427828788,-0.2419445060193538,-0.2094944022595882,0.1217108828946948,0.2322662346065044,0.1140043838880956,0.0847618117928504,2020_03_KC_BAL_H,0,0,0,3.5,25.75,55.0,REG,Home,54.0
79,2020_03_KC_BAL,2020,3,KC,BAL,34,0,0.1217108828946948,0.2322662346065044,0.1140043838880956,0.0847618117928504,0.0385505765676498,0.3306339427828788,-0.2419445060193538,-0.2094944022595882,2020_03_KC_BAL_A,0,0,0,-3.5,29.25,55.0,REG,Home,54.0
80,2020_03_LA_BUF,2020,3,BUF,LA,35,1,-0.2420517932623624,0.4848284184932709,0.1057989342138171,-0.0231984764337539,0.0275081072002649,0.4858768761157989,0.1185265649110078,-0.172926077991724,2020_03_LA_BUF_H,0,1,0,1.5,22.5,46.5,REG,Home,67.0
81,2020_03_LA_BUF,2020,3,LA,BUF,32,0,0.0275081072002649,0.4858768761157989,0.1185265649110078,-0.172926077991724,-0.2420517932623624,0.4848284184932709,0.1057989342138171,-0.0231984764337539,2020_03_LA_BUF_A,0,1,0,-1.5,24.0,46.5,REG,Home,67.0
82,2020_03_LV_NE,2020,3,NE,LV,36,1,-0.0104341775178909,0.1811114259064197,0.0217953337356448,0.0694674670696258,-0.0248768545687198,0.3542761459946632,0.2086831344291567,0.1353824637830257,2020_03_LV_NE_H,1,0,0,7.0,20.0,47.0,REG,Home,56.0
83,2020_03_LV_NE,2020,3,LV,NE,20,0,-0.0248768545687198,0.3542761459946632,0.2086831344291567,0.1353824637830257,-0.0104341775178909,0.1811114259064197,0.0217953337356448,0.0694674670696258,2020_03_LV_NE_A,-1,0,0,-7.0,27.0,47.0,REG,Home,56.0
84,2020_03_MIA_JAX,2020,3,JAX,MIA,13,1,0.1059746515005827,0.2923891820013523,-0.1943540904670953,0.4726469472050666,0.074003223888576,-0.042996397614479,0.0881291422992944,0.2851014591753483,2020_03_MIA_JAX_H,0,0,0,3.0,23.0,49.0,REG,Home,44.0
85,2020_03_MIA_JAX,2020,3,MIA,JAX,31,0,0.074003223888576,-0.042996397614479,0.0881291422992944,0.2851014591753483,0.1059746515005827,0.2923891820013523,-0.1943540904670953,0.4726469472050666,2020_03_MIA_JAX_A,0,0,0,-3.0,26.0,49.0,REG,Home,44.0
86,2020_03_NYJ_IND,2020,3,IND,NYJ,36,1,-0.1685260064899921,0.1341915428638458,-0.0549133603461086,-0.0880610764026642,-0.1712168650701642,-0.1483443953096866,-0.1312437549233436,0.2651907116174697,2020_03_NYJ_IND_H,0,0,0,12.5,15.75,44.0,REG,Home,43.0
87,2020_03_NYJ_IND,2020,3,NYJ,IND,7,0,-0.1712168650701642,-0.1483443953096866,-0.1312437549233436,0.2651907116174697,-0.1685260064899921,0.1341915428638458,-0.0549133603461086,-0.0880610764026642,2020_03_NYJ_IND_A,0,0,0,-12.5,28.25,44.0,REG,Home,43.0
88,2020_03_SF_NYG,2020,3,NYG,SF,9,1,-0.101769483834505,-0.1240735277533531,-0.1280375380069017,0.2303572587668895,-0.0044481575489044,0.1431591985747218,-0.0642521381378174,-0.0797074947506189,2020_03_SF_NYG_H,0,0,0,-3.0,23.5,44.0,REG,Home,45.0
89,2020_03_SF_NYG,2020,3,SF,NYG,36,0,-0.0044481575489044,0.1431591985747218,-0.0642521381378174,-0.0797074947506189,-0.101769483834505,-0.1240735277533531,-0.1280375380069017,0.2303572587668895,2020_03_SF_NYG_A,0,0,0,3.0,20.5,44.0,REG,Home,45.0
90,2020_03_TB_DEN,2020,3,DEN,TB,10,1,-0.0223511487245559,-0.2231312148272991,-0.2990091888234019,0.1157665557228028,-0.0396704838844016,-0.1092531390022486,-0.2267049964517355,-0.1054219581186771,2020_03_TB_DEN_H,0,0,0,-6.0,24.25,42.5,REG,Home,38.0
91,2020_03_TB_DEN,2020,3,TB,DEN,28,0,-0.0396704838844016,-0.1092531390022486,-0.2267049964517355,-0.1054219581186771,-0.0223511487245559,-0.2231312148272991,-0.2990091888234019,0.1157665557228028,2020_03_TB_DEN_A,0,0,0,6.0,18.25,42.5,REG,Home,38.0
92,2020_03_TEN_MIN,2020,3,MIN,TEN,30,1,0.1483749120496213,-0.1232703939080238,0.0351986780762672,0.2420457020401954,-0.0914445551112294,0.4979959346354007,0.1839938018471002,0.039457555860281,2020_03_TEN_MIN_H,0,0,0,-3.0,26.25,49.5,REG,Home,61.0
93,2020_03_TEN_MIN,2020,3,TEN,MIN,31,0,-0.0914445551112294,0.4979959346354007,0.1839938018471002,0.039457555860281,0.1483749120496213,-0.1232703939080238,0.0351986780762672,0.2420457020401954,2020_03_TEN_MIN_A,0,0,0,3.0,23.25,49.5,REG,Home,61.0
94,2020_03_WAS_CLE,2020,3,CLE,WAS,34,1,0.0099012494087219,0.1459867447614669,-0.1391099460422992,0.3162121020257473,-0.036539139598608,-0.1691832326352596,0.0532497713342309,-0.1257186640053987,2020_03_WAS_CLE_H,3,1,0,7.5,18.75,45.0,REG,Home,54.0
95,2020_03_WAS_CLE,2020,3,WAS,CLE,20,0,-0.036539139598608,-0.1691832326352596,0.0532497713342309,-0.1257186640053987,0.0099012494087219,0.1459867447614669,-0.1391099460422992,0.3162121020257473,2020_03_WAS_CLE_A,-3,1,0,-7.5,26.25,45.0,REG,Home,54.0
96,2020_04_ARI_CAR,2020,4,CAR,ARI,31,1,-0.164248359745424,0.0265079364180564,-0.1032284325192933,0.084039489212647,0.1728290734794052,-0.0364313845173068,-0.0422455718449975,0.0008409209301899,2020_04_ARI_CAR_H,0,0,0,-3.0,27.75,52.5,REG,Home,52.0
