,game_id,season,week,home_team,away_team,home_score,score_diff,away_score,home_team_win,epa_rushing_offense_home,epa_shifted_rushing_offense_home,ewma_rushing_offense_home,ewma_dynamic_window_rushing_offense_home,epa_passing_offense_home,epa_shifted_passing_offense_home,ewma_passing_offense_home,ewma_dynamic_window_passing_offense_home,epa_rushing_defense_home,epa_shifted_rushing_defense_home,ewma_rushing_defense_home,ewma_dynamic_window_rushing_defense_home,epa_passing_defense_home,epa_shifted_passing_defense_home,ewma_passing_defense_home,ewma_dynamic_window_passing_defense_home,epa_rushing_offense_away,epa_shifted_rushing_offense_away,ewma_rushing_offense_away,ewma_dynamic_window_rushing_offense_away,epa_passing_offense_away,epa_shifted_passing_offense_away,ewma_passing_offense_away,ewma_dynamic_window_passing_offense_away,epa_rushing_defense_away,epa_shifted_rushing_defense_away,ewma_rushing_defense_away,ewma_dynamic_window_rushing_defense_away,epa_passing_defense_away,epa_shifted_passing_defense_away,ewma_passing_defense_away,ewma_dynamic_window_passing_defense_away
28,2017_02_SF_SEA,2017,2,SEA,SF,12,3,9,1,-0.105044015,-0.12040026,-0.12040025740861893,-0.12040025740861893,-0.047401167,-0.34426785,-0.3442678451538086,-0.3442678451538086,0.24244003,-0.15705816,-0.15705816447734833,-0.15705816447734833,-0.5485805,0.04721126,0.047211259603500366,0.047211259603500366,0.24244003,-0.45011267,-0.4501126706600189,-0.4501126706600189,-0.5485805,-0.39912063,-0.39912062883377075,-0.39912062883377075,-0.105044015,-0.16426556,-0.16426555812358856,-0.16426555812358856,-0.047401167,0.12295027,0.12295027077198029,0.12295027077198029
29,2017_02_TEN_JAX,2017,2,JAX,TEN,16,-21,37,0,0.093163215,-0.04115593,-0.04115593060851097,-0.04115593060851097,-0.28576365,0.091587044,0.09158704429864883,0.09158704429864883,0.22810003,-0.012497428,-0.012497427873313427,-0.012497427873313427,0.12581202,-0.8379437,-0.8379436731338501,-0.8379436731338501,0.22810003,-0.071789354,-0.07178935408592224,-0.07178935408592224,0.12581202,0.11128554,0.11128553748130798,0.11128553748130798,0.093163215,0.0049822917,0.004982291720807552,0.004982291720807552,-0.28576365,0.27405927,0.2740592658519745,0.2740592658519745
30,2017_02_WAS_LA,2017,2,LA,WAS,20,-7,27,0,-0.24398032,-0.18563071,-0.1856307089328766,-0.1856307089328766,0.18119395,0.33964843,0.33964842557907104,0.33964842557907104,0.08516442,-0.13784422,-0.13784421980381012,-0.13784421980381012,0.18490906,-1.0218097,-1.021809697151184,-1.021809697151184,0.08516442,-0.08770908,-0.08770907670259476,-0.08770907670259476,0.18490906,-0.32898316,-0.3289831578731537,-0.3289831578731537,-0.24398032,-0.53396237,-0.5339623689651489,-0.5339623689651489,0.18119395,0.22696063,0.22696062922477722,0.22696062922477722
31,2017_03_ATL_DET,2017,3,DET,ATL,26,-4,30,0,-0.2020571,-0.106007576,-0.2039428725838661,-0.2039428725838661,-0.10603044,-0.038065508,-0.05043566487729549,-0.05043566487729549,0.18148449,-0.32138568,-0.3860888510942459,-0.3860888510942459,-0.15130934,-0.2283534,-0.2245653726160526,-0.2245653726160526,0.18148449,0.10001902,0.03678386993706227,0.03678386993706227,-0.15130934,0.27842674,0.3431995898485184,0.3431995898485184,-0.2020571,0.067423515,0.2231059033423662,0.2231059033423662,-0.10603044,0.08145465,-0.026375175267457952,-0.026375175267457952
32,2017_03_BAL_JAX,2017,3,JAX,BAL,44,37,7,1,0.11468882,0.093163215,0.032719599269330504,0.032719599269330504,0.42127925,-0.28576365,-0.11595583818852903,-0.11595583818852903,-0.27108315,0.22810003,0.11983117484487593,0.11983117484487593,-0.6246784,0.12581202,-0.3078780397772789,-0.3078780397772789,-0.27108315,-0.28038293,-0.19720540679991247,-0.19720540679991247,-0.6246784,0.1852485,0.0934824526309967,0.0934824526309967,0.11468882,-0.035036057,-0.039097652584314344,-0.039097652584314344,0.42127925,-0.29990467,-0.5320000693202018,-0.5320000693202018
33,2017_03_CIN_GB,2017,3,GB,CIN,27,3,24,1,-0.05695674,0.067423515,-0.033593240752816195,-0.033593240752816195,-0.101008885,0.08145465,0.0660451240837574,0.0660451240837574,-0.10015628,0.10001902,0.0008303467184305254,0.0008303467184305254,0.204011,0.27842674,-0.001785825192928303,-0.001785825192928303,-0.10015628,-0.41425726,-0.2476693131029606,-0.2476693131029606,0.204011,-0.2475209,-0.5031889900565147,-0.5031889900565147,-0.05695674,-0.106614314,-0.10163266733288764,-0.10163266733288764,-0.101008885,-0.17738515,-0.10596605241298676,-0.10596605241298676
34,2017_03_CLE_IND,2017,3,IND,CLE,31,3,28,1,-0.10664768,-0.15636386,-0.14803002178668975,-0.14803002178668975,0.09789428,-0.14654088,-0.5404118478298188,-0.5404118478298188,0.25952387,-0.15747909,-0.17014731988310813,-0.17014731988310813,-0.1357701,0.033409555,0.17121704649180172,0.17121704649180172,0.25952387,-0.035036057,-0.12795127108693125,-0.12795127108693125,-0.1357701,-0.29990467,-0.195258105173707,-0.195258105173707,-0.10664768,-0.28038293,-0.34996780157089236,-0.34996780157089236,0.09789428,0.1852485,0.15499030314385892,0.15499030314385892
35,2017_03_DAL_ARI,2017,3,ARI,DAL,17,-11,28,0,-0.28663805,-0.15747909,-0.2959402270615101,-0.2959402270615101,0.02244057,0.033409555,-0.08059574980288743,-0.08059574980288743,0.019435657,-0.15636386,-0.23163882866501806,-0.23163882866501806,0.19478206,-0.14654088,-0.11009711958467959,-0.11009711958467959,0.019435657,-0.2927164,-0.16614425191655754,-0.16614425191655754,0.19478206,-0.3587436,-0.12902290001511577,-0.12902290001511577,-0.28663805,-0.0063756,-0.05130236453842372,-0.05130236453842372,0.02244057,0.1678297,0.024871782213449486,0.024871782213449486
36,2017_03_DEN_BUF,2017,3,BUF,DEN,26,10,16,1,-0.22548012,-0.33046997,-0.18088232364971193,-0.18088232364971193,0.18685606,-0.20944224,-0.053607475012540824,-0.053607475012540824,0.055973426,-0.22903392,-0.06342798918485643,-0.06342798918485643,-0.15840335,-0.025267027,-0.1549102757126093,-0.1549102757126093,0.055973426,-0.0063756,-0.08064220405649393,-0.08064220405649393,-0.15840335,0.1678297,0.17174413651227952,0.17174413651227952,-0.22548012,-0.2927164,-0.29437314718961716,-0.29437314718961716,0.18685606,-0.3587436,-0.16264862790703774,-0.16264862790703774
37,2017_03_HOU_NE,2017,3,NE,HOU,36,3,33,1,-0.3117279,-0.052035447,-0.1193539196625352,-0.1193539196625352,0.28231367,0.6119435,0.356806243211031,0.356806243211031,-0.023696482,-0.0120054595,0.017123035341501235,0.017123035341501235,0.19128887,0.056811918,0.2392024977132678,0.2392024977132678,-0.023696482,-0.106614314,-0.06426171525381505,-0.06426171525381505,0.19128887,-0.17738515,-0.4746364861726761,-0.4746364861726761,-0.3117279,-0.41425726,-0.2463616607710719,-0.2463616607710719,0.28231367,-0.2475209,-0.0949223216623068,-0.0949223216623068
