,index,game_id,line
202,2958,2018_14_NE_MIA,7.5
203,2961,2018_14_NO_TB,8.0
204,2963,2018_14_NYG_WAS,3.5
205,2946,2018_14_NYJ_BUF,-3.0
206,2970,2018_14_PHI_DAL,-3.5
207,2972,2018_14_PIT_OAK,10.5
208,2983,2018_15_ARI_ATL,-8.5
209,2981,2018_15_CLE_DEN,-3.0
210,2993,2018_15_DAL_IND,-3.0
211,2986,2018_15_DET_BUF,-2.5
212,2988,2018_15_GB_CHI,-6.0
213,2979,2018_15_HOU_NYJ,6.0
214,2976,2018_15_LAC_KC,-3.5
215,2997,2018_15_MIA_MIN,-7.0
216,3003,2018_15_NE_PIT,2.5
217,3006,2018_15_NO_CAR,5.5
218,2990,2018_15_OAK_CIN,-3.0
219,3004,2018_15_PHI_LA,-11.0
220,3001,2018_15_SEA_SF,4.5
221,2984,2018_15_TB_BAL,-7.5
222,2998,2018_15_TEN_NYG,-2.5
223,2994,2018_15_WAS_JAX,-7.0
224,3017,2018_16_ATL_CAR,3.5
225,3011,2018_16_BAL_LAC,-4.5
226,3025,2018_16_BUF_NE,-13.0
227,3033,2018_16_CHI_SF,4.0
228,3019,2018_16_CIN_CLE,-8.5
229,3039,2018_16_DEN_OAK,2.5
230,3027,2018_16_GB_NYJ,2.5
231,3029,2018_16_HOU_PHI,-2.5
232,3015,2018_16_JAX_MIA,-4.0
233,3037,2018_16_KC_SEA,2.5
234,3030,2018_16_LA_ARI,14.0
235,3022,2018_16_MIN_DET,5.5
236,3012,2018_16_NYG_IND,-9.5
237,3034,2018_16_PIT_NO,-6.0
238,3020,2018_16_TB_DAL,-7.5
239,3008,2018_16_WAS_TEN,-9.5
240,3071,2018_17_ARI_SEA,-13.5
241,3061,2018_17_ATL_TB,-1.0
242,3055,2018_17_CAR_NO,-8.5
243,3051,2018_17_CHI_MIN,-4.5
244,3059,2018_17_CIN_PIT,-14.5
245,3040,2018_17_CLE_BAL,-6.0
246,3057,2018_17_DAL_NYG,-6.5
247,3045,2018_17_DET_GB,-8.0
248,3063,2018_17_IND_TEN,3.0
249,3046,2018_17_JAX_HOU,-6.5
250,3066,2018_17_LAC_DEN,6.5
251,3042,2018_17_MIA_BUF,-3.5
252,3052,2018_17_NYJ_NE,-13.5
253,3048,2018_17_OAK_KC,-13.5
254,3065,2018_17_PHI_WAS,6.5
255,3068,2018_17_SF_LA,-10.0
256,3083,2019_01_ATL_MIN,-4.0
257,3081,2019_01_BAL_MIA,6.5
258,3085,2019_01_BUF_NYJ,-3.0
259,3091,2019_01_CIN_SEA,-9.5
260,3103,2019_01_DEN_OAK,0.0
261,3092,2019_01_DET_ARI,3.0
262,3072,2019_01_GB_CHI,-3.0
263,3101,2019_01_HOU_NO,-7.0
264,3089,2019_01_IND_LAC,-6.5
265,3078,2019_01_KC_JAX,3.5
266,3074,2019_01_LA_CAR,2.5
267,3094,2019_01_NYG_DAL,-7.0
268,3098,2019_01_PIT_NE,-5.5
269,3097,2019_01_SF_TB,0.0
270,3076,2019_01_TEN_CLE,-5.0
271,3086,2019_01_WAS_PHI,-10.0
272,3107,2019_02_ARI_BAL,-13.0
273,3119,2019_02_BUF_NYG,1.5
274,3129,2019_02_CHI_DEN,2.5
275,3135,2019_02_CLE_NYJ,2.5
276,3125,2019_02_DAL_WAS,5.0
277,3123,2019_02_IND_TEN,-3.0
278,3114,2019_02_JAX_HOU,-9.0
279,3127,2019_02_KC_OAK,7.0
280,3110,2019_02_LAC_DET,2.5
281,3112,2019_02_MIN_GB,-3.0
282,3116,2019_02_NE_MIA,18.5
283,3130,2019_02_NO_LA,-2.5
284,3132,2019_02_PHI_ATL,1.5
285,3120,2019_02_SEA_PIT,-4.0
286,3108,2019_02_SF_CIN,-2.0
287,3104,2019_02_TB_CAR,-6.5
288,3145,2019_03_ATL_IND,-1.5
289,3147,2019_03_BAL_KC,-6.5
290,3154,2019_03_CAR_ARI,-3.0
291,3167,2019_03_CHI_WAS,4.0
292,3138,2019_03_CIN_BUF,-6.0
293,3143,2019_03_DEN_GB,-7.5
294,3153,2019_03_DET_PHI,-6.0
295,3159,2019_03_HOU_LAC,-3.0
296,3164,2019_03_LA_CLE,3.0
297,3140,2019_03_MIA_DAL,-21.5
298,3161,2019_03_NO_SEA,-4.0
299,3157,2019_03_NYG_TB,-6.5
300,3150,2019_03_NYJ_NE,-22.5
301,3148,2019_03_OAK_MIN,-8.5
302,3163,2019_03_PIT_SF,-6.5
303,3136,2019_03_TEN_JAX,1.5
304,3179,2019_04_CAR_HOU,-4.5
305,3197,2019_04_CIN_PIT,-3.5
306,3172,2019_04_CLE_BAL,-6.5
307,3195,2019_04_DAL_NO,2.5
308,3192,2019_04_JAX_DEN,-3.0
309,3176,2019_04_KC_DET,6.5
310,3183,2019_04_LAC_MIA,15.5
311,3190,2019_04_MIN_CHI,-1.5
312,3174,2019_04_NE_BUF,7.0
313,3180,2019_04_OAK_IND,-6.5
314,3168,2019_04_PHI_GB,-4.0
315,3186,2019_04_SEA_ARI,5.5
316,3188,2019_04_TB_LA,-9.5
317,3170,2019_04_TEN_ATL,-4.0
318,3184,2019_04_WAS_NYG,-3.0
319,3203,2019_05_ARI_CIN,-3.0
320,3205,2019_05_ATL_HOU,-5.0
321,3215,2019_05_BAL_PIT,3.0
322,3217,2019_05_BUF_TEN,-3.0
323,3211,2019_05_CHI_OAK,5.5
324,3227,2019_05_CLE_SF,-3.5
325,3221,2019_05_DEN_LAC,-6.5
326,3222,2019_05_GB_DAL,-3.5
327,3225,2019_05_IND_KC,-11.0
328,3200,2019_05_JAX_CAR,-3.5
329,3199,2019_05_LA_SEA,-1.0
330,3209,2019_05_MIN_NYG,5.5
331,3219,2019_05_NE_WAS,15.5
332,3213,2019_05_NYJ_PHI,-13.5
333,3206,2019_05_TB_NO,-3.5
334,3244,2019_06_ATL_ARI,2.5
335,3231,2019_06_CAR_TB,2.5
336,3232,2019_06_CIN_BAL,-11.0
337,3251,2019_06_DAL_NYJ,7.0
338,3255,2019_06_DET_GB,-4.0
339,3239,2019_06_HOU_KC,-4.5
340,3236,2019_06_NO_JAX,-1.5
341,3228,2019_06_NYG_NE,-17.0
342,3242,2019_06_PHI_MIN,-3.0
343,3252,2019_06_PIT_LAC,-6.5
344,3234,2019_06_SEA_CLE,1.0
345,3246,2019_06_SF_LA,-3.0
346,3248,2019_06_TEN_DEN,-2.0
347,3240,2019_06_WAS_MIA,3.5
348,3271,2019_07_ARI_NYG,-3.0
349,3279,2019_07_BAL_SEA,-3.0
350,3269,2019_07_HOU_IND,-1.0
351,3262,2019_07_JAX_CIN,3.5
352,3256,2019_07_KC_DEN,3.0
353,3275,2019_07_LAC_TEN,-2.5
354,3258,2019_07_LA_ATL,3.0
355,3260,2019_07_MIA_BUF,-17.0
356,3264,2019_07_MIN_DET,1.0
357,3283,2019_07_NE_NYJ,9.5
358,3276,2019_07_NO_CHI,-3.5
359,3266,2019_07_OAK_GB,-4.5
360,3280,2019_07_PHI_DAL,-2.5
361,3273,2019_07_SF_WAS,9.5
362,3301,2019_08_ARI_NO,-10.5
363,3305,2019_08_CAR_SF,-5.5
364,3299,2019_08_CIN_LA,-13.0
365,3309,2019_08_CLE_NE,-13.0
